track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Ain't Nobody (Loves Me Better),https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB,Ain't Nobody (Loves Me Better),https://open.spotify.com/album/3beitV4REkUMQn4BXZlD8F,"Felix Jaehn, Jasmine Thompson","https://open.spotify.com/artist/4bL2B6hmLlMWnUEZnorEtG, https://open.spotify.com/artist/2TL8gYTNgD6nXkyuUdDrMg",2015-03-17,186146,2021-12-21,Finally that person that we've missed so much is home. This deserves  a party!,Welcome Home
All Night Long (All Night) - Single Version,https://open.spotify.com/track/4czNORk5MjW5WOn98bki32,Back To Front,https://open.spotify.com/album/1ET5QG3pd6NGqEFuZh0Qiz,Lionel Richie,https://open.spotify.com/artist/3gMaNLQm7D9MornNILzdSl,2015-02-13,258665,2021-12-21,Finally that person that we've missed so much is home. This deserves  a party!,Welcome Home
All of Me - Tiësto's Birthday Treatment Remix - Radio Edit,https://open.spotify.com/track/1mzGywacjpeik00PVLBPpF,All of Me (Tiësto's Birthday Treatment Remix - Radio Edit),https://open.spotify.com/album/4c2rSdHI9WUXn0zyXoWtbB,"John Legend, Jason Agel, Tiësto","https://open.spotify.com/artist/5y2Xq6xcjJb2jVM54GHK3t, https://open.spotify.com/artist/1fiatwjGipTH7cFxTeyKOP, https://open.spotify.com/artist/2o5jDhtHVPhrJdv3cEQ99Z",2015-02-13,251613,2021-12-21,Finally that person that we've missed so much is home. This deserves  a party!,Welcome Home
Around the World - Radio Edit [Radio Edit],https://open.spotify.com/track/0TxMRiAvI1s0L821BJJWzx,"Musique, Vol. 1",https://open.spotify.com/album/4a0p1M12f7VaZWdoNSdEK4,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,2015-02-13,241466,2021-12-21,Finally that person that we've missed so much is home. This deserves  a party!,Welcome Home
Ass Back Home (feat. Neon Hitch),https://open.spotify.com/track/3bfqkspKABT4pPicm6wC9F,The Papercut Chronicles II,https://open.spotify.com/album/2mumCpGmuE9iDeOvMx6XrB,"Gym Class Heroes, Neon Hitch","https://open.spotify.com/artist/4IJczjB0fJ04gs4uvP0Fli, https://open.spotify.com/artist/2TnJ7VOpGzjtKUn0ObpEYe",2015-02-13,222213,2021-12-21,Finally that person that we've missed so much is home. This deserves  a party!,Welcome Home
Been Around the World (feat. The Notorious B.I.G. & Mase),https://open.spotify.com/track/1siDRjAa8MdxNoCHTiiQ7B,No Way Out,https://open.spotify.com/album/4OGaOZUHLhSeiicZB909aL,"Diddy, The Notorious B.I.G., Mase","https://open.spotify.com/artist/59wfkuBoNyhDMQGCljbUbA, https://open.spotify.com/artist/5me0Irg2ANcsgc93uaYrpb, https://open.spotify.com/artist/1wiBLzTI7z9RUwEpNPdFT6",2015-02-13,325933,2021-12-21,Finally that person that we've missed so much is home. This deserves  a party!,Welcome Home
Bootylicious,https://open.spotify.com/track/41nT1Sp6ChR65FbsdLlFHW,Survivor,https://open.spotify.com/album/2HcjLD0ButtKsQYqzoyOx9,Destiny's Child,https://open.spotify.com/artist/1Y8cdNmUJH7yBTd9yOvr5i,2015-02-13,207906,2021-12-21,Finally that person that we've missed so much is home. This deserves  a party!,Welcome Home
Bring Em Home (Gold Jacket Remix),https://open.spotify.com/track/5wxh5Zge8QLkrfFWdFi9qz,Bring Em Home (Gold Jacket Remix),https://open.spotify.com/album/1yjGbbFwvVcm0C75NXL0Vj,D.VELOPED,https://open.spotify.com/artist/6fsOa97Gfd2f5iqlDoHDUM,2015-02-13,205975,2021-12-21,Finally that person that we've missed so much is home. This deserves  a party!,Welcome Home
Come Home,https://open.spotify.com/track/0C3NEzyeYHvbt6OIjFAIzT,Dreaming Out Loud (International Version),https://open.spotify.com/album/72c3ugX0yPaFCtEuHPDXaY,OneRepublic,https://open.spotify.com/artist/5Pwc4xIPtQLFEnJriah9YJ,2015-02-13,261653,2021-12-21,Finally that person that we've missed so much is home. This deserves  a party!,Welcome Home
Come Together,https://open.spotify.com/track/0WGji1pxqswFYpd9MAvZCf,The Beatles Tribute Project: Volume I,https://open.spotify.com/album/14z6Ed6BQpI7YO1c740OiV,The Beatles Tribute Project,https://open.spotify.com/artist/7EzNTMzMN70jRxBWbxeshd,2015-02-13,249866,2021-12-21,Finally that person that we've missed so much is home. This deserves  a party!,Welcome Home
Coming Home,https://open.spotify.com/track/47hs3xNT3iOGvgmC4eXBAi,Last Train To Paris (Deluxe),https://open.spotify.com/album/3IOhnJI294Jd2edw7ReJsy,"Diddy - Dirty Money, Skylar Grey","https://open.spotify.com/artist/2QYEvpsWUOjqaYuxDPTCmV, https://open.spotify.com/artist/4utLUGcTvOJFr6aqIJtYWV",2015-02-13,238760,2021-12-21,Finally that person that we've missed so much is home. This deserves  a party!,Welcome Home
Cross the Border,https://open.spotify.com/track/26jvFY5r6AN5kuJmih4GpF,Get Down Or Lay Down (U.S. Explicit),https://open.spotify.com/album/1jrJslDyJ6t59uGaEUChw0,Philly's Most Wanted,https://open.spotify.com/artist/2nmNj8czpBZkCVZSbx5W2i,2015-02-13,255724,2021-12-21,Finally that person that we've missed so much is home. This deserves  a party!,Welcome Home
Don't You Worry Child - Radio Edit,https://open.spotify.com/track/2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child,https://open.spotify.com/album/3RKhRsifs4RWrqvWV1YpPY,"Swedish House Mafia, John Martin","https://open.spotify.com/artist/1h6Cn3P4NGzXbaXidqURXs, https://open.spotify.com/artist/2auikkNYqigWStoHWK1Grq",2015-02-13,212862,2021-12-21,Finally that person that we've missed so much is home. This deserves  a party!,Welcome Home
Feel the Love (feat. John Newman),https://open.spotify.com/track/0k73nWaD6RPx2sHFEkGPcn,Home,https://open.spotify.com/album/2AOpbitJNMvKhSbsi2YD4F,"Rudimental, John Newman","https://open.spotify.com/artist/4WN5naL3ofxrVBgFpguzKo, https://open.spotify.com/artist/34v5MVKeQnIo0CWYMbbrPf",2015-02-13,245186,2021-12-21,Finally that person that we've missed so much is home. This deserves  a party!,Welcome Home
Firework,https://open.spotify.com/track/4lCv7b86sLynZbXhfScfm2,Teenage Dream: The Complete Confection,https://open.spotify.com/album/5BvgP623rtvlc0HDcpzquz,Katy Perry,https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X,2015-02-13,227880,2021-12-21,Finally that person that we've missed so much is home. This deserves  a party!,Welcome Home
