track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
10/10,https://open.spotify.com/track/61AvmHxUtaEOUK8GSb9cbK,SARINE QUAZAR,https://open.spotify.com/album/6WQaXDhkwu1AuvMQxOTb9l,R.C.D.,https://open.spotify.com/artist/0FrdFfkE81gnXdYbf5Do3Q,2022-03-11,246741,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
1000 (feat. CP),https://open.spotify.com/track/3CejJ593Dg54c4m8NlSpto,1000 (feat. CP),https://open.spotify.com/album/6svs8n6epi8U1u6xhENItF,"Très Mortimer, CP","https://open.spotify.com/artist/3zGzbXr9Q8zS9xictKAnt7, https://open.spotify.com/artist/4yyJIkmo80mhEQXr8DF2ub",2022-01-28,170500,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
1x1,https://open.spotify.com/track/3sL923OLO2SfZWwz6Eu59M,1x1,https://open.spotify.com/album/6JTEvvAjCkAMPlFuuTMIbv,"Ninajirachi, Ravenna Golden","https://open.spotify.com/artist/3MekbRujJg5VZThubOlrkR, https://open.spotify.com/artist/27Od4Wz93nItXglC5t5GuC",2023-04-20,204217,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
2 Many Lies,https://open.spotify.com/track/5MtkeJ3mnxiQnkQGrGuIpm,2 Many Lies / Your Love,https://open.spotify.com/album/1ZdN5DsyEMxOmt7Vpy8IiL,"CHROMEBODIES, Centre Court","https://open.spotify.com/artist/5SY7jZZAfGLD3R9FYwoYGI, https://open.spotify.com/artist/5CyxC6fwavhoRAf1n9n7wh",2024-06-24,220800,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
222,https://open.spotify.com/track/2aFaDxU5b4aRxOKrTRuA0v,222,https://open.spotify.com/album/5v4pzv7O0Ye6dKobqXgMg5,Slow Magic,https://open.spotify.com/artist/3htNAy3vYWWYV8RZFeyRMT,2022-09-18,208083,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
222† ∂∆ §§§,https://open.spotify.com/track/6vfkZpkACUVfUZlZOYbprt,222† ∂∆ §§§,https://open.spotify.com/album/7eYOa53TWuUcfRpf8f6Nar,Chet Porter,https://open.spotify.com/artist/1BjaGDkxwa2fb2pSCXlFXb,2023-06-09,292527,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
3AM IN CHELSEA,https://open.spotify.com/track/78Y0MDNQJea7OsrUpcatF2,DIAMOND TAPE,https://open.spotify.com/album/5LxQdOjqtNNq8CLLC4cS5P,Devault,https://open.spotify.com/artist/1VBAKMui4zm5MnBWNn3NbL,2022-02-28,246101,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
3AM IN CHELSEA - Club Edit,https://open.spotify.com/track/1y907js7DgPzTwe2w7P2c1,3AM IN CHELSEA (Club Edit),https://open.spotify.com/album/0Pjbs4N6KLan9GQ3gzaPnL,Devault,https://open.spotify.com/artist/1VBAKMui4zm5MnBWNn3NbL,2022-04-25,334426,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
7FIGURESUPERMODEL,https://open.spotify.com/track/3RNDBiWPixoFZ5K4NwSzQD,7FIGURESUPERMODEL,https://open.spotify.com/album/5qreHFgrcvU9JYMf3KMSZp,SNOW WIFE,https://open.spotify.com/artist/7CV3dQkhJB2dEqb85ICD33,2023-03-31,160593,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
A Space in Between,https://open.spotify.com/track/22aJnovcYTqiOhfuFMCoVk,A Space in Between,https://open.spotify.com/album/4sX9q9enQ6JTiYYrzuMA1K,"Khamsin, On Planets","https://open.spotify.com/artist/3SArT8JtWehqNmycXIZren, https://open.spotify.com/artist/5uz8HDS6eOsefdqSyMlTzi",2021-09-02,302702,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
About That,https://open.spotify.com/track/3aLikJG6Y9zm40fXtYAC6F,About That,https://open.spotify.com/album/4eljCmUcYWWL0LypuBXE4A,"Tez Cadey, Majeur Mineur, Khamsin, Tailor","https://open.spotify.com/artist/5cBeFQv3kBVP8o15CmPTKb, https://open.spotify.com/artist/3IMSh6UlcrbKXwG1lARp5j, https://open.spotify.com/artist/3SArT8JtWehqNmycXIZren, https://open.spotify.com/artist/2Qf8oz2NeIs8FVCJSsXkWH",2022-04-18,156000,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
about you,https://open.spotify.com/track/5L4LlGPUEap3RuKz2QaBpk,about you,https://open.spotify.com/album/6Z2rQ5XFYHzOUw5QkgKKLP,"WHIPPED CREAM, Showjoe","https://open.spotify.com/artist/5CMaNobmJYgXcfiT0zYOwi, https://open.spotify.com/artist/3Mik8aPFJ5lIK5APqqKqpb",2024-05-11,163076,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
Acid Rain,https://open.spotify.com/track/4yRK7s74Y4xW1FW6bKOmmA,Acid Rain,https://open.spotify.com/album/313NgEHZBe5t8H6e2lrP7p,"Noizu, Madge","https://open.spotify.com/artist/3VRyybsQu0MDG0F2LBxnv7, https://open.spotify.com/artist/2StukZYqvy5IZmVestMrWo",2024-03-18,180952,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
Action,https://open.spotify.com/track/60fyTAA4YUDrlvXKTbd9WK,Action,https://open.spotify.com/album/0gAtf1frqEswUJlQFZOKQm,La Favi,https://open.spotify.com/artist/5lnsY88L4HEVxNUMCefego,2022-11-11,178056,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
Admit It (U Don't Want 2),https://open.spotify.com/track/1447z3NQY5Dg6oik6Zh5rw,Admit It (U Don't Want 2),https://open.spotify.com/album/1UYiZeZ7VyQ32mPs3djAWC,"Fred again.., India Jordan","https://open.spotify.com/artist/4oLeXFyACqeem2VImYeBFe, https://open.spotify.com/artist/5RMLpCv3ic2KtGnqJ7eMG4",2022-02-15,385074,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
Afterglows,https://open.spotify.com/track/5XxBFoqrB2CPwit13EMJ82,The Four Stages,https://open.spotify.com/album/6mUWbDKMXnkdqdrljEXEtg,MYRNE,https://open.spotify.com/artist/41DKMtAnhVo7aDeluAHDJg,2024-08-22,300996,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
Ahora,https://open.spotify.com/track/5pHrnkNt0Ikb8UE5HAcnIJ,Ahora,https://open.spotify.com/album/4IAMj8Bki0Hb3nMQ7N4PLi,"Hotel Garuda, Jackets","https://open.spotify.com/artist/73tITL3u5T35u309PLpN6K, https://open.spotify.com/artist/2WE3lhdwcH8I20JFdhsV94",2023-03-24,382857,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
Alaska,https://open.spotify.com/track/0A4sGNGQSOj7ZBg6BNLhRz,Alaska,https://open.spotify.com/album/6tGMyeh372oEesf49vpuuh,"Trivecta, Casey Cook","https://open.spotify.com/artist/4AT7XlLBevgZIiKvZQ83ye, https://open.spotify.com/artist/3tG47C60La9mzGXfsIHTBl",2024-07-09,248400,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
Alive - Edit,https://open.spotify.com/track/6zynDuNBoBD7AITlS2htjj,Alive,https://open.spotify.com/album/51BR1e1klcWNZWsD5SbX4P,Kasbo,https://open.spotify.com/artist/1ikID9RZZMvkuBGDWrqajq,2023-10-05,216247,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
All About You,https://open.spotify.com/track/0Lc22wJyPHTKF8mEoOOGzT,All About You,https://open.spotify.com/album/0UPEviguYBkCVLWVTwXx2y,Britt Lari,https://open.spotify.com/artist/7ErksWhMMsmGtgT1l1e159,2023-10-20,165180,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
"All Day, All Night",https://open.spotify.com/track/4PSq1vPPpzEpVfwLCadN9j,"All Day, All Night",https://open.spotify.com/album/26O2GfKaDW9uGRkb0xdTV6,"Odd Mob, OMNOM, HYPERBEAM","https://open.spotify.com/artist/4qLwtWhlhyAoQ4S9mSrDW9, https://open.spotify.com/artist/3PYRXP25JcbqhvNaJYcnWy, https://open.spotify.com/artist/1b4DIAooTye6qmHHYRck9n",2024-02-10,150937,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
all i need,https://open.spotify.com/track/7vOjikQFRmxz1DISXsCQqG,all i need,https://open.spotify.com/album/766oNoOCHh5KNvykOsbWtd,"umru, Fraxiom, Tony Velour, Hannah Diamond","https://open.spotify.com/artist/2Ub06wAIR1hERODcCkKhzx, https://open.spotify.com/artist/04Y5zXsFqYRzDr6tMXj6aL, https://open.spotify.com/artist/3L3hYQlhb5k9XCCrRWavNi, https://open.spotify.com/artist/3sXErEOw7EmO6Sj7EgjHdU",2022-02-28,197716,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
All I'd Ever Need,https://open.spotify.com/track/6IZNg0VEi6mYCozaqmN5kH,Digital Forest,https://open.spotify.com/album/1QKKd2KIRG4YEAysfwv3Y1,"STAR SEED, Meggie York","https://open.spotify.com/artist/5xR2U3IJuuJP89isSMnxtd, https://open.spotify.com/artist/0ydORocQawKL2QaPiGG8fZ",2022-01-28,206117,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
All or Nothin,https://open.spotify.com/track/7LjHfW0OCBjYx01XkDA8QR,All or Nothin,https://open.spotify.com/album/4kxGHduVK7ms4hls6JvtYR,Chuck Sutton,https://open.spotify.com/artist/472LbYT0htG8bFXNXpEgRN,2021-11-19,189398,2021-12-21,"selects from music we've been listening to @ Moving Castle. Manila Killa's album, Dusk drops July 21st!",Moving Castle Monthly
