track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Ain't That A Kick In The Head,https://open.spotify.com/track/7fQ3PYTYdu208fQ3JEm2U7,"Dean Martin: The Capitol Recordings, Vol. 11 (1960-1961)",https://open.spotify.com/album/3LGVxGRKwi4WfDnhMaBygF,Dean Martin,https://open.spotify.com/artist/49e4v89VmlDcFCMyDv9wQ9,2019-08-27,147293,2023-05-23,,something
All For You,https://open.spotify.com/track/6VVd4kRfzBsZqFbvEAjloh,Love Gloom,https://open.spotify.com/album/12TKPek1DiFYRS8m1Y5Utt,Night Riots,https://open.spotify.com/artist/67Dg546QfThu4PuanvFD8y,2019-08-27,235334,2023-05-23,,something
Can't Help Falling in Love,https://open.spotify.com/track/6yIHGmQLJxWAUZ1ZkENemN,Better,https://open.spotify.com/album/2jg7PvepCK9V7MyWM7pvzr,Haley Reinhart,https://open.spotify.com/artist/5cKlE8f6b26h61Ml7m052Q,2019-08-27,173174,2023-05-23,,something
Fly Me To The Moon (In Other Words),https://open.spotify.com/track/5b7OgznPJJr1vHNYGyvxau,Sinatra/Basie: The Complete Reprise Studio Recordings,https://open.spotify.com/album/2NCtCObbmJoJnplsR5mLAl,"Frank Sinatra, Count Basie","https://open.spotify.com/artist/1Mxqyy3pSjf8kZZL4QVxS0, https://open.spotify.com/artist/2jFZlvIea42ZvcCw4OeEdA",2019-08-27,147000,2023-05-23,,something
Heart's Content,https://open.spotify.com/track/0pegFWSUOTiG0sLVEfxtvA,Bear Creek,https://open.spotify.com/album/5b8YTIrc88vdnfRguZqvVE,Brandi Carlile,https://open.spotify.com/artist/2sG4zTOLvjKG1PSoOyf5Ej,2019-08-27,214666,2023-05-23,,something
Heartbeats,https://open.spotify.com/track/5YqpHuXpFjDVZ7tY1ClFll,Veneer,https://open.spotify.com/album/2e0BYdQ7VJlzSNHafdmfrl,José González,https://open.spotify.com/artist/6xrCU6zdcSTsG2hLrojpmI,2019-08-27,161680,2023-05-23,,something
I Just Called To Say I Love You,https://open.spotify.com/track/6RNDeRnWsRMjPdNVgupZCs,At The Close Of A Century,https://open.spotify.com/album/04giHQ9zptJUHUvtIyxL9Z,Stevie Wonder,https://open.spotify.com/artist/7guDJrEfX3qb6FEbdPA5qi,2019-08-27,262240,2023-05-23,,something
Make Out,https://open.spotify.com/track/7sDNOhZKTb7RBDm3udUGDo,Some Feelings,https://open.spotify.com/album/5Zz0yKTZUvmllqnZaF6JN4,Julia Nunes,https://open.spotify.com/artist/5KxxHTQit8vvtn3JFyw3MH,2019-08-27,169413,2023-05-23,,something
My Manic And I,https://open.spotify.com/track/5hi7EEjisnPSL5C284bhSC,Alas I Cannot Swim,https://open.spotify.com/album/6C5vaAEWNO1ayXvYwv45Q2,Laura Marling,https://open.spotify.com/artist/7B2edU3Q7btJoNsoHCNohM,2019-08-27,236173,2023-05-23,,something
Out of My League,https://open.spotify.com/track/2AYEOC02WLhUiOoaig2SEH,More Than Just a Dream (Deluxe Edition),https://open.spotify.com/album/3IWUFJCM3CvCCQIHQ4vtRK,Fitz and The Tantrums,https://open.spotify.com/artist/4AcHt3JxKy59IX7JNNlZn4,2019-08-27,209386,2023-05-23,,something
Send Me The Moon,https://open.spotify.com/track/2xNCvvLwHconIojhe57JEv,Kaleidoscope EP,https://open.spotify.com/album/5LWxBc1nda26oJOccMZuWf,Sara Bareilles,https://open.spotify.com/artist/2Sqr0DXoaYABbjBo9HaMkM,2019-08-27,297746,2023-05-23,,something
So Nice So Smart,https://open.spotify.com/track/3Ene7WzqEOnUYnZB5XLWub,Knock-Knock Who?,https://open.spotify.com/album/1IlDuytias5bDiI3qP4tLe,Kimya Dawson,https://open.spotify.com/artist/5PPCkoOKabpGGhqrUwSikz,2019-08-27,165746,2023-05-23,,something
Still into You,https://open.spotify.com/track/1yjY7rpaAQvKwpdUliHx0d,Paramore,https://open.spotify.com/album/4sgYpkIASM1jVlNC8Wp9oF,Paramore,https://open.spotify.com/artist/74XFHRwlV6OrjEM0A2NCMF,2019-08-27,216013,2023-05-23,,something
Talk Too Much,https://open.spotify.com/track/4djIFfof5TpbSGRZUpsTXq,How Will You Know If You Never Try,https://open.spotify.com/album/4TJUrdwbeKC9qcouPlBuLe,COIN,https://open.spotify.com/artist/0ZxZlO7oWCSYMXhehpyMvE,2019-08-27,187133,2023-05-23,,something
The Gardener,https://open.spotify.com/track/6oI3Inlpzlik5e7cy4Sdi8,Shallow Grave,https://open.spotify.com/album/6CwaEwoWhkrNTUk8t5OxBg,The Tallest Man On Earth,https://open.spotify.com/artist/2BpAc5eK7Rz5GAwSp9UYXa,2019-08-27,237000,2023-05-23,,something
The Way You Look Tonight,https://open.spotify.com/track/0elmUoU7eMPwZX1Mw1MnQo,"Days Of Wine And Roses, Moon River And Other Academy Award Winners",https://open.spotify.com/album/7FAo3wmrJNNzz2W5Z5ZG80,Frank Sinatra,https://open.spotify.com/artist/1Mxqyy3pSjf8kZZL4QVxS0,2019-08-27,202160,2023-05-23,,something
To Noise Making (Sing),https://open.spotify.com/track/5in02YJDTkdfKDQjfsvxYp,"Wasteland, Baby!",https://open.spotify.com/album/2c7gFThUYyo2t6ogAgIYNw,Hozier,https://open.spotify.com/artist/2FXC3k01G6Gw61bmprjgqS,2019-08-27,206920,2023-05-23,,something
Tongue Tied,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N,Never Trust a Happy Song,https://open.spotify.com/album/3oylWMc9TTC6Nx4I6U3axc,GROUPLOVE,https://open.spotify.com/artist/3kVUvbeRdcrqQ3oHk5hPdx,2019-08-27,218013,2023-05-23,,something
Warmth,https://open.spotify.com/track/4hVJIlulH29qKVYGCT6cky,Wild World (Complete Edition),https://open.spotify.com/album/1qKjUIVG8KmtYceDBWjfqE,Bastille,https://open.spotify.com/artist/7EQ0qTo7fWT7DPxmxtSYEc,2019-08-27,229627,2023-05-23,,something
Wish You Were Here,https://open.spotify.com/track/6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,https://open.spotify.com/album/0bCAjiUamIFqKJsekOYuRw,Pink Floyd,https://open.spotify.com/artist/0k17h0D3J5VfsdmQ1iZtE9,2019-08-27,334743,2023-05-23,,something
