track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Baby Now That I've Found You,https://open.spotify.com/track/3xlce1B9Xk9YYqOw6xlhta,Top hits of the 60's,https://open.spotify.com/album/26bLhPBceS5YmfajxAVrft,The Foundations,https://open.spotify.com/artist/4GITZM5LCR2KcdlgEOrNLD,2013-07-02,188146,2021-12-21,,Top Picks Decades
Black Velvet,https://open.spotify.com/track/2yw8qcJ9HTrOiN2HUQFDLa,Billboard: #1 Hits Of The 90's,https://open.spotify.com/album/3UTqjsuiNuQ9uxxXyS8qa1,Alannah Myles,https://open.spotify.com/artist/6IYnSXO40Bh7Zdqhf6rQoj,2013-07-02,289560,2021-12-21,,Top Picks Decades
Bridge over Troubled Water,https://open.spotify.com/track/5LFtkeNjLpZAey3Arj3h4M,Greatest Hits,https://open.spotify.com/album/25irJgxRNTlyg8pUmWfDVG,Simon & Garfunkel,https://open.spotify.com/artist/70cRZdQywnSFp9pnc2WTCE,2013-07-02,293120,2021-12-21,,Top Picks Decades
Don't Stop Believin',https://open.spotify.com/track/77NNZQSqzLNqh2A9JhLRkg,The Essential Journey,https://open.spotify.com/album/5pfpXvoJtSIFrbPIoBEv3R,Journey,https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt,2013-07-02,248906,2021-12-21,,Top Picks Decades
Gangsta's Paradise (feat. L.V.),https://open.spotify.com/track/3u9fHuAtjMY1RW2mZfO4Cf,Gangsta's Paradise,https://open.spotify.com/album/3gj5MfnW3Oud8Ji1n7Tops,"Coolio, L.V.","https://open.spotify.com/artist/3y24n3XhZ96wgwRXjvS17T, https://open.spotify.com/artist/2LhsePRtgCo4THVKULQBL7",2013-07-02,241933,2021-12-21,,Top Picks Decades
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],https://open.spotify.com/track/2Foc5Q5nqNiosCNqttzHof,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],https://open.spotify.com/album/2ePFIvZKMe8zefATp9ofFA,"Pharrell Williams, Nile Rodgers, Thomas Bangalter, Guy-Manuel de Homem-Christo, Daft Punk","https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8, https://open.spotify.com/artist/3yDIp0kaq9EFKe07X1X2rz, https://open.spotify.com/artist/41vv2Tj1knysv6MuFUmdwi, https://open.spotify.com/artist/2NvZ35VexRu6LmfVlArMPq, https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi",2013-07-02,248413,2021-12-21,,Top Picks Decades
I Ran (So Far Away),https://open.spotify.com/track/2ASXXba2oQOxNGi0ttXSxY,I Ran (So Far Away),https://open.spotify.com/album/3FYa8M3NOg51NSEno9n58C,A Flock of Seagulls - Tribute,https://open.spotify.com/artist/6HWofG2fPm6EwBarXJHejT,2013-07-02,314640,2021-12-21,,Top Picks Decades
I'm into Something Good (Rerecorded Version),https://open.spotify.com/track/3W2w8oCiXGrHFHDFYahvAM,Top hits of the 60's,https://open.spotify.com/album/26bLhPBceS5YmfajxAVrft,Herman's Hermits,https://open.spotify.com/artist/48YxSlb23RAaCd4RyHcV9V,2013-07-02,154546,2021-12-21,,Top Picks Decades
In Da Club,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC,Get Rich Or Die Tryin',https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,2013-07-02,193466,2021-12-21,,Top Picks Decades
Love Me Tender,https://open.spotify.com/track/6dQCoiKBsswvY6uojb17xU,Top 10 Hits Of The 50s - 50 Original Hits,https://open.spotify.com/album/1LuX7NnQ9BJMz8h1PZwhCo,Elvis Presley,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,2013-07-02,164106,2021-12-21,,Top Picks Decades
Mr Sandman,https://open.spotify.com/track/1dMsoOPtKoYuiPAFZNNGfL,Top 10 Hits Of The 50s - 50 Original Hits,https://open.spotify.com/album/1LuX7NnQ9BJMz8h1PZwhCo,The Chordettes,https://open.spotify.com/artist/62GnBjssWSXBlKvQohT2Bk,2013-07-02,146293,2021-12-21,,Top Picks Decades
Night Fever - 2009 Remastered Version,https://open.spotify.com/track/0ZFJpY6hELA21Y5d5YmdlR,The Ultimate Bee Gees,https://open.spotify.com/album/3JXTUy5Ccdpe79HUgUiMF9,Bee Gees,https://open.spotify.com/artist/1LZEQNv7sE11VDY3SdxQeN,2013-07-02,212266,2021-12-21,,Top Picks Decades
Philadelphia Freedom,https://open.spotify.com/track/3KFSoXU5dom16qdvKEAMsx,The Greatest Hits 1970-2002,https://open.spotify.com/album/6CPTYd8BQRbF6VzhnTWIfL,Elton John,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b,2013-07-02,322066,2021-12-21,,Top Picks Decades
Poker Face,https://open.spotify.com/track/2VRGC9H1a4TBaC22HIZ8Mv,The Fame Monster (UK Deluxe),https://open.spotify.com/album/1X9AFMWRGElyFpySNcyI4x,Lady Gaga,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,2013-07-02,237200,2021-12-21,,Top Picks Decades
Rock Around The Clock,https://open.spotify.com/track/6eZ4AQ3S8caRHrfE3mWaRe,The Best Of Rock,https://open.spotify.com/album/5VtMEvBaxGv1pGTgV1Ujlg,Bill Haley & His Comets,https://open.spotify.com/artist/3MFp4cYuYtTZe3d3xkLLbr,2013-07-02,132133,2021-12-21,,Top Picks Decades
Rolling In The Deep,https://open.spotify.com/track/7h8Ud480Fm4ReUVxgFF9ZX,Rolling In The Deep,https://open.spotify.com/album/3ng0Nr1GuIqsp4oEzyMHVm,Adele,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,2013-07-02,228293,2021-12-21,,Top Picks Decades
U Can't Touch This,https://open.spotify.com/track/1B75hgRqe7A4fwee3g3Wmu,Please Hammer Don't Hurt 'Em,https://open.spotify.com/album/4r1WecJyt5FOhglysp9zhN,MC Hammer,https://open.spotify.com/artist/2rblp9fJo16ZPTcKDtlmKW,2013-07-02,257359,2021-12-21,,Top Picks Decades
Wake Me Up Before You Go-Go,https://open.spotify.com/track/5l1RLE94Y7nrowPN5LvAci,If You Were There/The Best Of Wham,https://open.spotify.com/album/4uYfJ9jRqlNcYG090YHoR7,Wham!,https://open.spotify.com/artist/5lpH0xAS4fVfLkACg9DAuM,2013-07-02,231440,2021-12-21,,Top Picks Decades
We Own It (Fast & Furious),https://open.spotify.com/track/00QyLmjxaSEE8qIZQjBXBj,Fast & Furious 6,https://open.spotify.com/album/1jg2UPoSAr7CDPsEXcabo1,"2 Chainz, Wiz Khalifa","https://open.spotify.com/artist/17lzZA2AlOHwCwFALHttmp, https://open.spotify.com/artist/137W8MRPWKqSmrBGDBFSop",2013-07-02,227893,2021-12-21,,Top Picks Decades
Wooly Bully,https://open.spotify.com/track/1HAm0Y47BgSjA4NPPlEBFd,Best Of The 60s & 70s - Volume 1,https://open.spotify.com/album/0maoJgAwuENxInzoT3udwf,Sam The Sham & The Pharaohs,https://open.spotify.com/artist/05sRO4JdAtJGyZQOTb6kSL,2013-07-02,142346,2021-12-21,,Top Picks Decades
