track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Change is Gonna Come,https://open.spotify.com/track/5ktplAwYsvhS42VqFlXmoH,Learning To Bend,https://open.spotify.com/album/2Knko9tmHYOxzTu2Sri5vU,Ben Sollee,https://open.spotify.com/artist/3Zzs4IqjV4b0yEFWqRv1si,2015-03-06,217253,2021-12-21,Songs with some serious violin and cello action.,Indie Strings
Baba O'Riley,https://open.spotify.com/track/66MTlHwUl24CzwRnx8nh7S,Thirty Years Of Maximum R&B,https://open.spotify.com/album/3D5xXMfh66QokKk4uZaiOU,The Who,https://open.spotify.com/artist/67ea9eGLXYMsO2eYQRui3w,2015-03-06,297000,2021-12-21,Songs with some serious violin and cello action.,Indie Strings
Bitter Sweet Symphony,https://open.spotify.com/track/1WYEDcS7WGjv0rG7rmMX3o,This Is Music: The Singles 92-98,https://open.spotify.com/album/0pygZ3lfsCkG1WmnWWq6a1,The Verve,https://open.spotify.com/artist/2cGwlqi3k18jFpUyTrsR84,2015-03-06,359546,2021-12-21,Songs with some serious violin and cello action.,Indie Strings
Blackout,https://open.spotify.com/track/2nTgdpxwpXTk5x1c9yaO3W,Absolution,https://open.spotify.com/album/0HcHPBu9aaF1MxOiZmUQTl,Muse,https://open.spotify.com/artist/12Chz98pHFMPJEknJQMWvI,2015-03-06,262200,2021-12-21,Songs with some serious violin and cello action.,Indie Strings
Breathe Me,https://open.spotify.com/track/6hrgeEo1WQOHVeF8QMv68S,Colour The Small One,https://open.spotify.com/album/6uVUKJgirfLpW20hCk9cwb,Sia,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN,2015-03-06,274933,2021-12-21,Songs with some serious violin and cello action.,Indie Strings
Cloudbusting,https://open.spotify.com/track/5atQ2haKP5LT65WM0KUts3,Hounds Of Love,https://open.spotify.com/album/5BWl0bB1q0TqyFmkBEupZy,Kate Bush,https://open.spotify.com/artist/1aSxMhuvixZ8h9dK9jIDwL,2015-03-06,310160,2021-12-21,Songs with some serious violin and cello action.,Indie Strings
Eleanor Rigby,https://open.spotify.com/track/0ytDExf5mIdlwLp40noSJ6,Back In The World,https://open.spotify.com/album/2rrxATdBTvNt2i9lJo68qU,Paul McCartney,https://open.spotify.com/artist/4STHEaNw4mPZ2tzheohgXB,2015-03-06,137493,2021-12-21,Songs with some serious violin and cello action.,Indie Strings
Empty Room,https://open.spotify.com/track/44o54N8hO71lPK8vUYsCMQ,The Suburbs Deluxe,https://open.spotify.com/album/76Rnn8D33IjnJxv4hQdmRX,Arcade Fire,https://open.spotify.com/artist/3kjuyTCjPG1WMFCiyc5IuB,2015-03-06,171533,2021-12-21,Songs with some serious violin and cello action.,Indie Strings
Everybody's Gone to War - Live,https://open.spotify.com/track/39th0VayH8fmnAoZjEXFRx,Live from the Union Chapel,https://open.spotify.com/album/2eBlvm7o5iDWxFcWwTgCG7,Nerina Pallot,https://open.spotify.com/artist/4aFx7q4WkiTWPLJNW5mkKK,2015-03-06,237693,2021-12-21,Songs with some serious violin and cello action.,Indie Strings
Fairytale,https://open.spotify.com/track/37lYrZzmbRiEySPGkiGjXA,Fairytale,https://open.spotify.com/album/4SpIN9uoCm4Hx66iOhP3Vg,Alexander Rybak,https://open.spotify.com/artist/3LLNDXrxL4uxXtnUJS5XWM,2015-03-06,182600,2021-12-21,Songs with some serious violin and cello action.,Indie Strings
