track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
24K Magic,https://open.spotify.com/track/2gFvRmQiWg9fN9i74Q0aiw,24K Magic,https://open.spotify.com/album/5EA4kogB3cZr2qykFlZDYV,Bruno Mars,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C,2016-11-16,225983,2021-12-21,"The American Music Awards is the world’s biggest fan-voted award show. This year, hosts Gigi Hadid and Jay Pharoah will share the stage with performers Bruno Mars, Twenty One Pilots, The Chainsmokers, and many more.",The 2016 AMAs
A-YO,https://open.spotify.com/track/6Az2Ll2CPnWYQ2BgiHf4Di,Joanne (Deluxe),https://open.spotify.com/album/2ZUwFxlWo0gwTsvZ6L4Meh,Lady Gaga,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,2016-11-16,207720,2021-12-21,"The American Music Awards is the world’s biggest fan-voted award show. This year, hosts Gigi Hadid and Jay Pharoah will share the stage with performers Bruno Mars, Twenty One Pilots, The Chainsmokers, and many more.",The 2016 AMAs
All We Know,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,All We Know,https://open.spotify.com/album/0xmaV6EtJ4M3ebZUPRnhyb,"The Chainsmokers, Phoebe Ryan","https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp, https://open.spotify.com/artist/4N874uPqBka1QiCvnCVOtr",2016-11-16,194080,2021-12-21,"The American Music Awards is the world’s biggest fan-voted award show. This year, hosts Gigi Hadid and Jay Pharoah will share the stage with performers Bruno Mars, Twenty One Pilots, The Chainsmokers, and many more.",The 2016 AMAs
Bang Bang,https://open.spotify.com/track/0Z2wvNROelCrTqUM28RLYt,Bang Bang,https://open.spotify.com/album/2OtrW7q4kpPy7d3zPDeQqg,Green Day,https://open.spotify.com/artist/7oPftvlwr6VrsViSDV7fJY,2016-11-16,205440,2021-12-21,"The American Music Awards is the world’s biggest fan-voted award show. This year, hosts Gigi Hadid and Jay Pharoah will share the stage with performers Bruno Mars, Twenty One Pilots, The Chainsmokers, and many more.",The 2016 AMAs
Body Moves,https://open.spotify.com/track/1WPZCd9STg1gc7he2oXBbh,Body Moves,https://open.spotify.com/album/6STAMvByQqRZ72xjTua2MZ,DNCE,https://open.spotify.com/artist/6T5tfhQCknKG4UnH90qGnz,2016-11-16,236453,2021-12-21,"The American Music Awards is the world’s biggest fan-voted award show. This year, hosts Gigi Hadid and Jay Pharoah will share the stage with performers Bruno Mars, Twenty One Pilots, The Chainsmokers, and many more.",The 2016 AMAs
Closer,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,Closer,https://open.spotify.com/album/0rSLgV8p5FzfnqlEk4GzxE,"The Chainsmokers, Halsey","https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp, https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2",2016-11-16,244960,2021-12-21,"The American Music Awards is the world’s biggest fan-voted award show. This year, hosts Gigi Hadid and Jay Pharoah will share the stage with performers Bruno Mars, Twenty One Pilots, The Chainsmokers, and many more.",The 2016 AMAs
"Do You Mind (feat. Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross)",https://open.spotify.com/track/4VJ7mnW4wjjIgPBM6KWvPu,Major Key,https://open.spotify.com/album/5qHyKDjwycRj1fJyPLt2HQ,"DJ Khaled, Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future, Rick Ross","https://open.spotify.com/artist/0QHgL1lAIqAw0HtD7YldmP, https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh, https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z, https://open.spotify.com/artist/19Fi1Rj7kk8kyiwxpXy3yM, https://open.spotify.com/artist/3KV3p5EY4AvKxOlhGHORLg, https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i, https://open.spotify.com/artist/1sBkRIssrMs1AbVkOJbc7a",2016-11-16,325614,2021-12-21,"The American Music Awards is the world’s biggest fan-voted award show. This year, hosts Gigi Hadid and Jay Pharoah will share the stage with performers Bruno Mars, Twenty One Pilots, The Chainsmokers, and many more.",The 2016 AMAs
Don't Let Me Down,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,https://open.spotify.com/album/2SByipSK8eZ2pasaIwwzhf,"The Chainsmokers, Daya","https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp, https://open.spotify.com/artist/6Dd3NScHWwnW6obMFbl1BH",2016-11-17,208373,2021-12-21,"The American Music Awards is the world’s biggest fan-voted award show. This year, hosts Gigi Hadid and Jay Pharoah will share the stage with performers Bruno Mars, Twenty One Pilots, The Chainsmokers, and many more.",The 2016 AMAs
Don't Wanna Know,https://open.spotify.com/track/0AKejOKlGdiB53QpwAeenO,Don't Wanna Know,https://open.spotify.com/album/6wALaPGffjfxQnGQUAk7kX,"Maroon 5, Kendrick Lamar","https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP, https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg",2016-11-16,214480,2021-12-21,"The American Music Awards is the world’s biggest fan-voted award show. This year, hosts Gigi Hadid and Jay Pharoah will share the stage with performers Bruno Mars, Twenty One Pilots, The Chainsmokers, and many more.",The 2016 AMAs
Every Breath You Take - Remastered 2003,https://open.spotify.com/track/2sXp9Qmvc7mRaDBjBgcGGi,Synchronicity,https://open.spotify.com/album/7yDxJXFPl88Dt9kBo0dDD6,The Police,https://open.spotify.com/artist/5NGO30tJxFlKixkPSgXcFE,2016-11-16,253886,2021-12-21,"The American Music Awards is the world’s biggest fan-voted award show. This year, hosts Gigi Hadid and Jay Pharoah will share the stage with performers Bruno Mars, Twenty One Pilots, The Chainsmokers, and many more.",The 2016 AMAs
False Alarm,https://open.spotify.com/track/6zeGrGo9LKCSVl1xeKv1ar,False Alarm,https://open.spotify.com/album/0tedXN4kQ3Ky9t2gL2RQbX,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,2016-11-17,231000,2021-12-21,"The American Music Awards is the world’s biggest fan-voted award show. This year, hosts Gigi Hadid and Jay Pharoah will share the stage with performers Bruno Mars, Twenty One Pilots, The Chainsmokers, and many more.",The 2016 AMAs
Heathens,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,Heathens,https://open.spotify.com/album/3J8W9AOjQhnBLCX33m3atT,Twenty One Pilots,https://open.spotify.com/artist/3YQKmKGau1PzlVlkL1iodx,2016-11-16,195920,2021-12-21,"The American Music Awards is the world’s biggest fan-voted award show. This year, hosts Gigi Hadid and Jay Pharoah will share the stage with performers Bruno Mars, Twenty One Pilots, The Chainsmokers, and many more.",The 2016 AMAs
