track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Blossom,https://open.spotify.com/track/5sD7vZp2okvrN8lZsxZKzK,Blossom,https://open.spotify.com/album/73UVsoOuj1mxGQkTRicqOd,imie,https://open.spotify.com/artist/6rSwyi7JxgruDv7qBcHupi,2021-04-23,422086,2023-12-06,KARENTレーベルで配信中の楽曲の中から、春に聴きたいボカロ楽曲を選曲。,KARENTセレクション Spring Songs
DYE/SAKURA,https://open.spotify.com/track/0kTHzMyzOGte4tMLQi2q2h,DYE/SAKURA,https://open.spotify.com/album/1Ho9KO3wsVOMxPzLmVvWUk,AVTechNO!,https://open.spotify.com/artist/1PrvATVHvyjUWycqKLmBCk,2021-04-23,282352,2023-12-06,KARENTレーベルで配信中の楽曲の中から、春に聴きたいボカロ楽曲を選曲。,KARENTセレクション Spring Songs
Particles,https://open.spotify.com/track/2mId37KT7UerPaMxoW3qTA,Particles,https://open.spotify.com/album/7GOOGqh4XkqGbEjRbQWEDJ,CielP,https://open.spotify.com/artist/3RoTy575y9jJA8dI7kX2KL,2021-04-23,287000,2023-12-06,KARENTレーベルで配信中の楽曲の中から、春に聴きたいボカロ楽曲を選曲。,KARENTセレクション Spring Songs
saku*life,https://open.spotify.com/track/6IQCn4upQIRXfrd9uJ3sJv,saku*life,https://open.spotify.com/album/71JQxRRjQgJsrmIFyNy7w6,Keisei,https://open.spotify.com/artist/5JOJrvwdkfWN8z4JR1xsXU,2021-04-23,300113,2023-12-06,KARENTレーベルで配信中の楽曲の中から、春に聴きたいボカロ楽曲を選曲。,KARENTセレクション Spring Songs
さくらことのは,https://open.spotify.com/track/1SfDs9nWVSdSuMwGXyXf2F,さくらことのは,https://open.spotify.com/album/7DByGhKMYJpMECx5bPf1Rg,Maya,https://open.spotify.com/artist/5wexzX1W2zWN2fZ1iXhxSl,2021-04-23,240000,2023-12-06,KARENTレーベルで配信中の楽曲の中から、春に聴きたいボカロ楽曲を選曲。,KARENTセレクション Spring Songs
さくらだより,https://open.spotify.com/track/1ame8VfbOKxwqsCsaQzISp,さくらだより,https://open.spotify.com/album/6llPt8frd2nMqzX5ROAf1I,Clean Tears,https://open.spotify.com/artist/7ib7T2bGDFIVqMQGw8rjt4,2021-04-23,391029,2023-12-06,KARENTレーベルで配信中の楽曲の中から、春に聴きたいボカロ楽曲を選曲。,KARENTセレクション Spring Songs
たしかな春だった (feat. 鏡音リン),https://open.spotify.com/track/7Ac0ocADt0KtEjpPm4qnUd,たしかな春だった,https://open.spotify.com/album/35i2s1kzoHa7FujyendS4D,"ごめんなさいが言えなくて, 鏡音リン","https://open.spotify.com/artist/3L0Tv3JqnHftZVEAq2P3xv, https://open.spotify.com/artist/50sbi4xBlZS6PS1ggRjAZf",2023-04-20,219600,2023-12-06,KARENTレーベルで配信中の楽曲の中から、春に聴きたいボカロ楽曲を選曲。,KARENTセレクション Spring Songs
はなびら,https://open.spotify.com/track/1aJ3hCtn0Roj8874mSiybc,はなびら,https://open.spotify.com/album/1FyITSLzPHKQJaih9bAQEe,あ子,https://open.spotify.com/artist/0dRTohab8XeVhAB7Xb0mPK,2021-04-23,249600,2023-12-06,KARENTレーベルで配信中の楽曲の中から、春に聴きたいボカロ楽曲を選曲。,KARENTセレクション Spring Songs
みちゆきの花,https://open.spotify.com/track/5XDvn1tCt9Lcjnr1SzzQFf,みちゆきの花,https://open.spotify.com/album/6Yld2QYJy3d7Z0mASfW7kC,wotaku,https://open.spotify.com/artist/0685luDRQZRkN4JnhnRSKX,2021-04-23,218117,2023-12-06,KARENTレーベルで配信中の楽曲の中から、春に聴きたいボカロ楽曲を選曲。,KARENTセレクション Spring Songs
クラインの窓,https://open.spotify.com/track/20uKcnp8GjOxSkADEeqbdF,クラインの窓,https://open.spotify.com/album/74a6u5DTQnKcLxLSxGbqPS,たかぴぃ,https://open.spotify.com/artist/10JYeaYHS7K34njKOD8Baa,2021-04-23,194773,2023-12-06,KARENTレーベルで配信中の楽曲の中から、春に聴きたいボカロ楽曲を選曲。,KARENTセレクション Spring Songs
