track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"2econd 2ight 2eer (that was fun, goodbye.)",https://open.spotify.com/track/4jd13hFvWAZKZpomQleZ8L,The Normal Album,https://open.spotify.com/album/3e4el0X3Rqx0Lms74bUrkJ,Will Wood,https://open.spotify.com/artist/1VQ8riQ31zVHtlxiCC9EZE,2022-09-05,206500,2022-09-05,,Grindstone Mix v2
a letter from a notable source,https://open.spotify.com/track/4yRvu06wfiQLznWImi5omX,a letter from a notable source,https://open.spotify.com/album/2W5X6xZBjgWHDMAVTZfnSX,Beetlebug,https://open.spotify.com/artist/1VT3v8pPYq1Y8yeVxRKAyM,2022-09-09,186252,2022-09-05,,Grindstone Mix v2
"Avocado, Baby",https://open.spotify.com/track/6zcUwPk6JqBjntBY7sAAF9,No Blues,https://open.spotify.com/album/0Gl5s4REVZwJ74WEZmh7Lp,Los Campesinos!,https://open.spotify.com/artist/6FlOCziOXI157pvUREAh3E,2022-10-03,276201,2022-09-05,,Grindstone Mix v2
Banana Pancakes,https://open.spotify.com/track/451GvHwY99NKV4zdKPRWmv,In Between Dreams,https://open.spotify.com/album/7tTc46dNdE6GGuiQsssWxo,Jack Johnson,https://open.spotify.com/artist/3GBPw9NK25X1Wt2OUvOwY3,2022-09-09,191906,2022-09-05,,Grindstone Mix v2
Bones,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G,Bones,https://open.spotify.com/album/1Q9SnHWPNEjVM0LrBFvJ1q,Imagine Dragons,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q,2022-09-09,165264,2022-09-05,,Grindstone Mix v2
Cocoa Hooves,https://open.spotify.com/track/4Qw1VBxYRX2ieU9CADu8Co,ZABA,https://open.spotify.com/album/14IOe7ahxQPTwUYUQX3IFi,Glass Animals,https://open.spotify.com/artist/4yvcSjfu4PC0CYQyLy4wSq,2022-09-09,271906,2022-09-05,,Grindstone Mix v2
Concrete,https://open.spotify.com/track/1ESrGv8T855RXBQonIuL4l,Pebble Brain,https://open.spotify.com/album/2d2QJv4OPOLS80tXaTCDsB,Lovejoy,https://open.spotify.com/artist/33tFkBLsl6f8TjKkV0uF0C,2022-09-09,196280,2022-09-05,,Grindstone Mix v2
Curses,https://open.spotify.com/track/7wjmdC4OL3l1nh9zQwCpv8,Foxlore,https://open.spotify.com/album/6LIPwQk1AIfvrpnZ1XF7mi,The Crane Wives,https://open.spotify.com/artist/5U6leWxYKsuTkd4kXcF1a6,2022-09-05,228853,2022-09-05,,Grindstone Mix v2
Dandelions,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV,Safe Haven,https://open.spotify.com/album/6FgtuX3PtiB5civjHYhc52,Ruth B.,https://open.spotify.com/artist/2WzaAvm2bBCf4pEhyuDgCY,2022-09-09,233720,2022-09-05,,Grindstone Mix v2
Dark Necessities,https://open.spotify.com/track/2oaK4JLVnmRGIO9ytBE1bt,The Getaway,https://open.spotify.com/album/43otFXrY0bgaq5fB3GrZj6,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,2022-09-09,302000,2022-09-05,,Grindstone Mix v2
Dear Wormwood,https://open.spotify.com/track/5QK2qYLoYyE0v45cbtBWEe,Dear Wormwood,https://open.spotify.com/album/6wYIs564dOi2lOT9bGYPLK,The Oh Hellos,https://open.spotify.com/artist/3Fe3pszR2t4TOBVz41B1WR,2022-09-09,316071,2022-09-05,,Grindstone Mix v2
Do You Wonder,https://open.spotify.com/track/6ZmI0Joq5BJB5jLAnNSmVO,Summer Is Like a Dream,https://open.spotify.com/album/1G3b6b8cpsmT4JRQCz49md,khai dreams,https://open.spotify.com/artist/0lawSNBxNgJFQYJnQzLH8c,2022-09-09,147428,2022-09-05,,Grindstone Mix v2
edge of the world,https://open.spotify.com/track/2jd0X87fTd5947SPnsQNmp,edge of the world,https://open.spotify.com/album/0KkYum5QVAfS5FdX8t9gpp,Beetlebug,https://open.spotify.com/artist/1VT3v8pPYq1Y8yeVxRKAyM,2022-09-09,285324,2022-09-05,,Grindstone Mix v2
Eulogy,https://open.spotify.com/track/2E6GpcwpDgcDmxbULX7Hvv,7Chariot,https://open.spotify.com/album/7602GEA5F0z7pP52C32Gmy,7Chariot,https://open.spotify.com/artist/4V3hylv1eMCEVAHtWjsQ8S,2022-09-09,195625,2022-09-05,,Grindstone Mix v2
Fireflies,https://open.spotify.com/track/3DamFFqW32WihKkTVlwTYQ,Ocean Eyes,https://open.spotify.com/album/3vf65wfk1EEjVhy6BjENsS,Owl City,https://open.spotify.com/artist/07QEuhtrNmmZ0zEcqE9SF6,2022-09-09,228346,2022-09-05,,Grindstone Mix v2
For the Damaged Coda,https://open.spotify.com/track/7jA5OcunWRSYXq98puhAX8,Melody of Certain Damaged Lemons,https://open.spotify.com/album/5ozMQsDFl6QNqB2bGiMuHU,Blonde Redhead,https://open.spotify.com/artist/5isqImG0rLfAgBJSPMEVXF,2022-09-09,157000,2022-09-05,,Grindstone Mix v2
Funktionality,https://open.spotify.com/track/2CCzZYCwAJ8l147yQRNMC6,Dr Hypenstein,https://open.spotify.com/album/1YVisujm1TssXD7TZCTT0P,Redtenbacher's Funkestra,https://open.spotify.com/artist/1oYScdotTIXO74h10l8ISA,2022-09-09,187276,2022-09-05,,Grindstone Mix v2
Grow,https://open.spotify.com/track/2UO2S9bgunVWC44lCYqEk8,Eurus,https://open.spotify.com/album/3yvSrU3Kb4JVfQJxCPmJAx,The Oh Hellos,https://open.spotify.com/artist/3Fe3pszR2t4TOBVz41B1WR,2022-09-09,213800,2022-09-05,,Grindstone Mix v2
Heartbreaker,https://open.spotify.com/track/1ZOwOxMVO2dxa6haZDzu1p,Sugar Deluxe,https://open.spotify.com/album/0d4QlG5X8GmGDOr6w3pkxW,The Orion Experience,https://open.spotify.com/artist/2qU0jqxiFeXrw5NTV1bIQM,2022-09-05,183954,2022-09-05,,Grindstone Mix v2
Hey Ya,https://open.spotify.com/track/6LfGZ9i7ocRJtffuG2um26,Hey Ya,https://open.spotify.com/album/2ZVs3U1kqnTfMcInPq7U3m,Avriel & the Sequoias,https://open.spotify.com/artist/1IzY8IYs4IsfJJnPHYPEjq,2022-09-05,255615,2022-09-05,,Grindstone Mix v2
Holemabier,https://open.spotify.com/track/2lubQdEEHxE6EP29fiFQcd,Finch In The Pantry,https://open.spotify.com/album/3GNgRPzfWWQ6UAkcYzTTvg,The Arcadian Wild,https://open.spotify.com/artist/4tHZV2ZowPkzOvX4eG1inY,2022-09-09,200958,2022-09-05,,Grindstone Mix v2
It Will Come Back,https://open.spotify.com/track/13CyXxYgWD9N5KwWqRYU1U,Hozier,https://open.spotify.com/album/04E0aLUdCHnhnnYrDDvcHq,Hozier,https://open.spotify.com/artist/2FXC3k01G6Gw61bmprjgqS,2022-09-09,277653,2022-09-05,,Grindstone Mix v2
It’s All So Incredibly Loud,https://open.spotify.com/track/7jbDqjzkpjfUytnqG6zxO3,Dreamland,https://open.spotify.com/album/5bfpRtBW7RNRdsm3tRyl3R,Glass Animals,https://open.spotify.com/artist/4yvcSjfu4PC0CYQyLy4wSq,2022-09-09,259060,2022-09-05,,Grindstone Mix v2
Kahlil Gibran,https://open.spotify.com/track/0PldjOTKRt45S9MrLnlwVM,Miracle Mile,https://open.spotify.com/album/5S4tasGYxpQuSEWLYvgyQp,STRFKR,https://open.spotify.com/artist/2Tz1DTzVJ5Gyh8ZwVr6ekU,2022-09-09,241413,2022-09-05,,Grindstone Mix v2
Locket,https://open.spotify.com/track/26AhgCPP2OKAnF4AyBf2Kg,Locket,https://open.spotify.com/album/7MTfe1MFeQcc6ENWOhwQlz,Crumb,https://open.spotify.com/artist/4kSGbjWGxTchKpIxXPJv0B,2022-09-09,318378,2022-09-05,,Grindstone Mix v2
Michelle,https://open.spotify.com/track/48rZVgAGm0OlbbxjikCpqm,Party Favors,https://open.spotify.com/album/5N9MQLXbiA8hYWsej7y8Sz,Sir Chloe,https://open.spotify.com/artist/6rniTPs9zN26kYnkPdFl1U,2022-09-05,214087,2022-09-05,,Grindstone Mix v2
MONTERO (Call Me By Your Name),https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),https://open.spotify.com/album/2Hjcfw8zHN4dJDZJGOzLd6,Lil Nas X,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq,2022-09-09,137875,2022-09-05,,Grindstone Mix v2
Never Love an Anchor,https://open.spotify.com/track/0RPD5sbsSLnKWYOJ5iPPMm,Coyote Stories,https://open.spotify.com/album/5J8ItxI5pye6qNYSyhBs4z,The Crane Wives,https://open.spotify.com/artist/5U6leWxYKsuTkd4kXcF1a6,2022-09-09,228173,2022-09-05,,Grindstone Mix v2
Nice Boys,https://open.spotify.com/track/6uuBSo3wXnosEWVXRzZDTf,Care,https://open.spotify.com/album/2oMgmFgwsFMrWJFL4WJ14G,TEMPOREX,https://open.spotify.com/artist/3BBCgZVbXFRzcnT1ewVfRt,2022-09-09,180800,2022-09-05,,Grindstone Mix v2
No Time to Explain,https://open.spotify.com/track/3LQY0O87BlaOKMp56ST4hC,No Time to Explain,https://open.spotify.com/album/5wqULj0mJVw6VDfpOXRMPS,Good Kid,https://open.spotify.com/artist/38SKxCyfrmNWqWunb9wGHP,2022-09-09,156122,2022-09-05,,Grindstone Mix v2
