track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
3 Days Sober,https://open.spotify.com/track/2TAugpQe6ZDChiYNEUzQcA,3 Days Sober,https://open.spotify.com/album/1TkrPcGZLCyzMcjIpiCUop,WSTR,https://open.spotify.com/artist/0ofhRkasSdhp6LUs7tFcF7,2023-02-20,177209,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
A Jacket for a Rainy Lady,https://open.spotify.com/track/5Os2QmYsWUQ09Ghy3XyB0o,The Besnard Lakes Are The Prayers For The Death of Fame,https://open.spotify.com/album/1mfEOofju8Dymca6A0nxhh,The Besnard Lakes,https://open.spotify.com/artist/2hMif9QK1Knz7gD5XIUsER,2022-07-25,288160,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
A Lesson In NFL Blitz,https://open.spotify.com/track/1FdIjsP65DYS1aaZuBnPdP,A Lesson In NFL Blitz,https://open.spotify.com/album/0nzpihrORkoPHA2PR8a2R3,Exit,https://open.spotify.com/artist/3jOKYfOuCZf19meuwqMUmj,2022-10-19,177861,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
A&W,https://open.spotify.com/track/1wTopxO5eQBpxrBXPSbsUn,A&W,https://open.spotify.com/album/46XKgCOOHTZkQTdiMsBxHS,Lana Del Rey,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,2023-02-20,433916,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Addison Rae,https://open.spotify.com/track/5G7JTfXmgI7BXiT8ijEhn7,Addison Rae,https://open.spotify.com/album/10guCRD4IIfIvmAt5ny4Km,Magnolia Park,https://open.spotify.com/artist/7B76SsfzG0wWk1WEvGzCmY,2022-10-19,199093,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
All These Nights,https://open.spotify.com/track/1VeAXUa20YkzfEi1Zk2y0o,All These Nights,https://open.spotify.com/album/2EvQd56xKYeoeGFDn8jQj6,Tom Grennan,https://open.spotify.com/artist/5SHxzwjek1Pipl1Yk11UHv,2022-07-25,154062,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Alone on a Hill,https://open.spotify.com/track/7CVDIj3ABUjoO0tXBnLQvu,Alone on a Hill,https://open.spotify.com/album/2Nbw615KaE3bFNfdvGfNR1,Silversun Pickups,https://open.spotify.com/artist/6qyi8X6MdP1lu6B1K6yh3h,2022-08-08,226345,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
American Hearts,https://open.spotify.com/track/7bqvEL0vK8rqTeBuvwJoYk,A Fine Hill To Die On,https://open.spotify.com/album/3lfQoTQpNhcDWYQPLpFX6Q,Sic Waiting,https://open.spotify.com/artist/3I5EVXRpU7uDxLZ2Gl4BKR,2022-12-14,115537,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Another Way of Living,https://open.spotify.com/track/4LRN6v0jSoHY4TJsDGO7RY,Another Way of Living - EP,https://open.spotify.com/album/5YsToGxsR2eIfRFvt06afc,The Belligerents,https://open.spotify.com/artist/79qKrqE9sS1CzPptl16pOT,2022-07-25,171384,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Are You Impressed?,https://open.spotify.com/track/26hI6Cea82njvwJfG6t3Jl,Are You Impressed?,https://open.spotify.com/album/00n4GIjQ2bZB9IteCDeIGU,Honey Revenge,https://open.spotify.com/artist/1DHMgO3IIYSYPJ6CFyDYnK,2023-02-20,187679,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
