track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Ain't Too Proud To Beg,https://open.spotify.com/track/4CoGNqLap7UGU5Q3VdKug0,Gettin' Ready (Expanded Edition),https://open.spotify.com/album/3RE8NUULcBzFvVtCmlI4lb,The Temptations,https://open.spotify.com/artist/3RwQ26hR2tJtA8F9p2n7jG,2019-06-18,156173,2023-05-23,,Hope
Amazing Grace,https://open.spotify.com/track/16xP3XJ4cnDcplpJnpYALK,President Obama Eulogizes Reverend Clementa Pinckney,https://open.spotify.com/album/5dhAIDs9tIo8achUNcaVvp,Spiritual Speeches,https://open.spotify.com/artist/7fLdgJsENQsua76RKMJqlg,2019-06-18,66912,2023-05-23,,Hope
Another Star,https://open.spotify.com/track/0XEbJGu1fYvY6JXSRQY08G,Songs In The Key Of Life,https://open.spotify.com/album/2HVx2tiZnLX8xeaUthed1e,Stevie Wonder,https://open.spotify.com/artist/7guDJrEfX3qb6FEbdPA5qi,2019-06-18,508226,2023-05-23,,Hope
APESHIT,https://open.spotify.com/track/62GXGpd73vslqIBHq8XqOx,EVERYTHING IS LOVE,https://open.spotify.com/album/7jbdod8XNRfe2nIhppht46,The Carters,https://open.spotify.com/artist/4fpTMHe34LC5t3h5ztK8qu,2019-06-18,264853,2023-05-23,,Hope
Born in the U.S.A.,https://open.spotify.com/track/0dOg1ySSI7NkpAe89Zo0b9,Born In The U.S.A.,https://open.spotify.com/album/0PMasrHdpaoIRuHuhHp72O,Bruce Springsteen,https://open.spotify.com/artist/3eqjTLE0HfPfh78zjh6TqT,2019-06-18,278680,2023-05-23,,Hope
Don't Owe You a Thang,https://open.spotify.com/track/4iu49FeQQGiUh2Dn1A8qCl,The Bright Lights EP,https://open.spotify.com/album/4KTVPkJdjNjQtP8J6S67sG,Gary Clark Jr.,https://open.spotify.com/artist/01aC2ikO4Xgb2LUpf9JfKp,2019-06-18,215866,2023-05-23,,Hope
Everyday America,https://open.spotify.com/track/6Rw1HYwfvcPOSEVjzwvM4U,Enjoy The Ride,https://open.spotify.com/album/5k5LGaHhnUadeu1IeyDdTa,Sugarland,https://open.spotify.com/artist/0hYxQe3AK5jBPCr5MumLHD,2019-06-18,232133,2023-05-23,,Hope
HUMBLE.,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,DAMN.,https://open.spotify.com/album/4eLPsYPBmXABThSJ821sqY,Kendrick Lamar,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,2019-06-18,177000,2023-05-23,,Hope
King for a Day,https://open.spotify.com/track/6QYYVuvynDJctOwwUTLfhX,Encore,https://open.spotify.com/album/6EIlfHDKZxmDMjcaRbFj8d,Anderson East,https://open.spotify.com/artist/5q6z6GTth6lMbL9I8CAgby,2019-06-18,224186,2023-05-23,,Hope
Man Like That,https://open.spotify.com/track/7KNIZlX0pBSBBrkI4d8AHB,Gravel & Wine,https://open.spotify.com/album/2HtT4gawEGgOvAPUO7tiU2,Gin Wigmore,https://open.spotify.com/artist/4Gzfk9Lxm67nBs7E9BZjzG,2019-06-18,170466,2023-05-23,,Hope
