track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
094,https://open.spotify.com/track/7v9aoBvujg2C7VanzsiAoY,094,https://open.spotify.com/album/6WR24Wjp6Bm3I7VAeAxgX1,JOXION,https://open.spotify.com/artist/4c0rN45hGTsmOVu0qg5x6U,2023-08-10,120227,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
2AM,https://open.spotify.com/track/62ch0zFhNQtPg1ssb790wy,2AM,https://open.spotify.com/album/6Ij6LtpYwsQq797uaF64dv,"Wyko, Siik, shi’tz","https://open.spotify.com/artist/01lJ7aW7Z1NAZxIPc50x7N, https://open.spotify.com/artist/3dWrzZ5NrBW1cRHeU15Yrf, https://open.spotify.com/artist/13UVzKhKe6jg2XtWlNh6uU",2023-03-21,141221,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
4 Love,https://open.spotify.com/track/77ZQty250PUGzm4NZYiO2Q,4 LOVE,https://open.spotify.com/album/2t6EAss7zjbFsn7F3xrNCe,"Wiguez, Alltair, P-One","https://open.spotify.com/artist/25waW5SfUCXqYCUeV8gvvU, https://open.spotify.com/artist/4gBQ6BSVo4NDxXohKHEQHY, https://open.spotify.com/artist/07rQW5tiQ8KWfhvtNckUpX",2023-02-14,183230,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
A Day at Sea,https://open.spotify.com/track/4cP4euPcXx5SMxp07GLWzn,A Day at Sea,https://open.spotify.com/album/3Kpk3f9SpXQ3xKETaRNZR6,Everen Maxwell,https://open.spotify.com/artist/23kOQsgl3Wmza7ppIaq0SB,2022-06-03,187968,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
A Mere Blip In Your Timeline,https://open.spotify.com/track/6MSNsf4mGsh1vvoRgQu3zG,A Mere Blip In Your Timeline,https://open.spotify.com/album/24oSN9awI8g3kOCQ4M8Nxb,OBLVYN,https://open.spotify.com/artist/6K47OYDcLTBRebTJGDtedF,2023-03-15,206390,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
A Stranger's Dead,https://open.spotify.com/track/4RNq7VT5sbe9S5V0b4wEr8,A Stranger's Dead,https://open.spotify.com/album/0X0e1tO8ddrWM54cUVGpoH,"CADMIUM, Paul Flint","https://open.spotify.com/artist/2jrBiKykLqcIp2S7GLiahy, https://open.spotify.com/artist/7daAovtbFBvpYCDg18wSU1",2023-08-10,318161,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
About Me,https://open.spotify.com/track/5hiatfPmopoExZRZ2O1g5S,About Me,https://open.spotify.com/album/1WeVEXpJ5649s2XA0WBN0i,"Koven, ROY KNOX","https://open.spotify.com/artist/3UCbp6D1lvILlxRJT9LnFa, https://open.spotify.com/artist/6rADW3yvxPKpxWuNUKEed3",2022-02-03,154000,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
AKTIV,https://open.spotify.com/track/1Ss0ujwVKBM2j6VrKtgj3W,AKTIV,https://open.spotify.com/album/5DLiNZwFKKIRU8yZVwvE7b,"4URA, VinDon","https://open.spotify.com/artist/3EG6B7xCYrCokW2HJiwpPd, https://open.spotify.com/artist/6hS0eB6BQPvcKhIM6Ltem0",2023-11-02,157500,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
All Access,https://open.spotify.com/track/77PGjBzaXsRnmuxV9tBLU3,All Access,https://open.spotify.com/album/151Lb7EhuJUIfFTLWkeuI4,JOXION,https://open.spotify.com/artist/4c0rN45hGTsmOVu0qg5x6U,2022-10-05,161250,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
Alone,https://open.spotify.com/track/4kvIwyqoAVaho3Ea7feClh,Alone EP,https://open.spotify.com/album/3QS6cvgnMj7JuA0gB12Lq8,Cajama,https://open.spotify.com/artist/3YiP0AyiXuD61EE5xTaTbY,2022-05-20,214545,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
