track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Det finns inget finare än kärleken,https://open.spotify.com/track/1Qid5jX73gnIxx7RmRxDiq,Tomas Ledin - 80-Tal,https://open.spotify.com/album/0YdkVmcOnLjq178i8I2RzK,Tomas Ledin,https://open.spotify.com/artist/518rTAIFPwQjLUSi4Pdzzn,2012-02-06,237733,2021-12-21,,Inget är större än KÄRLEKEN
Där kärleken bor,https://open.spotify.com/track/0bBnjEQLVnnYYOkUissTgY,Till dig,https://open.spotify.com/album/7ens1nd6FrbqGdyVGFkmVV,Sonja Aldén,https://open.spotify.com/artist/3XyHsKlvXenLURpECPEQOJ,2012-02-06,214653,2021-12-21,,Inget är större än KÄRLEKEN
Flickor talar om kärleken (Män dom gör just ingenting alls),https://open.spotify.com/track/5TH3Ce4KIBNhsJ0ivYtI8Y,30 år i kärlekens tjänst,https://open.spotify.com/album/3BV8m4wlM1r0KTcYzTKBdY,Niklas Strömstedt,https://open.spotify.com/artist/3nEiRzdQNmkUgoknNt9IRu,2012-02-06,229920,2021-12-21,,Inget är större än KÄRLEKEN
Hur kan jag tro på kärlek,https://open.spotify.com/track/6LHiWj1UWJqDpCOrOdqlmz,Hur kan jag tro på kärlek,https://open.spotify.com/album/4AvlySrJNiuWoLTAdmCgIv,Erik Linder,https://open.spotify.com/artist/2izs0rOq0gbFr94IBvkH43,2012-02-06,180000,2021-12-21,,Inget är större än KÄRLEKEN
Innan kärleken kom,https://open.spotify.com/track/3D8k8emHwhx1RycGGXlmRl,Jag vill se min älskade komma från det vilda,https://open.spotify.com/album/7CLwbwJZeQNgg5rNfBoblI,"Anders Hillborg, Eva Dahlgren, Esa-Pekka Salonen","https://open.spotify.com/artist/6FJvb2eSpRIXvmvp1aAw7y, https://open.spotify.com/artist/7IK2JpZglDYTrso4ILEKE0, https://open.spotify.com/artist/3ilNZUdmNZ2nUcuAOIpsQl",2012-02-06,324533,2021-12-21,,Inget är större än KÄRLEKEN
Kan det vara kärlek?,https://open.spotify.com/track/6ls0wAza0bSqu86g4g2rX2,Där jag är e' re alltid bäst,https://open.spotify.com/album/1w6BUXRzFVMCW1YPvpDKNE,Magnus Uggla,https://open.spotify.com/artist/30j6YCWLSp59jLF7yIYZWq,2012-02-06,181440,2021-12-21,,Inget är större än KÄRLEKEN
Kärlek i tystnadens tid,https://open.spotify.com/track/00BGuaCoOjX73GTzRHohBV,Kärlek i tystnadens tid,https://open.spotify.com/album/1qMMT4jrm6cysve9Ekx9Pc,Peter LeMarc,https://open.spotify.com/artist/4VKbol7eCoEJUemlKvE3Ve,2012-02-06,258866,2021-12-21,,Inget är större än KÄRLEKEN
Kärleken förde oss samman,https://open.spotify.com/track/09hVKZy6krYSKeuPeAcQUl,Tillägnan,https://open.spotify.com/album/5m9ILNgpFxvzLmAj4LKm7g,Fredrik Swahn,https://open.spotify.com/artist/7iUozbj4mpGiS8efljAJMi,2012-02-06,186933,2021-12-21,,Inget är större än KÄRLEKEN
Kärleken förde oss samman,https://open.spotify.com/track/5qXlOxhdaMNnSfuciYmIWK,Öppna Landskap 7595,https://open.spotify.com/album/7aB0bPRv2elnc0Ou1whaty,Ulf Lundell,https://open.spotify.com/artist/5kFHS4mQd9W0r7qDp8ec9A,2012-02-06,207773,2021-12-21,,Inget är större än KÄRLEKEN
Kärleken knackar på din dörr,https://open.spotify.com/track/7tYXm0UqcMXNlGEsyd3J5D,Karusellkvällar,https://open.spotify.com/album/62NPjfTQIWJElWV9cqFx8c,Eldkvarn,https://open.spotify.com/artist/6TLywjDgcz3M1rTrX7ht5k,2012-02-06,264733,2021-12-21,,Inget är större än KÄRLEKEN
Kärleken kommer till mig,https://open.spotify.com/track/291cB8keJoovslNnLnf7ar,Viva,https://open.spotify.com/album/3ghiuEEqgvNIbkfglzpGlR,Lisa Nilsson,https://open.spotify.com/artist/68QvqbdqwqqjW39YpUJHdG,2012-02-06,259506,2021-12-21,,Inget är större än KÄRLEKEN
Kärleken var här,https://open.spotify.com/track/4fQoN0IhJT7NeChfQCX10k,La Dolce Vita (Det bästa 1982-2003 / I eget urval),https://open.spotify.com/album/2NGxRightYBo8RnHOcwB4z,Mauro Scocco,https://open.spotify.com/artist/0qC4DawW3xCirhuq5cvaKV,2012-02-06,253466,2021-12-21,,Inget är större än KÄRLEKEN
Kärleken Vet,https://open.spotify.com/track/2kpmQKlGQVm2TieZX5uESD,Kärlek & Politik,https://open.spotify.com/album/004eLpAYrYXTp9DKaTahaO,"M.Wiehe, John Lennon, Mikael Wiehe","https://open.spotify.com/artist/0cPf4fZAZWAuBiSRHvG5vw, https://open.spotify.com/artist/4x1nvY2FN8jxqAFA0DA02H, https://open.spotify.com/artist/3VOOmK7ZqJNgOPN1hopJuL",2012-02-06,214040,2021-12-21,,Inget är större än KÄRLEKEN
Kärleken väntar,https://open.spotify.com/track/6jvqpOz4CrGUIk7d5iaI7i,Vapen & ammunition,https://open.spotify.com/album/2DGzTm2R2v3G0IjnxXtP3Y,kent,https://open.spotify.com/artist/4KXp3xtaz1wWXnu5u34eVX,2012-02-06,239346,2021-12-21,,Inget är större än KÄRLEKEN
Kärleken är,https://open.spotify.com/track/3JhvBSXoWXJnKGzCmPlaxV,Discography,https://open.spotify.com/album/2HkYSJxNf8FLikNbc08uFB,Jill Johnson,https://open.spotify.com/artist/2aaGbpl5Y2ykZsNFZM6ofw,2012-02-06,187933,2021-12-21,,Inget är större än KÄRLEKEN
Kärleken är evig,https://open.spotify.com/track/6O0DtbGGeDMBSGBDhFCxrG,100% Lena Philipsson,https://open.spotify.com/album/0Uii6Rh3iHnzyz0HIXcRue,Lena Philipsson,https://open.spotify.com/artist/7rZYHhxGKbe1XepzlpDlKm,2012-02-06,187693,2021-12-21,,Inget är större än KÄRLEKEN
Kärlekens tunga,https://open.spotify.com/track/2CaHPISDeB7ub0V71igOs0,Så mycket bättre - musiken från TV-programmet,https://open.spotify.com/album/5bxPcPCCnLnsdAi27KZMO8,September,https://open.spotify.com/artist/6VX2R9L0O0d6qPvqGuIH7b,2012-02-06,192720,2021-12-21,,Inget är större än KÄRLEKEN
Låt kärleken få blomma i dig,https://open.spotify.com/track/3d4Lk0hRjHiWM9oIAcrvLC,No. 6,https://open.spotify.com/album/75pH0Zvrx0ZwxkLPFAlzjF,Suzzies Orkester,https://open.spotify.com/artist/1YqNwBtZfItNvcpXzLbX4M,2012-02-06,254600,2021-12-21,,Inget är större än KÄRLEKEN
Låt kärleken slå rot,https://open.spotify.com/track/2FuazTK4ewgx5QytkCjotZ,"Sol, vind och vatten/Det bästa med Ted Gärdestad",https://open.spotify.com/album/5nFegfmG4jQHvYVX0Mgr2A,Ted Gärdestad,https://open.spotify.com/artist/6zpub6jbY6CdrcqQsDq8P4,2012-02-06,288960,2021-12-21,,Inget är större än KÄRLEKEN
När kärleken föds,https://open.spotify.com/track/7sro3mszYy7jOUQRXPaFnV,För den som älskar - En samling,https://open.spotify.com/album/4rvN0YQiXEunShsrdJCfrv,Shirley Clamp,https://open.spotify.com/artist/09AdawDC7B5zcphs18nRB7,2012-02-06,308520,2021-12-21,,Inget är större än KÄRLEKEN
Skepp av kärlek,https://open.spotify.com/track/5FQAcL4impVeJyC37QbdZp,Totta 7: Soul!/På Drift,https://open.spotify.com/album/5ljn6N5m53yEkK4yxGIYtX,Totta Näslund,https://open.spotify.com/artist/09J3FFqSQVVQlrakhizg9v,2012-02-06,297080,2021-12-21,,Inget är större än KÄRLEKEN
Vår kärlek,https://open.spotify.com/track/7knrIkdroV8De0YFaLEXyO,Stjärnorna i oss,https://open.spotify.com/album/3Y4rgJpTx96M0D741TuZ5d,Tomas Andersson Wij,https://open.spotify.com/artist/2j8XNrT8TQH4JMeyEMJYfL,2012-02-06,111560,2021-12-21,,Inget är större än KÄRLEKEN
Ännu doftar kärlek,https://open.spotify.com/track/2cvgUpzXjHLtoE6P8SccL6,Het Vind,https://open.spotify.com/album/3FSeVAROTnxA1143QnIrHR,Marie Fredriksson,https://open.spotify.com/artist/4YkPXMsmFf3K2XFHPddqFU,2012-02-06,224266,2021-12-21,,Inget är större än KÄRLEKEN
