track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Bring Me To Life,https://open.spotify.com/track/2gpffYGJGvhgqgA0Aw8wKi,Fallen,https://open.spotify.com/album/3nuLaHUml2Ul4Vu1hv7iT4,Evanescence,https://open.spotify.com/artist/5nGIFgo0shDenQYSE0Sn7c,2016-01-06,235893,2021-12-21,Wake up in your makeup? Rock it.,#Hotmess
Celebrity Skin,https://open.spotify.com/track/2V4Bc2I962j7acQj1N0PiQ,Celebrity Skin,https://open.spotify.com/album/2KE8WCHtD8qnAxXeIzNEId,Hole,https://open.spotify.com/artist/5SHQUMAmEK5KmuSb0aDvsn,2016-01-06,162666,2021-12-21,Wake up in your makeup? Rock it.,#Hotmess
Crazy On You,https://open.spotify.com/track/5zH710lFSLtkHbMkslLDjR,Dreamboat Annie,https://open.spotify.com/album/2N0AgtWbCmVoNUl2GN1opH,Heart,https://open.spotify.com/artist/34jw2BbxjoYalTp8cJFCPv,2016-01-06,293440,2021-12-21,Wake up in your makeup? Rock it.,#Hotmess
Crown On The Ground,https://open.spotify.com/track/2a6hyCvJXQB5DjFnzHHJua,Treats,https://open.spotify.com/album/7l5Y3f2amyv1acMfZZQfa2,Sleigh Bells,https://open.spotify.com/artist/59pWgeY26Q6yJy37QvJflh,2016-01-06,229373,2021-12-21,Wake up in your makeup? Rock it.,#Hotmess
Disparate Youth,https://open.spotify.com/track/0t2QiRkpag0fAgs9zuCPlH,Master of My Make-Believe,https://open.spotify.com/album/58ZjpgafuBeQ0JVxIt0hdr,Santigold,https://open.spotify.com/artist/6Jrxnp0JgqmeUX1veU591p,2016-01-06,284400,2021-12-21,Wake up in your makeup? Rock it.,#Hotmess
Don't,https://open.spotify.com/track/4eljrRffIeiEf24ukplrJ5,Kin,https://open.spotify.com/album/1gTZk3SfArXJCgWQtGPyhE,Larkin Poe,https://open.spotify.com/artist/7d10VF1J4LqW7vrpPOngzm,2016-01-06,184173,2021-12-21,Wake up in your makeup? Rock it.,#Hotmess
Don't Save Me,https://open.spotify.com/track/6Je5Vjd8VXVpQYcOiav5KU,Days Are Gone,https://open.spotify.com/album/729Vh0HApsm7hGDVjbmtrf,HAIM,https://open.spotify.com/artist/4Ui2kfOqGujY81UcPrb5KE,2016-01-06,230293,2021-12-21,Wake up in your makeup? Rock it.,#Hotmess
Dystopia (The Earth Is On Fire),https://open.spotify.com/track/4v6fYRcGzDldWZ8pveHnHD,Shangri-La,https://open.spotify.com/album/352JoZRDMm5fSvGdlGHceH,YACHT,https://open.spotify.com/artist/57anmI1X2hXWPrNagFdzZr,2016-01-06,241066,2021-12-21,Wake up in your makeup? Rock it.,#Hotmess
Feed Me Diamonds,https://open.spotify.com/track/0Wanf3lDuypbtvjusuTrk5,Feed Me Diamonds,https://open.spotify.com/album/7EI2E2g9UyUCq0F3S3cMy1,MNDR,https://open.spotify.com/artist/7gQNLR8mykA1KjGClbPYHe,2016-01-06,208426,2021-12-21,Wake up in your makeup? Rock it.,#Hotmess
Habits (Stay High),https://open.spotify.com/track/4dL1HwRWQgWK9timX9PLex,Queen Of The Clouds,https://open.spotify.com/album/1teQxZPWNILIowWpQA6qfm,Tove Lo,https://open.spotify.com/artist/4NHQUGzhtTLFvgF5SZesLK,2016-01-06,209160,2021-12-21,Wake up in your makeup? Rock it.,#Hotmess
