track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(I Can't Get No) Satisfaction - Mono Version,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34,Out Of Our Heads,https://open.spotify.com/album/2Q5MwpTmtjscaS34mJFXQQ,The Rolling Stones,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,2017-12-03,222813,2023-05-23,,Healthcare
Ben Franklin's Song,https://open.spotify.com/track/0UFSglFdQwaZiPKcRIs2mT,Ben Franklin's Song,https://open.spotify.com/album/7iyrvMoz8YsOcnScT7RXsn,The Decemberists,https://open.spotify.com/artist/7ITd48RbLVpUfheE7B86o2,2018-02-10,223175,2023-05-23,,Healthcare
Don't Stop Believin',https://open.spotify.com/track/77NNZQSqzLNqh2A9JhLRkg,The Essential Journey,https://open.spotify.com/album/5pfpXvoJtSIFrbPIoBEv3R,Journey,https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt,2017-12-03,248906,2023-05-23,,Healthcare
Everyday People,https://open.spotify.com/track/7lL2lMWNtzOcf5HnEudNgn,R&B: From Doo-Wop To Hip-Hop,https://open.spotify.com/album/4he7R24eqd1EbF9kegiAK8,Sly & The Family Stone,https://open.spotify.com/artist/5m8H6zSadhu1j9Yi04VLqD,2017-12-03,139506,2023-05-23,,Healthcare
Eye of the Tiger,https://open.spotify.com/track/2HHtWyy5CgaQbC7XSoOb0e,Eye Of The Tiger,https://open.spotify.com/album/4PT9VulQaQP6XR1xBI2x1W,Survivor,https://open.spotify.com/artist/26bcq2nyj5GB7uRr558iQg,2017-12-03,243773,2023-05-23,,Healthcare
Have You Ever Seen The Rain?,https://open.spotify.com/track/4JuJ9ewGWWGy0U3URuXOSI,Pendulum (40th Anniversary Edition),https://open.spotify.com/album/77Ufm02YB5qgT72qrBFt8P,Creedence Clearwater Revival,https://open.spotify.com/artist/3IYUhFvPQItj6xySrBmZkd,2017-12-03,160133,2023-05-23,,Healthcare
Hurt,https://open.spotify.com/track/28cnXtME493VX9NOw9cIUh,American IV: The Man Comes Around,https://open.spotify.com/album/2BlL4Gv2DLPu8p58Wcmlm9,Johnny Cash,https://open.spotify.com/artist/6kACVPfCOnqzgfEF5ryl0x,2017-12-03,216533,2023-05-23,,Healthcare
I Won't Back Down,https://open.spotify.com/track/7gSQv1OHpkIoAdUiRLdmI6,Full Moon Fever,https://open.spotify.com/album/5d71Imt5CIb7LpQwDMQ093,Tom Petty,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,2017-12-03,178360,2023-05-23,,Healthcare
My Songs Know What You Did In The Dark (Light Em Up) - 2 Chainz Remix,https://open.spotify.com/track/1n40nMkTM6cOMf6fhpeQtI,My Songs Know What You Did In The Dark (Light Em Up) [2 Chainz Remix],https://open.spotify.com/album/1OdwrF3fRqyn3MyYmfGNQB,Fall Out Boy,https://open.spotify.com/artist/4UXqAaa6dQYAk18Lv7PEgX,2017-12-03,210520,2023-05-23,,Healthcare
Only a Pawn in Their Game,https://open.spotify.com/track/6lib77q4koq52srysevRfT,The Times They Are A-Changin',https://open.spotify.com/album/7DZeLXvr9eTVpyI1OlqtcS,Bob Dylan,https://open.spotify.com/artist/74ASZWbe4lXaubB36ztrGX,2017-12-03,209160,2023-05-23,,Healthcare
