track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Ascot,https://open.spotify.com/track/7k1201dEGp3VsiGwCUo2bR,Original Album Classics,https://open.spotify.com/album/4LmJmpUFSDO2iz6pEXcDKO,Henry Mancini,https://open.spotify.com/artist/2EExdpjU4SK3xnJHO5paJf,2013-06-18,112800,2021-12-21,,Hats The Way I Like It: Ascot 2013
Ascot Dream,https://open.spotify.com/track/7HWSFt4HdDc64EyhhW2mIc,Fumo Di Londra,https://open.spotify.com/album/4OSFYtiUeJmImSrhytWeoL,Piero Piccioni,https://open.spotify.com/artist/2WPn0emjr8XPmMOT0bBcPe,2013-06-18,200360,2021-12-21,,Hats The Way I Like It: Ascot 2013
Ascot Enclosure,https://open.spotify.com/track/2kPLUSlkTbNIm5s9GDCWAa,Retrospection Volume 1,https://open.spotify.com/album/0E12hVqS9ZDgs33SXEAmpT,Peter Yorke,https://open.spotify.com/artist/356KdDxPATOYtRwDL6edO2,2013-06-18,181200,2021-12-21,,Hats The Way I Like It: Ascot 2013
Blue Hat for a Blue Day,https://open.spotify.com/track/6tmPGn3YaLKHSDin9XmrKZ,Essential 80s - Classic Eighties Pop And Rock Hits,https://open.spotify.com/album/61D7IT0EC6PaQ25e4HNXXu,Nick Heyward,https://open.spotify.com/artist/2DmyIp3IBWUwRukba22G3n,2013-06-18,240586,2021-12-21,,Hats The Way I Like It: Ascot 2013
Every Day is Ladies Day With Me - Remastered Version,https://open.spotify.com/track/6ar1epBrGNFmdE4dK2jN9U,Babes In Toyland/The Red Mill,https://open.spotify.com/album/6pgLxr9IM0drGAdJK6rxr2,"Victor Herbert, Henry Blossom, Wilbur Evans, Male Chorus","https://open.spotify.com/artist/4KKrqNQzDsogR5DCD9a9fv, https://open.spotify.com/artist/1RlZCh7F1xRwZYZqUNCYna, https://open.spotify.com/artist/1u3JFfqe12MVXlhm8aTMuj, https://open.spotify.com/artist/50qo8RvRhI4EDfvCk04Tl0",2013-06-18,184120,2021-12-21,,Hats The Way I Like It: Ascot 2013
Goodbye Pork Pie Hat,https://open.spotify.com/track/10lt3FoAtLN0Y4tL9i3FT9,Mingus,https://open.spotify.com/album/33vCXtlecxvFyBcoICxMYx,Joni Mitchell,https://open.spotify.com/artist/5hW4L92KnC6dX9t7tYM4Ve,2013-06-18,338200,2021-12-21,,Hats The Way I Like It: Ascot 2013
Hat Full of Stars,https://open.spotify.com/track/7HSQKwnJaeISGPJKUFjJyh,True Colors: The Best Of Cyndi Lauper,https://open.spotify.com/album/3ob0XVPoKBjrOjg0mf3zN3,Cyndi Lauper,https://open.spotify.com/artist/2BTZIqw0ntH9MvilQ3ewNY,2013-06-18,269040,2021-12-21,,Hats The Way I Like It: Ascot 2013
Ladies Day,https://open.spotify.com/track/0khWfNs8xZmKXQlZ3zZZUs,The Best Of Bobbi Humphrey,https://open.spotify.com/album/25IGvmX6gTgELVvq4OtKi3,Bobbi Humphrey,https://open.spotify.com/artist/0JbqyQSsMK7TavqlR0yNON,2013-06-18,376813,2021-12-21,,Hats The Way I Like It: Ascot 2013
Lady In The Red Hat - 2004 Digital Remaster,https://open.spotify.com/track/10fDpfuAaocVMiElXC3XjA,Michael Nyman - Peter Greenaway Film Music,https://open.spotify.com/album/4S7bm9WEzfMatHFok770FD,Michael Nyman,https://open.spotify.com/artist/2LvhyFvUCDJ7gFuEBOcrM8,2013-06-18,258253,2021-12-21,,Hats The Way I Like It: Ascot 2013
Le Flying Saucer Hat,https://open.spotify.com/track/3rbV20e5zoulQoj3uPbDvd,Does You Inspire You,https://open.spotify.com/album/3JuIBAoHi6gUmS3tgF4CPg,Chairlift,https://open.spotify.com/artist/7hAolICGSgXJuM6DUpK5rp,2013-06-18,197066,2021-12-21,,Hats The Way I Like It: Ascot 2013
Leopard-Skin Pill-Box Hat,https://open.spotify.com/track/6aeOSY6fPsvGTzyXi65pNY,Blonde On Blonde,https://open.spotify.com/album/4NP1rhnsPdYpnyJP0p0k0L,Bob Dylan,https://open.spotify.com/artist/74ASZWbe4lXaubB36ztrGX,2013-06-18,236333,2021-12-21,,Hats The Way I Like It: Ascot 2013
Ride a White Horse,https://open.spotify.com/track/2ZoCGNzpo4uQHJujl8MVMZ,Supernature (US Version),https://open.spotify.com/album/1QoKEbO1b1rqgcEjZs6n1i,Goldfrapp,https://open.spotify.com/artist/5BKsn7SCN2XmbF7apdCpRS,2013-06-18,281266,2021-12-21,,Hats The Way I Like It: Ascot 2013
Royal Ascot,https://open.spotify.com/track/4cF9ze6AMlspJbVCGbWpRh,Some Of My Best Friends,https://open.spotify.com/album/0OnLEKyKFNIEh0w2UMLz2a,"The Jazz Couriers, Ronnie Scott, Tubby Hayes","https://open.spotify.com/artist/3oBOqR45cob1eJCskrYZGU, https://open.spotify.com/artist/2vsL5bsgAVKdkb0wHeSy0x, https://open.spotify.com/artist/3OQ1zZ7Es5aPGB0JR0TAJR",2013-06-18,327013,2021-12-21,,Hats The Way I Like It: Ascot 2013
She's Bought A Hat Like Princess Marina,https://open.spotify.com/track/2pEHjqmIRw4FdVwDAVw2rT,Arthur (Deluxe Edition),https://open.spotify.com/album/7Ml7NYEdVdOhQfGmnoTcze,The Kinks,https://open.spotify.com/artist/1SQRv42e4PjEYfPhS0Tk9E,2013-06-18,188000,2021-12-21,,Hats The Way I Like It: Ascot 2013
Wherever I Lay My Hat (That's My Home),https://open.spotify.com/track/04N18CfIbOJPnVLGOKgJNB,The Essential Paul Young,https://open.spotify.com/album/0IHmWU4OIPZaW86nIeYeiv,Paul Young,https://open.spotify.com/artist/6rqU9HQ57NYGBnBzbrY3a4,2013-06-18,250053,2021-12-21,,Hats The Way I Like It: Ascot 2013
