track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Albatross - 2018 Remaster,https://open.spotify.com/track/3IKyTBHZSgCx2v1ZX8v0TZ,The Pious Bird of Good Omen,https://open.spotify.com/album/2vykpF7BFnflpzjTCG52FU,Fleetwood Mac,https://open.spotify.com/artist/08GQAI4eElDnROBrJRGE0X,2016-02-13,191106,2021-12-21,"Rock your workday lyric free with classic rock favorites, meditative heavy metal, and art rock wonders.",Instrumental Rock
Apache,https://open.spotify.com/track/5ALDucFjn5MUCmui2qgTQc,The Shadows' Greatest Hits,https://open.spotify.com/album/489JHMGFMHtqfV8HURfx8U,The Shadows,https://open.spotify.com/artist/03hfAxVdAWj7kxDnSG0fLD,2016-02-13,174186,2021-12-21,"Rock your workday lyric free with classic rock favorites, meditative heavy metal, and art rock wonders.",Instrumental Rock
Black Mountain Side - 1993 Remaster,https://open.spotify.com/track/6rmEV2YtvWkigxPZocINO3,Led Zeppelin,https://open.spotify.com/album/3ycjBixZf7S3WpC5WZhhUK,Led Zeppelin,https://open.spotify.com/artist/36QJpDe2go2KgaRleHCDTp,2016-02-13,125666,2021-12-21,"Rock your workday lyric free with classic rock favorites, meditative heavy metal, and art rock wonders.",Instrumental Rock
Blue Turning Gray,https://open.spotify.com/track/2fRnzEChkwoZ4XTkECu22h,Clap Your Hands Say Yeah,https://open.spotify.com/album/7hneASzfgVkmjO9oPae8T7,Clap Your Hands Say Yeah,https://open.spotify.com/artist/1jSaZgaKHmgc7VTgML528r,2016-02-13,75933,2021-12-21,"Rock your workday lyric free with classic rock favorites, meditative heavy metal, and art rock wonders.",Instrumental Rock
Cecilia Ann,https://open.spotify.com/track/0mjB1LNY9TS6lOXbyoARls,Bossanova,https://open.spotify.com/album/60cRh5MCFNOrFeQykKnDej,Pixies,https://open.spotify.com/artist/6zvul52xwTWzilBZl6BUbT,2016-02-13,126240,2021-12-21,"Rock your workday lyric free with classic rock favorites, meditative heavy metal, and art rock wonders.",Instrumental Rock
Crazy Otto - Live at The Fillmore,https://open.spotify.com/track/0mCGFM0qgdx1wDEjFxCVyz,Bayou Country (40th Anniversary Edition),https://open.spotify.com/album/04CGA9H5xjYGnGMB8cLYRv,Creedence Clearwater Revival,https://open.spotify.com/artist/3IYUhFvPQItj6xySrBmZkd,2016-02-13,528840,2021-12-21,"Rock your workday lyric free with classic rock favorites, meditative heavy metal, and art rock wonders.",Instrumental Rock
Do The Murray,https://open.spotify.com/track/5wr5QsosaNH3Fj4vqsj1cm,Tin Can Trust,https://open.spotify.com/album/7BNL2FYE6LgNuf1iT141Jv,Los Lobos,https://open.spotify.com/artist/6OWapcJm9xd55ci9CYbAuT,2016-02-13,215733,2021-12-21,"Rock your workday lyric free with classic rock favorites, meditative heavy metal, and art rock wonders.",Instrumental Rock
Elegia - Full Version,https://open.spotify.com/track/37sUiWJt6FFiD7qPTiC37J,Low-Life [Collector's Edition],https://open.spotify.com/album/12GZCcXTyNtTllTeU90HTb,New Order,https://open.spotify.com/artist/0yNLKJebCb8Aueb54LYya3,2016-02-13,1048079,2021-12-21,"Rock your workday lyric free with classic rock favorites, meditative heavy metal, and art rock wonders.",Instrumental Rock
Eruption,https://open.spotify.com/track/24GaspdcJWLts2R1wurDfW,Van Halen (Reissue),https://open.spotify.com/album/7G2PY8yve3Db0PeGsosb4x,Van Halen,https://open.spotify.com/artist/2cnMpRsOVqtPMfq7YiFE6K,2016-02-13,102133,2021-12-21,"Rock your workday lyric free with classic rock favorites, meditative heavy metal, and art rock wonders.",Instrumental Rock
Flipside,https://open.spotify.com/track/7JLke4EKgoBuMzepM6p1ho,Last Splash,https://open.spotify.com/album/2yg43md1L9Ti9ysWYqhDji,The Breeders,https://open.spotify.com/artist/1xgFexIwrf2QjbU0buCNnp,2016-02-13,119426,2021-12-21,"Rock your workday lyric free with classic rock favorites, meditative heavy metal, and art rock wonders.",Instrumental Rock
Frankenstein,https://open.spotify.com/track/4aK0vJsPXFsFdBUh8hPaDT,The Best Of Edgar Winter,https://open.spotify.com/album/6knWE50fnmU6X50X7QGfQY,The Edgar Winter Group,https://open.spotify.com/artist/7j9PMegEgVN1fNp8NZXNCI,2016-02-13,285600,2021-12-21,"Rock your workday lyric free with classic rock favorites, meditative heavy metal, and art rock wonders.",Instrumental Rock
Free Wheelin,https://open.spotify.com/track/3SaukvfGFV9i3JT9Mr2Z6f,Gold,https://open.spotify.com/album/39IDlPBW41ah9H2ODiR8tM,Bachman-Turner Overdrive,https://open.spotify.com/artist/5q4AzEtCoYJyXjMMoEkSU5,2016-02-13,226226,2021-12-21,"Rock your workday lyric free with classic rock favorites, meditative heavy metal, and art rock wonders.",Instrumental Rock
