track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Little More Love,https://open.spotify.com/track/22esOORsU4VaAMkThygXgm,Gold,https://open.spotify.com/album/24xwaPVl6xkUunl6lEWwje,Olivia Newton-John,https://open.spotify.com/artist/4BoRxUdrcgbbq1rxJvvhg9,2013-06-27,207573,2021-12-21,,1979
After The Love Has Gone,https://open.spotify.com/track/5Kmwwpu1FdXcZny7n8iBMo,"The Best Of Earth, Wind & Fire-Vol. II",https://open.spotify.com/album/6rxdEnk6m2P66BxcXsQbNs,"Earth, Wind & Fire",https://open.spotify.com/artist/4QQgXkCYTt3BlENzhyNETg,2013-06-27,264040,2021-12-21,,1979
"Bad Girls - 12"" Version",https://open.spotify.com/track/3n48NtvOovv1UMTA41zxMn,Bad Girls [Deluxe Edition (US Version)],https://open.spotify.com/album/7eJH6omaUJc3iAOw4CieNf,Donna Summer,https://open.spotify.com/artist/2eogQKWWoohI3BSnoG7E2U,2013-06-27,295125,2021-12-21,,1979
Do Ya Think I'm Sexy,https://open.spotify.com/track/3wsPg2KrRYZFi0inIFa41x,Do Ya Think I'm Sexy? / Scarred and Scared,https://open.spotify.com/album/5A6h58VvAuMEhrWK7XxGdh,Rod Stewart,https://open.spotify.com/artist/2y8Jo9CKhJvtfeKOsYzRdT,2013-06-27,325813,2021-12-21,,1979
Don't Cry Out Loud,https://open.spotify.com/track/0m6bu7QJn8HJJUEfqYY5nI,The Essence Of Melissa Manchester,https://open.spotify.com/album/3ZQNGNWrZdPl3xyXlvBVa1,Melissa Manchester,https://open.spotify.com/artist/78udmCDNaDu5jqfVnBqwia,2013-06-27,229866,2021-12-21,,1979
Fire,https://open.spotify.com/track/3Cq40B2ilP5sPp0Qi9HskR,Platinum & Gold Collection,https://open.spotify.com/album/7L2d1o78ZJ2He6DMx1jSN3,The Pointer Sisters,https://open.spotify.com/artist/2kreKea2n96dXjcyAU9j5N,2013-06-27,206466,2021-12-21,,1979
Good Times,https://open.spotify.com/track/0G3fbPbE1vGeABDEZF0jeG,Risqué,https://open.spotify.com/album/1UFBJkKiBe3Lzjr307UhuU,CHIC,https://open.spotify.com/artist/0Xf8oDAJYd2D0k3NLI19OV,2013-06-27,495400,2021-12-21,,1979
He's the Greatest Dancer - 1995 Remaster,https://open.spotify.com/track/5MuNxNox3zTanAFIO5KcTl,Atlantic 60th: On The Dance Floor Vol. 2,https://open.spotify.com/album/7liGswqymvHdcDREn3FQDz,Sister Sledge,https://open.spotify.com/artist/6gkWznnJkdkwRPVcmnrays,2013-06-27,375400,2021-12-21,,1979
Heart Of Glass - Special Mix,https://open.spotify.com/track/0a4agFmqHXxcZl1nho1BxM,Best Of Blondie,https://open.spotify.com/album/7mEjsBlRmfP63cH1gdPT6A,Blondie,https://open.spotify.com/artist/4tpUmLEVLCGFr93o8hFFIB,2013-06-27,275733,2021-12-21,,1979
Heaven Knows,https://open.spotify.com/track/7DP5B02fBiyLwFXsNGKhcH,Donna Summer: Gold,https://open.spotify.com/album/2BAwRRH1wXEK5rHvGlPFEO,"Donna Summer, Brooklyn Dreams","https://open.spotify.com/artist/2eogQKWWoohI3BSnoG7E2U, https://open.spotify.com/artist/2Uh4UmiQhrrElbrvJVH0dT",2013-06-27,218373,2021-12-21,,1979
"Heaven Must Have Sent You - 12"" Version",https://open.spotify.com/track/7p4Yw9WPiAuJaN51H4CRqo,Disco Gold,https://open.spotify.com/album/2wFzaVmHfeDG8yNaAs7lYr,Bonnie Pointer,https://open.spotify.com/artist/3ywBpweKQY8MosUnAuPAgc,2013-06-27,434306,2021-12-21,,1979
