track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
7 O'Clock,https://open.spotify.com/track/2Eh6bvihTFDwAjHBEYnbgH,7 O'Clock,https://open.spotify.com/album/5Trjk7CuYJO5muXqXPB7xl,Penelope Scott,https://open.spotify.com/artist/3u6lPufHw4Oww6D88rv6sB,2024-12-12,168037,2024-01-09,Mental illness,Diseased
Aaa,https://open.spotify.com/track/6ZaHZR8trkaELFMwbH6wbF,Glean,https://open.spotify.com/album/6FvZjncN6KWxadSUOd8hpw,They Might Be Giants,https://open.spotify.com/artist/6zB02lwP6L6ZH32nggQiJT,2023-07-21,119560,2024-01-09,Mental illness,Diseased
aftershocks,https://open.spotify.com/track/17RUojqXdeBFDF1TlrNOsg,Winter,https://open.spotify.com/album/22eqt3R2kQcQ2g3xzl8sDm,Philip Labes,https://open.spotify.com/artist/2gzXe1MitsMjpK7NudXNZf,2023-07-09,255006,2024-01-09,Mental illness,Diseased
All Up the Seething Coast,https://open.spotify.com/track/01vH5I4Vx6SR5gnZxZzEwS,We Shall All Be Healed,https://open.spotify.com/album/45KMV5nuTYdfXBfH3RR98Z,The Mountain Goats,https://open.spotify.com/artist/3hyGGjxu73JuzBa757H6R5,2024-12-08,225533,2024-01-09,Mental illness,Diseased
Always Tired,https://open.spotify.com/track/5gRJEKibCgEHT0EyTzCCNN,Always Tired,https://open.spotify.com/album/1uwuVHWQtLlheh6WxKnjDP,Weathers,https://open.spotify.com/artist/4OTFxPi5CtWyj1NThDe6z5,2024-02-19,183771,2024-01-09,Mental illness,Diseased
Am I Awake?,https://open.spotify.com/track/5ZuFa017ebD1p6aU9zHTnT,Idlewild: A Compilation,https://open.spotify.com/album/6oySHdG0nQzH5Belcm0fQi,They Might Be Giants,https://open.spotify.com/artist/6zB02lwP6L6ZH32nggQiJT,2023-03-26,183333,2024-01-09,Mental illness,Diseased
Answering the Phone* - Bonus Track,https://open.spotify.com/track/2rvhsOudGG9vRRo5xikTlq,All Hail West Texas (Remastered),https://open.spotify.com/album/3yreM49ULtR2xW4fSENo3K,The Mountain Goats,https://open.spotify.com/artist/3hyGGjxu73JuzBa757H6R5,2024-12-07,148733,2024-01-09,Mental illness,Diseased
Cash Machine,https://open.spotify.com/track/3aYphK1HrpzYbuBLz8PH6l,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",https://open.spotify.com/album/5vP0fNictdWyU48o83Q7ob,Oliver Tree,https://open.spotify.com/artist/6TLwD7HPWuiOzvXEa3oCNe,2024-03-28,176950,2024-01-09,Mental illness,Diseased
Cigarette Ahegao,https://open.spotify.com/track/67VxWciiaYZYy3NTlyCtp7,Public Void,https://open.spotify.com/album/49iT8dV8hZ5o7bqpOI5yfI,Penelope Scott,https://open.spotify.com/artist/3u6lPufHw4Oww6D88rv6sB,2024-01-17,183992,2024-01-09,Mental illness,Diseased
Cradles,https://open.spotify.com/track/1y4jsQt7MjnZhiD1L6qFBC,Cradles,https://open.spotify.com/album/2fLkonSk9cVovvnRKKYtk5,Sub Urban,https://open.spotify.com/artist/7gXb99Sf9nNmpNYeAgIQFG,2024-10-09,209829,2024-01-09,Mental illness,Diseased
Cry for Judas,https://open.spotify.com/track/6dzU8kkXmOGCMNyX149BX3,Transcendental Youth,https://open.spotify.com/album/1AOcKK0PoTQtuRZVhOgJlp,The Mountain Goats,https://open.spotify.com/artist/3hyGGjxu73JuzBa757H6R5,2024-09-15,192653,2024-01-09,Mental illness,Diseased
Diggin' Up Hatchets,https://open.spotify.com/track/22Qce4LVRx6PqsVhOXuaWs,Counterfeit Arcade,https://open.spotify.com/album/3OdykG7E7VoQwsG38E2Bux,Shayfer James,https://open.spotify.com/artist/0PftqT3Gvj1IszkeRLHK9G,2023-03-27,238280,2024-01-09,Mental illness,Diseased
Double Vision,https://open.spotify.com/track/0fsj3HxzBHev6EJ7OLFE3r,Double Vision (Expanded),https://open.spotify.com/album/6lu6DYE0eHHp1gd3QGUYhu,Foreigner,https://open.spotify.com/artist/6IRouO5mvvfcyxtPDKMYFN,2023-11-20,224533,2024-01-09,Mental illness,Diseased
Escaping the Asylum,https://open.spotify.com/track/37t5WApvd9cluPunHf7IZ5,Originals Volume 2,https://open.spotify.com/album/5QqJtpXawzRkRKvyJCp8UM,The Blake Robinson Synthetic Orchestra,https://open.spotify.com/artist/4rChEc17dTzO2ep7yajKfy,2023-03-23,136176,2024-01-09,Mental illness,Diseased
Happy Pills,https://open.spotify.com/track/3zjjzKg16tczCMwckGKGuH,Happy Pills,https://open.spotify.com/album/5t54vdZ7HdfogMEMKVfRR1,Weathers,https://open.spotify.com/artist/4OTFxPi5CtWyj1NThDe6z5,2024-02-19,203080,2024-01-09,Mental illness,Diseased
Hardware Store,https://open.spotify.com/track/1m6LYAWyCdRjpIr3ttANsr,"The Essential ""Weird Al"" Yankovic",https://open.spotify.com/album/2WMY5Qm6ztMQsAubpumeb4,"""Weird Al"" Yankovic",https://open.spotify.com/artist/1bDWGdIC2hardyt55nlQgG,2023-04-25,224253,2024-01-09,Mental illness,Diseased
I Broke My Own Rule,https://open.spotify.com/track/5gmELdcn5zBpzUO877nkAW,BOOK,https://open.spotify.com/album/5QbnWsYJtws83X3yXSOKkH,They Might Be Giants,https://open.spotify.com/artist/6zB02lwP6L6ZH32nggQiJT,2023-03-26,202293,2024-01-09,Mental illness,Diseased
I Lost Thursday,https://open.spotify.com/track/5KAs9OVZmGt6DNyGNwXoZv,Super Cool,https://open.spotify.com/album/0QYdhxj2cOe102smrHABGF,They Might Be Giants,https://open.spotify.com/artist/6zB02lwP6L6ZH32nggQiJT,2023-03-26,194933,2024-01-09,Mental illness,Diseased
I Wanna Be Sedated,https://open.spotify.com/track/5NoQvINZLBV1wMYPdNmReL,Road to Ruin (40th Anniversary Deluxe Edition),https://open.spotify.com/album/43zbrwwFHh5e7cmDQomx8Z,Ramones,https://open.spotify.com/artist/1co4F2pPNH8JjTutZkmgSm,2024-05-28,149786,2024-01-09,Mental illness,Diseased
I'll Make Cereal,https://open.spotify.com/track/7cZhrCKZRUPsDEK8PWR727,Lemon Boy,https://open.spotify.com/album/5rvA7Pth9X8PFp5jHqFl3V,Cavetown,https://open.spotify.com/artist/2hR4h1Cao2ueuI7Cx9c7V8,2024-12-09,240491,2024-01-09,Mental illness,Diseased
I'm Going Slightly Mad,https://open.spotify.com/track/0sA5xCFx2bF3jrz5Y5r0m1,Innuendo,https://open.spotify.com/album/5yAM3CcaXF6DPRJW3oL6Ya,Queen,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,2023-08-16,262133,2024-01-09,Mental illness,Diseased
I'm Gonna Win,https://open.spotify.com/track/6bWP2PGRjyRjbHTdnMRDk9,Not a Trampoline,https://open.spotify.com/album/1Y5i7JllvK9heVzVfcEyIE,Rob Cantor,https://open.spotify.com/artist/1NtYiv70buGwaMspHuD49I,2023-07-04,158360,2024-01-09,Mental illness,Diseased
I'm Not Ok,https://open.spotify.com/track/17weS3aO2oaGYJ9Q9yM56X,Kids In The Night,https://open.spotify.com/album/2Qq8f0QWdoBSxk2pxjEQmH,Weathers,https://open.spotify.com/artist/4OTFxPi5CtWyj1NThDe6z5,2024-02-19,181173,2024-01-09,Mental illness,Diseased
I'm Not Okay (I Promise),https://open.spotify.com/track/7lRlq939cDG4SzWOF4VAnd,Three Cheers for Sweet Revenge,https://open.spotify.com/album/3DuiGV3J09SUhvp8gqNx8h,My Chemical Romance,https://open.spotify.com/artist/7FBcuc1gsnv6Y1nwFtNRCb,2024-10-27,186480,2024-01-09,Mental illness,Diseased
I`m OK,https://open.spotify.com/track/6bkzn3e9gtiP0xJTJnQ2eM,I`m OK,https://open.spotify.com/album/2WfSPgV1Bm4RWhP9cEG622,Little Big,https://open.spotify.com/artist/0pnd3MP2rxAzljR9AqXUJB,2024-10-09,187016,2024-01-09,Mental illness,Diseased
Letter from Belgium,https://open.spotify.com/track/4ntR3OteArnBskcrUbYqkm,We Shall All Be Healed,https://open.spotify.com/album/45KMV5nuTYdfXBfH3RR98Z,The Mountain Goats,https://open.spotify.com/artist/3hyGGjxu73JuzBa757H6R5,2024-12-08,191933,2024-01-09,Mental illness,Diseased
Little Dark Age,https://open.spotify.com/track/2Y0iGXY6m6immVb2ktbseM,Little Dark Age,https://open.spotify.com/album/7GjVWG39IOj4viyWplJV4H,MGMT,https://open.spotify.com/artist/0SwO7SWeDHJijQ3XNS7xEE,2024-01-02,299960,2024-01-09,Mental illness,Diseased
Masher,https://open.spotify.com/track/5aqtEq5sJJlrVoPZTjI0Yj,Full Force Galesburg,https://open.spotify.com/album/429c9crfLRTZDj6VQ7EXrM,The Mountain Goats,https://open.spotify.com/artist/3hyGGjxu73JuzBa757H6R5,2024-11-19,201040,2024-01-09,Mental illness,Diseased
McCafferty's Bib,https://open.spotify.com/track/65WSrB4IuSAcdAMdbHdjX8,I Like Fun,https://open.spotify.com/album/0NphwDR3zIVfULKcBDQ9Ap,They Might Be Giants,https://open.spotify.com/artist/6zB02lwP6L6ZH32nggQiJT,2023-03-26,155080,2024-01-09,Mental illness,Diseased
Me And I,https://open.spotify.com/track/4JzJihuvIlhaYqSUNNJGBl,Super Trouper,https://open.spotify.com/album/3ZdkT5buYFi1WQaB0XNNtf,ABBA,https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,2024-09-20,294386,2024-01-09,Mental illness,Diseased
