track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
!ly (feat. Coez),https://open.spotify.com/track/1E1nbIsPDO1PdtQwsAKKF3,c@ra++ere s?ec!@le,https://open.spotify.com/album/7nDSuDHGJMKFtUTEEVJvUS,"thasup, Coez","https://open.spotify.com/artist/19i93sA0D7yS9dYoVNBqAA, https://open.spotify.com/artist/5dXlc7MnpaTeUIsHLVe3n4",2022-10-01,206494,2021-03-27,Your daily update of the most played tracks right now - Italy.,Top 50 - Italy
#SI (feat. Tony Effe),https://open.spotify.com/track/0o8RvXnvLD400LkZvwj6lC,#SI (feat. Tony Effe),https://open.spotify.com/album/7jMQtpxqAVNMyVHsel5OZq,"MamboLosco, Tony Effe","https://open.spotify.com/artist/4BFn4jmfqSNaHtPWHTcy41, https://open.spotify.com/artist/6CKch2otN4SPznHf9ms5JF",2022-03-26,141904,2021-03-27,Your daily update of the most played tracks right now - Italy.,Top 50 - Italy
'NA STORIA 'E 'NA SERA,https://open.spotify.com/track/6zke6tODdrVBDrP5aMXJSc,LIBERATO II,https://open.spotify.com/album/2C6181H1enBSZDL8kbhUXQ,LIBERATO,https://open.spotify.com/artist/4X89u81dkCXBSGo8i2DhMW,2022-05-11,220150,2021-03-27,Your daily update of the most played tracks right now - Italy.,Top 50 - Italy
(It Goes Like) Nanana - Edit,https://open.spotify.com/track/23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana [Edit],https://open.spotify.com/album/2LVDNOUUy2g8517ZEtQIcK,Peggy Gou,https://open.spotify.com/artist/2mLA48B366zkELXYx7hcDN,2023-06-26,231545,2021-03-27,Your daily update of the most played tracks right now - Italy.,Top 50 - Italy
+ bla se c'è bling,https://open.spotify.com/track/0wYLKVYLjJ06NS9GlMecrG,c@ra++ere s?ec!@le,https://open.spotify.com/album/7nDSuDHGJMKFtUTEEVJvUS,thasup,https://open.spotify.com/artist/19i93sA0D7yS9dYoVNBqAA,2022-10-01,114408,2021-03-27,Your daily update of the most played tracks right now - Italy.,Top 50 - Italy
-3 (PERDERE IL VOLO) (feat. Marracash),https://open.spotify.com/track/5IiXZCAsi29TOtY3rbmKOo,LOCURA,https://open.spotify.com/album/0wYy8LTZuhiAyvchPppHPj,"Lazza, Marracash","https://open.spotify.com/artist/0jdNdfi4vAuVi7a6cPDFBM, https://open.spotify.com/artist/5AZuEF0feCXMkUCwQiQlW7",2024-09-21,179538,2021-03-27,Your daily update of the most played tracks right now - Italy.,Top 50 - Italy
0 passi,https://open.spotify.com/track/1feGbMzfkaybNk96cXcqnO,Il cielo contromano,https://open.spotify.com/album/3yPQgxO1KYgLhjsViwdqzt,Deddy,https://open.spotify.com/artist/7FoxLMG7HePgQvwDfJj7VR,2021-05-16,163529,2021-03-27,Your daily update of the most played tracks right now - Italy.,Top 50 - Italy
0 passi,https://open.spotify.com/track/7EIftRREeCUGitqmCy1H8J,0 passi,https://open.spotify.com/album/2pLbC2iaHJxz77dX13wEVB,Deddy,https://open.spotify.com/artist/7FoxLMG7HePgQvwDfJj7VR,2021-05-09,163529,2021-03-27,Your daily update of the most played tracks right now - Italy.,Top 50 - Italy
0 passi,https://open.spotify.com/track/7kbWJ8cCpn2IlsQTEagWi7,0 passi,https://open.spotify.com/album/1xFNmv94uKLwOYf22fo8aX,Deddy,https://open.spotify.com/artist/7FoxLMG7HePgQvwDfJj7VR,2021-04-06,163529,2021-03-27,Your daily update of the most played tracks right now - Italy.,Top 50 - Italy
00,https://open.spotify.com/track/58b9VLwnigGBDjvq89Eo1W,00,https://open.spotify.com/album/6MBwTJm6bgvEhh2Bj51uCy,Artie 5ive,https://open.spotify.com/artist/2R4kNOwHUUsuDYhKsESVbF,2024-04-04,134347,2021-03-27,Your daily update of the most played tracks right now - Italy.,Top 50 - Italy
