track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
,https://open.spotify.com/track/3vz3SKnCyJCzPuXWLoGfdG,,https://open.spotify.com/album/2wDdeYLrljYWNLfhRRfAi0,,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2024-03-13,0,2024-01-30,Your daily update of the most viral tracks right now - Argentina.,Viral 50 - Argentina
...Baby One More Time (from Kung Fu Panda 4),https://open.spotify.com/track/7eFJIjNXaC7LzDwloz9WIP,...Baby One More Time (from Kung Fu Panda 4),https://open.spotify.com/album/0GsfxGnifHBtyVIgDJaYJo,Tenacious D,https://open.spotify.com/artist/1XpDYCrUJnvCo9Ez6yeMWh,2024-03-26,192600,2024-01-30,Your daily update of the most viral tracks right now - Argentina.,Viral 50 - Argentina
100oMIL,https://open.spotify.com/track/3DDexajgYw9notHn95WtNc,Trapicheo: EL DON,https://open.spotify.com/album/5IgfITgolOnYBRJevWS2GO,"KHEA, C.R.O, Neo Pistea","https://open.spotify.com/artist/4m6ubhNsdwF4psNf3R8kwR, https://open.spotify.com/artist/4puAp107dCehraE47QXVQX, https://open.spotify.com/artist/01m2XZ7m7rAz6KY3scTdaV",2024-04-02,173834,2024-01-30,Your daily update of the most viral tracks right now - Argentina.,Viral 50 - Argentina
10percs,https://open.spotify.com/track/3mTjNBCtR0xhnVgb9yH8nf,Heráldica,https://open.spotify.com/album/1llfWsTfOoTmG3vK0cdyNr,"Saramalacara, Hatsune Miku","https://open.spotify.com/artist/3QchzUOTSCKWmaRGEEiuir, https://open.spotify.com/artist/6pNgnvzBa6Bthsv8SrZJYl",2024-04-02,126810,2024-01-30,Your daily update of the most viral tracks right now - Argentina.,Viral 50 - Argentina
111 (Ácido),https://open.spotify.com/track/0RMIjXMASZj2xQAi3LImuh,111 (Ácido),https://open.spotify.com/album/02g99pijUdFgA8DyKbuphv,"Xina Mora, YSY A, Fectro","https://open.spotify.com/artist/4dRPdWRUFyJp0yhjGBLClx, https://open.spotify.com/artist/2qWK8K2Jfh67UqtwY8tCW6, https://open.spotify.com/artist/34Tgpgu56FedPkQ23qcq1M",2024-10-22,150511,2024-01-30,Your daily update of the most viral tracks right now - Argentina.,Viral 50 - Argentina
2 Pa 2,https://open.spotify.com/track/4BsiIONNXdGeYCA4vnkckR,2 Pa 2,https://open.spotify.com/album/4BFV2KUwYnwQo35C2bYfPW,"JOTAA, Klim","https://open.spotify.com/artist/7qsoMtGvsDHO9EeQ1uQJEr, https://open.spotify.com/artist/7wGC5qN0WaLagtSprA8nTe",2024-05-14,169382,2024-01-30,Your daily update of the most viral tracks right now - Argentina.,Viral 50 - Argentina
2 Peine,https://open.spotify.com/track/30wqSNwxGMXVidA53Nhkfe,2 Peine,https://open.spotify.com/album/0FqjTX6ROxnzkSgNQBLSfs,"Jossie A, Big Cvyu","https://open.spotify.com/artist/3wXd0N7IkY2bZ4KMbhmBJ5, https://open.spotify.com/artist/7tMukTswF8N6b0zI4rlCmg",2024-09-19,164423,2024-01-30,Your daily update of the most viral tracks right now - Argentina.,Viral 50 - Argentina
20 de Enero,https://open.spotify.com/track/4ENboFmkjT9oitu3Guggna,Esencial La Oreja de Van Gogh,https://open.spotify.com/album/5Z7IbgVkBWDvrbWYsQDm79,La Oreja de Van Gogh,https://open.spotify.com/artist/4U7lXyKdSf1JbM1aXvsodC,2025-01-26,222853,2024-01-30,Your daily update of the most viral tracks right now - Argentina.,Viral 50 - Argentina
20 de Enero,https://open.spotify.com/track/4XdePl1vOF1cYjTBYeYU9j,Lo Que Te Conte Mientras Te Hacias La Dormida,https://open.spotify.com/album/1Atbkyir7YdfpFYWCnRTFp,La Oreja de Van Gogh,https://open.spotify.com/artist/4U7lXyKdSf1JbM1aXvsodC,2025-01-24,223000,2024-01-30,Your daily update of the most viral tracks right now - Argentina.,Viral 50 - Argentina
2000's,https://open.spotify.com/track/21YrUZi23eK0jx7wPU5oh0,Los Sentimientos De un Robot,https://open.spotify.com/album/0hAboHqhKknkyCwULjp4tK,"DrefQuila, YSY A, Ovyze","https://open.spotify.com/artist/5pughe5rcsOq3GF0utMOs5, https://open.spotify.com/artist/2qWK8K2Jfh67UqtwY8tCW6, https://open.spotify.com/artist/4jzpU8H3P6UJYFUWwwwCx4",2024-06-04,232840,2024-01-30,Your daily update of the most viral tracks right now - Argentina.,Viral 50 - Argentina
