track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"""Slut!"" (Taylor's Version) (From The Vault)",https://open.spotify.com/track/71BqAINEnezjQfxE4VuJfq,1989 (Taylor's Version),https://open.spotify.com/album/64LU4c1nfjz1t4VnGhagcg,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2023-10-28,180381,2021-03-27,Your daily update of the most played tracks right now - Netherlands.,Top 50 - Netherlands
(It Goes Like) Nanana - Edit,https://open.spotify.com/track/1SwmINnHRKk4RiZGdarOv1,(It Goes Like) Nanana,https://open.spotify.com/album/6v3I0eftpzoc1VNR9JoVyc,Peggy Gou,https://open.spotify.com/artist/2mLA48B366zkELXYx7hcDN,2023-11-09,231545,2021-03-27,Your daily update of the most played tracks right now - Netherlands.,Top 50 - Netherlands
(It Goes Like) Nanana - Edit,https://open.spotify.com/track/23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana [Edit],https://open.spotify.com/album/2LVDNOUUy2g8517ZEtQIcK,Peggy Gou,https://open.spotify.com/artist/2mLA48B366zkELXYx7hcDN,2023-06-17,231545,2021-03-27,Your daily update of the most played tracks right now - Netherlands.,Top 50 - Netherlands
(Sittin' On) the Dock of the Bay,https://open.spotify.com/track/3zBhihYUHBmGd2bcQIobrF,The Dock of the Bay (Mono),https://open.spotify.com/album/03HMOcANauhLD0WNrMkmLU,Otis Redding,https://open.spotify.com/artist/60df5JBRRPcnSpsIMxxwQm,2024-11-18,163755,2021-03-27,Your daily update of the most played tracks right now - Netherlands.,Top 50 - Netherlands
0800 HEAVEN,https://open.spotify.com/track/4YUgS4PGLSBI6sbKUxaD3D,0800 HEAVEN,https://open.spotify.com/album/40izf85UJ64znlhMKw2a6r,"Nathan Dawe, Joel Corry, Ella Henderson","https://open.spotify.com/artist/2gduEC76ry33RVurAvT05p, https://open.spotify.com/artist/6DgP9otnZw5z6daOntINxp, https://open.spotify.com/artist/7nDsS0l5ZAzMedVRKPP8F1",2023-07-09,159316,2021-03-27,Your daily update of the most played tracks right now - Netherlands.,Top 50 - Netherlands
0800 HEAVEN,https://open.spotify.com/track/5UThF3rpyCS3sEP36H15W6,0800 HEAVEN (feat. Ella Henderson) [Symmetrik Remix],https://open.spotify.com/album/0JF8SIdrpcaF4Gk24mahv8,"Nathan Dawe, Joel Corry, Ella Henderson","https://open.spotify.com/artist/2gduEC76ry33RVurAvT05p, https://open.spotify.com/artist/6DgP9otnZw5z6daOntINxp, https://open.spotify.com/artist/7nDsS0l5ZAzMedVRKPP8F1",2023-10-20,159316,2021-03-27,Your daily update of the most played tracks right now - Netherlands.,Top 50 - Netherlands
0800 HEAVEN,https://open.spotify.com/track/75KZRDouF6WcfkThhnJSvB,0800 HEAVEN,https://open.spotify.com/album/0ufYMOnoFhramYoTojRkJv,"Nathan Dawe, Joel Corry, Ella Henderson","https://open.spotify.com/artist/2gduEC76ry33RVurAvT05p, https://open.spotify.com/artist/6DgP9otnZw5z6daOntINxp, https://open.spotify.com/artist/7nDsS0l5ZAzMedVRKPP8F1",2023-10-10,159316,2021-03-27,Your daily update of the most played tracks right now - Netherlands.,Top 50 - Netherlands
1 Blik,https://open.spotify.com/track/3YD8JSsQWSyRr3OhIrUR6y,1 Blik,https://open.spotify.com/album/7dp8ZZuptJZo40Jn8OCTMm,"Alessio, Avenue","https://open.spotify.com/artist/6gFuwMAaoJDU6M3c8UHcAj, https://open.spotify.com/artist/5NBiiazDZXAGReVI4U3hPw",2022-09-24,131525,2021-03-27,Your daily update of the most played tracks right now - Netherlands.,Top 50 - Netherlands
1%,https://open.spotify.com/track/3U1sLMV37PoS7i5aApZXIx,El Mehdi,https://open.spotify.com/album/56dovSBK0zVwjDBFgvGL3r,"Bilal Wahib, Kraantje Pappie","https://open.spotify.com/artist/5wV3FoaNbDB6X9INuQvs1K, https://open.spotify.com/artist/5yDkaiPTFbHGWCMXAEBt5Q",2021-11-28,161000,2021-03-27,Your daily update of the most played tracks right now - Netherlands.,Top 50 - Netherlands
10 Keer,https://open.spotify.com/track/0w0ZsbRUjoAONcoO85rPHt,10 Keer,https://open.spotify.com/album/41W52cI3wYlRJZzlQrL092,"Jonna Fraser, Boef","https://open.spotify.com/artist/5adKMaYrGOMyOfnbiLPuHg, https://open.spotify.com/artist/0Jsk5iYMr5aNjHury7blm1",2021-03-27,224140,2021-03-27,Your daily update of the most played tracks right now - Netherlands.,Top 50 - Netherlands
