track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
'Bout It,https://open.spotify.com/track/3414vfp4uaJNFqFFj9sUvz,JMSN,https://open.spotify.com/album/3vxlICTyRDnBXPgEAyUSWT,JMSN,https://open.spotify.com/artist/6HCkJzbswOIc7Qc5TJ1n5l,2025-01-17,394400,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
'Bout It,https://open.spotify.com/track/6UuqotWnq3jkjWqOn6aEkC,JMSN,https://open.spotify.com/album/58m6IYSjq3O58kayn1XoJF,JMSN,https://open.spotify.com/artist/6HCkJzbswOIc7Qc5TJ1n5l,2025-01-13,394400,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
(nendest) narkootikumidest ei tea me (küll) midagi,https://open.spotify.com/track/43IB8nJZTAmlJi9eBAmTrJ,kannatused ehk külakiigel pole stopperit,https://open.spotify.com/album/7mLL0eVJ6aOzQ5I6z9cUwN,"5MIINUST, Puuluup","https://open.spotify.com/artist/6acByqWJeuaM0TX5VoY6an, https://open.spotify.com/artist/7ifYVN4V3DErjxbHDfI0Yx",2024-05-10,167125,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
...Baby One More Time (from Kung Fu Panda 4),https://open.spotify.com/track/7eFJIjNXaC7LzDwloz9WIP,...Baby One More Time (from Kung Fu Panda 4),https://open.spotify.com/album/0GsfxGnifHBtyVIgDJaYJo,Tenacious D,https://open.spotify.com/artist/1XpDYCrUJnvCo9Ez6yeMWh,2024-03-26,192600,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
1 AM,https://open.spotify.com/track/22hKfTC8X8o0ERmsAZNZsj,1 AM,https://open.spotify.com/album/0ebGXft8hjxmul9DxLK4bJ,Civ,https://open.spotify.com/artist/7qXQhtVwPF2ze2dLKpb5LT,2025-02-27,133565,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
100 Push Ups,https://open.spotify.com/track/5OJYxgz6ORI1EhSZzv8aUC,100 Push Ups,https://open.spotify.com/album/7GZmX5gl1AwdWqzGbI4Q6Z,THIZZY52,https://open.spotify.com/artist/1dVKBw8iMPpS1almxwIVI3,2024-12-24,153826,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
11:11,https://open.spotify.com/track/6XIerJ9V7H9byQFRZiqyCv,11:11,https://open.spotify.com/album/6II0CjU8B2JyEgWBBVvtjN,Megara,https://open.spotify.com/artist/4vFcywn3P1b0M4xFe61e23,2024-05-16,180087,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
17,https://open.spotify.com/track/1ABNrdzPgohVWFhXafKVK8,17,https://open.spotify.com/album/3295sqYAEkqSlPczAigOZd,Rap65Killer,https://open.spotify.com/artist/4dCx7ecotIrUKwM0sokuK4,2024-11-02,131959,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
1994,https://open.spotify.com/track/5QllDVWTd3lOLcceZsekwX,1994,https://open.spotify.com/album/57VLBRdEVnK7PBx9fc9mLp,RIN,https://open.spotify.com/artist/18ISxWwWjV6rPLoVCXf1dz,2024-10-08,105331,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
2 days into college,https://open.spotify.com/track/1v4m9GLt7lpFM5iOvwQZrU,2 days into college,https://open.spotify.com/album/1RzErf193ngBH4DRAFZvz3,Aimee Carty,https://open.spotify.com/artist/4LkmOQU5KA6vZgvJHnpQDl,2024-02-13,168113,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
2 Times,https://open.spotify.com/track/03xIKiQXopptD4Sv8ijvcG,2 Times,https://open.spotify.com/album/4wiZ07TwRSwCUTjIXqcriy,"Dimitri Vegas, Steve Aoki, Ann Lee, Sound Of Legend","https://open.spotify.com/artist/2HkAI0YrEcgoR8QdaURqhO, https://open.spotify.com/artist/77AiFEVeAVj2ORpC85QVJs, https://open.spotify.com/artist/1EN7GOzx8aDpiIbVVmQaaC, https://open.spotify.com/artist/3g9yyIlJ0sIunQWJLmIYhn",2024-10-22,131200,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
2 Times,https://open.spotify.com/track/7v4U1UWo5FHd70GRRgzz8c,2 Times,https://open.spotify.com/album/0IeNInzCvCQXfXxmcDWwu1,"Dimitri Vegas, Steve Aoki, Ann Lee, Sound Of Legend","https://open.spotify.com/artist/2HkAI0YrEcgoR8QdaURqhO, https://open.spotify.com/artist/77AiFEVeAVj2ORpC85QVJs, https://open.spotify.com/artist/1EN7GOzx8aDpiIbVVmQaaC, https://open.spotify.com/artist/3g9yyIlJ0sIunQWJLmIYhn",2024-10-25,131200,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
2019,https://open.spotify.com/track/6ufJtLdNwb3f7SznBAx8bt,100Angst,https://open.spotify.com/album/1mzl3m2lukHd4BnDBK3b6b,"Bazzazian, Schmyt","https://open.spotify.com/artist/7k403TjkSs0KANqh7pe9Vn, https://open.spotify.com/artist/2DysK49GjODUdRupTMZrfb",2024-11-05,177307,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
3 Worte,https://open.spotify.com/track/6VogAe87ZjZjgjLpTJWCAG,3 Worte,https://open.spotify.com/album/1rA9JP5of8x3TabXdcbu0p,"ELEHA, Montez","https://open.spotify.com/artist/56mSZjn1q0tcYyC1N2c7TT, https://open.spotify.com/artist/5ZY4M2aGiTaZQEP6HfqeJc",2024-05-28,110262,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
40 Tage,https://open.spotify.com/track/1Bds1PSumHSeVQFqIWc77p,40 Tage,https://open.spotify.com/album/5Ql4MLA6MSB56ZwJ01lPul,Shindy,https://open.spotify.com/artist/5j21TGkrNEAJe3gG9VlS34,2024-11-05,117600,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
530,https://open.spotify.com/track/4hm8BZ7nLceFNZUexWTxx4,VULTURES 2,https://open.spotify.com/album/2LaSVrn1EJc9ouFyp69g4e,"¥$, Kanye West, Ty Dolla $ign","https://open.spotify.com/artist/4xPQFgDA5M2xa0ZGo5iIsv, https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x, https://open.spotify.com/artist/7c0XG5cIJTrrAgEC3ULPiq",2024-08-05,289504,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
6 In the Morning (feat. Nate Dogg),https://open.spotify.com/track/4hGLX2kT2Ayrw0Uh2oQp0J,6 In the Morning (feat. Nate Dogg),https://open.spotify.com/album/1UYXqmZmTj9HA98fJpEwTs,"Flex (UK), Nate Dogg","https://open.spotify.com/artist/2ed1paa4TCZ0C8aLk5xalM, https://open.spotify.com/artist/1Oa0bMld0A3u5OTYfMzp5h",2024-06-07,168000,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
6 In the Morning (feat. Nate Dogg) - Ely Oaks Remix,https://open.spotify.com/track/7hfqhVQXYQBFiZA9ZYmu3W,6 In the Morning (feat. Nate Dogg) - Ely Oaks Remix,https://open.spotify.com/album/1bDr17ZbQ48HcdPPlQqRlD,"Flex (UK), Nate Dogg, Ely Oaks","https://open.spotify.com/artist/2ed1paa4TCZ0C8aLk5xalM, https://open.spotify.com/artist/1Oa0bMld0A3u5OTYfMzp5h, https://open.spotify.com/artist/2MdFJmUQf3ckA99IhFF9my",2024-09-07,140062,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
7 LEERE ZIMMER (feat. Henning May),https://open.spotify.com/track/0GygZGU4rg08x4IxT42Csb,NUR FÜR DICH 2,https://open.spotify.com/album/683tr5kSr4gK2pu5cqqlwf,"Ufo361, Henning May","https://open.spotify.com/artist/5pVRwX5ZQR7hfJ18w8ZYkl, https://open.spotify.com/artist/1cH0i2n6YLrWFDDemqztay",2024-10-29,150380,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
7 Mädchen,https://open.spotify.com/track/13haVESplLXnO0ktYj1Xuu,kleine Feuer,https://open.spotify.com/album/672lt6au46TYlrsYLLvTTa,Paula Hartmann,https://open.spotify.com/artist/3Fl31gc0mEUC2H0JWL1vic,2024-03-26,173186,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
8HT,https://open.spotify.com/track/047hH2x8agj3EEVSo74thP,8HT,https://open.spotify.com/album/2CodLTrHCLmgbUlqk3r79V,LACAZETTE,https://open.spotify.com/artist/7rBed6Ya7Hwa2fXbh5btJE,2024-09-01,151664,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
9K,https://open.spotify.com/track/5a7OJzUyJgvm9SSKQDnXGP,9K,https://open.spotify.com/album/1FKjWHUh8XmfrXUf6JBQS4,"Tom Hengst, OG Keemo","https://open.spotify.com/artist/1KGwASmnB2xhGcJGt9epDc, https://open.spotify.com/artist/4gJT0OnBISFA5CPMNYBGIE",2024-12-03,168131,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
A Bar Song (Tipsy),https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),https://open.spotify.com/album/6egBeCLeGITzGSo5VyRjwZ,Shaboozey,https://open.spotify.com/artist/3y2cIKLjiOlp1Np37WiUdH,2024-04-30,171291,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
A Bar Song (Tipsy),https://open.spotify.com/track/5fZJQrFKWQLb7FpJXZ1g7K,"Where I've Been, Isn't Where I'm Going",https://open.spotify.com/album/0DLvFVIfwt3OHdK9kGeEM3,Shaboozey,https://open.spotify.com/artist/3y2cIKLjiOlp1Np37WiUdH,2024-06-01,171291,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
A Gira,https://open.spotify.com/track/5QwJtoSfJqEPHlNCm46uex,A Gira,https://open.spotify.com/album/2rC25GOtlshiG5XOkXIh1E,unfazed,https://open.spotify.com/artist/6Wum1TGlR5ndmClcDmHeg0,2025-01-28,152325,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
A Little Closer,https://open.spotify.com/track/2wCgQVCF0jhDWiNTFjti7b,A Little Closer,https://open.spotify.com/album/3r1gVvQUJx4W0kOj7yRjrU,Diffrent,https://open.spotify.com/artist/7mycnkT3eOskxxGbN9skkV,2024-05-28,175208,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
A Lot More Free,https://open.spotify.com/track/3i86MS9vF1VCf0h2IEpKWY,Wandering (Love Me Back),https://open.spotify.com/album/3DEtpqVl2R2gEe9fLCa1DE,Max McNown,https://open.spotify.com/artist/340PS4ZcZ4UCBgyrXzEjcp,2024-09-23,198920,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
A Lot More Free,https://open.spotify.com/track/5crNpsZuMt06e81Ppqp4PH,Wandering,https://open.spotify.com/album/6OWfvkLDLekKnwUsO2VUQq,Max McNown,https://open.spotify.com/artist/340PS4ZcZ4UCBgyrXzEjcp,2024-09-13,198920,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
A N X I E T Y (feat. Doechii),https://open.spotify.com/track/3FjK86616FbluOfTxNK2gY,Boy Meets World,https://open.spotify.com/album/2Qq4N5lYtsZspF2QFLKcbY,"Sleepy Hallow, Doechii","https://open.spotify.com/artist/6EPlBSH2RSiettczlz7ihV, https://open.spotify.com/artist/4E2rKHVDssGJm2SCDOMMJB",2025-02-26,148928,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
A Sky Full of Stars,https://open.spotify.com/track/3zQy5XQgh7u50hCCZ6ZGz1,A Sky Full of Stars,https://open.spotify.com/album/7sEcu5WPzy4L3qUz9DcbQ0,Perfect Perspectives,https://open.spotify.com/artist/21UnmryT9an5MpdOWfRSVe,2024-08-22,268678,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
"A venit poliția - From ""Candidatul perfect"" The Movie",https://open.spotify.com/track/4ltU2MHw7l9Mbr7NhbNjLV,"A venit poliția (From ""Candidatul perfect"" The Movie)",https://open.spotify.com/album/60yReiUgnULTHtH4aZduQY,Theo Rose,https://open.spotify.com/artist/264Be2Waq137vybMlFYCnu,2024-11-24,144303,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
A Work of Art,https://open.spotify.com/track/3K7vovoUvysvYih4CNKIOc,A Work of Art (feat. Shavo of System of a Down),https://open.spotify.com/album/4iCfWNu1o6eNEadgJQa4hp,"Ice Nine Kills, SHAVO","https://open.spotify.com/artist/52qKfVcIV4GS8A8Vay2xtt, https://open.spotify.com/artist/3db7IWyJRHjZEViTutNdUR",2024-10-29,238143,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
ABCD,https://open.spotify.com/track/53rB05bAi7JdNbUfgz72I1,NA,https://open.spotify.com/album/40gIiI8skJeWU05P7FoIse,NAYEON,https://open.spotify.com/artist/1VwDG9aBflQupaFNjUru9A,2024-07-07,162840,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
abcdefu,https://open.spotify.com/track/1EWYwWJs8oa2oZnl6WUG5q,Bridgerton Season Three (Covers from the Netflix Series – Pt. 1),https://open.spotify.com/album/4RfuNBOu5bphIjoEc8U4IH,Vitula,https://open.spotify.com/artist/3ceAuexnCz3CpRRLqDI3jG,2024-06-04,173554,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
Abenteuerland,https://open.spotify.com/track/189vFQyTAhpSCsI07yjQVq,Abenteuerland,https://open.spotify.com/album/3quzSBWWSsSon0G4MZE29v,"FiNCH, SDP, Phil The Beat","https://open.spotify.com/artist/1ZyqnbV7Brg5LgyS4EZCUD, https://open.spotify.com/artist/1EfwyuCzDQpCslZc8C9gkG, https://open.spotify.com/artist/35pKZ36ma78w8aE467fRO9",2024-07-09,179087,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
Abracadabra,https://open.spotify.com/track/5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,https://open.spotify.com/album/2I6LyArz82waG94e9V5B9d,Lady Gaga,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,2025-02-18,223398,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
Abseits,https://open.spotify.com/track/0bGkqs88YrcHcqe7XUMbPb,Abseits,https://open.spotify.com/album/2ZDqqE1Yt0VyPj8aMaIG8Z,Mucco,https://open.spotify.com/artist/0AfMiUTAbsDPQSCXmBva4y,2024-10-15,136421,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
Ach Du Liebe Zeit,https://open.spotify.com/track/6Knu3Uggcb1nTDPkKiXFaM,Ach Du Liebe Zeit,https://open.spotify.com/album/166W07TT8Wb8twJnnA4HyP,bac,https://open.spotify.com/artist/1ABhalCH6yn3eS3T46KmvF,2024-10-21,144385,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
Achilles,https://open.spotify.com/track/1Yj9IP75nNp6JntNYOxrzH,Achilles,https://open.spotify.com/album/4Xlm7Jhpp9bkWQ8Hd1Thp8,Berq,https://open.spotify.com/artist/0eVixEZVW2PB1UogwTWXc1,2024-09-20,159428,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
Acid Cry,https://open.spotify.com/track/6cP6IST6zj0sPIDOjmA1JZ,Acid Cry,https://open.spotify.com/album/1mDhi4pdNILU4hxVBWTiAa,Distorted Dreams,https://open.spotify.com/artist/5AbJRK8P9lWfeuVOl6HrgO,2024-02-29,145800,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
act ii: date @ 8,https://open.spotify.com/track/4HMop4Re0iucehmF7mgV27,act ii: date @ 8,https://open.spotify.com/album/77SuFKKJ3OY3ZgvuQNBiFA,4batz,https://open.spotify.com/artist/5fi7lIgJGH3RgUpJYcffQ7,2024-01-29,113684,2024-01-30,Your daily update of the most viral tracks right now - Austria.,Viral 50 - Austria
