track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
,https://open.spotify.com/track/2eKY4TBKeXnUXMtSLj4R0n,,https://open.spotify.com/album/2cfDV7HO5hy7Gw4nHY3igS,,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2021-08-08,151493,2020-10-10,Your daily update of the most played tracks right now - Global.,Top 50 - Global
"""Slut!"" (Taylor's Version) (From The Vault)",https://open.spotify.com/track/71BqAINEnezjQfxE4VuJfq,1989 (Taylor's Version),https://open.spotify.com/album/64LU4c1nfjz1t4VnGhagcg,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2023-10-28,180381,2020-10-10,Your daily update of the most played tracks right now - Global.,Top 50 - Global
(It Goes Like) Nanana - Edit,https://open.spotify.com/track/23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana [Edit],https://open.spotify.com/album/2LVDNOUUy2g8517ZEtQIcK,Peggy Gou,https://open.spotify.com/artist/2mLA48B366zkELXYx7hcDN,2023-07-26,231545,2020-10-10,Your daily update of the most played tracks right now - Global.,Top 50 - Global
+57,https://open.spotify.com/track/3mg9jYNC1NihbthlglzrWP,+57,https://open.spotify.com/album/5TT8KluomuelzsNF7T1U37,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd","https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla, https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo, https://open.spotify.com/artist/6ndLrsgT3MV5CNxIrW71fw, https://open.spotify.com/artist/3m5qlPf2OkihLz3dRYnkPA, https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5, https://open.spotify.com/artist/1r4hJ1h58CWwUQe3MxPuau, https://open.spotify.com/artist/7j6DKwmjbxvpQO8h914uEz, https://open.spotify.com/artist/1TA5sGRlKUJXBN4ZyJuDIX",2024-11-09,298130,2020-10-10,Your daily update of the most played tracks right now - Global.,Top 50 - Global
1 0 0 . m i l ‘ (with Bas),https://open.spotify.com/track/4n6NDfYake476trCjJRNl0,The Off-Season,https://open.spotify.com/album/4JAvwK4APPArjIsOdGoJXX,"J. Cole, Bas","https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5, https://open.spotify.com/artist/70gP6Ry4Uo0Yx6uzPIdaiJ",2021-05-16,163302,2020-10-10,Your daily update of the most played tracks right now - Global.,Top 50 - Global
"1 step forward, 3 steps back",https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg,SOUR,https://open.spotify.com/album/6s84u2TUpR3wdUv4NgKA2j,Olivia Rodrigo,https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG,2021-05-23,163586,2020-10-10,Your daily update of the most played tracks right now - Global.,Top 50 - Global
10:35,https://open.spotify.com/track/6BePGk3eCan4FqaW2X8Qy3,10:35,https://open.spotify.com/album/77wWx9sOCJiy0wcn0P44NO,"Tiësto, Tate McRae","https://open.spotify.com/artist/2o5jDhtHVPhrJdv3cEQ99Z, https://open.spotify.com/artist/45dkTj5sMRSjrmBSBeiHym",2023-01-28,172252,2020-10-10,Your daily update of the most played tracks right now - Global.,Top 50 - Global
120,https://open.spotify.com/track/3KJ3opyV29269SXkPrc19l,EL ÚLTIMO TOUR DEL MUNDO,https://open.spotify.com/album/2d9BCZeAAhiZWPpbX9aPCW,Bad Bunny,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,2020-11-28,151506,2020-10-10,Your daily update of the most played tracks right now - Global.,Top 50 - Global
15 Minutes,https://open.spotify.com/track/1zhvxTuSha22nsUT5Nw8gE,Short n' Sweet (Deluxe),https://open.spotify.com/album/3WzBIQmn2hrulLeTY9smkk,Sabrina Carpenter,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,2025-02-15,191519,2020-10-10,Your daily update of the most played tracks right now - Global.,Top 50 - Global
16 CARRIAGES,https://open.spotify.com/track/7x5ziCOQFir0AQN8dFisK6,COWBOY CARTER,https://open.spotify.com/album/2m1enA3YrMLVvR3q0MqLpL,Beyoncé,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,2024-03-30,227250,2020-10-10,Your daily update of the most played tracks right now - Global.,Top 50 - Global
