track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
02:00,https://open.spotify.com/track/62L3acprR92NoRib0zWigG,JVLIVS III : Ad Finem,https://open.spotify.com/album/6pWHaxvJmknxpUnWh6TcaJ,"SCH, Damso","https://open.spotify.com/artist/2kXKa3aAFngGz2P4GjG5w2, https://open.spotify.com/artist/2UwqpfQtNuhBwviIC0f2ie",2024-12-13,197200,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
100 Bands,https://open.spotify.com/track/4isw5ZvMgv2M8diuxiVHwI,100 Bands,https://open.spotify.com/album/5uwP0s0S5drvKpEWfyTJ4b,"BANKROLL, Zoey Dollaz, Papii Steez, Fat Wizza","https://open.spotify.com/artist/3gGueZQ9YQZ3upy07qk9Gs, https://open.spotify.com/artist/39Uhf21aJFjMLus1j0YGT8, https://open.spotify.com/artist/4OIzn429qOFtnBNtBDTadW, https://open.spotify.com/artist/3Ii1aDfQf8ORimoSGng2AF",2024-08-30,235354,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
16.02.2024,https://open.spotify.com/track/2wiausDIwDizPtRdtE9rqj,Pyramide,https://open.spotify.com/album/2IO8Jize9ml8Gpj4HoJFaF,Werenoi,https://open.spotify.com/artist/3YBJLs7RqR0aPGBgU27nDh,2024-02-23,169128,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
1h55,https://open.spotify.com/track/36kPlvgOwqbdMqMyeioRJN,BDLM VOL.1,https://open.spotify.com/album/7bwHY8zkw9nqxxw1WIQ7Qa,"Tiakola, Rsko, Hamza","https://open.spotify.com/artist/3vUMXQ9kPnZAQkMkZZ7Hfh, https://open.spotify.com/artist/3L774tiJRvPmAS90pOLB44, https://open.spotify.com/artist/5gs4Sm2WQUkcGeikMcVHbh",2024-09-27,227380,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
24h plus tôt,https://open.spotify.com/track/2Mv0GikoJ4MwwfSaYyERKS,J'AI MENTI.,https://open.spotify.com/album/69NQGw0ZEDnhsASkg9MzXr,Damso,https://open.spotify.com/artist/2UwqpfQtNuhBwviIC0f2ie,2024-11-22,256280,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
6G,https://open.spotify.com/track/3kE3VJSOnOqmAXasRyDdfE,AD VITAM ÆTERNAM,https://open.spotify.com/album/5nAPqNlNOBzQjLv3JK5zxM,Booba,https://open.spotify.com/artist/58wXmynHaAWI5hwlPZP3qL,2024-02-16,171974,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
A Bar Song (Tipsy),https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),https://open.spotify.com/album/6egBeCLeGITzGSo5VyRjwZ,Shaboozey,https://open.spotify.com/artist/3y2cIKLjiOlp1Np37WiUdH,2024-05-10,171291,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
A Bar Song (Tipsy),https://open.spotify.com/track/5fZJQrFKWQLb7FpJXZ1g7K,"Where I've Been, Isn't Where I'm Going",https://open.spotify.com/album/0DLvFVIfwt3OHdK9kGeEM3,Shaboozey,https://open.spotify.com/artist/3y2cIKLjiOlp1Np37WiUdH,2024-06-07,171291,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
Abracadabra,https://open.spotify.com/track/5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,https://open.spotify.com/album/2I6LyArz82waG94e9V5B9d,Lady Gaga,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,2025-02-14,223398,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
Africa,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,Toto IV,https://open.spotify.com/album/62U7xIHcID94o20Of5ea4D,TOTO,https://open.spotify.com/artist/0PFtn5NtBbbUNbU9EAmIWF,2025-01-10,295893,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
Aimée pour de vrai (Héléna),https://open.spotify.com/track/5peFNKKLZUaOYE0c3qZNE1,L'album de la promo 2023,https://open.spotify.com/album/7nwA9NO0wjD68jgpeimgcC,Star Academy,https://open.spotify.com/artist/0SkR0pnP9oQ3ghG9juH9hy,2024-03-08,188960,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
Ain't No Sunshine,https://open.spotify.com/track/1k1Bqnv2R0uJXQN4u6LKYt,Just As I Am,https://open.spotify.com/album/6N8uPmDqbgXD3ztkCCfxoo,Bill Withers,https://open.spotify.com/artist/1ThoqLcyIYvZn7iWbj8fsj,2024-04-12,125093,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
Alibi (with Pabllo Vittar & Yseult),https://open.spotify.com/track/5496lks6V3fh1mZAB6IAap,Alibi (with Pabllo Vittar & Yseult),https://open.spotify.com/album/2m0euKZUDcoyEXHIS5MFCq,"Sevdaliza, Pabllo Vittar, Yseult","https://open.spotify.com/artist/5MraexJKZDrQYzS98kNwie, https://open.spotify.com/artist/6tzRZ39aZlNqlUzQlkuhDV, https://open.spotify.com/artist/1QsdzIKkTT5gDFj8GB1cIX",2024-07-19,161655,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
Alibi (with Pabllo Vittar & Yseult),https://open.spotify.com/track/6G15l720kBWvIQZyoEJEYE,Alibi (with Pabllo Vittar & Yseult),https://open.spotify.com/album/4AobWNA72kqOymcHxjhQb7,"Sevdaliza, Pabllo Vittar, Yseult","https://open.spotify.com/artist/5MraexJKZDrQYzS98kNwie, https://open.spotify.com/artist/6tzRZ39aZlNqlUzQlkuhDV, https://open.spotify.com/artist/1QsdzIKkTT5gDFj8GB1cIX",2024-10-04,161655,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
All I Want for Christmas Is You,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Merry Christmas,https://open.spotify.com/album/61ulfFSmmxMhc2wCdmdMkN,Mariah Carey,https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ,2024-11-22,241106,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
All The Stars (with SZA),https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,Black Panther The Album Music From And Inspired By,https://open.spotify.com/album/3pLdWdkj83EYfDN6H2N8MR,"Kendrick Lamar, SZA","https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg, https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP",2025-02-14,232186,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
Alpha,https://open.spotify.com/track/1y7dY7Xu4nWM4SK2dEnoAT,J'AI MENTI.,https://open.spotify.com/album/69NQGw0ZEDnhsASkg9MzXr,"Damso, Kalash","https://open.spotify.com/artist/2UwqpfQtNuhBwviIC0f2ie, https://open.spotify.com/artist/3J7r4VsNmuWixU0nXvyPd8",2024-11-22,168000,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
Another Love,https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO,Long Way Down (Deluxe),https://open.spotify.com/album/0Gf1yE895FKK4YWVRuAeg8,Tom Odell,https://open.spotify.com/artist/2txHhyCwHjUEpJjWrEyqyX,2024-01-26,244360,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
Another Love,https://open.spotify.com/track/5E4jBLx4P0UBji68bBThSw,Long Way Down (Expanded Edition),https://open.spotify.com/album/3t0Quq8X7W90hRP5OQ5S4b,Tom Odell,https://open.spotify.com/artist/2txHhyCwHjUEpJjWrEyqyX,2024-08-23,244360,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
Another Love,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ,Long Way Down,https://open.spotify.com/album/0KGBW1MQtC2aFPCDUdAkdJ,Tom Odell,https://open.spotify.com/artist/2txHhyCwHjUEpJjWrEyqyX,2024-04-12,244360,2024-01-30,Your weekly update of the most played tracks right now - Belgium.,Top Songs - Belgium
