track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
!,https://open.spotify.com/track/2l8y4xSzP1b7oZBvFnpWdA,覚悟を決めろ!,https://open.spotify.com/album/2eoWg1Bc1vn6m4HxSwya2v,サバシスター,https://open.spotify.com/artist/59SCS5djYwMbZv80XDI0pj,2024-03-07,125887,2023-10-14,ドライブ用プレイリスト！渋滞も気にせず、ドライブが楽しくなる楽曲を毎週セレクト！,Drive Loud!: ドライブ・ラウド
+Matter,https://open.spotify.com/track/42s0TTrRssh8ztVmOM2Wya,+Matter,https://open.spotify.com/album/4nLDWr5orZvPtYwF0yrstO,ONE OK ROCK,https://open.spotify.com/artist/7k73EtZwoPs516ZxE72KsO,2024-12-05,232964,2023-10-14,ドライブ用プレイリスト！渋滞も気にせず、ドライブが楽しくなる楽曲を毎週セレクト！,Drive Loud!: ドライブ・ラウド
3D (feat. Jack Harlow),https://open.spotify.com/track/01qFKNWq73UfEslI0GvumE,3D : The Remixes,https://open.spotify.com/album/0fJ0beklzFwoBv01U8792s,"Jung Kook, Jack Harlow","https://open.spotify.com/artist/6HaGTQPmzraVmaVxvz6EUc, https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ",2023-10-12,201812,2023-10-14,ドライブ用プレイリスト！渋滞も気にせず、ドライブが楽しくなる楽曲を毎週セレクト！,Drive Loud!: ドライブ・ラウド
A8番出口,https://open.spotify.com/track/0i9q3Cw9GwnvuSQltZRTYx,A8番出口,https://open.spotify.com/album/1GqgKYbjOxhU8TtzsUsQHl,乃紫,https://open.spotify.com/artist/2rUfBClgdqQ4Svcg0A6gIl,2025-01-13,215748,2023-10-14,ドライブ用プレイリスト！渋滞も気にせず、ドライブが楽しくなる楽曲を毎週セレクト！,Drive Loud!: ドライブ・ラウド
ALL IN MY HEAD,https://open.spotify.com/track/7EapAReosYwfwAZbFYJysV,ALL IN MY HEAD / NO FUN,https://open.spotify.com/album/3bL8GdAgDbtbd6U9iIjS7T,blink-182,https://open.spotify.com/artist/6FBDaR13swtiWwGhX1WQsP,2024-09-06,162805,2023-10-14,ドライブ用プレイリスト！渋滞も気にせず、ドライブが楽しくなる楽曲を毎週セレクト！,Drive Loud!: ドライブ・ラウド
alright (feat. The Kid LAROI),https://open.spotify.com/track/1uQ5oCjZvQsMZaBFAdkSuF,EKKSTACY,https://open.spotify.com/album/5kBHoINYa2WwRaOK3vA7LC,"EKKSTACY, The Kid LAROI","https://open.spotify.com/artist/0ynzbXwyCzxicMKHBoOkSH, https://open.spotify.com/artist/2tIP7SsRs7vjIcLrU85W8J",2024-01-18,129880,2023-10-14,ドライブ用プレイリスト！渋滞も気にせず、ドライブが楽しくなる楽曲を毎週セレクト！,Drive Loud!: ドライブ・ラウド
APT.,https://open.spotify.com/track/5vNRhkKd0yEAg8suGBpjeY,APT.,https://open.spotify.com/album/2IYQwwgxgOIn7t3iF6ufFD,"ROSÉ, Bruno Mars","https://open.spotify.com/artist/3eVa5w3URK5duf6eyVDbu9, https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C",2024-10-26,169917,2023-10-14,ドライブ用プレイリスト！渋滞も気にせず、ドライブが楽しくなる楽曲を毎週セレクト！,Drive Loud!: ドライブ・ラウド
As It Was,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,Harry's House,https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h,Harry Styles,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3,2023-10-12,167303,2023-10-14,ドライブ用プレイリスト！渋滞も気にせず、ドライブが楽しくなる楽曲を毎週セレクト！,Drive Loud!: ドライブ・ラウド
BABY SAID,https://open.spotify.com/track/2KReCz1L5XkGIBhDncQ5VZ,RUSH!,https://open.spotify.com/album/2KUaR4K36tSliwAoUA1gcs,Måneskin,https://open.spotify.com/artist/0lAWpj5szCSwM4rUMHYmrr,2023-10-12,164682,2023-10-14,ドライブ用プレイリスト！渋滞も気にせず、ドライブが楽しくなる楽曲を毎週セレクト！,Drive Loud!: ドライブ・ラウド
bad idea right?,https://open.spotify.com/track/3IX0yuEVvDbnqUwMBB3ouC,GUTS,https://open.spotify.com/album/1xJHno7SmdVtZAtXbdbDZp,Olivia Rodrigo,https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG,2023-10-12,184783,2023-10-14,ドライブ用プレイリスト！渋滞も気にせず、ドライブが楽しくなる楽曲を毎週セレクト！,Drive Loud!: ドライブ・ラウド
Bangai Hen,https://open.spotify.com/track/2oFpPPGoIMwpo76ksUH8h1,Namiutsu Kokoro o Mochinagara,https://open.spotify.com/album/2AqgPeRgCAYar0Yh6pVedu,Kaneyorimasaru,https://open.spotify.com/artist/5h5smZjPHUEDyYNuafjehf,2024-02-08,200466,2023-10-14,ドライブ用プレイリスト！渋滞も気にせず、ドライブが楽しくなる楽曲を毎週セレクト！,Drive Loud!: ドライブ・ラウド
