track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
9 to 5,https://open.spotify.com/track/4w3tQBXhn5345eUXDGBWZG,9 To 5 And Odd Jobs,https://open.spotify.com/album/64Ky1tqKPfwxhJs6msphWd,Dolly Parton,https://open.spotify.com/artist/32vWCbZh0xZ4o9gkz4PsEU,2021-10-22,162466,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
A Broken Wing,https://open.spotify.com/track/6L52op4ykljA5o3u0FSiB7,Greatest Hits,https://open.spotify.com/album/467Cag6qid9mjW2hpnIcFi,Martina McBride,https://open.spotify.com/artist/3P33qFNGBVXl86yQYWspFj,2021-10-22,215933,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
A Girl's Gotta Do (What A Girl's Gotta Do),https://open.spotify.com/track/0i0katW8NnCcCSchmhQUzg,Ten Thousand Angels,https://open.spotify.com/album/52a0Dg2pHH0RbwwVFYcl7F,Mindy McCready,https://open.spotify.com/artist/2uB5sjjJwj4kB6TrRGLYJO,2021-10-22,159800,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
A Little Past Little Rock,https://open.spotify.com/track/3Xl5apC8UhqZ1FZ7u3HHfO,Greatest Hits,https://open.spotify.com/album/3Tdb9TrHS3ne1SjFqBYA5V,"Lee Ann Womack, Jason Sellers","https://open.spotify.com/artist/738OS3zrCO782uDiUN9pet, https://open.spotify.com/artist/5TRj3DqC4pcZaTIGFq99Bg",2021-10-22,256026,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
Any Man Of Mine,https://open.spotify.com/track/0pdfN7nOHMYmKykzu1cyfm,The Woman In Me,https://open.spotify.com/album/3wDeIA9tJU0uNlsroUdcYK,Shania Twain,https://open.spotify.com/artist/5e4Dhzv426EvQe3aDb64jL,2021-10-22,246760,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
Baby I Lied,https://open.spotify.com/track/5KqGrafc3paz7bNPju5Ne9,Cheat the Night,https://open.spotify.com/album/6ZMLxQUzTCjKYB1IVhAgLM,Deborah Allen,https://open.spotify.com/artist/0WO15UbgUyKKtn1anzZP5u,2021-10-22,250120,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
Better Things To Do,https://open.spotify.com/track/29V94tQgMoSJjbzuTliPj6,Terri Clark,https://open.spotify.com/album/2uxYbAeebAr68avY0b9vv0,Terri Clark,https://open.spotify.com/artist/0HLOP0AdsaWe5Pt5TNueGC,2021-10-22,188133,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
Blame It on Your Heart,https://open.spotify.com/track/1mICUTQCbRkAvGmO0cwoAz,Only What I Feel,https://open.spotify.com/album/4ZyxBpJuAeEcrW2waHYuiB,Patty Loveless,https://open.spotify.com/artist/6SFUC6ORDCIBqPssCBpeHT,2022-03-01,213693,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
Blanket On The Ground,https://open.spotify.com/track/7mTBUlWPquXPQzDg8yGLlJ,Country Greats,https://open.spotify.com/album/2m7xJ3oCOzUKMhHIaFsdwG,Billie Jo Spears,https://open.spotify.com/artist/3Xt0yrWeurmp48fodXqMWf,2021-10-22,215360,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
Blue,https://open.spotify.com/track/1g5EcKDECPxeI7kgkvcbxm,Blue,https://open.spotify.com/album/0gHvXXQ36Lz30Romr24rF6,LeAnn Rimes,https://open.spotify.com/artist/2d3VHzlOEwXvmBdS4pzOPL,2021-10-22,169546,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
Blue Bayou,https://open.spotify.com/track/3zxklD2EGecZre9MjEEvIU,Simple Dreams,https://open.spotify.com/album/15lJi5fAnWPltCKBTUbTry,Linda Ronstadt,https://open.spotify.com/artist/1sXbwvCQLGZnaH0Jp2HTVc,2021-10-22,239399,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
Breathe,https://open.spotify.com/track/3y4LxiYMgDl4RethdzpmNe,Breathe,https://open.spotify.com/album/3BGPil8BDPVoDK0lnUPtvb,Faith Hill,https://open.spotify.com/artist/25NQNriVT2YbSW80ILRWJa,2021-10-22,250546,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
Bye-Bye,https://open.spotify.com/track/2ntHn11Aeg0foJEqByRybL,All-Time Greatest Hits,https://open.spotify.com/album/2W0uJ9ehsjiInD1CDvVHHX,Jo Dee Messina,https://open.spotify.com/artist/3ltFy7g6KKQPPttsdOMlq3,2021-10-22,200960,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
Can I Sleep In Your Arms,https://open.spotify.com/track/5QCRmgCNVFTrGWUoIA2Y7u,20 All Time Greatest Hits,https://open.spotify.com/album/0OLuf06Au1Tfr6n7h7Wx5l,Jeannie Seely,https://open.spotify.com/artist/0i9f82nIFjrLnnsf2YX3vY,2022-03-01,187600,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
Coal Miner's Daughter,https://open.spotify.com/track/1em1d8w28YNTYz5U3NNFc1,20 #1's: Classic Country,https://open.spotify.com/album/2kCdzYHccdKQbPUA6Xkwxp,Loretta Lynn,https://open.spotify.com/artist/1FE0rls8gfQT3laAeRYNgl,2021-10-22,181666,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
Coal Miner's Daughter - Single Version,https://open.spotify.com/track/48YTGYDGj7sJv7Gj0b5DrZ,Happy Mother's Day Y'all,https://open.spotify.com/album/7de0tgPmcZOZmxQ5DwyT4B,Loretta Lynn,https://open.spotify.com/artist/1FE0rls8gfQT3laAeRYNgl,2022-03-18,178253,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
Coal Miner's Daughter - Single Version,https://open.spotify.com/track/3mM14WXoPaLRjjkmxHe99L,Coal Miner's Daughter,https://open.spotify.com/album/2SayIIdZkrtb9I4BbdnyOr,Loretta Lynn,https://open.spotify.com/artist/1FE0rls8gfQT3laAeRYNgl,2022-03-18,180960,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
Cowboy Take Me Away,https://open.spotify.com/track/3rXCZRMiMZp0feGcYXpwYX,Fly,https://open.spotify.com/album/3y6G5El2I6QrJA9BdfAbqA,The Chicks,https://open.spotify.com/artist/25IG9fa7cbdmCIy3OnuH57,2021-10-22,287266,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
Crazy - Single Version,https://open.spotify.com/track/2vILNBzNcHRUqoqaAh1mTu,Country Queens,https://open.spotify.com/album/6WANlC3gkajxLjCmaCNJdR,"Patsy Cline, The Jordanaires","https://open.spotify.com/artist/7dNsHhGeGU5MV01r06O8gK, https://open.spotify.com/artist/6CXezToiGS8K6jr9kr8Muv",2022-03-18,161773,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
Crazy - Single Version,https://open.spotify.com/track/4DuBNU1r50XEv4dvsrQcpY,Gold,https://open.spotify.com/album/3kwl00I9hJSfwfWc4T3NAx,"Patsy Cline, The Jordanaires","https://open.spotify.com/artist/7dNsHhGeGU5MV01r06O8gK, https://open.spotify.com/artist/6CXezToiGS8K6jr9kr8Muv",2021-10-22,162133,2022-01-02,The Women who put Country Music on the map. Cover: Loretta Lynn,Legendary Women of Country
