track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
0121 Do One,https://open.spotify.com/track/02wFfnZKAuBcyxjtaxWwIA,Do One EP,https://open.spotify.com/album/5aGWQJq8ewvgKOgRpIFddl,"Chloé Robinson, DJ ADHD","https://open.spotify.com/artist/0Qpm94Bbsi44jMAXg0cI66, https://open.spotify.com/artist/7hOtK8fa4BkYO3CvLMpZCo",2023-11-06,189473,2022-06-05,"the deep & minimal side of house and techno ⛏️⛏️ 
with Chris Stussy",Deep & Minimal
15 Seconds of Fame - Edit,https://open.spotify.com/track/1Q8WZ2aN87ld2vcb9UmrTB,15 Seconds of Fame (Edit),https://open.spotify.com/album/1gNrTjstak4TqiaozWWGur,Kolter,https://open.spotify.com/artist/2Invsp3HSrAeJy4u7Retry,2024-10-18,221538,2022-06-05,"the deep & minimal side of house and techno ⛏️⛏️ 
with Chris Stussy",Deep & Minimal
50 INCH WOOFAS,https://open.spotify.com/track/2kOP8eEvrgn2L53r4HXRpg,50 INCH WOOFAS,https://open.spotify.com/album/6MfCmQMFgRkhfkJsGBatyb,"Facu Baez, Braydon Terzo","https://open.spotify.com/artist/22HYVpPiieQRJsUxZslfBN, https://open.spotify.com/artist/7aPGojZ1i1CpRKa83QyUTq",2024-08-16,176264,2022-06-05,"the deep & minimal side of house and techno ⛏️⛏️ 
with Chris Stussy",Deep & Minimal
7am Germany,https://open.spotify.com/track/3KXZX9xiAMOp1jX81RpiGx,DR-EP-2068,https://open.spotify.com/album/1PB5Z6p5whpyCiQoHXId4y,"Ben Hixon, theMIND, Phoelix","https://open.spotify.com/artist/3vT3Rpg0Mhu1iayVKeKjwP, https://open.spotify.com/artist/5ZK5YGazICLXEXlaNnEBqP, https://open.spotify.com/artist/2TKC2gVUNBUAlFqfLUoaj0",2024-04-19,232006,2022-06-05,"the deep & minimal side of house and techno ⛏️⛏️ 
with Chris Stussy",Deep & Minimal
A Walk In The Park - Moodymann Remix,https://open.spotify.com/track/4L1cTkm5pw0OluxjVVYZF9,A Walk In The Park (Moodymann Remix),https://open.spotify.com/album/17lrQ0gDXaJh5RvtFWlE6u,"DJ Minx, Moodymann","https://open.spotify.com/artist/4PTQtiKISN5iGNpbRVv02B, https://open.spotify.com/artist/6pohviZSNRueSX7uNu63ZX",2023-08-25,322560,2022-06-05,"the deep & minimal side of house and techno ⛏️⛏️ 
with Chris Stussy",Deep & Minimal
About The Music,https://open.spotify.com/track/0Ph74XX0SkUkarkGgqJHnw,Snatch! OFF 071,https://open.spotify.com/album/1DVCoT2C4LRHfuTJj3qxjg,"Riva Starr, Oliver Dollar, Mikey V","https://open.spotify.com/artist/1TRFAJu3Cw64APToZaGk9D, https://open.spotify.com/artist/38Z7dMMVB0YYbKn4fDYNz3, https://open.spotify.com/artist/5M6HuH4A69abqbnpT4IjQe",2022-07-29,186190,2022-06-05,"the deep & minimal side of house and techno ⛏️⛏️ 
with Chris Stussy",Deep & Minimal
Aether,https://open.spotify.com/track/4EPLcCSJNzPXFelheUF1oF,Third Time Lucky,https://open.spotify.com/album/3Dpji7REpcY9ixrbeLoJoQ,Harrison BDP,https://open.spotify.com/artist/4i3y3MC57rWYNAdYlE6HM3,2024-06-17,536182,2022-06-05,"the deep & minimal side of house and techno ⛏️⛏️ 
with Chris Stussy",Deep & Minimal
Alive - Radio Edit,https://open.spotify.com/track/18V03JCrwP7DLel4T55bpJ,Alive,https://open.spotify.com/album/5KJCpe9JburdcTRSjHGxL7,Ronnie Spiteri,https://open.spotify.com/artist/7tH1Y2LeCe2LUxvru8y7Df,2025-01-10,210000,2022-06-05,"the deep & minimal side of house and techno ⛏️⛏️ 
with Chris Stussy",Deep & Minimal
All I Want - Original Mix,https://open.spotify.com/track/4K7SNSClE8UWzRPpNtOs8M,All I Want,https://open.spotify.com/album/6UCnUv9fK4XoTGaeSVxuHz,The Archer,https://open.spotify.com/artist/2e9kCl7laD7bkZLLAnkKTU,2022-08-19,243809,2022-06-05,"the deep & minimal side of house and techno ⛏️⛏️ 
with Chris Stussy",Deep & Minimal
All In Everything - 6th Borough Project Remix,https://open.spotify.com/track/6Fn2E9OHrrtX1ejQuN12bc,All In Everything (6th Borough Project Remixes),https://open.spotify.com/album/4uL9FtCN3XbRYTvUPwT9QO,"Fish Go Deep, 6th Borough Project","https://open.spotify.com/artist/0fOlkKkWVb6gOtwUXL2i0y, https://open.spotify.com/artist/77EHTiQeGUXODuYDBMfnU4",2025-02-16,511475,2022-06-05,"the deep & minimal side of house and techno ⛏️⛏️ 
with Chris Stussy",Deep & Minimal
