track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
#3allmyteam,https://open.spotify.com/track/2JulhUijvUexOhAG3JK9QJ,#3badman,https://open.spotify.com/album/1JXjUfTih1xgq1VT2OCYRO,Snoee Badman,https://open.spotify.com/artist/5xNfUAoQGkcNnNDn2CnXKm,2022-09-14,179200,2022-09-15,"Love, sex, and heartbreak. Listen to the official playlist for Heartbreak High, now on Netflix.
",Heartbreak High: Official Playlist
(It Goes Like) Nanana,https://open.spotify.com/track/5Hijdt7rmbj9fUJdXEs6Nz,(It Goes Like) Nanana,https://open.spotify.com/album/6v3I0eftpzoc1VNR9JoVyc,Peggy Gou,https://open.spotify.com/artist/2mLA48B366zkELXYx7hcDN,2024-04-11,367613,2022-09-15,"Love, sex, and heartbreak. Listen to the official playlist for Heartbreak High, now on Netflix.
",Heartbreak High: Official Playlist
1 2 3,https://open.spotify.com/track/2A56P24X4JyMFNd8s0E6Ff,1 2 3,https://open.spotify.com/album/5dYHH4oGupJSs2YQaq66ue,Leon Hesby,https://open.spotify.com/artist/15ScD5k2YHWkmAsESiMRTU,2024-04-11,160878,2022-09-15,"Love, sex, and heartbreak. Listen to the official playlist for Heartbreak High, now on Netflix.
",Heartbreak High: Official Playlist
3 AM,https://open.spotify.com/track/1zLH9CLHFlCQ22stPDOgei,Women In Music Pt. III,https://open.spotify.com/album/396EJBtUzseofX2YCBJVvM,HAIM,https://open.spotify.com/artist/4Ui2kfOqGujY81UcPrb5KE,2022-09-14,190133,2022-09-15,"Love, sex, and heartbreak. Listen to the official playlist for Heartbreak High, now on Netflix.
",Heartbreak High: Official Playlist
A Thousand Miles,https://open.spotify.com/track/4w1lzcaoZ1IC2K5TwjalRP,Be Not Nobody,https://open.spotify.com/album/5e7T2qUigzt0oIr50KsOld,Vanessa Carlton,https://open.spotify.com/artist/5ILrArfIV0tMURcHJN8Q07,2022-09-14,237493,2022-09-15,"Love, sex, and heartbreak. Listen to the official playlist for Heartbreak High, now on Netflix.
",Heartbreak High: Official Playlist
Addy (feat. Sevy),https://open.spotify.com/track/31MxX98bguX07cn0JCEjpb,GLYPH,https://open.spotify.com/album/01ukt6uUhOmr6N9TvAsUrE,"Teether, Kuya Neil, Sevy","https://open.spotify.com/artist/4rWywJgjoeVMO8LY87xYZo, https://open.spotify.com/artist/2VOung9TCgKNkNNnRklTAY, https://open.spotify.com/artist/1JWlma0hnqcELOIFZVl03u",2022-09-14,161144,2022-09-15,"Love, sex, and heartbreak. Listen to the official playlist for Heartbreak High, now on Netflix.
",Heartbreak High: Official Playlist
Affection,https://open.spotify.com/track/3fTxLcPR2i8b9yIrvNScuC,Affection,https://open.spotify.com/album/2mz3UwcraODF5DIF7AnpDE,yunè pinku,https://open.spotify.com/artist/2sY4BbYrbvNVgsNzo6HddD,2022-09-14,219936,2022-09-15,"Love, sex, and heartbreak. Listen to the official playlist for Heartbreak High, now on Netflix.
",Heartbreak High: Official Playlist
Ali,https://open.spotify.com/track/11QldcMVspnUddjDnAphNh,Wuga,https://open.spotify.com/album/1467fembeTXa1UUD8ulqsN,Omega Sapien,https://open.spotify.com/artist/46KQM3HJyONaKRTbcfNPlU,2024-04-11,159685,2022-09-15,"Love, sex, and heartbreak. Listen to the official playlist for Heartbreak High, now on Netflix.
",Heartbreak High: Official Playlist
All I Have to Offer You (Is Me),https://open.spotify.com/track/4kmTlqtjkxHdcratIAj5Uu,The Essential Charley Pride,https://open.spotify.com/album/4ALGvSzcQF4SD9WXLyDI75,Charley Pride,https://open.spotify.com/artist/69Fk1s1lzINOKqoSWjjEiE,2024-04-11,180933,2022-09-15,"Love, sex, and heartbreak. Listen to the official playlist for Heartbreak High, now on Netflix.
",Heartbreak High: Official Playlist
All Over You,https://open.spotify.com/track/26nEOtqK9WaiwpOFX64Rml,All Over You,https://open.spotify.com/album/6xbTYcDAKikNrbnhCFLBr2,A.GIRL,https://open.spotify.com/artist/3oy9LLKC0pjYsIVAi7GHVW,2022-09-14,205842,2022-09-15,"Love, sex, and heartbreak. Listen to the official playlist for Heartbreak High, now on Netflix.
",Heartbreak High: Official Playlist
