track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
9 to 5,https://open.spotify.com/track/4GJbtX8H1qS2oLDUtXFrb5,TROLLS Band Together (Original Motion Picture Soundtrack) [Deluxe Edition],https://open.spotify.com/album/4Hd2fHOUEo7CJL7ol5oDyH,Zosia Mamet,https://open.spotify.com/artist/2589W31FXcAH8WBvJCJRWr,2023-11-17,87146,2022-04-19,"There are some new trolls on the block. Rock your body to the music from Trolls, including Trolls Band Together. ",Trolls Official Playlist
Atomic Dog,https://open.spotify.com/track/4cgodXjv4TfrooNQxvlO4O,Computer Games,https://open.spotify.com/album/36FlhEnhgkDwk371cG8nav,George Clinton,https://open.spotify.com/artist/2GVBp7QyHckoOg7rYkLvrA,2021-11-26,287106,2022-04-19,"There are some new trolls on the block. Rock your body to the music from Trolls, including Trolls Band Together. ",Trolls Official Playlist
Atomic Dog World Tour Remix,https://open.spotify.com/track/5t6N3Gn8oJf3GZliOjv3Yd,TROLLS World Tour (Original Motion Picture Soundtrack),https://open.spotify.com/album/1jOcKmWE1mUEnyt6JdLTr8,"Parliament, Anderson .Paak, Mary J. Blige","https://open.spotify.com/artist/5SMVzTJyKFJ7TUb46DglcH, https://open.spotify.com/artist/3jK9MiCrA42lLAdMGUZpwa, https://open.spotify.com/artist/1XkoF8ryArs86LZvFOkbyr",2021-11-26,257279,2022-04-19,"There are some new trolls on the block. Rock your body to the music from Trolls, including Trolls Band Together. ",Trolls Official Playlist
Barracuda,https://open.spotify.com/track/4KfSdst7rW39C0sfhArdrz,Little Queen,https://open.spotify.com/album/1LaeNhiUpL3X6N0LcFvuDF,Heart,https://open.spotify.com/artist/34jw2BbxjoYalTp8cJFCPv,2021-11-26,261933,2022-04-19,"There are some new trolls on the block. Rock your body to the music from Trolls, including Trolls Band Together. ",Trolls Official Playlist
Barracuda,https://open.spotify.com/track/04753LTNIuoQaQ4ATBcHzY,TROLLS World Tour (Original Motion Picture Soundtrack),https://open.spotify.com/album/1jOcKmWE1mUEnyt6JdLTr8,Rachel Bloom,https://open.spotify.com/artist/2tCT4ybLKzhFYsDF6ZOKAY,2021-11-26,246080,2022-04-19,"There are some new trolls on the block. Rock your body to the music from Trolls, including Trolls Band Together. ",Trolls Official Playlist
Best Day Ever,https://open.spotify.com/track/2JSd29ATGEql12Ecx0UTnA,DreamWorks Trolls - The Beat Goes On!,https://open.spotify.com/album/1zw9LWtiAU1UiZW2D2RyVX,Poppy,https://open.spotify.com/artist/6Qz2gLHNk9JULr7HzsEBDg,2021-11-26,149840,2022-04-19,"There are some new trolls on the block. Rock your body to the music from Trolls, including Trolls Band Together. ",Trolls Official Playlist
Better Place (From TROLLS Band Together),https://open.spotify.com/track/1bHnRc60O1N0l3PbHjaKyK,Better Place (From TROLLS Band Together),https://open.spotify.com/album/6kF2smJylLgcekEyliE3p8,"*NSYNC, Justin Timberlake","https://open.spotify.com/artist/6Ff53KvcvAj5U7Z1vojB5o, https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7",2023-10-04,216666,2022-04-19,"There are some new trolls on the block. Rock your body to the music from Trolls, including Trolls Band Together. ",Trolls Official Playlist
Better Place - Tiësto Remix,https://open.spotify.com/track/1CHnNHvOJOiTdHHfHQSZYC,TROLLS Band Together (Original Motion Picture Soundtrack) [Deluxe Edition],https://open.spotify.com/album/4Hd2fHOUEo7CJL7ol5oDyH,"*NSYNC, Tiësto","https://open.spotify.com/artist/6Ff53KvcvAj5U7Z1vojB5o, https://open.spotify.com/artist/2o5jDhtHVPhrJdv3cEQ99Z",2023-11-17,182506,2022-04-19,"There are some new trolls on the block. Rock your body to the music from Trolls, including Trolls Band Together. ",Trolls Official Playlist
Born to Die,https://open.spotify.com/track/5Y5b0wokJqZxaefDVRm43v,TROLLS World Tour (Original Motion Picture Soundtrack),https://open.spotify.com/album/1jOcKmWE1mUEnyt6JdLTr8,Kelly Clarkson,https://open.spotify.com/artist/3BmGtnKgCSGYIUhmivXKWX,2021-11-26,205786,2022-04-19,"There are some new trolls on the block. Rock your body to the music from Trolls, including Trolls Band Together. ",Trolls Official Playlist
BroZone's Back,https://open.spotify.com/track/4RRIzAHAHMBd2VivYuF5Ap,TROLLS Band Together (Original Motion Picture Soundtrack) [Deluxe Edition],https://open.spotify.com/album/4Hd2fHOUEo7CJL7ol5oDyH,"Justin Timberlake, Eric Andre, Daveed Diggs, Anna Kendrick","https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7, https://open.spotify.com/artist/65b4bZsoMS43PhlilVEzke, https://open.spotify.com/artist/3twuAojvYNrlWZpMkxLm3P, https://open.spotify.com/artist/6xfqnpe2HnLVUaYXs2F8YS",2023-11-17,81666,2022-04-19,"There are some new trolls on the block. Rock your body to the music from Trolls, including Trolls Band Together. ",Trolls Official Playlist
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",https://open.spotify.com/track/1WkMMavIMc4JZ8cfMmxHkI,TROLLS (Original Motion Picture Soundtrack),https://open.spotify.com/album/65ayND23IInUPHJKsaAqe7,Justin Timberlake,https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7,2021-11-26,237546,2022-04-19,"There are some new trolls on the block. Rock your body to the music from Trolls, including Trolls Band Together. ",Trolls Official Playlist
