track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(I Can't Get No) Satisfaction,https://open.spotify.com/track/7ymdy7mDLTkgHrU8EsM8jc,Hardcore (Collector's Edition),https://open.spotify.com/album/6X6epKdQFwLT731S0SMyx6,DEVO,https://open.spotify.com/artist/0UKfenbZb15sqhfPC6zbt3,2023-09-25,180733,2022-05-30,"Finish together. Listen to the official playlist for Sex Education, now streaming on Netflix. ",Sex Education Official Playlist
(You Drive Me) Crazy,https://open.spotify.com/track/1DSJNBNhGZCigg9ll5VeZv,...Baby One More Time (Digital Deluxe Version),https://open.spotify.com/album/3WNxdumkSMGMJRhEgK80qx,Britney Spears,https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4,2021-10-26,198066,2022-05-30,"Finish together. Listen to the official playlist for Sex Education, now streaming on Netflix. ",Sex Education Official Playlist
(Your Love Keeps Lifting Me) Higher & Higher,https://open.spotify.com/track/5qyq1H5OPMlfuvZQ1wQNo7,Higher And Higher,https://open.spotify.com/album/4OgYmImCWz3VK7At9GTWHN,Jackie Wilson,https://open.spotify.com/artist/4VnomLtKTm9Ahe1tZfmZju,2023-08-22,179120,2022-05-30,"Finish together. Listen to the official playlist for Sex Education, now streaming on Netflix. ",Sex Education Official Playlist
(Your Love Keeps Lifting Me) Higher & Higher,https://open.spotify.com/track/4TBBPZks71c60whhq0PgdP,The Ultimate Jackie Wilson,https://open.spotify.com/album/1NXxURGbIYbunQfXmChHAl,Jackie Wilson,https://open.spotify.com/artist/4VnomLtKTm9Ahe1tZfmZju,2021-10-26,181066,2022-05-30,"Finish together. Listen to the official playlist for Sex Education, now streaming on Netflix. ",Sex Education Official Playlist
2 Become 1,https://open.spotify.com/track/36AWdhZIGLUTkWpJDhe7va,Spice,https://open.spotify.com/album/3x2jF7blR6bFHtk4MccsyJ,Spice Girls,https://open.spotify.com/artist/0uq5PttqEjj3IH1bzwcrXF,2023-09-21,241026,2022-05-30,"Finish together. Listen to the official playlist for Sex Education, now streaming on Netflix. ",Sex Education Official Playlist
A Kiss To Build A Dream On,https://open.spotify.com/track/6GtJqo0vr7DqWOHQtp77cV,"Hello, Dolly! (Remastered)",https://open.spotify.com/album/213k6pbTGOHxlMpz5lb7zC,Louis Armstrong,https://open.spotify.com/artist/19eLuQmk9aCobbVDHc6eek,2023-08-22,271333,2022-05-30,"Finish together. Listen to the official playlist for Sex Education, now streaming on Netflix. ",Sex Education Official Playlist
A Leader Always Carries a Stick,https://open.spotify.com/track/1qCSMWPJBlak9Uz03IHfvE,Sorry for the Delay,https://open.spotify.com/album/5xoQ4ZO61r39zz3Fn7mNT9,Grizzly Bear,https://open.spotify.com/artist/2Jv5eshHtLycR6R8KQCdc4,2023-08-22,250626,2022-05-30,"Finish together. Listen to the official playlist for Sex Education, now streaming on Netflix. ",Sex Education Official Playlist
A Little Respect,https://open.spotify.com/track/2RVQIq7bLi4Eu6xHPyQ46t,The Innocents,https://open.spotify.com/album/7BS88XlHgbYq4bEnO6sICd,Erasure,https://open.spotify.com/artist/0z5DFXmhT4ZNzWElsM7V89,2023-09-21,213373,2022-05-30,"Finish together. Listen to the official playlist for Sex Education, now streaming on Netflix. ",Sex Education Official Playlist
Ain't No Love In The Heart Of The City - Single Version,https://open.spotify.com/track/4qYHnP5AmKzXbJhciPV8si,Dreamer,https://open.spotify.com/album/5OkHt7JZ6HSkJH359y2H31,"Bobby ""Blue"" Bland",https://open.spotify.com/artist/48nwxUvPJZkm8uPa7xMzmj,2023-08-22,233560,2022-05-30,"Finish together. Listen to the official playlist for Sex Education, now streaming on Netflix. ",Sex Education Official Playlist
Ain't Nobody,https://open.spotify.com/track/2NVpYQqdraEcQwqT7GhUkh,"Epiphany: The Best of Chaka Khan, Vol. 1",https://open.spotify.com/album/3qeheeurjW0lNtf9d7hJLe,Chaka Khan,https://open.spotify.com/artist/6mQfAAqZGBzIfrmlZCeaYT,2023-09-21,280853,2022-05-30,"Finish together. Listen to the official playlist for Sex Education, now streaming on Netflix. ",Sex Education Official Playlist
Allez donc vous faire bronzer,https://open.spotify.com/track/7ma87nv4jgpXfjlwMFOvLn,Les trésors de Sacha Distel,https://open.spotify.com/album/4X7jv7kMduXpxuTwpzH0wV,Sacha Distel,https://open.spotify.com/artist/1si0MhutSLRlQbxiBV08tz,2023-08-22,196613,2022-05-30,"Finish together. Listen to the official playlist for Sex Education, now streaming on Netflix. ",Sex Education Official Playlist
Alright,https://open.spotify.com/track/5CQvKyzkWI7TnUu2oB9QZ0,I Should Coco,https://open.spotify.com/album/4XeQWsW3K9qjfv5FP9Jtcv,Supergrass,https://open.spotify.com/artist/0sHeX8oQ6o7xic3wMf4NBU,2023-09-25,180880,2022-05-30,"Finish together. Listen to the official playlist for Sex Education, now streaming on Netflix. ",Sex Education Official Playlist
