track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Al-Naafyish - Time,https://open.spotify.com/track/6nDk4QT1fDe0S86PxijTUE,Al-Naafyish,https://open.spotify.com/album/7uOndksGzmAduRTenxvVIt,Hashim,https://open.spotify.com/artist/6AWyFSk8mBekuHeotBV1Jx,2020-08-28,374666,2023-05-31,Funky blips and blops,Electro Funk
Bad Times (I Can’t Stand It),https://open.spotify.com/track/0QBsvWt6ETINvdIOXk8r8y,Magic Disc Records- West Coast Rap-thology,https://open.spotify.com/album/4Sc3xG1esf2GPawfbacqTX,Captain Rapp,https://open.spotify.com/artist/2vFDldd30bospeUYKowjrA,2020-08-28,335546,2023-05-31,Funky blips and blops,Electro Funk
Beat the Street,https://open.spotify.com/track/41F97acqBc7aMzwD224kRR,Beat the Street: The Very Best of Sharon Redd,https://open.spotify.com/album/3EOCA2DlYoeTIYjQauWDXM,Sharon Redd,https://open.spotify.com/artist/2kUUaHnVe0rRarZqRZgHEY,2020-08-28,375546,2023-05-31,Funky blips and blops,Electro Funk
Body Work,https://open.spotify.com/track/5gcLUfLPnfi8GMkRSrM2gO,Breakin' (Original Motion Picture Soundtrack),https://open.spotify.com/album/26t5mXFJxvVphBv2iRZwcX,Hot Streak,https://open.spotify.com/artist/4xzzrt8hBV9crpgXcLKXyd,2020-08-28,265066,2023-05-31,Funky blips and blops,Electro Funk
Buffalo Gals,https://open.spotify.com/track/4gCo2r1gCEw70OAq9cF1uW,Duck Rock,https://open.spotify.com/album/6S4f7yDtJlS0iQMEuCtIF0,Malcolm McLaren,https://open.spotify.com/artist/4ihCM8I0fpWodgjo0mTlhZ,2020-08-28,259426,2023-05-31,Funky blips and blops,Electro Funk
Call Me Up,https://open.spotify.com/track/50oH96vYAuUy0PUaxY6FeW,Call Me Up,https://open.spotify.com/album/7wbGGlVNSqFOB0GXiC4S0d,Bromar,https://open.spotify.com/artist/4EG6PjDBrNbpKdQft6rk5S,2020-08-28,403320,2023-05-31,Funky blips and blops,Electro Funk
Clear,https://open.spotify.com/track/6ktxc1Nf5UV7hBpkGlmhYJ,Clear,https://open.spotify.com/album/4BdkOvBqRW8oKMlo7CPYJt,Cybotron,https://open.spotify.com/artist/5Mr6zawZ90BzjY14EROmSm,2020-08-28,294533,2023-05-31,Funky blips and blops,Electro Funk
Clear - Jose “Animal” Diaz Remix,https://open.spotify.com/track/5NKHUvpRs7zr0yOQjx8Exr,Clear,https://open.spotify.com/album/2a81I8YLdT49A5LWHxetcC,Cybotron,https://open.spotify.com/artist/5Mr6zawZ90BzjY14EROmSm,2020-08-28,294533,2023-05-31,Funky blips and blops,Electro Funk
Computer Age (Push the Button),https://open.spotify.com/track/4GoIiZIrZ4t2IzfAYFSHSC,Jam On Revenge,https://open.spotify.com/album/06IJFUuCwW3iokYxgXjCYe,Newcleus,https://open.spotify.com/artist/5X8Tt3rIpdy8VR78KEhZ6C,2020-08-28,460146,2023-05-31,Funky blips and blops,Electro Funk
Computer Games,https://open.spotify.com/track/1BaRblvDOrRVcix5JMCOzH,Soul Jazz Records presents SPACE FUNK - Afro-Futurist Electro Funk in Space 1976-84,https://open.spotify.com/album/7FyxIddviuFxayIXXIl358,Frank Cornilius,https://open.spotify.com/artist/1bIUFsfnVKZgYdavMkXEme,2020-08-28,296040,2023-05-31,Funky blips and blops,Electro Funk
Computer Games,https://open.spotify.com/track/6X2dcZ5T5ytZp10XM2tlpo,Soul Jazz Records presents SPACE FUNK - Afro-Futurist Electro Funk in Space 1976-84,https://open.spotify.com/album/5ThrbrIXfa7CbL34g1FH0f,Frank Cornilius,https://open.spotify.com/artist/1bIUFsfnVKZgYdavMkXEme,2020-08-28,296040,2023-05-31,Funky blips and blops,Electro Funk
Cutie Pie,https://open.spotify.com/track/3kim6v8wY7HLPaNmw99SxD,Cutie Pie,https://open.spotify.com/album/0mxxWnON99ABmmeQdqX8Ds,One Way,https://open.spotify.com/artist/001aJOc7CSQVo3XzoLG4DK,2020-08-28,328893,2023-05-31,Funky blips and blops,Electro Funk
Dance Floor,https://open.spotify.com/track/6d4XP98nTswxMycT6fdZNN,Zapp II,https://open.spotify.com/album/7ew8Rwv8ICZUhLPteXPcbk,Zapp,https://open.spotify.com/artist/396Kh0m4wGUvcMUULw71yi,2020-08-28,642853,2023-05-31,Funky blips and blops,Electro Funk
Do It (Let Me See You Shake),https://open.spotify.com/track/5QIPJPkYq0QwhDSD0hA4of,The Best Of The Bar-Kays (Vol. 2),https://open.spotify.com/album/59ZStF17nEWBFrbfGH2gOI,The Bar-Kays,https://open.spotify.com/artist/0Z4CzYz9ieK8q9XiVMPkW5,2020-08-28,251960,2023-05-31,Funky blips and blops,Electro Funk
Egypt Egypt,https://open.spotify.com/track/6noajkkuZkla4d8E6sYUiY,On the Nile,https://open.spotify.com/album/1jS5YBMTwMnFRoteVHOi3i,The Egyptian Lover,https://open.spotify.com/artist/6GGVr7WgIWhsnJNdGyPklP,2020-08-28,319413,2023-05-31,Funky blips and blops,Electro Funk
Electric Kingdom,https://open.spotify.com/track/1XCKE65GRGauDKnyFAKDN5,Twilight 22,https://open.spotify.com/album/7bLnAbhQOanjUiJqYq076m,Twilight 22,https://open.spotify.com/artist/6duhLtz5KONtwVxwX4ka6B,2020-08-28,286040,2023-05-31,Funky blips and blops,Electro Funk
Electricity,https://open.spotify.com/track/1pSI4VjT9OD0lk6wcrBUjI,Greatest Hits,https://open.spotify.com/album/4s7ceLc5ZtNLxPOiWOFXay,Midnight Star,https://open.spotify.com/artist/0KMLfCXYb3Dhf1hLpu8cVd,2020-08-28,419466,2023-05-31,Funky blips and blops,Electro Funk
Erotic City - Make Love Not War Erotic City Come Alive; Extended Version; 2017 Remaster,https://open.spotify.com/track/14TRnDQpggU8mpAzQ4Y3GL,Purple Rain (Deluxe Expanded Edition),https://open.spotify.com/album/12DmuRtZNTx84ELHKD3VGL,Prince,https://open.spotify.com/artist/5a2EaR3hamoenG9rDuVn8j,2020-08-28,443933,2023-05-31,Funky blips and blops,Electro Funk
