track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(This Is A) Warning,https://open.spotify.com/track/5lwxdOLjLqdnRie4QinJke,(This Is A) Warning,https://open.spotify.com/album/64Y1ELBGERSq1vXMkhQlGg,"Danny Howard, Joshwa, Mahalia Fontaine","https://open.spotify.com/artist/14MtanGZe4G1fzC8raLFUK, https://open.spotify.com/artist/1PzAgFVk9v8cxn9flrqrv5, https://open.spotify.com/artist/1asOp99xmKnDYookkkt3il",2025-01-10,176250,2021-12-21,"The biggest house bangers popping off in the UK, let's go! Jamie Jones, Green Velvet",UK House Music
0121 Do One,https://open.spotify.com/track/02wFfnZKAuBcyxjtaxWwIA,Do One EP,https://open.spotify.com/album/5aGWQJq8ewvgKOgRpIFddl,"Chloé Robinson, DJ ADHD","https://open.spotify.com/artist/0Qpm94Bbsi44jMAXg0cI66, https://open.spotify.com/artist/7hOtK8fa4BkYO3CvLMpZCo",2023-11-10,189473,2021-12-21,"The biggest house bangers popping off in the UK, let's go! Jamie Jones, Green Velvet",UK House Music
079,https://open.spotify.com/track/1ULaCASWLNrzg76Jt3VDWd,079,https://open.spotify.com/album/717BskCJ1pYenCuIzoEPW6,"Rain Radio, Block Notice","https://open.spotify.com/artist/2T8o1YNgbgsE41xb62AlRY, https://open.spotify.com/artist/60rugLFQWUwxQEAT8ViGzq",2022-02-18,168200,2021-12-21,"The biggest house bangers popping off in the UK, let's go! Jamie Jones, Green Velvet",UK House Music
101010101 (3D),https://open.spotify.com/track/1yhijEkkmMwl147cwwvKQa,101010101 (3D),https://open.spotify.com/album/2IFMYjtdNgjkZCZD625Wo0,Black Girl / White Girl,https://open.spotify.com/artist/4suufHyoFCOPWuFgTdQVPz,2022-10-13,161001,2021-12-21,"The biggest house bangers popping off in the UK, let's go! Jamie Jones, Green Velvet",UK House Music
365,https://open.spotify.com/track/5roFM0I1K6um2yIYL6kGq2,365,https://open.spotify.com/album/2Wt63cwVvjqezpEdQcmlkI,"Biscits, Camden Cox","https://open.spotify.com/artist/052B9SONfhoScw7dgYWw5o, https://open.spotify.com/artist/5mNpMP01Co4vXZ3U0fWP3C",2023-09-15,192755,2021-12-21,"The biggest house bangers popping off in the UK, let's go! Jamie Jones, Green Velvet",UK House Music
365 (Thr33 6ix 5ive),https://open.spotify.com/track/5Q4MxA344M8VyFieIC4YTk,365 (Thr33 6ix 5ive),https://open.spotify.com/album/2CPEiNpmYAciWrkFNPUgQC,HoneyLuv,https://open.spotify.com/artist/1sl3gVNz3Nxd4poA8f76sl,2022-06-13,151283,2021-12-21,"The biggest house bangers popping off in the UK, let's go! Jamie Jones, Green Velvet",UK House Music
3AM,https://open.spotify.com/track/6EYhXoxf4PyABbPjTmRBw7,Home,https://open.spotify.com/album/3PxjuDDfOWcW3oQITgX1Ru,"Elaine Mai, MayKay","https://open.spotify.com/artist/0wRHsCARScopB5WmbQzMcy, https://open.spotify.com/artist/3OalRjoYt3pFvLf8u37QFI",2021-12-17,251613,2021-12-21,"The biggest house bangers popping off in the UK, let's go! Jamie Jones, Green Velvet",UK House Music
7 Seconds (feat. Shamiya Battles) - Radio Edit,https://open.spotify.com/track/4HVELk51Nc1UF7jb1nzIRT,7 Seconds (feat. Shamiya Battles) [Radio Edit],https://open.spotify.com/album/6i3MFLyojYO4kteUSnWaVG,"James Hype, Shamiya Battles","https://open.spotify.com/artist/43BxCL6t4c73BQnIJtry5v, https://open.spotify.com/artist/3NTdPQSh0JSz5c5AGngQyE",2024-09-05,92226,2021-12-21,"The biggest house bangers popping off in the UK, let's go! Jamie Jones, Green Velvet",UK House Music
A Call Out For Love,https://open.spotify.com/track/4CwiAGMzgLZf0K5fhPRIz8,A Call Out For Love,https://open.spotify.com/album/0etWkVuK3tK4Vmfc3Moduv,"Alan Fitzpatrick, LOWES","https://open.spotify.com/artist/40JyDxGqtYSowWYT2jaive, https://open.spotify.com/artist/1mbybf2CrAiwWiznqA8R3g",2021-12-17,206233,2021-12-21,"The biggest house bangers popping off in the UK, let's go! Jamie Jones, Green Velvet",UK House Music
A Drug From God,https://open.spotify.com/track/4skbQNtyjy8A7mo8oqe2oD,A Drug From God,https://open.spotify.com/album/6tZzL3lTVgWhJb2cE2jz1f,"Chris Lake, NPC","https://open.spotify.com/artist/5Igpc9iLZ3YGtKeYfSrrOE, https://open.spotify.com/artist/3YEsNNbHlb88K9QCog4R0Y",2021-12-17,192455,2021-12-21,"The biggest house bangers popping off in the UK, let's go! Jamie Jones, Green Velvet",UK House Music
