track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"16th, August (feat. UMIN)",https://open.spotify.com/track/0KV4M3GiDDzUcgGRjP1K0m,HOW BOYS SPEND SUMMER,https://open.spotify.com/album/3SGtx5qfeb7iK1BJWUhmLf,"BEENCHILD, UMIN","https://open.spotify.com/artist/3vvpLtZAUEQdrB6qJaPwLv, https://open.spotify.com/artist/5ORlIjaJuLBWxacswDZl3P",2024-11-29,283480,2023-11-04,차분하고 감성적인 음악들과 함께 편안한 밤 되세요 :) (Listen to K-Pop sleeping songs),zZZ 잘자요
a colored pencil,https://open.spotify.com/track/1NjI04swvcr8FoRG4zUMEO,a colored pencil,https://open.spotify.com/album/2C6ViIZSGgYQRnCrK3nDel,soyo Jeong,https://open.spotify.com/artist/7dLpL1oQcGgZzQdhbJIpwR,2024-08-13,301500,2023-11-04,차분하고 감성적인 음악들과 함께 편안한 밤 되세요 :) (Listen to K-Pop sleeping songs),zZZ 잘자요
A long dream (Full Ver.),https://open.spotify.com/track/6Mw5Gg8WGqsTWE5LpoWpGi,Zombie daughter (Original Soundtrack) : A long dream,https://open.spotify.com/album/7zr4nKroD3nQUDsHLSOzCd,ThorThor,https://open.spotify.com/artist/59i2jZRFSm4qh7QqhyoU9V,2023-11-03,213972,2023-11-04,차분하고 감성적인 음악들과 함께 편안한 밤 되세요 :) (Listen to K-Pop sleeping songs),zZZ 잘자요
a story to tell (Original Ver.),https://open.spotify.com/track/7s1qstK42U47xyFOJHiqhH,Beautiful GunbarI OST,https://open.spotify.com/album/6J9aBraciskBz10VIcOwo5,Betty,https://open.spotify.com/artist/3BakCONT5qkN5wyybtOUhW,2023-11-03,171500,2023-11-04,차분하고 감성적인 음악들과 함께 편안한 밤 되세요 :) (Listen to K-Pop sleeping songs),zZZ 잘자요
Absence,https://open.spotify.com/track/7hE2rSWy9S5tTYwaDUhJZp,Absence,https://open.spotify.com/album/4j1X1n3KTXW5Umj4tbVMu9,Song Hee-ran,https://open.spotify.com/artist/28gcQqqgp3H072b9NRkSOW,2024-03-08,196500,2023-11-04,차분하고 감성적인 음악들과 함께 편안한 밤 되세요 :) (Listen to K-Pop sleeping songs),zZZ 잘자요
Answer (stripped),https://open.spotify.com/track/5IpxJA8Wz0lX58IP7pyVhI,Answer (stripped),https://open.spotify.com/album/7Cz6lmKK3rCibiIYLDHeke,Krr,https://open.spotify.com/artist/2wCEpu2tMAildqH0BrJNT7,2023-11-03,182520,2023-11-04,차분하고 감성적인 음악들과 함께 편안한 밤 되세요 :) (Listen to K-Pop sleeping songs),zZZ 잘자요
Bad (feat. Ji ahn),https://open.spotify.com/track/17NkIhmtTSLJe36c4avYpd,illusion,https://open.spotify.com/album/2maGAQ0vI0etyfBhxDd7oq,"YooShin, Ji ahn","https://open.spotify.com/artist/2EzuG4WW4xOYNjMIxVddHn, https://open.spotify.com/artist/7p5TxIRVe3keYFDbXp5frm",2024-08-13,156428,2023-11-04,차분하고 감성적인 음악들과 함께 편안한 밤 되세요 :) (Listen to K-Pop sleeping songs),zZZ 잘자요
Behind Your Side,https://open.spotify.com/track/7fREUPT71OY4K46OV7RdOy,Behind Your Side,https://open.spotify.com/album/0mG4lz5ipXjQ5ExYoKY77H,Leeyeongwon,https://open.spotify.com/artist/0AIMYibUrV6pg7YTgugZLM,2024-10-08,236286,2023-11-04,차분하고 감성적인 음악들과 함께 편안한 밤 되세요 :) (Listen to K-Pop sleeping songs),zZZ 잘자요
But I'm Trying To Tell You How Much I Love You (with Moonbit),https://open.spotify.com/track/3k8zcUpzJjDrJ5RC297q1w,Remember,https://open.spotify.com/album/0TYEpVePmN48ssaj40OrMy,"saevom, Moonbit","https://open.spotify.com/artist/4GAVUIrGNz35VbCFfHTsca, https://open.spotify.com/artist/5rwDc7dGKrtZg9TN1vsSPx",2023-11-03,253226,2023-11-04,차분하고 감성적인 음악들과 함께 편안한 밤 되세요 :) (Listen to K-Pop sleeping songs),zZZ 잘자요
Call me now,https://open.spotify.com/track/7AfXFqHlw1HVRPobCInpsU,Call me now,https://open.spotify.com/album/31a95WflUiSabbWq0RAchF,JI JIN SEOK,https://open.spotify.com/artist/5iwc2ZJnuU9g4F6JaAY6Zw,2023-11-03,233520,2023-11-04,차분하고 감성적인 음악들과 함께 편안한 밤 되세요 :) (Listen to K-Pop sleeping songs),zZZ 잘자요
Choose You,https://open.spotify.com/track/6sTvm65LQPE0kjBVTVjVOm,STELLA I,https://open.spotify.com/album/1TCX395u7CaSsCLtiwsMAN,Stella Jang,https://open.spotify.com/artist/2Y9AUayH5pyZpVfkDYDfJV,2023-11-03,245000,2023-11-04,차분하고 감성적인 음악들과 함께 편안한 밤 되세요 :) (Listen to K-Pop sleeping songs),zZZ 잘자요
dawn,https://open.spotify.com/track/3fUFxDs2Edus1oe5HxaqOT,dawn,https://open.spotify.com/album/0x1GXi4uJ7fMPdCkKmPbCm,Swon,https://open.spotify.com/artist/2s1VMSW1ooLGKqO5eLAguQ,2024-08-13,189520,2023-11-04,차분하고 감성적인 음악들과 함께 편안한 밤 되세요 :) (Listen to K-Pop sleeping songs),zZZ 잘자요
dear heart,https://open.spotify.com/track/1l8m2AYyklcReKPLQcGH9d,Demo songs,https://open.spotify.com/album/6MnPLoqYKHzJuzoh2CIxxi,Kim Hyunchang,https://open.spotify.com/artist/2IEHO7wbuUKxOVkMKaT5KB,2023-11-03,246874,2023-11-04,차분하고 감성적인 음악들과 함께 편안한 밤 되세요 :) (Listen to K-Pop sleeping songs),zZZ 잘자요
