track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"""Burgers"" avec Freddy Gladieux",https://open.spotify.com/episode/47Jw3UX5oxRjVQDzNqYRu7,SUR PAROLE !,https://open.spotify.com/album/7gTm3tG09OCQrxhJHIuhIV,SUR PAROLE !,https://open.spotify.com/show/7gTm3tG09OCQrxhJHIuhIV,2024-07-22,4112194,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
"""Je marche seul"" avec Adrien Menielle",https://open.spotify.com/episode/1lkj1QAtdbnQqDfug1X0ZB,SUR PAROLE !,https://open.spotify.com/album/7gTm3tG09OCQrxhJHIuhIV,SUR PAROLE !,https://open.spotify.com/show/7gTm3tG09OCQrxhJHIuhIV,2024-04-25,4549302,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
"""Je ne suis pas un héros"" avec Julien Santini",https://open.spotify.com/episode/0poInOtlnfO4omHBkxGiuG,SUR PAROLE !,https://open.spotify.com/album/7gTm3tG09OCQrxhJHIuhIV,SUR PAROLE !,https://open.spotify.com/show/7gTm3tG09OCQrxhJHIuhIV,2024-04-25,4535170,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
"""Le chat"" avec Jérome Niel",https://open.spotify.com/episode/0BYFLbAq1GE0WKNtgKFwmk,SUR PAROLE !,https://open.spotify.com/album/7gTm3tG09OCQrxhJHIuhIV,SUR PAROLE !,https://open.spotify.com/show/7gTm3tG09OCQrxhJHIuhIV,2024-09-23,4199418,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
"""Les Marquises"" avec Hervé",https://open.spotify.com/episode/09EgTzGLrNEIsxErcxissl,SUR PAROLE !,https://open.spotify.com/album/7gTm3tG09OCQrxhJHIuhIV,SUR PAROLE !,https://open.spotify.com/show/7gTm3tG09OCQrxhJHIuhIV,2025-01-28,4553534,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
"""Résiste"" avec Nach",https://open.spotify.com/episode/4sGA8UaiMVj52MJ9J4znvp,SUR PAROLE !,https://open.spotify.com/album/7gTm3tG09OCQrxhJHIuhIV,SUR PAROLE !,https://open.spotify.com/show/7gTm3tG09OCQrxhJHIuhIV,2024-09-23,3387533,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
"""Voici les clefs"" avec Florent Bernard",https://open.spotify.com/episode/6YU2ZEu7S8dZknun1UYIX7,SUR PAROLE !,https://open.spotify.com/album/7gTm3tG09OCQrxhJHIuhIV,SUR PAROLE !,https://open.spotify.com/show/7gTm3tG09OCQrxhJHIuhIV,2024-07-22,6404545,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
#09 – Audrey Pirault : Comment trouver sa voie ?,https://open.spotify.com/episode/4AfnheDxOqz2oodnq0sFqO,Inspiration Créative,https://open.spotify.com/show/7KMLK2h4Y1yxrLlCi6bdZi,Inspiration Créative,https://open.spotify.com/show/7KMLK2h4Y1yxrLlCi6bdZi,2022-07-28,4212938,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
#19 - Marion Séclin : Comment enfin passer à l'action sur ses projets ?,https://open.spotify.com/episode/36Q6YrTGNdhHIG56IczAb7,Inspiration Créative,https://open.spotify.com/show/7KMLK2h4Y1yxrLlCi6bdZi,Inspiration Créative,https://open.spotify.com/show/7KMLK2h4Y1yxrLlCi6bdZi,2022-07-28,4168272,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
#35 Ziz - Du champ à la ville,https://open.spotify.com/episode/7yV0NzHAUqyLtOWRVMJSde,Mamie dans les orties,https://open.spotify.com/show/2Mu1ySuRo9VTX88cPY2yUl,Mamie dans les orties,https://open.spotify.com/show/2Mu1ySuRo9VTX88cPY2yUl,2022-07-28,2977418,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
#36 - Natacha Birds : Ne jamais attendre pour réinventer sa vie,https://open.spotify.com/episode/5N0kl3NsTGgfeEnJjfdlgI,Inspiration Créative,https://open.spotify.com/show/7KMLK2h4Y1yxrLlCi6bdZi,Inspiration Créative,https://open.spotify.com/show/7KMLK2h4Y1yxrLlCi6bdZi,2022-07-28,3780888,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
#5 Jacqueline - La force tranquille,https://open.spotify.com/episode/4tkzJSRCWzrXY81IY6GeUR,Mamie dans les orties,https://open.spotify.com/show/2Mu1ySuRo9VTX88cPY2yUl,Mamie dans les orties,https://open.spotify.com/show/2Mu1ySuRo9VTX88cPY2yUl,2022-07-28,2904137,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
"#6 Dora - Ode à la joie, partie 1 ",https://open.spotify.com/episode/7K46fKzNYzZh5tD3vWbTwn,Mamie dans les orties,https://open.spotify.com/show/2Mu1ySuRo9VTX88cPY2yUl,Mamie dans les orties,https://open.spotify.com/show/2Mu1ySuRo9VTX88cPY2yUl,2022-07-28,1897880,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
10 choses que je veux faire en novembre TO DO LIST,https://open.spotify.com/episode/1uDVro9sLjxzPRd3ABgxmX,Pause Active ⏸️,https://open.spotify.com/album/63ARCSJ6dmDcfJ5oOHxTtX,Pause Active ⏸️,https://open.spotify.com/show/63ARCSJ6dmDcfJ5oOHxTtX,2024-11-12,1561025,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
1h d'histoires FLIPPANTES qui pourraient vous arriver (elles viennent TOUTES de VOUS)...,https://open.spotify.com/episode/4tfoEGrzisaL5wHXVm85S5,HISTOIRES D'HORREUR,https://open.spotify.com/album/7BcivaoKPOWFDXYtp9D5KF,HISTOIRES D'HORREUR,https://open.spotify.com/show/7BcivaoKPOWFDXYtp9D5KF,2024-12-09,3664618,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
2 ans ensemble (beaucoup d'amour là),https://open.spotify.com/episode/1z9HNLXIyR8MHxKTGj6xzc,Simple Cafeine,https://open.spotify.com/album/0OJKTN6NhsYKIGNGOBcHLv,Simple Cafeine,https://open.spotify.com/show/0OJKTN6NhsYKIGNGOBcHLv,2024-04-25,1533492,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
3 DANGEREUSES HISTOIRES D'HORREUR en France... (ça se trouve à côté de chez toi),https://open.spotify.com/episode/6HcYBSuWXYogRweEZsCtF8,HISTOIRES D'HORREUR,https://open.spotify.com/album/7BcivaoKPOWFDXYtp9D5KF,HISTOIRES D'HORREUR,https://open.spotify.com/show/7BcivaoKPOWFDXYtp9D5KF,2025-01-06,1205802,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
3 HISTOIRES D'HORREUR que vous n'oublierez pas...,https://open.spotify.com/episode/639kTbdbBLVBMNmdUiO3YN,HISTOIRES D'HORREUR,https://open.spotify.com/album/7BcivaoKPOWFDXYtp9D5KF,HISTOIRES D'HORREUR,https://open.spotify.com/show/7BcivaoKPOWFDXYtp9D5KF,2025-01-06,1385173,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
3 HISTOIRES D'HORREUR qui vous feront quitter les réseaux.,https://open.spotify.com/episode/7h4ZTXLHG22oLF2hva4Xl2,HISTOIRES D'HORREUR,https://open.spotify.com/album/7BcivaoKPOWFDXYtp9D5KF,HISTOIRES D'HORREUR,https://open.spotify.com/show/7BcivaoKPOWFDXYtp9D5KF,2025-01-06,1255338,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
6 HISTOIRES D'HORREUR que vous n'oublierez jamais...,https://open.spotify.com/episode/3B7VbAZkk0rTblaktPrHTM,HISTOIRES D'HORREUR,https://open.spotify.com/album/7BcivaoKPOWFDXYtp9D5KF,HISTOIRES D'HORREUR,https://open.spotify.com/show/7BcivaoKPOWFDXYtp9D5KF,2025-02-10,1696533,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
6 HISTOIRES D'HORREUR qui vous empêcheront de DORMIR ce soir...,https://open.spotify.com/episode/1mRGbpvafWRsbkhqrrJaCF,HISTOIRES D'HORREUR,https://open.spotify.com/album/7BcivaoKPOWFDXYtp9D5KF,HISTOIRES D'HORREUR,https://open.spotify.com/show/7BcivaoKPOWFDXYtp9D5KF,2025-02-10,1989248,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
6 petites habitudes qui ont un grand impact sur ton quotidien,https://open.spotify.com/episode/0N02C4yE5GcIbuCULLmvca,Pause Active ⏸️,https://open.spotify.com/album/63ARCSJ6dmDcfJ5oOHxTtX,Pause Active ⏸️,https://open.spotify.com/show/63ARCSJ6dmDcfJ5oOHxTtX,2025-01-06,1106651,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
A écouter en allant au travail pour te motiver,https://open.spotify.com/episode/3aB81PsRYPBhmsDsgtilKp,Pause Active ⏸️,https://open.spotify.com/album/63ARCSJ6dmDcfJ5oOHxTtX,Pause Active ⏸️,https://open.spotify.com/show/63ARCSJ6dmDcfJ5oOHxTtX,2024-11-12,1014935,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
A écouter pour arrêter de stresser au travail,https://open.spotify.com/episode/0NgyZzrq8ZhlAwxJHRDbxi,Pause Active ⏸️,https://open.spotify.com/album/63ARCSJ6dmDcfJ5oOHxTtX,Pause Active ⏸️,https://open.spotify.com/show/63ARCSJ6dmDcfJ5oOHxTtX,2024-12-09,1115715,2022-09-17,Découvrez les créateurs de demain.,RADAR Creators France
