track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
19 - Josh Butler Remix,https://open.spotify.com/track/5GiM1m00X51F9MpREgqy23,19,https://open.spotify.com/album/1ZUfDvXGzk8AQCrZl1g5Dv,"Piem, ANNNA, Josh Butler","https://open.spotify.com/artist/08st4VKj9jjZJ5eKzAOHq8, https://open.spotify.com/artist/6paIiBu0X4cvePrfNpD2QY, https://open.spotify.com/artist/0EAlTKO2HfATH766bVH1rX",2021-07-24,186689,2022-04-09,"<a href=""spotify:genre:0JQ5DAqbMKFwT0m6BbKvGP"">Disco</a>, house, funk and soul for the good times.",Poolside Disco
1995,https://open.spotify.com/track/17w2wuWpKr9iTr6cH2AFlT,1995,https://open.spotify.com/album/0aFwFwf7V1cXqefElALhJu,"Thomas Newson, Sllash & Doppe","https://open.spotify.com/artist/66MrdPDHTjnnMOTBmC81q5, https://open.spotify.com/artist/1mPUNeOkJql5onhKwqiLMj",2023-07-07,184250,2022-04-09,"<a href=""spotify:genre:0JQ5DAqbMKFwT0m6BbKvGP"">Disco</a>, house, funk and soul for the good times.",Poolside Disco
24 (Turn It Up) (Radio Edit),https://open.spotify.com/track/2QJoGGYG3hUZswfzYI6bBC,24 (Turn It Up) (Radio Edit),https://open.spotify.com/album/2s9zNqmUbiwUbF4xSAFFQJ,"ANOTR, Kurtis Wells","https://open.spotify.com/artist/4p5WgeiPSPpqPDs7T6OkWf, https://open.spotify.com/artist/2HOnhVnbETGW5Q9TVdZm0S",2024-09-27,191084,2022-04-09,"<a href=""spotify:genre:0JQ5DAqbMKFwT0m6BbKvGP"">Disco</a>, house, funk and soul for the good times.",Poolside Disco
<3 beat,https://open.spotify.com/track/5LU0XONtCOg9zduG7t0CZI,comic relief,https://open.spotify.com/album/0atx8iYFmiwntVxFkr7Fou,David Bay,https://open.spotify.com/artist/5yHK7mClF5i8Jabk8IKISo,2023-12-15,197733,2022-04-09,"<a href=""spotify:genre:0JQ5DAqbMKFwT0m6BbKvGP"">Disco</a>, house, funk and soul for the good times.",Poolside Disco
Aboutchu,https://open.spotify.com/track/7bttLEX8382hapywl6M2JJ,Aboutchu,https://open.spotify.com/album/1yJH7iGpEeE2F5QxBTYo4s,Wake the Wild,https://open.spotify.com/artist/3gi0dYfoSKUqGYRO9Ixhf9,2023-05-19,172384,2022-04-09,"<a href=""spotify:genre:0JQ5DAqbMKFwT0m6BbKvGP"">Disco</a>, house, funk and soul for the good times.",Poolside Disco
Actually,https://open.spotify.com/track/3hN5cipCofNVspWVkToiQD,Small Moments,https://open.spotify.com/album/75GwgzYvvgaJQS6DooqcIC,Dan Kye,https://open.spotify.com/artist/05YrP00agTrYezUyAsukKf,2023-05-19,227486,2022-04-09,"<a href=""spotify:genre:0JQ5DAqbMKFwT0m6BbKvGP"">Disco</a>, house, funk and soul for the good times.",Poolside Disco
Alfa,https://open.spotify.com/track/0Z3a7SIDVOUvZFgr73qq0V,Alfa,https://open.spotify.com/album/4uO8oJ4NuITPSvTnP33EfY,Crackazat,https://open.spotify.com/artist/2PagBkTVHoKFjuxtCJp3As,2022-06-20,285772,2022-04-09,"<a href=""spotify:genre:0JQ5DAqbMKFwT0m6BbKvGP"">Disco</a>, house, funk and soul for the good times.",Poolside Disco
Alfa - Original Mix,https://open.spotify.com/track/1UabDxiLk78adOCYuQzhpu,Alfa EP,https://open.spotify.com/album/6nHbGBXnZxCP0PAq2Wt4rd,Crackazat,https://open.spotify.com/artist/2PagBkTVHoKFjuxtCJp3As,2021-07-24,285772,2022-04-09,"<a href=""spotify:genre:0JQ5DAqbMKFwT0m6BbKvGP"">Disco</a>, house, funk and soul for the good times.",Poolside Disco
Alive,https://open.spotify.com/track/4FwONW4SVwATjB6NzixQLA,Alive,https://open.spotify.com/album/4PsfJhxKRBk068ucj9qfxW,"Satin Jackets, Panama","https://open.spotify.com/artist/5Gn7NoCZvbVlGgtZMILRcv, https://open.spotify.com/artist/3W9UldYu0xJcaOAw2SUTDI",2023-06-09,230854,2022-04-09,"<a href=""spotify:genre:0JQ5DAqbMKFwT0m6BbKvGP"">Disco</a>, house, funk and soul for the good times.",Poolside Disco
All Day,https://open.spotify.com/track/49S2zEVuoV3BcA2mdyowiA,Made 4 U,https://open.spotify.com/album/7MtJoa3DKfwRls9963YtqX,"Wake the Wild, Eren Cannata, Aaron Janik","https://open.spotify.com/artist/3gi0dYfoSKUqGYRO9Ixhf9, https://open.spotify.com/artist/41RREi0dkr25wYIjgL6O69, https://open.spotify.com/artist/29HcxjpgVWYBjERb3VGmmL",2023-05-19,186074,2022-04-09,"<a href=""spotify:genre:0JQ5DAqbMKFwT0m6BbKvGP"">Disco</a>, house, funk and soul for the good times.",Poolside Disco
