track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Adagio,https://open.spotify.com/track/7MZE5hpTg0LsnRonlnDPlI,O Sole Mio - Postcards from Italy,https://open.spotify.com/album/7pcFItUc0OIKQTAAyaKkV8,Ameritz Sound Effects,https://open.spotify.com/artist/2lQqfjdsGdZ4cUpvHD4ul1,2021-08-13,134946,2022-05-01,Beautiful mandolin music to accompany your Italian supper. Buon appetito.,Trattoria Italiana
Adagio,https://open.spotify.com/track/7s8ZstmS6N1MJO7pdcJ8Si,Don Julin,https://open.spotify.com/album/48RcT7yNHDXSWfZEdhR3dK,Don Julin,https://open.spotify.com/artist/7fqbIY3YTlJvcXw1jmWb14,2021-08-13,138576,2022-05-01,Beautiful mandolin music to accompany your Italian supper. Buon appetito.,Trattoria Italiana
Al Di La,https://open.spotify.com/track/1VwRW1CdaDOEmrHzpwTIUV,Caffé Italiano: Instrumental Italian Favorites,https://open.spotify.com/album/4TRGduyN9BY67tiwArFQ29,Jack Jezzro,https://open.spotify.com/artist/7vo2Hl0NDiBr6GcyGDSLFZ,2021-08-13,200626,2022-05-01,Beautiful mandolin music to accompany your Italian supper. Buon appetito.,Trattoria Italiana
Al di la,https://open.spotify.com/track/6DWU0HQ3O7i3IROJsztChj,Caffé Italiano: Instrumental Italian Favorites,https://open.spotify.com/album/32t5s4ID49x47XgNOHvYqX,Jack Jezzro,https://open.spotify.com/artist/7vo2Hl0NDiBr6GcyGDSLFZ,2021-08-13,203720,2022-05-01,Beautiful mandolin music to accompany your Italian supper. Buon appetito.,Trattoria Italiana
Anna,https://open.spotify.com/track/4mcLSBFzlsvlolMAqrbV72,Mandolins Italia,https://open.spotify.com/album/6QhuxcVAJVOmBE2VTmNgq9,Giuseppe Caiani,https://open.spotify.com/artist/6grCjLceCOZWUCCndoqkaD,2021-08-13,216732,2022-05-01,Beautiful mandolin music to accompany your Italian supper. Buon appetito.,Trattoria Italiana
Arrivederci Roma,https://open.spotify.com/track/2ifDHe9AIY2c0CwutJtsNI,Italian Dinner Party,https://open.spotify.com/album/6ghbQNSTc4hkm1Kvsj0PDt,Jack Jezzro,https://open.spotify.com/artist/7vo2Hl0NDiBr6GcyGDSLFZ,2021-08-13,210826,2022-05-01,Beautiful mandolin music to accompany your Italian supper. Buon appetito.,Trattoria Italiana
Arrivederci Roma,https://open.spotify.com/track/2wRvA2LS1apB9MYV2QzA01,Caffé Italiano: Instrumental Italian Favorites,https://open.spotify.com/album/4TRGduyN9BY67tiwArFQ29,Jack Jezzro,https://open.spotify.com/artist/7vo2Hl0NDiBr6GcyGDSLFZ,2021-08-13,213640,2022-05-01,Beautiful mandolin music to accompany your Italian supper. Buon appetito.,Trattoria Italiana
Arrivederci roma,https://open.spotify.com/track/75L4NLXJjuDxE5HOrElDg5,Caffé Italiano: Instrumental Italian Favorites,https://open.spotify.com/album/32t5s4ID49x47XgNOHvYqX,Jack Jezzro,https://open.spotify.com/artist/7vo2Hl0NDiBr6GcyGDSLFZ,2021-08-13,215626,2022-05-01,Beautiful mandolin music to accompany your Italian supper. Buon appetito.,Trattoria Italiana
Carnival of Venice,https://open.spotify.com/track/3IOxAropYEB0VXVbDqpqAd,Italian Favorites,https://open.spotify.com/album/75b9gVQdeeBiLx7HR3DZCk,Music of Italy,https://open.spotify.com/artist/5hY0L5TFb93XBbUoS0QdEF,2021-08-13,95000,2022-05-01,Beautiful mandolin music to accompany your Italian supper. Buon appetito.,Trattoria Italiana
Cielito Lindo,https://open.spotify.com/track/2rbUaarjadZWHDFKNCBqWL,"Italian Music, Tarantella, Come Back to Sorrento",https://open.spotify.com/album/191xZsXIZWwYcKshzfEJbg,Italian Mandolin Torna A Surriento,https://open.spotify.com/artist/6B1qY6diGzu9FFbGOG7fSk,2021-08-13,232426,2022-05-01,Beautiful mandolin music to accompany your Italian supper. Buon appetito.,Trattoria Italiana
Cinque terre,https://open.spotify.com/track/5tlkjgGNPvGVOSdtlEz03i,Traditional music of italy,https://open.spotify.com/album/21lcrjRLEIAxkyQf9Ablgc,Riccardo Gioggi,https://open.spotify.com/artist/6xRCOPh9hUpwCgPG4peyZL,2021-08-13,136701,2022-05-01,Beautiful mandolin music to accompany your Italian supper. Buon appetito.,Trattoria Italiana
Come Back to Sorrento,https://open.spotify.com/track/0oRIL3IWkQZ2Z1IlxS6QJ8,"Italian Music, Tarantella, Come Back to Sorrento",https://open.spotify.com/album/191xZsXIZWwYcKshzfEJbg,Italian Mandolin Torna A Surriento,https://open.spotify.com/artist/6B1qY6diGzu9FFbGOG7fSk,2021-08-13,125960,2022-05-01,Beautiful mandolin music to accompany your Italian supper. Buon appetito.,Trattoria Italiana
Come Prima,https://open.spotify.com/track/2b7jJFnNPUuo6tEJsIlvbi,Romance In Tuscany,https://open.spotify.com/album/4uA5Ob844NB7HKpjfjLgIq,Jeff Steinberg,https://open.spotify.com/artist/4UyLqWWYtZX16NEZWr5k1S,2021-08-13,253236,2022-05-01,Beautiful mandolin music to accompany your Italian supper. Buon appetito.,Trattoria Italiana
"Come to the Sea, Vieni Sul Mar",https://open.spotify.com/track/0xUK0FtYr4MSOArxPLi954,"Italian Music, Tarantella, Come Back to Sorrento",https://open.spotify.com/album/191xZsXIZWwYcKshzfEJbg,Italian Mandolin Torna A Surriento,https://open.spotify.com/artist/6B1qY6diGzu9FFbGOG7fSk,2021-08-13,148880,2022-05-01,Beautiful mandolin music to accompany your Italian supper. Buon appetito.,Trattoria Italiana
Danza,https://open.spotify.com/track/3ffa2QEGmJ2B03LFqObUnA,Mangia! Italian Dinner Night,https://open.spotify.com/album/4DgaA9cywJuxbkFcXmLAkx,Rebecca Arons,https://open.spotify.com/artist/5yWsPDJZtUgZrQyVhLTTBt,2021-08-13,277400,2022-05-01,Beautiful mandolin music to accompany your Italian supper. Buon appetito.,Trattoria Italiana
