track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
$10 Cowboy,https://open.spotify.com/track/0wkAesjWf52ubUT4ZK8VN0,$10 Cowboy,https://open.spotify.com/album/0wuHhJqV63y0KGQ2nNod2S,Charley Crockett,https://open.spotify.com/artist/3BJX1nYizKvWpZTY5HOAr4,2024-03-08,215744,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
$20,https://open.spotify.com/track/6KHYVC9avWQMH40pidRtcG,the record,https://open.spotify.com/album/6NXpVVeILNHgAdJ3jdwsWg,"boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus","https://open.spotify.com/artist/1hLiboQ98IQWhpKeP9vRFw, https://open.spotify.com/artist/12zbUHbPHL5DGuJtiUfsip, https://open.spotify.com/artist/1r1uxoy19fzMxunt3ONAkG, https://open.spotify.com/artist/07D1Bjaof0NFlU32KXiqUP",2023-01-20,200093,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
10:36,https://open.spotify.com/track/0P4OHmZ7t092na79ElH7F5,Beatopia,https://open.spotify.com/album/2rhNQbqRNxiNQkDXTffe1V,beabadoobee,https://open.spotify.com/artist/35l9BRT7MXmM8bv2WDQiyB,2022-08-05,195066,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
2 FOR THA SHOW,https://open.spotify.com/track/6OJzYB7wzVhxI2YIjVrfr6,Traffic Fiction,https://open.spotify.com/album/0MkenTu5G8qe0SgyE619fA,Tré Burt,https://open.spotify.com/artist/5e5Zm5z8OPycf55hgDxKIc,2023-10-13,236933,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
2030 Revolution,https://open.spotify.com/track/0Ik7qkvgSz25oZgZ6T0pIs,2030 Revolution,https://open.spotify.com/album/5MVQziYxk5ejRzKcLveWpa,Dylan Fraser,https://open.spotify.com/artist/6Awp6fgyzqQ2XuEvOMjq8D,2022-08-26,228308,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
"A Child's Question, August",https://open.spotify.com/track/471H7nQUp3VaAn4ZcA6THS,"A Child's Question, August",https://open.spotify.com/album/23vvKltYuD1To9zWGQ5NnB,PJ Harvey,https://open.spotify.com/artist/12VaqyEhgwDRuFfEqbnrpz,2023-05-12,166013,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
A Dangerous Thing,https://open.spotify.com/track/2e1MoMhNhxdU0jXYhjF0ld,The Gods We Can Touch,https://open.spotify.com/album/04JQlhYtZwd9t2HTsxDKfr,AURORA,https://open.spotify.com/artist/1WgXqy2Dd70QQOU7Ay074N,2022-01-28,215573,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
A Little Bit of Love,https://open.spotify.com/track/0JW1mKemtn6krfNC2rXhec,SZNZ: Spring,https://open.spotify.com/album/5dpaxVXET01VAgivwwUac6,Weezer,https://open.spotify.com/artist/3jOstUTkEu2JkjvRdBA5Gu,2022-03-25,164492,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
A Love International,https://open.spotify.com/track/6Am9eCuCQELrIqImfCLhgM,A Love International,https://open.spotify.com/album/3PKIvfo8AFCJr9dhUiKQf9,Khruangbin,https://open.spotify.com/artist/2mVVjNmdjXZZDvhgQWiakk,2024-03-08,255100,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
A Sleep in the Garden,https://open.spotify.com/track/0pz1mBpvTtblb4xV7dwa3h,Under the New Light,https://open.spotify.com/album/1xkpmshOmxXWdDssCCmfg5,Maia Friedman,https://open.spotify.com/artist/3SAdHKW3ICNgtyFgaWdC6c,2022-03-11,267825,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
A Wave Across A Bay,https://open.spotify.com/track/1p9yDrQeXYbE3f6bW2YBAI,A Wave Across A Bay,https://open.spotify.com/album/7cBsGWCsDuu0KC38K3uBFF,Frank Turner,https://open.spotify.com/artist/27M9shmwhIjRo7WntpT9Rp,2022-01-14,223626,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
A.M. RADIO,https://open.spotify.com/track/0Hu1ylV8WuaLcLclixNgTV,BRIGHTSIDE,https://open.spotify.com/album/3K8XmeN3jQvl6reRJcfakL,The Lumineers,https://open.spotify.com/artist/16oZKvXb6WkQlVAjwo2Wbg,2022-08-12,237320,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
Ace Up My Sleeve,https://open.spotify.com/track/5YbANMVRXvKTVsFXcuGxzP,Ace Up My Sleeve,https://open.spotify.com/album/05HcccTQPjodlQiWjtQ5rW,"Lord Huron, Ben Schneider","https://open.spotify.com/artist/6ltzsmQQbmdoHHbLZ4ZN25, https://open.spotify.com/artist/501ebBxChWPmTwFhmZzOLh",2023-05-19,230174,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
Act Natural,https://open.spotify.com/track/3QPcAIBe5rJy9WdzmbBxtL,Act Natural,https://open.spotify.com/album/2sUwM4xWyiyh9yPHWqXdQZ,Margaret Glaspy,https://open.spotify.com/artist/13YVfXddjRIUrubItJjadb,2023-06-02,259200,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
Act Natural,https://open.spotify.com/track/3urh371tmIWyKiK5D7emx1,Echo The Diamond,https://open.spotify.com/album/4Mal9r2lPvrzpsWstauX32,Margaret Glaspy,https://open.spotify.com/artist/13YVfXddjRIUrubItJjadb,2023-08-18,259200,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
Adult Friend Finder,https://open.spotify.com/track/1LT1jHtnFN7uHM5xbJwWnS,Everyone Stop,https://open.spotify.com/album/412JTr9RnrVoNANnMuWb07,*repeat repeat,https://open.spotify.com/artist/0PEqo7RkX5wkaYwlT6hINn,2022-12-16,216385,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
After Midnight (feat. Clairo),https://open.spotify.com/track/0KIpuVYhKUUUpjo6H5NvBY,After Midnight (feat. Clairo),https://open.spotify.com/album/6xsvkBbeMsrk6HPDBsJEwS,"Phoenix, Clairo","https://open.spotify.com/artist/1xU878Z1QtBldR7ru9owdU, https://open.spotify.com/artist/3l0CmX0FuQjFxr8SK7Vqag",2023-06-02,188000,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
After The Earthquake,https://open.spotify.com/track/0O5q2h0kfQD6PixL7rCHuL,Blue Rev,https://open.spotify.com/album/1dShPPoxXfzbjFO1jIHJZz,Alvvays,https://open.spotify.com/artist/3kzwYV3OCB010YfXMF0Avt,2022-11-25,185276,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
After The Earthquake,https://open.spotify.com/track/5fcVB2CYi7GAgQcQfqsTVL,Blue Rev,https://open.spotify.com/album/4BvnbCJbTPkyZYYBWVijgq,Alvvays,https://open.spotify.com/artist/3kzwYV3OCB010YfXMF0Avt,2022-10-07,185276,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
After The Earthquake,https://open.spotify.com/track/6BiECF48e7qu8Z81xJL7sB,After The Earthquake,https://open.spotify.com/album/0v9aO9vrJoL169wRJYm40k,Alvvays,https://open.spotify.com/artist/3kzwYV3OCB010YfXMF0Avt,2022-10-07,185276,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
Ain’t Killed Me Yet,https://open.spotify.com/track/06SriLLbBIQos2LyqeNXw3,Ain’t Killed Me Yet,https://open.spotify.com/album/5bSiMgDd7UjgJClHgAF6Qu,Adia Victoria,https://open.spotify.com/artist/1HKGjRPwI0gaFyv4aSWPPl,2022-04-01,181093,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
Ain’t Lookin’,https://open.spotify.com/track/3RKHWmV9e2sagLCOyaZ2OB,Ain’t Lookin’,https://open.spotify.com/album/2zQpWa9zKMqAPLYHwcskJL,The Wild Feathers,https://open.spotify.com/artist/5YENCIQVzziCFdoVWc26Bn,2021-12-10,202146,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
Alarm Clock,https://open.spotify.com/track/2zkiwigwXhvi1YBdiczVhT,Alarm Clock,https://open.spotify.com/album/7qyehmMxEXQoDVdlcBeJvN,Sheryl Crow,https://open.spotify.com/artist/4TKTii6gnOnUXQHyuo9JaD,2023-11-10,174610,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
Alaska,https://open.spotify.com/track/3jfYDfrnp0dseGWZfa3jqt,Alaska,https://open.spotify.com/album/4rFxEoG9PEDkONioOInJhy,Pinegrove,https://open.spotify.com/artist/2gbT6GPXMis0OAkZbEQCYB,2021-12-10,125830,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
Alibi,https://open.spotify.com/track/1hS3RXEQbXtWgYpot2Ay07,The Past Is Still Alive,https://open.spotify.com/album/4Lwy5hFH1NTDb6kQZ5pTSy,Hurray For The Riff Raff,https://open.spotify.com/artist/2xLEV2jDreAOcpJXFNoXyt,2024-04-05,168705,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
Alibi,https://open.spotify.com/track/3d2oXlbjVmk9Zb37m1Y5t4,The Past Is Still Alive,https://open.spotify.com/album/5swrwkZivdtPxSHAuQvrOE,Hurray For The Riff Raff,https://open.spotify.com/artist/2xLEV2jDreAOcpJXFNoXyt,2024-01-22,168705,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
Alibi,https://open.spotify.com/track/67LSydi0LL1jlubbA7F5st,Alibi,https://open.spotify.com/album/78PATBFddEnFXyVUDFjnXN,Hurray For The Riff Raff,https://open.spotify.com/artist/2xLEV2jDreAOcpJXFNoXyt,2023-11-10,168705,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
Alive!,https://open.spotify.com/track/4Yf2S4ArywzowFQZmesSI9,Halo,https://open.spotify.com/album/3xGVAgbCAxl2c40vRVRjoe,Bakar,https://open.spotify.com/artist/3K2Srho6NCF3o9MswGR76H,2024-01-05,232133,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
Alive!,https://open.spotify.com/track/6KzI6EM1QYyOq5oudPlcWT,Alive!,https://open.spotify.com/album/0lvFKHiygKiwhKHNYPmRzn,Bakar,https://open.spotify.com/artist/3K2Srho6NCF3o9MswGR76H,2023-06-23,232133,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
All Comes Crashing,https://open.spotify.com/track/4XRvI0XtqdOGYeC36VkbwA,Formentera,https://open.spotify.com/album/1S5vq5vSHCnCJnMljIiuS6,Metric,https://open.spotify.com/artist/1rCIEwPp5OnXW0ornlSsRl,2022-07-08,263080,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
All I Really Wanna Do,https://open.spotify.com/track/1SNJRCOuSinxdGq7e4gB7K,All I Really Wanna Do,https://open.spotify.com/album/7uJEue4cTERq6gsqh8WAks,Devon Gilfillian,https://open.spotify.com/artist/5cbak2U6nZWXDYiG72E3lH,2023-02-10,222080,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
All in Good Time,https://open.spotify.com/track/533aNRdHHLdI9tiTvqPqjt,All in Good Time,https://open.spotify.com/album/6kVfufglPPPTLPWQkvHPaR,"Iron & Wine, Fiona Apple","https://open.spotify.com/artist/4M5nCE77Qaxayuhp3fVn4V, https://open.spotify.com/artist/3g2kUQ6tHLLbmkV7T4GPtL",2024-03-08,255338,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
All My Friends,https://open.spotify.com/track/7mfTeRK4k18u5IZ9Th4CrH,All My Friends,https://open.spotify.com/album/52sZ3HakMMdOXPt8A2ZLM8,Katie Pruitt,https://open.spotify.com/artist/1c5w8KrxGwq44fxM5lGB4s,2024-03-08,197465,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
all my ghosts,https://open.spotify.com/track/65LMre3AmSBiaHhdw7l57l,all my ghosts,https://open.spotify.com/album/2um5IQr83Qc2dhgNP0jswi,Lizzy McAlpine,https://open.spotify.com/artist/1GmsPCcpKgF9OhlNXjOsbS,2022-01-21,197032,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
All Of My Cryin',https://open.spotify.com/track/76EwiO2coJCvEOozvy2aPN,All Of My Cryin',https://open.spotify.com/album/2ioED6y5stjjXJYdRzkYLY,Shannon & The Clams,https://open.spotify.com/artist/6A5Ns1SpGWTt8SzXPwiqVE,2021-12-10,149853,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
All The Good Times,https://open.spotify.com/track/1muz3TRXxuub3ERDZbNvQE,All The Good Times,https://open.spotify.com/album/1UjZW6c0fdVo5dYMbeuyq3,Angel Olsen,https://open.spotify.com/artist/6mKqFxGMS5TGDZI3XkT5Rt,2022-04-01,276826,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
All We've Ever Wanted,https://open.spotify.com/track/3dKzgSWLkbPmPnsWf8BYxs,All We've Ever Wanted,https://open.spotify.com/album/1wX5h4ML7Yiz2SDaWHx2B4,Palace,https://open.spotify.com/artist/48vDIufGC8ujPuBiTxY8dm,2023-03-03,183858,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
Alpha Zulu,https://open.spotify.com/track/1QgegXUzfvRJxNRHM9sP3F,Alpha Zulu,https://open.spotify.com/album/4kLWiOcd9HWMx4VhRR1XHV,Phoenix,https://open.spotify.com/artist/1xU878Z1QtBldR7ru9owdU,2022-06-24,170386,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
"Alright, Alright",https://open.spotify.com/track/2zhW8OqnBdm26MOt68tGf8,Ooooo,https://open.spotify.com/album/4Nxpiq85BCrbfDdh4c6iK5,Easy Honey,https://open.spotify.com/artist/5fKAYiCIzDsV8OqQDl8Erj,2023-07-07,154811,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
Always Gonna Happen,https://open.spotify.com/track/4VIo9g5gTcLqbZEDbBMAr8,Always Gonna Happen,https://open.spotify.com/album/7Jp1J2Smum2GeJRpkZDohG,Savannah Conley,https://open.spotify.com/artist/4iyGL0YdGnDUVbmuca9e2G,2022-05-20,239436,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
An Alien In Minneapolis - Edit,https://open.spotify.com/track/5YhOK0XMfjtW5L42FODqzK,An Alien in Minneapolis,https://open.spotify.com/album/0v6BWLBbaTRtVIC2d09Jmk,Ondara,https://open.spotify.com/artist/33saQZHi434TBuDAXbyU2W,2022-08-19,259607,2022-01-02,a high-quality alternative blend ft. Marcus King,Grade A
