track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
$AD BOYZ II,https://open.spotify.com/track/68cUJFq7aAbgeurngTmngL,$AD BOYZ 4 LIFE II,https://open.spotify.com/album/7Lv6VzSqIz1sAssK2JUskG,Junior H,https://open.spotify.com/artist/7Gi6gjaWy3DxyilpF1a8Is,2023-11-06,208898,2023-12-19,"Playlist oficial del podcast <a href=""spotify:show:1MAoOdM2Xx9TayWrXQ2MCj""> Momentos Chingones</a> donde tendrás las noticias más frescas y los hits del momento de la Música Mexicana.",Momentos Chingones con rolitas
Adicto Al Exceso,https://open.spotify.com/track/2GkfVnlWA9YZ0bzOW29PyK,Adicto Al Exceso,https://open.spotify.com/album/6XLf9UxGfBAwRY8EbuScNY,Juanpa Salazar,https://open.spotify.com/artist/6r92NGrlnmNvFJA9Kl0PAx,2023-11-14,176504,2023-12-19,"Playlist oficial del podcast <a href=""spotify:show:1MAoOdM2Xx9TayWrXQ2MCj""> Momentos Chingones</a> donde tendrás las noticias más frescas y los hits del momento de la Música Mexicana.",Momentos Chingones con rolitas
Aerolínea Carrillo,https://open.spotify.com/track/0xYTyyfV767E2Vn3hz56kL,The Green Trip,https://open.spotify.com/album/1KrCvwoIRQ18824qcMFb4F,"T3R Elemento, Gerardo Ortiz","https://open.spotify.com/artist/34nbQa7Hug9DYkRJpfKNFv, https://open.spotify.com/artist/4J13m9IZh03PEhoxAxRhXO",2023-11-14,174275,2023-12-19,"Playlist oficial del podcast <a href=""spotify:show:1MAoOdM2Xx9TayWrXQ2MCj""> Momentos Chingones</a> donde tendrás las noticias más frescas y los hits del momento de la Música Mexicana.",Momentos Chingones con rolitas
Ajustadón,https://open.spotify.com/track/3HgmSgGxjVSIL3WjZVe4bs,Ajustadón,https://open.spotify.com/album/3BmRferj96GiKpT6IfGe0j,"Luis Mexia, Edgardo Nuñez","https://open.spotify.com/artist/4IEP61D1hdCPQVzAYzP9VC, https://open.spotify.com/artist/0mA4dkNGiN4fqTBi2SLlAv",2024-11-07,159685,2023-12-19,"Playlist oficial del podcast <a href=""spotify:show:1MAoOdM2Xx9TayWrXQ2MCj""> Momentos Chingones</a> donde tendrás las noticias más frescas y los hits del momento de la Música Mexicana.",Momentos Chingones con rolitas
Amor,https://open.spotify.com/track/0hkoQgoqic1qQtxPOudmrx,Memorias <3,https://open.spotify.com/album/7I35dC3g7n1Uv7h1Yn7EXA,emmanuellcortess_,https://open.spotify.com/artist/7hDt3OE2ubsKzO9rMYPXox,2024-11-07,202058,2023-12-19,"Playlist oficial del podcast <a href=""spotify:show:1MAoOdM2Xx9TayWrXQ2MCj""> Momentos Chingones</a> donde tendrás las noticias más frescas y los hits del momento de la Música Mexicana.",Momentos Chingones con rolitas
Amor Eterno,https://open.spotify.com/track/2hu7EGMBif7scYUT4zu5wG,Amor Eterno,https://open.spotify.com/album/1kr2ajwgiK7Evj83Q6WLyB,Natanael Cano,https://open.spotify.com/artist/0elWFr7TW8piilVRYJUe4P,2024-11-12,288367,2023-12-19,"Playlist oficial del podcast <a href=""spotify:show:1MAoOdM2Xx9TayWrXQ2MCj""> Momentos Chingones</a> donde tendrás las noticias más frescas y los hits del momento de la Música Mexicana.",Momentos Chingones con rolitas
Anda Bien el Nene,https://open.spotify.com/track/5rAnfPGKZGyRBzI5kcAaqB,Anda Bien el Nene,https://open.spotify.com/album/5i7XYxpwdpDMmmrR07H7PU,"Oscar Maydon, Grupo Marca Registrada","https://open.spotify.com/artist/3l9G1G9MxH6DaRhwLklaf5, https://open.spotify.com/artist/1gW6pz5n1aK249L0GvfQCC",2024-03-06,177023,2023-12-19,"Playlist oficial del podcast <a href=""spotify:show:1MAoOdM2Xx9TayWrXQ2MCj""> Momentos Chingones</a> donde tendrás las noticias más frescas y los hits del momento de la Música Mexicana.",Momentos Chingones con rolitas
Aquí Hay Para Llevar,https://open.spotify.com/track/5Lz26MOU0fyTS1vEThTaUf,Aquí Hay Para Llevar,https://open.spotify.com/album/3KJItKYr9JhxYjYI4U5J7E,La Arrolladora Banda El Limón De Rene Camacho,https://open.spotify.com/artist/5bSfBBCxY8QAk4Pifveisz,2024-11-07,179026,2023-12-19,"Playlist oficial del podcast <a href=""spotify:show:1MAoOdM2Xx9TayWrXQ2MCj""> Momentos Chingones</a> donde tendrás las noticias más frescas y los hits del momento de la Música Mexicana.",Momentos Chingones con rolitas
Artistas de rancheras clásicas para mantenerte conectado con la historia de música mexicana,https://open.spotify.com/episode/6vvqK7MNBh4SzUJJR9F3PU,Momentos Chingones ,https://open.spotify.com/album/1MAoOdM2Xx9TayWrXQ2MCj,Momentos Chingones ,https://open.spotify.com/show/1MAoOdM2Xx9TayWrXQ2MCj,2024-04-17,323996,2023-12-19,"Playlist oficial del podcast <a href=""spotify:show:1MAoOdM2Xx9TayWrXQ2MCj""> Momentos Chingones</a> donde tendrás las noticias más frescas y los hits del momento de la Música Mexicana.",Momentos Chingones con rolitas
Así vivimos el primer concierto de Xavi,https://open.spotify.com/episode/7DxPBbjy35rqYJfbaoK3ms,Momentos Chingones ,https://open.spotify.com/album/1MAoOdM2Xx9TayWrXQ2MCj,Momentos Chingones ,https://open.spotify.com/show/1MAoOdM2Xx9TayWrXQ2MCj,2024-04-17,302001,2023-12-19,"Playlist oficial del podcast <a href=""spotify:show:1MAoOdM2Xx9TayWrXQ2MCj""> Momentos Chingones</a> donde tendrás las noticias más frescas y los hits del momento de la Música Mexicana.",Momentos Chingones con rolitas
