track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
03.10 pm,https://open.spotify.com/track/79vJknY5yQxlhOD5GtMNRT,03.10 pm,https://open.spotify.com/album/6z6DglLQsqOGzZlLAsbRBr,Parientes,https://open.spotify.com/artist/76lUSSvc6Z83CLrIVB7YrE,2024-06-14,230920,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
200 Monos,https://open.spotify.com/track/5tC4Y8NJGK3quJEdVVP6a9,200 Monos,https://open.spotify.com/album/7JV9A7P1hZrWrrMtFx7RPI,"Estelares, Nacho Vegas","https://open.spotify.com/artist/6Nm62oNQCdPxVoiQtFSksF, https://open.spotify.com/artist/14CMndDKSsMSvZYXFLZRfn",2023-11-10,250705,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
33,https://open.spotify.com/track/0Or8gwrL6DpEsp59HPM7IE,33,https://open.spotify.com/album/5P8fb4qfq5ONlFjd4TeS4T,"Cruzando El Charco, Facu Soto","https://open.spotify.com/artist/4STEdt6oH8RopaxpfWrO5Z, https://open.spotify.com/artist/28TAi26EYVpZjpfsdMIqyB",2023-04-14,207658,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
680/680,https://open.spotify.com/track/7x1v9v0mVzNJ4f2q0tXcN6,No Hagas Que Me Arrepienta,https://open.spotify.com/album/6TxHROskkdXNhc8EK82j8d,Winona Riders,https://open.spotify.com/artist/6ipac2Z0d0L6LWS7tTudcp,2024-11-15,255835,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
A Medias,https://open.spotify.com/track/5z1VEnPsozGXwQ5cWRimol,A Medias,https://open.spotify.com/album/2n5bjUV8VCJXxEnuanZUpB,Piti Fernández,https://open.spotify.com/artist/4PJtMqmJX54aKaztYQfFYb,2022-06-24,198576,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
A Rodar Mi Vida - EADDA9223,https://open.spotify.com/track/4RpN9YUbJTdkG6dcNwHI71,EADDA9223,https://open.spotify.com/album/4VdWh8m5cYm3XI6dhayGIg,"Fito Paez, David Lebón, Leiva","https://open.spotify.com/artist/1bZNv4q3OxYq7mmnLha7Tu, https://open.spotify.com/artist/48Idb5uZga8diRAMTc9q3E, https://open.spotify.com/artist/5Hsv8dUHHOdnn72q4XIVz7",2023-05-31,276004,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
Abismo,https://open.spotify.com/track/5jEPrWsnRPJzmeCllVFpSW,Abismo,https://open.spotify.com/album/405HPdCPF2cZc2DM1PWda8,C.R.O,https://open.spotify.com/artist/4puAp107dCehraE47QXVQX,2023-04-21,173499,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
Abrazame,https://open.spotify.com/track/6Y4GA1qG0x17RR9tPfA6st,Abrazame,https://open.spotify.com/album/5IvA88O5F7qYHaIG0Aj052,El Plan De La Mariposa,https://open.spotify.com/artist/3LY3yBRRL9yxCZxaxkdUir,2024-05-31,268266,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
Accidente,https://open.spotify.com/track/55xFPGknQ0zQluwBmf2nVm,Las Ligas Menores,https://open.spotify.com/album/3uo5La74eGmsUeXJdRRO3g,Las Ligas Menores,https://open.spotify.com/artist/3MNvKeLzGSvOPtXJAjCOzf,2024-03-22,145239,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
Aeropuerto,https://open.spotify.com/track/1f6ZoZeirpFWvvkOvKR3ct,Aeropuerto,https://open.spotify.com/album/7LOdn5nP05V21rRhA0zndn,"2 minutos, Los Fabulosos Cadillacs","https://open.spotify.com/artist/5sASmkskUJsvYDSYKRkkYd, https://open.spotify.com/artist/2FS22haX3FYbyOsUAkuYqZ",2023-03-31,194769,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
Al Límite,https://open.spotify.com/track/3iG2svHzJCwv3i75sc83Vv,Hollywood Bungalows,https://open.spotify.com/album/5i5fjpRX6wAbjjUAj0siq1,Hollywood Bungalows,https://open.spotify.com/artist/4R8wRxSAhFbsZzHTScrFLv,2025-02-21,273878,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
Alejado de la Red,https://open.spotify.com/track/6964EHVPA0v5lNcRKJnmpU,Alejado de la Red,https://open.spotify.com/album/4PTq788RYYJ6cUV1yzFaUP,La Renga,https://open.spotify.com/artist/30fEdZPXgWfC4sNttcyB3C,2022-06-24,227746,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
Algo para decirte,https://open.spotify.com/track/66qYj1nKi59oTYjS61wI06,NSB en La Boca,https://open.spotify.com/album/2ocxQdT8odwZxYy81TsJv5,"Nina Suárez, Marcos Canosa, Manolo Lamothe, Chicho Guisolfi","https://open.spotify.com/artist/1NQmLvlEcg6hE8CQ0r31GV, https://open.spotify.com/artist/2YxThsnVoTuzp8XmHiy3nn, https://open.spotify.com/artist/2FGBAOoPioJQAur6Sn1PAW, https://open.spotify.com/artist/0jcNNowV6sg8xf5QZ40Hkb",2024-12-27,241968,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
Allí Donde Solíamos Gritar,https://open.spotify.com/track/6wBASLUGaAzhBh5q0iu6VR,Allí Donde Solíamos Gritar,https://open.spotify.com/album/5FgUTMgWFhaxcL3MJUxwqx,"Love of Lesbian, Turf","https://open.spotify.com/artist/6VCoG3MG7ZKRxDjaYOvtrF, https://open.spotify.com/artist/0Zncosr79q01riJYbSBNA1",2024-02-15,219716,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
Ama a Quien Llora por Ti,https://open.spotify.com/track/7dx5nsXhkbc53tUhszjTP3,Ama a Quien Llora por Ti,https://open.spotify.com/album/6ER89S7vm5NODaRvJ5dl0Z,"Las Pastillas del Abuelo, Ciro y los Persas","https://open.spotify.com/artist/0D5U7oXEE4dut2DPyUDLca, https://open.spotify.com/artist/2Eo4Yaukt9d6dnZrY5hQKi",2023-01-20,249078,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
Amnesia,https://open.spotify.com/track/0pKq8NLJDwYbT7Ja7AEUYE,Amnesia,https://open.spotify.com/album/4OMEnSsFgeenZiIVNjBIn6,Francia 98,https://open.spotify.com/artist/6me7j5R08ARYKASHiqhvcu,2024-10-18,227555,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
Amor en Pandemia,https://open.spotify.com/track/2MJGIie6rHtECQnhbFdnX7,Amor en Pandemia,https://open.spotify.com/album/4l8e006uYJlLzgYLl1SUiJ,2 minutos,https://open.spotify.com/artist/5sASmkskUJsvYDSYKRkkYd,2022-07-29,167115,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
Anarquía en Buenos Aires,https://open.spotify.com/track/36s5ATx9tavfF7HnVzJtv4,Anarquía en Buenos Aires,https://open.spotify.com/album/6sMENok4qzf1QQW19AkNV5,Airbag,https://open.spotify.com/artist/1wKDGglKV4FsFS85r2Dmpr,2024-12-06,238597,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
Angel,https://open.spotify.com/track/20G3beDqFyupoDqEhAfunp,Angel,https://open.spotify.com/album/1LGGUBSviv7Bwf8pKoSmsc,Los Títeres,https://open.spotify.com/artist/48nIgxyfgJKBLXrIwT7GZZ,2025-02-21,177051,2022-06-30,"Más vivo que nunca, más nuestro que siempre. Foto: Fito Paez.",Rock Argentino
