track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
2020,https://open.spotify.com/track/126QenBxKj6sU5WbS2SCzw,Road To Hastafari,https://open.spotify.com/album/0aYCzuvw9TZXaOp7gzsisC,BRYAN THE MENSAH,https://open.spotify.com/artist/2zsThoavhdt8NBt6OQLfw2,2024-05-10,168346,2024-05-14,From the alternative scene in Ghana. Cover: Darkua,Alt. Ghana
227,https://open.spotify.com/track/7uaRn34hfMmwzDTNdTNvsY,"Okay Baby, Lets Do This",https://open.spotify.com/album/6mF7YvP41L2d40LkDVLsfp,Baaba J,https://open.spotify.com/artist/151OS9nfrfYQ8UlnakRMek,2024-05-10,253250,2024-05-14,From the alternative scene in Ghana. Cover: Darkua,Alt. Ghana
911,https://open.spotify.com/track/4VlioYoSh1fT16hnERNsfF,911,https://open.spotify.com/album/0prR2MAykHTFdV5rBP6uBV,SuperJazzClub,https://open.spotify.com/artist/5CINjDZoikcuTmtw3wgPfp,2024-05-10,168774,2024-05-14,From the alternative scene in Ghana. Cover: Darkua,Alt. Ghana
A POET's BOOK,https://open.spotify.com/track/4E38NnL7k4ttirYrJ7Hxve,A POET's BOOK,https://open.spotify.com/album/631de2gJdyYojP3aixNqyq,Jayadi,https://open.spotify.com/artist/4mfk4OCq0FQMYKEJsFjdAl,2024-05-10,124931,2024-05-14,From the alternative scene in Ghana. Cover: Darkua,Alt. Ghana
Abyss,https://open.spotify.com/track/1c3Uvil5DpA6FfFPIi4914,Abyss,https://open.spotify.com/album/3SVQB6dIQvEaXe53CbZ1QQ,Ess thee Legend,https://open.spotify.com/artist/16ouaa6tZ9jk1hm82V2HaA,2024-05-10,173014,2024-05-14,From the alternative scene in Ghana. Cover: Darkua,Alt. Ghana
ACT A FOOL,https://open.spotify.com/track/7DR5U9CtjI9CTFXSAmD0Am,ACT A FOOL,https://open.spotify.com/album/6wag0cQoAza8BuLTLkfPbI,ALL MY COUSINS,https://open.spotify.com/artist/0sFj0XrhYtB62oLzheZ8Bm,2024-05-10,155000,2024-05-14,From the alternative scene in Ghana. Cover: Darkua,Alt. Ghana
ADRENALINE,https://open.spotify.com/track/4Oj4eDrQ1eDlWpkLIcEoG2,ADRENALINE,https://open.spotify.com/album/4yowgzfnrRmA8yvkuqfPHh,"MikeMillzOn'em, Juma Mufasa, Yartti","https://open.spotify.com/artist/0KxeVhcuq9PzbLgeOeVelN, https://open.spotify.com/artist/1qqHchzlrR4QtN0HW0sDIs, https://open.spotify.com/artist/0LIv7IHdHv0BDOmwSJvHa1",2024-09-06,159428,2024-05-14,From the alternative scene in Ghana. Cover: Darkua,Alt. Ghana
Agoro,https://open.spotify.com/track/5JemrWFhAJqMgVp2nli7ly,Agoro,https://open.spotify.com/album/02tQEc4LhQ8O18IIx5p3Yr,"$pacely, Marince Omario","https://open.spotify.com/artist/4V5Mu31gXSzN4xbP2pOVO1, https://open.spotify.com/artist/3yqJ0i7h5llZuEgkcrgu7M",2024-07-05,132571,2024-05-14,From the alternative scene in Ghana. Cover: Darkua,Alt. Ghana
Ah Well,https://open.spotify.com/track/2JtaWZbCiOA0i09pTWH2JQ,Ah Well,https://open.spotify.com/album/1PZMEss8Vhv50mIZKu6jho,"Baaba J, Oladapo, Juls","https://open.spotify.com/artist/151OS9nfrfYQ8UlnakRMek, https://open.spotify.com/artist/6HAro8NBhDtn8csZDPEBuB, https://open.spotify.com/artist/7BIkk865pwBrSZetA8Izic",2024-09-20,192000,2024-05-14,From the alternative scene in Ghana. Cover: Darkua,Alt. Ghana
Angels in Tibet,https://open.spotify.com/track/23uUytja1B1mUOOIoygf6u,Fountain Baby,https://open.spotify.com/album/3dKdkVeR6hPjAOH5K2nYTh,Amaarae,https://open.spotify.com/artist/21UPYSRWFKwtqvSAnFnSvS,2024-05-10,142613,2024-05-14,From the alternative scene in Ghana. Cover: Darkua,Alt. Ghana
Aquamarie Luvs Ecstasy,https://open.spotify.com/track/0xIy8FcIz088Ec4dxslUtm,Fountain Baby,https://open.spotify.com/album/3dKdkVeR6hPjAOH5K2nYTh,Amaarae,https://open.spotify.com/artist/21UPYSRWFKwtqvSAnFnSvS,2024-05-10,278733,2024-05-14,From the alternative scene in Ghana. Cover: Darkua,Alt. Ghana
Ascension,https://open.spotify.com/track/5lAuNmFdgHCFgwAPp1WYnJ,Ascension,https://open.spotify.com/album/6tXOMXO3H2JD4ZOqcEw0SB,Corby,https://open.spotify.com/artist/4uHKRVYCZ4sT0EtrlemkT4,2024-05-10,138461,2024-05-14,From the alternative scene in Ghana. Cover: Darkua,Alt. Ghana
