track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(Sittin' On) the Dock of the Bay,https://open.spotify.com/track/50uGbeaQIxKiSc7jvRTjWx,"Atlantic 60th: Soul, Sweat And Strut",https://open.spotify.com/album/1LBWNRMsbEWb17KmDD4jfD,Otis Redding,https://open.spotify.com/artist/60df5JBRRPcnSpsIMxxwQm,2019-05-26,166826,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
(You Make Me Feel Like) A Natural Woman,https://open.spotify.com/track/29N4xnL6SpjkQiuPaTvQXA,Soul Queen,https://open.spotify.com/album/3nIxtIMxYqCiD7ZDE0payb,Aretha Franklin,https://open.spotify.com/artist/7nwUJBm0HE4ZxD3f5cy5ok,2019-05-26,159933,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
A Case of You,https://open.spotify.com/track/7shVwhUdVbHpykOfbzvDc1,Blue,https://open.spotify.com/album/1vz94WpXDVYIEGja8cjFNa,Joni Mitchell,https://open.spotify.com/artist/5hW4L92KnC6dX9t7tYM4Ve,2019-05-26,263480,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
A Change Is Gonna Come,https://open.spotify.com/track/0YfOnJWqmAKaUvEL1QcNop,A Change Is Gonna Come,https://open.spotify.com/album/4IzTGWm7hiv0BpQAG7vWhI,Sam Cooke,https://open.spotify.com/artist/6hnWRPzGGKiapVX1UCdEAC,2019-05-26,191320,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
A Song For You,https://open.spotify.com/track/2l9UM2IVGSulrohfekmKdr,Leon Russell,https://open.spotify.com/album/2Lm0Ezvry1UO3kehAAVDha,Leon Russell,https://open.spotify.com/artist/6r1Xmz7YUD4z0VRUoGm8XN,2022-09-13,248600,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
After the Thrill Is Gone - 2013 Remaster,https://open.spotify.com/track/73gx888k1raTwjFeuqIV5D,One of These Nights (2013 Remaster),https://open.spotify.com/album/0F77QekrNe8vVAjU2sepja,Eagles,https://open.spotify.com/artist/0ECwFtbIWEVNwjlrfc6xoL,2019-05-26,236663,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
Ain't No Sunshine,https://open.spotify.com/track/1k1Bqnv2R0uJXQN4u6LKYt,Just As I Am,https://open.spotify.com/album/6N8uPmDqbgXD3ztkCCfxoo,Bill Withers,https://open.spotify.com/artist/1ThoqLcyIYvZn7iWbj8fsj,2019-05-26,125093,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
All Things Must Pass (2020 Mix),https://open.spotify.com/track/0R1jsSDGamMTKRBOEksuT3,All Things Must Pass (50th Anniversary;Super Deluxe),https://open.spotify.com/album/1EFOYsAkyfwLkS5OPfobak,George Harrison,https://open.spotify.com/artist/7FIoB5PHdrMZVC3q2HE5MS,2021-09-30,226866,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
All Things Must Pass - 2020 Mix,https://open.spotify.com/track/3R02p0Xtd3azbP3HPYgMuy,All Things Must Pass (50th Anniversary;Super Deluxe),https://open.spotify.com/album/1HOUPV73m7qwWoYw7m9Y56,George Harrison,https://open.spotify.com/artist/7FIoB5PHdrMZVC3q2HE5MS,2021-09-30,226866,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
All Things Must Pass - 2020 Mix,https://open.spotify.com/track/02fXDM2myvnYF5NyCkKPvp,All Things Must Pass (2020 Mix),https://open.spotify.com/album/3F3illSUdMEOECbU7HKRG8,George Harrison,https://open.spotify.com/artist/7FIoB5PHdrMZVC3q2HE5MS,2020-12-03,226960,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
Alone Again (Naturally),https://open.spotify.com/track/6vuEG9sZtC4W2zT64f7zLF,Back to Front,https://open.spotify.com/album/1INjTJtV8EwpUZF2xgwvAt,Gilbert O'Sullivan,https://open.spotify.com/artist/4HVmeVTQBgvTuvjB1JYwaf,2022-10-03,216840,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
Alone Again (Naturally),https://open.spotify.com/track/54pvEYFocTlvIAQOfXSjqV,Back to Front (Deluxe Edition),https://open.spotify.com/album/6LoUAyxzjVgwIIYBZOM6xQ,Gilbert O'Sullivan,https://open.spotify.com/artist/4HVmeVTQBgvTuvjB1JYwaf,2023-01-30,221373,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
Annie's Song,https://open.spotify.com/track/4J0DbyODwZJcmIAiTSJfMF,Back Home Again,https://open.spotify.com/album/6zWmAA39H0c4SjnD4MB1Dm,John Denver,https://open.spotify.com/artist/7EK1bQADBoqbYXnT4Cqv9w,2019-05-26,180693,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
April Come She Will,https://open.spotify.com/track/0djZ2ndRfAL69WYNra5jRC,Sounds Of Silence,https://open.spotify.com/album/07RAGILF28QweYQSZasr5k,Simon & Garfunkel,https://open.spotify.com/artist/70cRZdQywnSFp9pnc2WTCE,2019-05-26,109386,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
At Last,https://open.spotify.com/track/4Hhv2vrOTy89HFRcjU3QOx,At Last!,https://open.spotify.com/album/7rd4PorIOPjPTy7qdUeeCt,Etta James,https://open.spotify.com/artist/0iOVhN3tnSvgDbcg25JoJb,2021-09-30,179693,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
At Last,https://open.spotify.com/track/1hXIdXjAI4nWz4qnJ28iO2,At Last The Very Best Of,https://open.spotify.com/album/5mKhSxFMOBFtf76VHaMyRS,Etta James,https://open.spotify.com/artist/0iOVhN3tnSvgDbcg25JoJb,2019-05-26,181973,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
At Seventeen - Remastered,https://open.spotify.com/track/7wJpqjqk8QbHpCakY1ZacY,Between the Lines (Remastered),https://open.spotify.com/album/6RjDm4cjV3MFndKrpLUxpO,Janis Ian,https://open.spotify.com/artist/5c9uFWpZY2MTlk7Rft0tgp,2023-10-20,283880,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
Aubrey,https://open.spotify.com/track/3his1UkcI0rwrniPDR9kTj,Guitar Man,https://open.spotify.com/album/38mhQ9p2BiHpz60gthzEVy,Bread,https://open.spotify.com/artist/70ZTdbPEcEugBNay4MvxfL,2019-05-26,219493,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
Big Yellow Taxi,https://open.spotify.com/track/6UkMcAA19lTdjs22jtB7o2,Ladies of the Canyon,https://open.spotify.com/album/7JOdtLDLyXJIppDRB7kxr9,Joni Mitchell,https://open.spotify.com/artist/5hW4L92KnC6dX9t7tYM4Ve,2019-05-26,134800,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
Blackbird - Remastered 2009,https://open.spotify.com/track/5jgFfDIR6FR0gvlA56Nakr,The Beatles (Remastered),https://open.spotify.com/album/1klALx0u4AavZNEvC4LrTL,The Beatles,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2,2019-05-26,138386,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
Blowin' in the Wind,https://open.spotify.com/track/18GiV1BaXzPVYpp9rmOg0E,The Freewheelin' Bob Dylan,https://open.spotify.com/album/0o1uFxZ1VTviqvNaYkTJek,Bob Dylan,https://open.spotify.com/artist/74ASZWbe4lXaubB36ztrGX,2019-05-26,165426,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
California Dreamin' - Single Version,https://open.spotify.com/track/4s6LhHAV5SEsOV0lC2tjvJ,If You Can Believe Your Eyes & Ears,https://open.spotify.com/album/76oMr4Y2pOtcrvZLc2ZikF,The Mamas & The Papas,https://open.spotify.com/artist/1bs7HoMkSyQwcobCpE9KpN,2019-05-26,162373,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
Carolina in My Mind,https://open.spotify.com/track/2T5Ch09nefwckOu5NQvjIk,Greatest Hits,https://open.spotify.com/album/2L4U4JjEADYaVltkvDrkCC,James Taylor,https://open.spotify.com/artist/0vn7UBvSQECKJm2817Yf1P,2019-05-26,238573,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
Carried Away,https://open.spotify.com/track/16LZtAsJhnyta6i2zmVCZL,CSN,https://open.spotify.com/album/63AF6wD9Mt1vQgKPNZaAXx,"Crosby, Stills & Nash",https://open.spotify.com/artist/2pdvghEHZJtgSXZ7cvNLou,2022-07-05,154000,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
Copperline,https://open.spotify.com/track/0i1XtQ6hOET96dz5oG45zl,New Moon Shine,https://open.spotify.com/album/36DBvvp7XO5oSulZANyCIM,James Taylor,https://open.spotify.com/artist/0vn7UBvSQECKJm2817Yf1P,2019-05-26,261265,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
Crazy Love - 2013 Remaster,https://open.spotify.com/track/2hjAc6x8EoSLhGxRNg8KEw,Moondance (Expanded Edition),https://open.spotify.com/album/6yNYC35npMBHbxG0Vle83O,Van Morrison,https://open.spotify.com/artist/44NX2ffIYHr6D4n7RaZF7A,2019-05-26,155453,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
Cruisin',https://open.spotify.com/track/2gliw3L0oa4w8LqaHploje,Where There's Smoke... (Expanded Edition),https://open.spotify.com/album/6dePMhqoFfN5mm73ChBgOU,Smokey Robinson,https://open.spotify.com/artist/0h9smro0z3HqUbD94jotU8,2019-05-26,352920,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
Cry to Me,https://open.spotify.com/track/1tYk5zABu6h8CMP1cSea56,Solomon Burke's Greatest Hits,https://open.spotify.com/album/5wbo06FU4VwIgA0CdfJXI4,Solomon Burke,https://open.spotify.com/artist/4nts0oxMT67lVUoi5Kjxrb,2019-05-26,154906,2019-05-26,Relax with these timeless tunes. Cover: Tracy Chapman,Mellow Classics
