track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Beautiful World,https://open.spotify.com/track/49UUWYBaGKhS9eXwVhbrhy,A Beautiful World,https://open.spotify.com/album/3BAuze9CQjVKTAkRvzalIL,Rua Do Sol,https://open.spotify.com/artist/6H6xSboY4n7uDxqgRaBBL4,2024-09-10,213902,2021-12-21,Get a great night's sleep with these soft acoustic guitar tunes.,Guitar for Sleep
A la recherche de l'autre,https://open.spotify.com/track/7tRL2A19PEY7MbLttIL8T8,A la recherche de l'autre,https://open.spotify.com/album/17WLl7MsDL25RsYFH0nPvO,Aveline Bisset,https://open.spotify.com/artist/3rAcgQY59qmzetC75wYKbJ,2021-12-09,137846,2021-12-21,Get a great night's sleep with these soft acoustic guitar tunes.,Guitar for Sleep
A primeira vez,https://open.spotify.com/track/5dPjY3uVSuqscIdj71O3GR,A primeira vez,https://open.spotify.com/album/3VSlAYGBf4pvTUAAhYXb6v,Mélissa Blakesley,https://open.spotify.com/artist/6t8jy1xk9kQQOX5UIqy4sC,2023-01-06,116687,2021-12-21,Get a great night's sleep with these soft acoustic guitar tunes.,Guitar for Sleep
A Quiet Moment,https://open.spotify.com/track/3X8JVsDjjOCh40bJzon4pF,A Quiet Moment,https://open.spotify.com/album/1aQ5xXhIPOKwsyi03Q5LkP,John Hanks,https://open.spotify.com/artist/3MN3dRQvZWIRj0wTpY5QnY,2022-12-09,168275,2021-12-21,Get a great night's sleep with these soft acoustic guitar tunes.,Guitar for Sleep
A Sweet Portrait,https://open.spotify.com/track/3tWMxyyVYEFZDHhvQa2CtY,A Sweet Portrait,https://open.spotify.com/album/1BbCTjpeM7eKKLQwpNUzDl,Adone Alleva,https://open.spotify.com/artist/57AuiSqf2jh8dtMOTRfBoq,2023-04-28,147874,2021-12-21,Get a great night's sleep with these soft acoustic guitar tunes.,Guitar for Sleep
A symptom of love,https://open.spotify.com/track/5txD37iFI1bEZAmYg0vr2R,A symptom of love,https://open.spotify.com/album/72fvxb5dOABnoE2hVI6qi3,Esmeralda Torres,https://open.spotify.com/artist/3bT8Meiw5qtuGhtYozTWOp,2023-02-24,150094,2021-12-21,Get a great night's sleep with these soft acoustic guitar tunes.,Guitar for Sleep
A Waltz with Jena Lynn (Solo Guitar),https://open.spotify.com/track/34UvnbEnip6vYcw5cFBL1b,A Waltz with Jena Lynn (Solo Guitar),https://open.spotify.com/album/3flhd8RWYlUoPWE6w7pPg3,Ryan Judd,https://open.spotify.com/artist/1F8gdqObuIxT2cZrPjDeMv,2022-09-23,158265,2021-12-21,Get a great night's sleep with these soft acoustic guitar tunes.,Guitar for Sleep
Achernar,https://open.spotify.com/track/4DQ6sxGcPuxSK8OXHj9XGG,Achernar,https://open.spotify.com/album/3gOzubq8SyEtBXXwv92594,Serena Perez,https://open.spotify.com/artist/2zkK4XfOHnssYBDk6Vp5PR,2021-12-09,142435,2021-12-21,Get a great night's sleep with these soft acoustic guitar tunes.,Guitar for Sleep
Aime-moi,https://open.spotify.com/track/5iI350s8GGBvluinhZoxgK,Langue d'amour,https://open.spotify.com/album/5eGWf5z5kCZ8LL6KHEoer0,Bonno Neo,https://open.spotify.com/artist/5nBFfdEKdggIFXDXiWs8lf,2022-12-16,146000,2021-12-21,Get a great night's sleep with these soft acoustic guitar tunes.,Guitar for Sleep
Albatroz,https://open.spotify.com/track/6pkOGtH05w1pZh7oF7l7rA,Albatroz,https://open.spotify.com/album/5erw9xZgmumf9gY3BuDpDb,Toni Barella,https://open.spotify.com/artist/4SG1RjKd3TiXxwZ36G6tut,2024-06-07,161689,2021-12-21,Get a great night's sleep with these soft acoustic guitar tunes.,Guitar for Sleep
All Is Calm,https://open.spotify.com/track/0CBLqVCOalzlHumLvX0IEd,All Is Calm,https://open.spotify.com/album/1D4gPj0UQbdxBvPYdb0qcO,Theodor Ros,https://open.spotify.com/artist/1Jx5dszOj8eO3NpRI0K59S,2022-07-01,75520,2021-12-21,Get a great night's sleep with these soft acoustic guitar tunes.,Guitar for Sleep
AM,https://open.spotify.com/track/3LeQBzk5JpoUJbQ6p2WQEJ,AM,https://open.spotify.com/album/6f5nSiGBUmjnFs12rMVbCy,Daniela Rusinda,https://open.spotify.com/artist/1OAU4WkqW7J1JtssReHRd0,2022-12-09,109083,2021-12-21,Get a great night's sleep with these soft acoustic guitar tunes.,Guitar for Sleep
