track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
2 Year Itch,https://open.spotify.com/track/5tIOc6GbyGRnSNCfpTNUPg,2 Year Itch,https://open.spotify.com/album/1ZhtlKn7oUMdKBkQ5njhKl,girli,https://open.spotify.com/artist/4XX9YjNQrHTZfZz3DCX6DP,2024-10-07,165068,2024-07-02,Necessities from LGBTQIA+ artists. Cover: Shura,GLOW UK & Ireland 
69,https://open.spotify.com/track/7HThqZsl1l1YshgeZaoBRD,69,https://open.spotify.com/album/65AGTpy6jBYVi8KH4oVugq,Self Esteem,https://open.spotify.com/artist/3K9muOlJVKLgH4SIwwZiDe,2025-02-14,209417,2024-07-02,Necessities from LGBTQIA+ artists. Cover: Shura,GLOW UK & Ireland 
:),https://open.spotify.com/track/36YY9Yeq3XastTeC1e0VmN,:),https://open.spotify.com/album/6UHK8Ur2u73SSq62gwsmFo,The Japanese House,https://open.spotify.com/artist/3IunaFjvNKj98JW89JYv9u,2024-08-12,180568,2024-07-02,Necessities from LGBTQIA+ artists. Cover: Shura,GLOW UK & Ireland 
a letter to myself at 17,https://open.spotify.com/track/0kU2hNsMbTPHOMDD7qKQS8,Quarter Life Crisis (Deluxe),https://open.spotify.com/album/2OqDjO2moqMLtBEfFiu8OB,Baby Queen,https://open.spotify.com/artist/4VqlewwKZJoIcA88PYHUDd,2024-09-09,199671,2024-07-02,Necessities from LGBTQIA+ artists. Cover: Shura,GLOW UK & Ireland 
ABOMINATION,https://open.spotify.com/track/2h2142a0MCcrd1bBNohCaN,ABOMINATION,https://open.spotify.com/album/6am19f0GGzZgJYTSvGCuSr,Lynks,https://open.spotify.com/artist/44tV2d4RDeMsS2sLOdcXHD,2024-06-10,198549,2024-07-02,Necessities from LGBTQIA+ artists. Cover: Shura,GLOW UK & Ireland 
Air Tight,https://open.spotify.com/track/0gethz2jDq9MFbhvRc9tk9,Prism of Pleasure,https://open.spotify.com/album/0fGG1bH61jnLMW2cvpB6Er,"Elkka, Dot Major","https://open.spotify.com/artist/5Ly0z60jjgsY4rkmjRFtPS, https://open.spotify.com/artist/02KPkbCJoF0txgF3MN7KIh",2024-06-10,234231,2024-07-02,Necessities from LGBTQIA+ artists. Cover: Shura,GLOW UK & Ireland 
alone,https://open.spotify.com/track/1v7LEUvEgss8nm2Ix0Y4Qv,early twenties,https://open.spotify.com/album/5GCKgRtjoKHzgxLS8tk6HC,Cat Burns,https://open.spotify.com/artist/6WFDpw4u23uSpon4BHvFRn,2024-12-04,172306,2024-07-02,Necessities from LGBTQIA+ artists. Cover: Shura,GLOW UK & Ireland 
alone,https://open.spotify.com/track/6wpOHVSrinXhKqF4EBbpuS,alone,https://open.spotify.com/album/29sXbgWHLAjGcshP5zHCpW,Cat Burns,https://open.spotify.com/artist/6WFDpw4u23uSpon4BHvFRn,2024-06-10,172966,2024-07-02,Necessities from LGBTQIA+ artists. Cover: Shura,GLOW UK & Ireland 
Always Forever,https://open.spotify.com/track/2kSeF6yZz3wLFchfnX0xfO,Always Forever,https://open.spotify.com/album/65otcCeyfEPtdY4DZMgPtF,Romy,https://open.spotify.com/artist/3X2DdnmoANw8Rg8luHyZQb,2024-06-10,185160,2024-07-02,Necessities from LGBTQIA+ artists. Cover: Shura,GLOW UK & Ireland 
Anything,https://open.spotify.com/track/4C6A9i2wiawiFgnKLAruaW,Anything,https://open.spotify.com/album/0kCsEG4eJcywmJb1tewQwR,Polly Money,https://open.spotify.com/artist/7Aem5tZTNcNDFBh3HBdOON,2024-09-09,205293,2024-07-02,Necessities from LGBTQIA+ artists. Cover: Shura,GLOW UK & Ireland 
Are You Ready Now?,https://open.spotify.com/track/4AxcUAv6Y87hSDLl4Lqq2s,Heaven Can Wait,https://open.spotify.com/album/6dweyz4Y0Uyo3fVrz0vgsD,Trash Boat,https://open.spotify.com/artist/0XGJ3GUPwslwFJ66yNbHeh,2024-10-07,215929,2024-07-02,Necessities from LGBTQIA+ artists. Cover: Shura,GLOW UK & Ireland 
Are You Ready Now?,https://open.spotify.com/track/5IEQUM87X2zSFfsFJ9vir7,Are You Ready Now?,https://open.spotify.com/album/6xbmpgRs0VTklRRVHIpmrn,Trash Boat,https://open.spotify.com/artist/0XGJ3GUPwslwFJ66yNbHeh,2024-12-04,215929,2024-07-02,Necessities from LGBTQIA+ artists. Cover: Shura,GLOW UK & Ireland 
"Aw, Shoot!",https://open.spotify.com/track/4D7db0sTmEWYf9aAzCJl9c,"Aw, Shoot!",https://open.spotify.com/album/2MrVs5OGnY7RGn33GiB2pu,CMAT,https://open.spotify.com/artist/3VBNIRx1LxVdRqOiPgkLwv,2024-06-14,208439,2024-07-02,Necessities from LGBTQIA+ artists. Cover: Shura,GLOW UK & Ireland 
B.I.L.L.S.,https://open.spotify.com/track/1doyPSKlfeIyA6s4NSwXPn,American Hero,https://open.spotify.com/album/21HMENCxfw31djGv60lk88,Towa Bird,https://open.spotify.com/artist/1Yq3rS7K1SQKqjMOHXpqqt,2024-12-04,134920,2024-07-02,Necessities from LGBTQIA+ artists. Cover: Shura,GLOW UK & Ireland 
B.I.L.L.S.,https://open.spotify.com/track/7xISBLSpkANttnZx8krkq6,B.I.L.L.S.,https://open.spotify.com/album/5xAgSGlXlXM31KGUe5g4I5,Towa Bird,https://open.spotify.com/artist/1Yq3rS7K1SQKqjMOHXpqqt,2024-06-10,134920,2024-07-02,Necessities from LGBTQIA+ artists. Cover: Shura,GLOW UK & Ireland 
Babette,https://open.spotify.com/track/7dy1W1fBRAeQlcUdsL6ZeF,Babette,https://open.spotify.com/album/7yk5DxilcuZft3NG3ZjzvY,"Katie Malco, SOAK","https://open.spotify.com/artist/5t9yM2ABZVQrUXJqa7HTSt, https://open.spotify.com/artist/4PLsMEk2DCRVlVL2a9aZAv",2024-10-07,240500,2024-07-02,Necessities from LGBTQIA+ artists. Cover: Shura,GLOW UK & Ireland 
