track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1.1,https://open.spotify.com/track/4NT2yAV1bTLeeE3Db6ABXw,Squid Game: Unleashed (Soundtrack from the Netflix Game),https://open.spotify.com/album/3nsHL0Bqoku5scKM8O0pdh,Stephen Rippy,https://open.spotify.com/artist/7q07gjcF7sg6LMZKvp1TRZ,2025-01-24,75433,2022-05-15,"There's no stopping the game. Listen to the music from Squid Game, now streaming on Netflix.",Squid Game Official Playlist
A Five People Game,https://open.spotify.com/track/1plB9h5PIGncxBj0oCT4ma,Squid Game 2 (Soundtrack from the Netflix Series),https://open.spotify.com/album/38I81fquwK20vSrvstSjZO,Park Min Joo,https://open.spotify.com/artist/1xdJgXDFdLZyWwV8qPD7lw,2024-12-27,270766,2022-05-15,"There's no stopping the game. Listen to the music from Squid Game, now streaming on Netflix.",Squid Game Official Playlist
A Toilet Fight I,https://open.spotify.com/track/0h97KdHO7a2DGrQlnV5WUd,Squid Game 2 (Soundtrack from the Netflix Series),https://open.spotify.com/album/38I81fquwK20vSrvstSjZO,Park Min Joo,https://open.spotify.com/artist/1xdJgXDFdLZyWwV8qPD7lw,2024-12-27,190147,2022-05-15,"There's no stopping the game. Listen to the music from Squid Game, now streaming on Netflix.",Squid Game Official Playlist
A White Limousine II,https://open.spotify.com/track/2G5H7tlAxuASRiPal2RC5T,Squid Game 2 (Soundtrack from the Netflix Series),https://open.spotify.com/album/38I81fquwK20vSrvstSjZO,Park Min Joo,https://open.spotify.com/artist/1xdJgXDFdLZyWwV8qPD7lw,2024-12-27,93095,2022-05-15,"There's no stopping the game. Listen to the music from Squid Game, now streaming on Netflix.",Squid Game Official Playlist
Counter Strike,https://open.spotify.com/track/5SYPYWX73JFEIW41MP5QUV,Squid Game 2 (Soundtrack from the Netflix Series),https://open.spotify.com/album/38I81fquwK20vSrvstSjZO,jung jaeil,https://open.spotify.com/artist/34J5kKR5szbJ5fGK7f8HCU,2024-12-27,97546,2022-05-15,"There's no stopping the game. Listen to the music from Squid Game, now streaming on Netflix.",Squid Game Official Playlist
Dawn,https://open.spotify.com/track/3x5kegiXk53hWQiK1jraV3,Squid Game (Original Soundtrack from The Netflix Series),https://open.spotify.com/album/3LUdxlF9Gq90Jcd9Y24ZH8,jung jaeil,https://open.spotify.com/artist/34J5kKR5szbJ5fGK7f8HCU,2022-01-26,401553,2022-05-15,"There's no stopping the game. Listen to the music from Squid Game, now streaming on Netflix.",Squid Game Official Playlist
Ddakji Man,https://open.spotify.com/track/0frS13AxiwHpsogekwzUve,Squid Game 2 (Soundtrack from the Netflix Series),https://open.spotify.com/album/38I81fquwK20vSrvstSjZO,Park Min Joo,https://open.spotify.com/artist/1xdJgXDFdLZyWwV8qPD7lw,2024-12-27,161820,2022-05-15,"There's no stopping the game. Listen to the music from Squid Game, now streaming on Netflix.",Squid Game Official Playlist
Dead End,https://open.spotify.com/track/3bfd39x1ATZ92fMj7xwEYb,Squid Game (Original Soundtrack from The Netflix Series),https://open.spotify.com/album/3LUdxlF9Gq90Jcd9Y24ZH8,23,https://open.spotify.com/artist/2YsdzHeTSiaIBz9eYBjq6C,2022-01-26,324980,2022-05-15,"There's no stopping the game. Listen to the music from Squid Game, now streaming on Netflix.",Squid Game Official Playlist
Delivery,https://open.spotify.com/track/3WDIomwIE9MY9LqgGoiU7h,Squid Game (Original Soundtrack from The Netflix Series),https://open.spotify.com/album/3LUdxlF9Gq90Jcd9Y24ZH8,23,https://open.spotify.com/artist/2YsdzHeTSiaIBz9eYBjq6C,2022-01-26,295411,2022-05-15,"There's no stopping the game. Listen to the music from Squid Game, now streaming on Netflix.",Squid Game Official Playlist
Don't Die in Vain,https://open.spotify.com/track/0ygCjNaSn2a6DC7dkuHzYo,Squid Game 2 (Soundtrack from the Netflix Series),https://open.spotify.com/album/38I81fquwK20vSrvstSjZO,jung jaeil,https://open.spotify.com/artist/34J5kKR5szbJ5fGK7f8HCU,2024-12-27,241393,2022-05-15,"There's no stopping the game. Listen to the music from Squid Game, now streaming on Netflix.",Squid Game Official Playlist
Funeral,https://open.spotify.com/track/6MFerMHYPycq8OZmWp7J7j,Squid Game 2 (Soundtrack from the Netflix Series),https://open.spotify.com/album/38I81fquwK20vSrvstSjZO,Kim Sungsoo,https://open.spotify.com/artist/3QP8DvkVdQVhxEEeULzrff,2024-12-27,205367,2022-05-15,"There's no stopping the game. Listen to the music from Squid Game, now streaming on Netflix.",Squid Game Official Playlist
