track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
22 settembre,https://open.spotify.com/track/15RRpHBNzv0gvjIry4jyOs,22 settembre,https://open.spotify.com/album/2XXtM3qexPIlNtotrYZjRp,Ultimo,https://open.spotify.com/artist/3hN3iJMbbBmqBSAMx5veDa,2021-09-26,230693,2022-05-09,Le canzoni d'amore italiane più romantiche di sempre ❤️,San Valentino 2025
A DOMANI PER SEMPRE,https://open.spotify.com/track/31cYqUNrUQ0oCarV0Gqis9,X Factor 13 - INEDITI,https://open.spotify.com/album/2lJ6XshhJmGP5s7ue6EXzn,Sofia Tornambene,https://open.spotify.com/artist/3MfKwufKrDvUxdvsbFWcwk,2021-09-26,217619,2022-05-09,Le canzoni d'amore italiane più romantiche di sempre ❤️,San Valentino 2025
A modo tuo,https://open.spotify.com/track/26BnLngCCgaDTtbnOe155S,L'anima vola (Deluxe Edition),https://open.spotify.com/album/1kJojaiy2j8ICZIdsKGehb,Elisa,https://open.spotify.com/artist/2ARH58Hit3yC6ziGdhma23,2021-09-26,320546,2022-05-09,Le canzoni d'amore italiane più romantiche di sempre ❤️,San Valentino 2025
A Modo Tuo,https://open.spotify.com/track/3s98WLWw6xgBfibJexdImp,L'Anima Vola (Deluxe Edition),https://open.spotify.com/album/6IWcTSqWt2Xd712WckzTp1,Elisa,https://open.spotify.com/artist/2ARH58Hit3yC6ziGdhma23,2024-02-13,320546,2022-05-09,Le canzoni d'amore italiane più romantiche di sempre ❤️,San Valentino 2025
A Te,https://open.spotify.com/track/0pVSpAnjpnqywmPZnOISiv,Safari,https://open.spotify.com/album/4tp7nwTFlAwtgHhJiEnilK,Jovanotti,https://open.spotify.com/artist/7tmMPdOmFvdRvbj2aWoiRi,2021-09-26,264240,2022-05-09,Le canzoni d'amore italiane più romantiche di sempre ❤️,San Valentino 2025
A un isolato da te,https://open.spotify.com/track/78flPZdW6F2pNfIkVVKCRI,Tempo Reale Extra,https://open.spotify.com/album/4g3w53fwewnSPWR8lMCksi,Francesco Renga,https://open.spotify.com/artist/3TAYxk5QBcHunmb0qkeTn2,2021-09-26,205880,2022-05-09,Le canzoni d'amore italiane più romantiche di sempre ❤️,San Valentino 2025
Accetto Miracoli,https://open.spotify.com/track/22wcpWIq8EUqcFoF6wD0gg,Accetto Miracoli,https://open.spotify.com/album/4W80Y3Ukg3dxhAKBQ8Cjej,Tiziano Ferro,https://open.spotify.com/artist/11TplWqOPQBTmg2eiSLt1m,2021-09-26,211736,2022-05-09,Le canzoni d'amore italiane più romantiche di sempre ❤️,San Valentino 2025
Acqua e Sale,https://open.spotify.com/track/2k5XUNGw2nD3qTl9C208Qr,Mina Celentano,https://open.spotify.com/album/0fK3gESwoPn02N98BmuRid,MINACELENTANO,https://open.spotify.com/artist/2RaKpBVCLrHguQqQDcahYB,2021-09-26,282360,2022-05-09,Le canzoni d'amore italiane più romantiche di sempre ❤️,San Valentino 2025
Alba,https://open.spotify.com/track/3slQ550jA1udn2keXTvu1U,Alba,https://open.spotify.com/album/5KlWvjXQsetLk8KqvtCaJw,Ultimo,https://open.spotify.com/artist/3hN3iJMbbBmqBSAMx5veDa,2025-01-23,209657,2022-05-09,Le canzoni d'amore italiane più romantiche di sempre ❤️,San Valentino 2025
Albachiara,https://open.spotify.com/track/53MYtv4tzLYg1hbu13Qbc0,Albachiara,https://open.spotify.com/album/5MLtSbanLmt0QLEMKgqLD7,Vasco Rossi,https://open.spotify.com/artist/5l4nhyz8876RhgE2d18h65,2025-01-23,245533,2022-05-09,Le canzoni d'amore italiane più romantiche di sempre ❤️,San Valentino 2025
