track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"""45""",https://open.spotify.com/track/5LQN7c99Q8gvmh6xJcTZgj,Handwritten (Deluxe Version),https://open.spotify.com/album/3et3fAEh76eTu4O99WTtfY,The Gaslight Anthem,https://open.spotify.com/artist/7If8DXZN7mlGdQkLE2FaMo,2022-05-25,207546,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
1000hp,https://open.spotify.com/track/2DpLoT8qfJdZhsLGFg413r,1000hp,https://open.spotify.com/album/23nOachDR5dUA2iLlvvwT3,Godsmack,https://open.spotify.com/artist/6gZq1Q6bdOxsUPUG1TaFbF,2022-05-25,226466,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
1000hp,https://open.spotify.com/track/3NW1h8l6EY5N6HNBL83S4V,1000hp,https://open.spotify.com/album/43crHBVr5O6Z71eLsvq0JG,Godsmack,https://open.spotify.com/artist/6gZq1Q6bdOxsUPUG1TaFbF,2022-05-25,226540,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
16,https://open.spotify.com/track/7jHJ2MzIKO1kIMxGamKRKn,MCID,https://open.spotify.com/album/16ah4zHJlxx3wjRFg3nkSl,Highly Suspect,https://open.spotify.com/artist/2pqd3HsfsvcBGtHvPOg6eg,2022-05-25,278656,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
18 Days,https://open.spotify.com/track/2UlFbS4EtiIj7uLeUvvOMJ,Saving Abel,https://open.spotify.com/album/6Nft5QnHcxYvLwAQc3mo8O,Saving Abel,https://open.spotify.com/artist/2AVVj8ezW2mJ0v8u7XydiF,2022-05-25,231453,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
2all,https://open.spotify.com/track/0ZfEeIu7CNHQhbCTiVv3cx,The Balance,https://open.spotify.com/album/0eELSmJrZpzOKfdO80nJ9r,Catfish and the Bottlemen,https://open.spotify.com/artist/2xaAOVImG2O6lURwqperlD,2023-01-18,188440,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
7 Shots,https://open.spotify.com/track/0AC4FTnX5dRE1Fvk0cpGoN,Beyond Hell / Above Heaven,https://open.spotify.com/album/2gBziT8McYGmC7Vzf4BsK9,Volbeat,https://open.spotify.com/artist/0L5fC7Ogm2YwgqVCRcF1bT,2022-05-25,283920,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
A Change Is Gonna Come,https://open.spotify.com/track/12YYFvwwuYiw010ONgfYlW,From The Fires,https://open.spotify.com/album/6uSnHSIBGKUiW1uKQLYZ7w,Greta Van Fleet,https://open.spotify.com/artist/4NpFxQe2UvRCAjto3JqlSl,2022-05-25,197080,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
A Match Into Water,https://open.spotify.com/track/54MXF9I8s3DuiQo3g0gZ5k,Collide With The Sky,https://open.spotify.com/album/661Hz0qJK8WIp7vAWsqKvk,Pierce The Veil,https://open.spotify.com/artist/4iJLPqClelZOBCBifm8Fzv,2022-05-25,212546,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
A Matter Of Time,https://open.spotify.com/track/6LYNOWzGwVZmi64kwtWLx7,Battle Born,https://open.spotify.com/album/3bvS3DlTwV35j2qwFhDvxx,The Killers,https://open.spotify.com/artist/0C0XlULifJtAgn6ZNCW2eu,2022-05-25,251573,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
A Reason to Fight,https://open.spotify.com/track/1IbaGRC0Yrovu3MP1ipf1u,Evolution (Deluxe Edition),https://open.spotify.com/album/1IpufqmucrxYUJQxf1AP0n,Disturbed,https://open.spotify.com/artist/3TOqt5oJwL9BE2NG9MEwDa,2022-05-25,284293,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
Aberdeen,https://open.spotify.com/track/7pwULzYydZdjJX3SiqQ5bR,Thank You Happy Birthday,https://open.spotify.com/album/2jVxhH1xg6EIc87rGM1Ogt,Cage The Elephant,https://open.spotify.com/artist/26T3LtbuGT1Fu9m0eRq5X3,2022-05-25,192920,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
Adolescents,https://open.spotify.com/track/7CBD8biut3IwSJDfhKHLoH,"If Not Now, When?",https://open.spotify.com/album/7d4zNXpbzKsvJpjQi4cIfj,Incubus,https://open.spotify.com/artist/3YcBF2ttyueytpXtEzn1Za,2022-05-25,288840,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
After Midnight,https://open.spotify.com/track/27H8WsrkD5catdc3a2fCLV,Neighborhoods (Deluxe),https://open.spotify.com/album/2xSmzzqWM6cqaC92Hf7Dyv,blink-182,https://open.spotify.com/artist/6FBDaR13swtiWwGhX1WQsP,2022-05-25,206866,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
After Midnight,https://open.spotify.com/track/29bWDkf8qtCmsvDWOW55CJ,Neighborhoods (Deluxe Explicit Version),https://open.spotify.com/album/0KjLbdlJYvtzXjGTwPy3lv,blink-182,https://open.spotify.com/artist/6FBDaR13swtiWwGhX1WQsP,2022-05-25,206866,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
After Midnight,https://open.spotify.com/track/217LuteR9uZbrD0Z1FYkt0,ROCKISDEAD,https://open.spotify.com/album/5AYoffF42E0cgDuuNgzYir,Dorothy,https://open.spotify.com/artist/6IOvhXyk5edbA2DVaeP9Up,2022-05-25,149751,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
Afterlife,https://open.spotify.com/track/2R9EzpfbMKA3UkGTQLD3mG,Vice Verses (Deluxe Edition),https://open.spotify.com/album/3a5RuKhK983i7weX2pwtG6,Switchfoot,https://open.spotify.com/artist/6S58b0fr8TkWrEHOH4tRVu,2022-05-25,217053,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
Age Of Man,https://open.spotify.com/track/54DIzLw4LLxB3n1XiiQftU,Anthem Of The Peaceful Army,https://open.spotify.com/album/7zeCZY6rQRufc8IHGKyXGX,Greta Van Fleet,https://open.spotify.com/artist/4NpFxQe2UvRCAjto3JqlSl,2022-05-25,366186,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
Agree to Disagree,https://open.spotify.com/track/58Eyr2rZWIYM19qhpals74,How It Feels to Be Lost,https://open.spotify.com/album/19BZXyyyJmxcCys5VDFOOB,Sleeping With Sirens,https://open.spotify.com/artist/3N8Hy6xQnQv1F1XCiyGQqA,2022-05-25,182679,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
Alien,https://open.spotify.com/track/1x55eYF0ijBESbBCOtlqtx,Alien,https://open.spotify.com/album/0Fo7hqmfVeyku0BBxHtKaw,Airways,https://open.spotify.com/artist/5fRpvt0RU5UL6YwQekpofE,2022-05-25,194906,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
All American Nightmare,https://open.spotify.com/track/51HpNM8RKewP5PAuBLqXwy,All American Nightmare,https://open.spotify.com/album/5z9kqsVrr38LfxlAFN1XBs,Hinder,https://open.spotify.com/artist/6BMhCQJYHxxKAeqYS1p5rY,2022-05-25,197453,2022-06-30,Any songs you forgot existed? Let's go deep into 2010s rock!  Cover: Papa Roach.,Deep Dive: 10s Rock
