track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
3 En 1,https://open.spotify.com/track/5HIzCGqvXKVnyziWxL8nL1,3 En 1,https://open.spotify.com/album/4TNhFTPaETNcoxCEeqvcoP,"Alejo Isakk, Gusty dj","https://open.spotify.com/artist/2cdoH2XFAhj0LlSo4P2fJJ, https://open.spotify.com/artist/5f9pQjPeDbuRF1GowQXo3L",2023-11-29,185142,2023-12-22,Las canciones más escuchadas del género.  Foto: Salastkbron.,Lo Mejor De RKT & Turreo 2024
30 Grados,https://open.spotify.com/track/6IRRoV7AbjHT8JWP4uFrD5,30 Grados,https://open.spotify.com/album/60gvJYHZGLyxwiZSlETv56,"El Turko, Mandale Flow","https://open.spotify.com/artist/7aqaIr9F3tHP7BMsmfAL8Z, https://open.spotify.com/artist/2mrlK4Ow9Fb9U50qbkRMZd",2024-12-04,151441,2023-12-22,Las canciones más escuchadas del género.  Foto: Salastkbron.,Lo Mejor De RKT & Turreo 2024
ALEJO ISAKK | DJ TAO Turreo Sessions #14,https://open.spotify.com/track/5OZ4ske7GzEE6fOy9qjWdh,ALEJO ISAKK | DJ TAO Turreo Sessions #14,https://open.spotify.com/album/0keCqTJB00DAwHML5qknRH,"DJ Tao, Alejo Isakk","https://open.spotify.com/artist/5CA5IqbsFr4hpNLdjgO0BU, https://open.spotify.com/artist/2cdoH2XFAhj0LlSo4P2fJJ",2023-11-29,160171,2023-12-22,Las canciones más escuchadas del género.  Foto: Salastkbron.,Lo Mejor De RKT & Turreo 2024
Auto Al Piso,https://open.spotify.com/track/2YwFbO158HeAMCSjSaouRu,Auto Al Piso,https://open.spotify.com/album/3wCxXHDzoxH1XS6Z8u8Uuy,"The La Planta, El negro tecla, Locura Mix","https://open.spotify.com/artist/4oZolC0sCwCAKqsNXfRlVS, https://open.spotify.com/artist/6M6pyt8k3EjvbFo1pZFS75, https://open.spotify.com/artist/42cc22xiuvWzjmFHSKwwwv",2024-12-04,174580,2023-12-22,Las canciones más escuchadas del género.  Foto: Salastkbron.,Lo Mejor De RKT & Turreo 2024
Azote - Remix,https://open.spotify.com/track/6862W0OJNwhytsXSpCQZ5k,Azote (Remix),https://open.spotify.com/album/7uFvIYuaRywnVcpPKYNd5y,"Lolo OG, Callejero Fino, Alejo Isakk, Salastkbron","https://open.spotify.com/artist/1HAO6fqdAGX5CiWxBvhiyv, https://open.spotify.com/artist/6GRwwWAtmusrgAL5JF9Dfr, https://open.spotify.com/artist/2cdoH2XFAhj0LlSo4P2fJJ, https://open.spotify.com/artist/3WMlRpW5JWuDI95TcEWt3r",2023-11-29,226821,2023-12-22,Las canciones más escuchadas del género.  Foto: Salastkbron.,Lo Mejor De RKT & Turreo 2024
BM | DJ TAO Turreo Sessions #17,https://open.spotify.com/track/0zIA89ERtLoWZF8zMYgWoL,BM | DJ TAO Turreo Sessions #17,https://open.spotify.com/album/7IRENolKvEF0bCjNp6TTrZ,"DJ Tao, BM","https://open.spotify.com/artist/5CA5IqbsFr4hpNLdjgO0BU, https://open.spotify.com/artist/5TP8Ubo4jLKEi4Mw2O8fAk",2023-11-29,176144,2023-12-22,Las canciones más escuchadas del género.  Foto: Salastkbron.,Lo Mejor De RKT & Turreo 2024
BM | Mission 18,https://open.spotify.com/track/2UIiJWTPP2BLPZKHbe4nhP,BM | Mission 18,https://open.spotify.com/album/16jEh2XoL253AFYGCjzN16,"Alan Gomez, BM","https://open.spotify.com/artist/6oMRQ5H3A2XA5I3RG3leni, https://open.spotify.com/artist/5TP8Ubo4jLKEi4Mw2O8fAk",2023-11-29,177142,2023-12-22,Las canciones más escuchadas del género.  Foto: Salastkbron.,Lo Mejor De RKT & Turreo 2024
CALLEJERO FINO | DJ TAO Turreo Sessions #723,https://open.spotify.com/track/3fUZbg31mIJKIxuv8nUcGg,CALLEJERO FINO | DJ TAO Turreo Sessions #723,https://open.spotify.com/album/3QH6xfxFEoQNVUdtlyHpup,"DJ Tao, Callejero Fino","https://open.spotify.com/artist/5CA5IqbsFr4hpNLdjgO0BU, https://open.spotify.com/artist/6GRwwWAtmusrgAL5JF9Dfr",2023-11-29,163259,2023-12-22,Las canciones más escuchadas del género.  Foto: Salastkbron.,Lo Mejor De RKT & Turreo 2024
CALLEJERO FINO | Mission 10,https://open.spotify.com/track/12BLBKATlbWXPhuSNL8eAr,CALLEJERO FINO | Mission 10,https://open.spotify.com/album/3iqAvQSDTyB34WTmKmL7hB,"Alan Gomez, Callejero Fino","https://open.spotify.com/artist/6oMRQ5H3A2XA5I3RG3leni, https://open.spotify.com/artist/6GRwwWAtmusrgAL5JF9Dfr",2024-12-04,168994,2023-12-22,Las canciones más escuchadas del género.  Foto: Salastkbron.,Lo Mejor De RKT & Turreo 2024
Cierre Rkt,https://open.spotify.com/track/1NVBLZ63QLBjBoh5Tf0pKj,Cierre Rkt,https://open.spotify.com/album/5ZFFrfRXB0esjxL87DTqWd,"Eze Remix, Matt Sebastian","https://open.spotify.com/artist/3rYTay1spPOr6LYSAdQ9AT, https://open.spotify.com/artist/47LeSViBakxCTkCjQ1NYdt",2024-12-04,120018,2023-12-22,Las canciones más escuchadas del género.  Foto: Salastkbron.,Lo Mejor De RKT & Turreo 2024
