track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
220,https://open.spotify.com/track/6ZvsmvXknoN8uK2MSEGpwT,POST MORTEM,https://open.spotify.com/album/39g3CsFBc9YK9Z6AbvvkgF,Dillom,https://open.spotify.com/artist/4cJD9t5QBFTUQcd3xfbOb2,2023-12-15,176568,2023-08-25,Hacele honor al domingo y terminalo bien arriba.,Antidomingo
A Veces Vuelvo,https://open.spotify.com/track/2E2dLZK0gSTl6vjr53BfKM,El Número Imperfecto,https://open.spotify.com/album/1nE0dr9IW4y6nKDtVO8yTn,Catupecu Machu,https://open.spotify.com/artist/059ysTnWcrm4yFwTr0NDjc,2023-12-15,266133,2023-08-25,Hacele honor al domingo y terminalo bien arriba.,Antidomingo
Acapulco,https://open.spotify.com/track/3FvQlLlke7bl8phCe1LJgy,Acapulco,https://open.spotify.com/album/66TzEKIam5WkxScrvzgYBm,"Siddhartha, Emmanuel Horvilleur","https://open.spotify.com/artist/2aqFBHOpM9uIgBpUsdq09x, https://open.spotify.com/artist/3Pc0Gebx1aAAJlZh3zysmI",2023-08-22,237526,2023-08-25,Hacele honor al domingo y terminalo bien arriba.,Antidomingo
Aeroplane,https://open.spotify.com/track/0VLdJcQUsqHBBwqPp4CIKJ,One Hot Minute (Deluxe Edition),https://open.spotify.com/album/2rQ135imvelvp89D8eEZOi,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,2023-12-15,285066,2023-08-25,Hacele honor al domingo y terminalo bien arriba.,Antidomingo
All Apologies,https://open.spotify.com/track/1Ic9pKxGSJGM0LKeqf6lGe,In Utero,https://open.spotify.com/album/7wOOA7l306K8HfBKfPoafr,Nirvana,https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh,2023-08-22,233173,2023-08-25,Hacele honor al domingo y terminalo bien arriba.,Antidomingo
ALMA DINAMITA,https://open.spotify.com/track/2ONADYjJvqYVwjWavuY0H1,TRES PUNTOS SUSPENSIVOS,https://open.spotify.com/album/3uogbVO1vXh4OZ7FQpnmuJ,WOS,https://open.spotify.com/artist/5YCc6xS5Gpj3EkaYGdjyNK,2023-08-22,173913,2023-08-25,Hacele honor al domingo y terminalo bien arriba.,Antidomingo
American Woman,https://open.spotify.com/track/3X6iIrFuQoCshIWBseEKPl,5,https://open.spotify.com/album/6MCNMOCRsh6nxs7PNzc0zN,Lenny Kravitz,https://open.spotify.com/artist/5gznATMVO85ZcLTkE9ULU7,2023-08-22,264560,2023-08-25,Hacele honor al domingo y terminalo bien arriba.,Antidomingo
ARRANCÁRMELO,https://open.spotify.com/track/2x8oBuYaObjqHqgGuIUZ0b,ARRANCÁRMELO,https://open.spotify.com/album/4KFUPud6oSm5IgLwnGkzPt,WOS,https://open.spotify.com/artist/5YCc6xS5Gpj3EkaYGdjyNK,2023-08-22,183547,2023-08-25,Hacele honor al domingo y terminalo bien arriba.,Antidomingo
Atrévete-Te-Te,https://open.spotify.com/track/1q8NdCAQ9QUjpYiqzdd3mv,Calle 13 (Explicit Version),https://open.spotify.com/album/5pmuwmV2OcuiTX7kNczQ16,Calle 13,https://open.spotify.com/artist/0yNSzH5nZmHzeE2xn6Xshb,2023-08-22,239306,2023-08-25,Hacele honor al domingo y terminalo bien arriba.,Antidomingo
Bad Bad Bad (feat. Lil Baby),https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH,So Much Fun,https://open.spotify.com/album/1bnHPO4dKK7IjvgrtVBcQh,"Young Thug, Lil Baby","https://open.spotify.com/artist/50co4Is1HCEo8bhOyUWKpn, https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK",2023-08-22,149040,2023-08-25,Hacele honor al domingo y terminalo bien arriba.,Antidomingo
