track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"3 Lyrics of Edna St. Vincent Millay: No. 1, God's World",https://open.spotify.com/track/5yqbKLSN9A9Z3vCVaFlDTr,"Michaels, Patrice: American Songs",https://open.spotify.com/album/7hl3nLoDZ2nkx58nSdIGro,"Eric Ewazen, Patrice Michaels, Elizabeth Buccheri","https://open.spotify.com/artist/5AXqlisvHp5FZLG3OE1qdm, https://open.spotify.com/artist/6t4GQE3lcTs8kd9Oi126rC, https://open.spotify.com/artist/48vagI7DDzJlru9i6TepHO",2017-02-28,198306,2021-12-21,"""My candle burns at both ends; It will not last the night; But ah, my foes, and oh, my friends — It gives a lovely light!""",Edna St. Vincent Millay
"3 Lyrics of Edna St. Vincent Millay: No. 2, Wraith",https://open.spotify.com/track/5vX2KhCrsOOMqn5lAJg2iK,"Michaels, Patrice: American Songs",https://open.spotify.com/album/7hl3nLoDZ2nkx58nSdIGro,"Eric Ewazen, Patrice Michaels, Elizabeth Buccheri","https://open.spotify.com/artist/5AXqlisvHp5FZLG3OE1qdm, https://open.spotify.com/artist/6t4GQE3lcTs8kd9Oi126rC, https://open.spotify.com/artist/48vagI7DDzJlru9i6TepHO",2017-02-28,187800,2021-12-21,"""My candle burns at both ends; It will not last the night; But ah, my foes, and oh, my friends — It gives a lovely light!""",Edna St. Vincent Millay
"3 Lyrics of Edna St. Vincent Millay: No. 3, Afternoon on a Hill",https://open.spotify.com/track/5Hws3iGHN61GI8RFzGAyIe,"Michaels, Patrice: American Songs",https://open.spotify.com/album/7hl3nLoDZ2nkx58nSdIGro,"Eric Ewazen, Patrice Michaels, Elizabeth Buccheri","https://open.spotify.com/artist/5AXqlisvHp5FZLG3OE1qdm, https://open.spotify.com/artist/6t4GQE3lcTs8kd9Oi126rC, https://open.spotify.com/artist/48vagI7DDzJlru9i6TepHO",2017-02-28,87440,2021-12-21,"""My candle burns at both ends; It will not last the night; But ah, my foes, and oh, my friends — It gives a lovely light!""",Edna St. Vincent Millay
City Trees,https://open.spotify.com/track/3Q8nH5c6iiDr9f7myrgWhB,"Gertrude Stein, H.D., Louise Bogan, Edna St. Vincent Millay & Muriel Rukeyser Read Their Poems",https://open.spotify.com/album/4mwvyOQAyhkQlE5QqVUVSs,Edna St. Vincent Millay,https://open.spotify.com/artist/0CDolB6auhvott1yKVqkRP,2017-02-28,47826,2021-12-21,"""My candle burns at both ends; It will not last the night; But ah, my foes, and oh, my friends — It gives a lovely light!""",Edna St. Vincent Millay
Edna St. Vincent Millay - Childhood is the Kingdom Where Nobody Dies,https://open.spotify.com/track/5qjZ339a7FBz5CgVlysXeI,"Hear Great Poets Read, v. 2: Auden, Bishop, cummings, Jackson, Jarrell, Larkin, Lowell, MacNeice, Millay, O'Hara, Thomas, Tolson",https://open.spotify.com/album/77m42pjrYkrK10KhBk9FhL,Edna St. Vincent Millay,https://open.spotify.com/artist/0CDolB6auhvott1yKVqkRP,2017-02-28,150440,2021-12-21,"""My candle burns at both ends; It will not last the night; But ah, my foes, and oh, my friends — It gives a lovely light!""",Edna St. Vincent Millay
Edna St. Vincent Millay - I Shall Forget You Presently My Dear,https://open.spotify.com/track/4RAXUNZeC54ZOKtp2TzdPI,"Hear Great Poets Read, v. 2: Auden, Bishop, cummings, Jackson, Jarrell, Larkin, Lowell, MacNeice, Millay, O'Hara, Thomas, Tolson",https://open.spotify.com/album/77m42pjrYkrK10KhBk9FhL,Edna St. Vincent Millay,https://open.spotify.com/artist/0CDolB6auhvott1yKVqkRP,2017-02-28,57320,2021-12-21,"""My candle burns at both ends; It will not last the night; But ah, my foes, and oh, my friends — It gives a lovely light!""",Edna St. Vincent Millay
Edna St. Vincent Millay - Recuerdo,https://open.spotify.com/track/1cvJSkMn5OVPKtOpbemKCl,"Hear Great Poets Read, v. 2: Auden, Bishop, cummings, Jackson, Jarrell, Larkin, Lowell, MacNeice, Millay, O'Hara, Thomas, Tolson",https://open.spotify.com/album/77m42pjrYkrK10KhBk9FhL,Edna St. Vincent Millay,https://open.spotify.com/artist/0CDolB6auhvott1yKVqkRP,2017-02-28,84493,2021-12-21,"""My candle burns at both ends; It will not last the night; But ah, my foes, and oh, my friends — It gives a lovely light!""",Edna St. Vincent Millay
Edna St. Vincent Millay-The Cameo,https://open.spotify.com/track/1VPfY18oPTO7QgCqEcCdtT,Things I Didnt Know I loved,https://open.spotify.com/album/5ZehiL1G0HxgiWYccKVH7E,Luke Parkin,https://open.spotify.com/artist/1NvwBwBRMZIyDHAWAtXr0q,2017-02-28,254133,2021-12-21,"""My candle burns at both ends; It will not last the night; But ah, my foes, and oh, my friends — It gives a lovely light!""",Edna St. Vincent Millay
Elaine,https://open.spotify.com/track/3uy974x5XveHiBHLCyks66,"Gertrude Stein, H.D., Louise Bogan, Edna St. Vincent Millay & Muriel Rukeyser Read Their Poems",https://open.spotify.com/album/4mwvyOQAyhkQlE5QqVUVSs,Edna St. Vincent Millay,https://open.spotify.com/artist/0CDolB6auhvott1yKVqkRP,2017-02-28,72493,2021-12-21,"""My candle burns at both ends; It will not last the night; But ah, my foes, and oh, my friends — It gives a lovely light!""",Edna St. Vincent Millay
Fatal Interview: Sonnet LII,https://open.spotify.com/track/5RQvU4tEQvi2qMvPPRM1a4,"Gertrude Stein, H.D., Louise Bogan, Edna St. Vincent Millay & Muriel Rukeyser Read Their Poems",https://open.spotify.com/album/4mwvyOQAyhkQlE5QqVUVSs,Edna St. Vincent Millay,https://open.spotify.com/artist/0CDolB6auhvott1yKVqkRP,2017-02-28,78906,2021-12-21,"""My candle burns at both ends; It will not last the night; But ah, my foes, and oh, my friends — It gives a lovely light!""",Edna St. Vincent Millay
