track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Mi Manera - En Vivo [Un Azteca en el Azteca],https://open.spotify.com/track/78fl7FwLL7HK60Oa6xg4Ng,Un Azteca en el Azteca (En Vivo),https://open.spotify.com/album/4geCevoFyJ8TvKJdNfSIRb,Vicente Fernández,https://open.spotify.com/artist/4PPoI9LuYeFX8V674Z1R6l,2021-12-14,350493,2022-06-02,"Mejor seguimos cantando, como cantaba el abuelo. ¡Garganta pa' que te quiero, si no pa' cantarle al pueblo!",La Dinastía de... Los Fernández
A Pesar De Todo,https://open.spotify.com/track/1gaEzLOIUBJvEpgqN5Mhc1,Confidencias,https://open.spotify.com/album/3g2uS0IsIdaKqRiBSFrbBk,Alejandro Fernández,https://open.spotify.com/artist/6sq1yF0OZEWA4xoXVKW1L9,2021-12-14,199600,2022-06-02,"Mejor seguimos cantando, como cantaba el abuelo. ¡Garganta pa' que te quiero, si no pa' cantarle al pueblo!",La Dinastía de... Los Fernández
A Qué Sabe El Olvido,https://open.spotify.com/track/4I4smJ6xLCaLQmNYUTQg9R,Hecho En México,https://open.spotify.com/album/6pbAg7ucQDM2j47aCaxpMI,Alejandro Fernández,https://open.spotify.com/artist/6sq1yF0OZEWA4xoXVKW1L9,2021-12-14,193213,2022-06-02,"Mejor seguimos cantando, como cantaba el abuelo. ¡Garganta pa' que te quiero, si no pa' cantarle al pueblo!",La Dinastía de... Los Fernández
Abriré La Puerta,https://open.spotify.com/track/0DjnlLskmEjm5mbgo24WwD,Abriré La Puerta,https://open.spotify.com/album/22FrAgFSCs4c7JCCYczB4n,"David Bisbal, Alejandro Fernández","https://open.spotify.com/artist/5gOJTI4TusSENizxhcG7jB, https://open.spotify.com/artist/6sq1yF0OZEWA4xoXVKW1L9",2021-12-14,216659,2022-06-02,"Mejor seguimos cantando, como cantaba el abuelo. ¡Garganta pa' que te quiero, si no pa' cantarle al pueblo!",La Dinastía de... Los Fernández
Abrázame,https://open.spotify.com/track/69eGsmBys3tALmQnSSm6xq,Lo Esencial De Alejandro Fernández,https://open.spotify.com/album/03RyWnTLH0JFemkDOp0nGi,Alejandro Fernández,https://open.spotify.com/artist/6sq1yF0OZEWA4xoXVKW1L9,2021-12-14,199000,2022-06-02,"Mejor seguimos cantando, como cantaba el abuelo. ¡Garganta pa' que te quiero, si no pa' cantarle al pueblo!",La Dinastía de... Los Fernández
Acuérdate de Mí,https://open.spotify.com/track/2npESL7BcrNIHzr5DvT9mV,Sigue la Dinastía,https://open.spotify.com/album/56aw5dJng1qL9HUPeMj0B3,Alex Fernández,https://open.spotify.com/artist/4Xwvz864z2uP3bwPcjKJjC,2021-12-14,160546,2022-06-02,"Mejor seguimos cantando, como cantaba el abuelo. ¡Garganta pa' que te quiero, si no pa' cantarle al pueblo!",La Dinastía de... Los Fernández
Acá Entre Nos - En Vivo [Un Azteca en el Azteca],https://open.spotify.com/track/42sXKjLh6v97XWojhwckLR,Un Azteca en el Azteca (En Vivo),https://open.spotify.com/album/4geCevoFyJ8TvKJdNfSIRb,Vicente Fernández,https://open.spotify.com/artist/4PPoI9LuYeFX8V674Z1R6l,2021-12-14,236426,2022-06-02,"Mejor seguimos cantando, como cantaba el abuelo. ¡Garganta pa' que te quiero, si no pa' cantarle al pueblo!",La Dinastía de... Los Fernández
Agridulce,https://open.spotify.com/track/3du0NJZHBkvb2XVjnI2U4Q,Rompiendo Fronteras,https://open.spotify.com/album/48XvYOTsoGV3Juk0OY7PDp,Alejandro Fernández,https://open.spotify.com/artist/6sq1yF0OZEWA4xoXVKW1L9,2021-12-14,232853,2022-06-02,"Mejor seguimos cantando, como cantaba el abuelo. ¡Garganta pa' que te quiero, si no pa' cantarle al pueblo!",La Dinastía de... Los Fernández
Agua Salada,https://open.spotify.com/track/0zpwifNScjNcCxcpwjQs5N,Más Romántico Que Nunca,https://open.spotify.com/album/2P1SMhhZQQSSDuG6E68Cud,Vicente Fernández,https://open.spotify.com/artist/4PPoI9LuYeFX8V674Z1R6l,2021-12-14,200960,2022-06-02,"Mejor seguimos cantando, como cantaba el abuelo. ¡Garganta pa' que te quiero, si no pa' cantarle al pueblo!",La Dinastía de... Los Fernández
Al Mayor de Los Fernández (with Alejandro Fernández & Vicente Fernández Hijo),https://open.spotify.com/track/0P1JUSl6Avzm2MESR86FAd,Se me hizo tarde la Vida,https://open.spotify.com/album/5izem5EQRzF5MUeGV6ECtQ,"Vicente Fernández, Alejandro Fernández, Vicente Fernández Jr.","https://open.spotify.com/artist/4PPoI9LuYeFX8V674Z1R6l, https://open.spotify.com/artist/6sq1yF0OZEWA4xoXVKW1L9, https://open.spotify.com/artist/1VqlQQEnpldumnAJGyfcCH",2021-12-14,236666,2022-06-02,"Mejor seguimos cantando, como cantaba el abuelo. ¡Garganta pa' que te quiero, si no pa' cantarle al pueblo!",La Dinastía de... Los Fernández
Amor de Mi Alma,https://open.spotify.com/track/5EqCOJ1eCdTXU7S2ouz0dg,Sigue la Dinastía,https://open.spotify.com/album/56aw5dJng1qL9HUPeMj0B3,Alex Fernández,https://open.spotify.com/artist/4Xwvz864z2uP3bwPcjKJjC,2021-12-14,291106,2022-06-02,"Mejor seguimos cantando, como cantaba el abuelo. ¡Garganta pa' que te quiero, si no pa' cantarle al pueblo!",La Dinastía de... Los Fernández
Amor Eterno,https://open.spotify.com/track/1Iw0F1mjaP8JL7hsMiB0X3,Amor Eterno,https://open.spotify.com/album/0JlfAfg4FCFyoflmWUs4Fy,Camila Fernández,https://open.spotify.com/artist/52Y9UQWlCoArmqJVFwaR2Q,2024-04-09,285066,2022-06-02,"Mejor seguimos cantando, como cantaba el abuelo. ¡Garganta pa' que te quiero, si no pa' cantarle al pueblo!",La Dinastía de... Los Fernández
Amor Gitano,https://open.spotify.com/track/1Kd5Qj9kicqjCw1BjWRzH0,B'Day Deluxe Edition,https://open.spotify.com/album/0Zd10MKN5j9KwUST0TdBBB,"Beyoncé, Alejandro Fernández","https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m, https://open.spotify.com/artist/6sq1yF0OZEWA4xoXVKW1L9",2021-12-14,228413,2022-06-02,"Mejor seguimos cantando, como cantaba el abuelo. ¡Garganta pa' que te quiero, si no pa' cantarle al pueblo!",La Dinastía de... Los Fernández
Amor Tumbado,https://open.spotify.com/track/6RRfUmnxz3Ef4KZxNBSLgV,Amor Tumbado,https://open.spotify.com/album/4queNC2JHMeqHAR708ppRn,"Natanael Cano, Alejandro Fernández","https://open.spotify.com/artist/0elWFr7TW8piilVRYJUe4P, https://open.spotify.com/artist/6sq1yF0OZEWA4xoXVKW1L9",2021-12-14,159866,2022-06-02,"Mejor seguimos cantando, como cantaba el abuelo. ¡Garganta pa' que te quiero, si no pa' cantarle al pueblo!",La Dinastía de... Los Fernández
Arrullo De Estrellas,https://open.spotify.com/track/4yalDD5kuqKZKI3z1rfWqD,Arrullo De Estrellas,https://open.spotify.com/album/3WpXOKVAbbFLVD2OK7QALS,Alejandro Fernández,https://open.spotify.com/artist/6sq1yF0OZEWA4xoXVKW1L9,2021-12-14,205320,2022-06-02,"Mejor seguimos cantando, como cantaba el abuelo. ¡Garganta pa' que te quiero, si no pa' cantarle al pueblo!",La Dinastía de... Los Fernández
Aunque Mal Paguen Ellas (with Roberto Carlos) - Remasterizado 2005,https://open.spotify.com/track/0k5Dw1ZT0rS8qw9e4laIlY,Mis Duetos,https://open.spotify.com/album/1jSkqqoREpC4oEERkILwAG,"Vicente Fernández, Roberto Carlos","https://open.spotify.com/artist/4PPoI9LuYeFX8V674Z1R6l, https://open.spotify.com/artist/7fAKtXSdNInWAIf0jVUz65",2021-12-14,212720,2022-06-02,"Mejor seguimos cantando, como cantaba el abuelo. ¡Garganta pa' que te quiero, si no pa' cantarle al pueblo!",La Dinastía de... Los Fernández
