track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1022-比尔的歌,https://open.spotify.com/track/1fXKSGhgHn8NBnVbTf5tLb,1022-比尔的歌,https://open.spotify.com/album/6uPkF6GAHYNWBMpt9x3oRN,Bomb比尔,https://open.spotify.com/artist/3Sb1u6CGLCWHHphMqX326E,2024-01-22,195813,2024-01-21,這些歌還很紅也！已經有兩三年了？高人氣金曲讓你一路聽下去！Cover: 派偉俊 (Patrick Brasca),高人氣金曲
11,https://open.spotify.com/track/4TJ4AEPBhqj9xYykVBU4GL,11,https://open.spotify.com/album/0xlWjniRpsQDTfF9mCNGWS,G.E.M.,https://open.spotify.com/artist/7aRC4L63dBn3CiLDuWaLSI,2024-11-11,228851,2024-01-21,這些歌還很紅也！已經有兩三年了？高人氣金曲讓你一路聽下去！Cover: 派偉俊 (Patrick Brasca),高人氣金曲
11 (with Hooleeger),https://open.spotify.com/track/5eDJH4MfpRQM9S9WTiu7yU,11 (with Hooleeger),https://open.spotify.com/album/5czo3uMJbR5JWwf9cBm6I9,"隊長, 黃禮格","https://open.spotify.com/artist/4SpsVETdnMLwPHyOW0FlQz, https://open.spotify.com/artist/3VTDEKywxLJxC3WXJIGVGu",2024-09-16,234817,2024-01-21,這些歌還很紅也！已經有兩三年了？高人氣金曲讓你一路聽下去！Cover: 派偉俊 (Patrick Brasca),高人氣金曲
3am - Demo Ver.,https://open.spotify.com/track/7u8RM7nUKUk93CYsEp8Krr,3am - Demo Ver.,https://open.spotify.com/album/2C5ob9OfPO3J5wMETcOD5R,Patrick Brasca,https://open.spotify.com/artist/1xCrrnnj9xif5G0y3ie5dM,2025-02-17,156416,2024-01-21,這些歌還很紅也！已經有兩三年了？高人氣金曲讓你一路聽下去！Cover: 派偉俊 (Patrick Brasca),高人氣金曲
500天,https://open.spotify.com/track/3tHqubDUl1OHGgGz87YreF,500天,https://open.spotify.com/album/4qayKoVULYGmEcyTZNhHqY,Sophie Chen,https://open.spotify.com/artist/2DIegoHjgAlIc6HYGGbu4h,2024-08-05,240217,2024-01-21,這些歌還很紅也！已經有兩三年了？高人氣金曲讓你一路聽下去！Cover: 派偉俊 (Patrick Brasca),高人氣金曲
Don’t Waste My Love (feat. 婁峻碩),https://open.spotify.com/track/4aDGuAcDPyJuLDR7bRGWQn,去妳的假日,https://open.spotify.com/album/16NiqNJRrW8U5H7xKuMyze,"Patrick Brasca, 婁峻碩","https://open.spotify.com/artist/1xCrrnnj9xif5G0y3ie5dM, https://open.spotify.com/artist/40sntfyZsRwGfDgSJnxYuX",2024-12-23,206773,2024-01-21,這些歌還很紅也！已經有兩三年了？高人氣金曲讓你一路聽下去！Cover: 派偉俊 (Patrick Brasca),高人氣金曲
Drowning,https://open.spotify.com/track/29l0WglBnIAye0K8Ym4gtG,#OSNRAPII-JOURNEY,https://open.spotify.com/album/4uXBZ6B6obczO1Jf8eZFcw,"高爾宣 OSN, 李浩瑋 Howard Lee","https://open.spotify.com/artist/4TcOznbEZBqev21LzAH4KE, https://open.spotify.com/artist/7EkkWNWPiWFQ0rA9IEmMXs",2024-06-10,156765,2024-01-21,這些歌還很紅也！已經有兩三年了？高人氣金曲讓你一路聽下去！Cover: 派偉俊 (Patrick Brasca),高人氣金曲
Have A Nice Day,https://open.spotify.com/track/0dS8gBiRyiohkB2Z45rA0V,Have A Nice Day,https://open.spotify.com/album/0JN2lwS7ZIwFWBgPSs23gF,Waa Wei,https://open.spotify.com/artist/190bkHbFrRvEhcB7Zpuv3y,2024-03-18,263666,2024-01-21,這些歌還很紅也！已經有兩三年了？高人氣金曲讓你一路聽下去！Cover: 派偉俊 (Patrick Brasca),高人氣金曲
I Hate Myself Sometimes,https://open.spotify.com/track/5znau6BqFcgBkyQGcOutil,I Hate Myself Sometimes,https://open.spotify.com/album/7HSZCDvflTWrGFVuoDeLX7,"Patrick Brasca, 李浩瑋 Howard Lee","https://open.spotify.com/artist/1xCrrnnj9xif5G0y3ie5dM, https://open.spotify.com/artist/7EkkWNWPiWFQ0rA9IEmMXs",2024-09-30,174580,2024-01-21,這些歌還很紅也！已經有兩三年了？高人氣金曲讓你一路聽下去！Cover: 派偉俊 (Patrick Brasca),高人氣金曲
I'm Alive,https://open.spotify.com/track/0FfNFvy5KRRyB2snvK39zL,I'm Alive,https://open.spotify.com/album/494KRb9whsEPJ0IjKS4Dji,"W.M.L, Vicky Chen","https://open.spotify.com/artist/5PeVQEj4Yr0TB9CuG83dPB, https://open.spotify.com/artist/01u3qI3xMGFvktXyRSMGRZ",2024-04-29,172282,2024-01-21,這些歌還很紅也！已經有兩三年了？高人氣金曲讓你一路聽下去！Cover: 派偉俊 (Patrick Brasca),高人氣金曲
