track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(Do The) Push And Pull - Pt. 1,https://open.spotify.com/track/1SwUqH8LELoY6SwldhOwr8,Funkiest Man Alive: The Stax Funk Sessions 1967-1975,https://open.spotify.com/album/0WEx9floYie1WDNvKAkYwp,Rufus Thomas,https://open.spotify.com/artist/3iRSHS3b4NUdjNbnw3Opg8,2021-02-05,198439,2021-12-21,A collection of the biggest soul tracks from the 1970s. Cover: The Isley Brothers,70s Soul Classics
Ain't No Love In The Heart Of The City - Single Version,https://open.spotify.com/track/14rTFBs1cCkOBp5JPUrJhw,Music For Groovin',https://open.spotify.com/album/2kGXFgIy6EBmYZRrQjTtON,"Bobby ""Blue"" Bland",https://open.spotify.com/artist/48nwxUvPJZkm8uPa7xMzmj,2021-02-05,225346,2021-12-21,A collection of the biggest soul tracks from the 1970s. Cover: The Isley Brothers,70s Soul Classics
Ain't No Love In The Heart Of The City - Single Version,https://open.spotify.com/track/4qYHnP5AmKzXbJhciPV8si,Dreamer,https://open.spotify.com/album/5OkHt7JZ6HSkJH359y2H31,"Bobby ""Blue"" Bland",https://open.spotify.com/artist/48nwxUvPJZkm8uPa7xMzmj,2022-02-04,233560,2021-12-21,A collection of the biggest soul tracks from the 1970s. Cover: The Isley Brothers,70s Soul Classics
Ain't No Love In The Heart Of The City - Single Version,https://open.spotify.com/track/611WXHBjciVJsFAtcncKhj,Rhythm & Soul,https://open.spotify.com/album/7sk0PRJ9l2EHLa7ypN2API,"Bobby ""Blue"" Bland",https://open.spotify.com/artist/48nwxUvPJZkm8uPa7xMzmj,2022-02-04,233933,2021-12-21,A collection of the biggest soul tracks from the 1970s. Cover: The Isley Brothers,70s Soul Classics
Ain't No Sunshine,https://open.spotify.com/track/7u8LNgkrmUXGT6JEwiy8Ia,The Best Of Bill Withers: Lean On Me,https://open.spotify.com/album/7t5voPAepq85BXJ2lFE79e,Bill Withers,https://open.spotify.com/artist/1ThoqLcyIYvZn7iWbj8fsj,2021-02-05,123333,2021-12-21,A collection of the biggest soul tracks from the 1970s. Cover: The Isley Brothers,70s Soul Classics
Ain't No Sunshine,https://open.spotify.com/track/1k1Bqnv2R0uJXQN4u6LKYt,Just As I Am,https://open.spotify.com/album/6N8uPmDqbgXD3ztkCCfxoo,Bill Withers,https://open.spotify.com/artist/1ThoqLcyIYvZn7iWbj8fsj,2022-02-04,125093,2021-12-21,A collection of the biggest soul tracks from the 1970s. Cover: The Isley Brothers,70s Soul Classics
Back Stabbers,https://open.spotify.com/track/0KpMY3D2G8253VTZbDBUmA,Back Stabbers,https://open.spotify.com/album/09jTPeDoSuJLLAwFGNUKCX,The O'Jays,https://open.spotify.com/artist/38h03gA85YYPeDPd9ER9rT,2021-07-04,186093,2021-12-21,A collection of the biggest soul tracks from the 1970s. Cover: The Isley Brothers,70s Soul Classics
Be Thankful for What You Got (Pt. 1 & Pt. 2),https://open.spotify.com/track/7pN8GMLw3prWFn5nvJRM6O,Be Thankful for What You Got,https://open.spotify.com/album/1SCaqfkBnsMXOvdJIZi93Z,William DeVaughn,https://open.spotify.com/artist/1l51Sc9HBh8fLXUDEjFhxU,2021-02-05,429371,2021-12-21,A collection of the biggest soul tracks from the 1970s. Cover: The Isley Brothers,70s Soul Classics
Best of My Love,https://open.spotify.com/track/2M2WJ7gBlcKNxdhyfPp9zY,Rejoice,https://open.spotify.com/album/7iJCy3T66FJmXT7LGVd3QA,The Emotions,https://open.spotify.com/artist/64CuUOOirKmdAYLQSfaOyr,2022-02-04,220560,2021-12-21,A collection of the biggest soul tracks from the 1970s. Cover: The Isley Brothers,70s Soul Classics
Bridge over Troubled Water,https://open.spotify.com/track/5YD86vWLu1YqR818b1GADO,The Very Best of Aretha Franklin - The 70's,https://open.spotify.com/album/2jfJMNfHt2kIqSOyQyq7Jn,Aretha Franklin,https://open.spotify.com/artist/7nwUJBm0HE4ZxD3f5cy5ok,2021-02-05,333933,2021-12-21,A collection of the biggest soul tracks from the 1970s. Cover: The Isley Brothers,70s Soul Classics
