track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
' Cello Song,https://open.spotify.com/track/42yexCY4dCftowtAZXuAIj,Five Leaves Left,https://open.spotify.com/album/7IpcJbVxLLEfW0KXB7ndE2,Nick Drake,https://open.spotify.com/artist/5c3GLXai8YOMid29ZEuR9y,2022-09-06,284986,2021-12-21,"Snowy days, cozy nights. Soak up the spirit of the season with lush, intricate acoustics.",Winter Acoustic
26,https://open.spotify.com/track/1SqAcHRKodDP1mxvAqkCvU,Boys (Side A),https://open.spotify.com/album/4kBUtVFzM9mrVZEtr0f56v,Caamp,https://open.spotify.com/artist/0wyMPXGfOuQzNR54ujR9Ix,2022-03-21,235415,2021-12-21,"Snowy days, cozy nights. Soak up the spirit of the season with lush, intricate acoustics.",Winter Acoustic
48 Hours,https://open.spotify.com/track/3ytTmiyHP0JkheRi5d2ODs,Pharmakon,https://open.spotify.com/album/2aLrFMwpy2iZzAUHqh49Th,Humbird,https://open.spotify.com/artist/0RLSq3hJOLcEezH3rTpnsB,2021-12-20,108007,2021-12-21,"Snowy days, cozy nights. Soak up the spirit of the season with lush, intricate acoustics.",Winter Acoustic
4runner,https://open.spotify.com/track/1RaF9xwakfao1RRknWyYB5,4runner,https://open.spotify.com/album/3I7cYBHqayM3NGqX6tG5m2,Brenn!,https://open.spotify.com/artist/74slMAMk8L6oMf6OhNyZ8Q,2023-06-21,265453,2021-12-21,"Snowy days, cozy nights. Soak up the spirit of the season with lush, intricate acoustics.",Winter Acoustic
4runner,https://open.spotify.com/track/3sIKldlKWC5TICO2Tcz7uu,4runner,https://open.spotify.com/album/7HI6B7UBPjpK0I4PoTfsVu,Brenn!,https://open.spotify.com/artist/74slMAMk8L6oMf6OhNyZ8Q,2023-07-21,265453,2021-12-21,"Snowy days, cozy nights. Soak up the spirit of the season with lush, intricate acoustics.",Winter Acoustic
A Light On In The Dark,https://open.spotify.com/track/32o3CTqwtQVxhzHJEjNXna,A Light On In The Dark,https://open.spotify.com/album/2ehy4s0YUPk85Kn8wa5auN,Darlingside,https://open.spotify.com/artist/3DkhgIw7lIyxekurpXNTrm,2021-12-20,231066,2021-12-21,"Snowy days, cozy nights. Soak up the spirit of the season with lush, intricate acoustics.",Winter Acoustic
A Lot More Free,https://open.spotify.com/track/3i86MS9vF1VCf0h2IEpKWY,Wandering (Love Me Back),https://open.spotify.com/album/3DEtpqVl2R2gEe9fLCa1DE,Max McNown,https://open.spotify.com/artist/340PS4ZcZ4UCBgyrXzEjcp,2024-10-11,198920,2021-12-21,"Snowy days, cozy nights. Soak up the spirit of the season with lush, intricate acoustics.",Winter Acoustic
A Month Or Two,https://open.spotify.com/track/5jZ58MSH3B5fEciHveMDx4,How Did It Seem To You?,https://open.spotify.com/album/7JJ4Iz9RUdXMzaakBCnlwA,Odie Leigh,https://open.spotify.com/artist/7AgbNZPRrvTpWjVbbPoUmU,2023-03-15,191226,2021-12-21,"Snowy days, cozy nights. Soak up the spirit of the season with lush, intricate acoustics.",Winter Acoustic
A Sea of Roses,https://open.spotify.com/track/72w7uKE7CkNwpLFUBHqUkC,All the Things That I Did and All the Things That I Didn't Do,https://open.spotify.com/album/1BpQ1yTs26aKJg0aWqnzEq,The Milk Carton Kids,https://open.spotify.com/artist/7fxtWEwKKrFaykKItspdYg,2022-06-07,199840,2021-12-21,"Snowy days, cozy nights. Soak up the spirit of the season with lush, intricate acoustics.",Winter Acoustic
Ain’t That Fine,https://open.spotify.com/track/22Is0mpoTCXoz5EE1U2yjb,See You Around,https://open.spotify.com/album/5CE2xIBgva5wYBhfMbluQW,I'm With Her,https://open.spotify.com/artist/3oXddLOOjkoUuC2sX1RMdr,2022-03-21,188573,2021-12-21,"Snowy days, cozy nights. Soak up the spirit of the season with lush, intricate acoustics.",Winter Acoustic
Alaska,https://open.spotify.com/track/5HTHYYmcoqh1FrAhchKeSF,Only Real When Shared,https://open.spotify.com/album/2T2MfSCQzdh15zFLdnN0Eh,Caiola,https://open.spotify.com/artist/2wtnLqsyJndM1rASXsxltV,2022-09-06,225378,2021-12-21,"Snowy days, cozy nights. Soak up the spirit of the season with lush, intricate acoustics.",Winter Acoustic
