track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
105 Degrees,https://open.spotify.com/track/061NHZijloOmBvbujB72sm,"Angel Dream (Songs and Music From The Motion Picture ""She’s The One"")",https://open.spotify.com/album/0sX76SUnbgcKtdZcJ9kJwd,Tom Petty and the Heartbreakers,https://open.spotify.com/artist/4tX2TplrkIP4v05BNC903e,2021-07-06,190727,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
A Higher Place - 2014 Remaster,https://open.spotify.com/track/6XgY33mdcI6rhnW7XHPkFv,Wildflowers & All The Rest (Deluxe Edition),https://open.spotify.com/album/2s7jw1QyMFXe1fsSzla8cv,Tom Petty,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,2020-10-16,234674,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
A Woman In Love (It's Not Me),https://open.spotify.com/track/2OECBjmrt1tupVdg8jcfE1,Hard Promises,https://open.spotify.com/album/5OO8oMupaMhIZhMrEM8ja3,Tom Petty and the Heartbreakers,https://open.spotify.com/artist/4tX2TplrkIP4v05BNC903e,2020-06-26,259773,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
American Dream Plan B,https://open.spotify.com/track/5TCq5VBFgZx6Pg3qeGqUE4,Hypnotic Eye,https://open.spotify.com/album/55dSc0Ry199sq95DwnHFFa,Tom Petty and the Heartbreakers,https://open.spotify.com/artist/4tX2TplrkIP4v05BNC903e,2020-06-26,179426,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
American Girl,https://open.spotify.com/track/7MRyJPksH3G2cXHN8UKYzP,Tom Petty & The Heartbreakers,https://open.spotify.com/album/6TLTd0P2CUI0Q29AQ1LyFi,Tom Petty and the Heartbreakers,https://open.spotify.com/artist/4tX2TplrkIP4v05BNC903e,2020-06-26,214733,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
Angel Dream (No. 4),https://open.spotify.com/track/0tFF03AX223mZHNmMhnBvQ,She's the One (Songs and Music from the Motion Picture),https://open.spotify.com/album/0FVwC6leDmim0EO68PjYto,Tom Petty and the Heartbreakers,https://open.spotify.com/artist/4tX2TplrkIP4v05BNC903e,2020-06-26,147800,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
Anything That's Rock 'n' Roll,https://open.spotify.com/track/2AX3BnBmNwR2lHZhkKvmXJ,Tom Petty & The Heartbreakers,https://open.spotify.com/album/6TLTd0P2CUI0Q29AQ1LyFi,Tom Petty and the Heartbreakers,https://open.spotify.com/artist/4tX2TplrkIP4v05BNC903e,2020-06-26,144026,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
Breakdown,https://open.spotify.com/track/5x53pbGk6sbl1BGom19QQ5,Tom Petty & The Heartbreakers,https://open.spotify.com/album/6TLTd0P2CUI0Q29AQ1LyFi,Tom Petty and the Heartbreakers,https://open.spotify.com/artist/4tX2TplrkIP4v05BNC903e,2020-06-26,163893,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
Cabin Down Below - 2014 Remaster,https://open.spotify.com/track/0c1QFVTz14DuVKtX22xPR2,Wildflowers & All The Rest (Deluxe Edition),https://open.spotify.com/album/2s7jw1QyMFXe1fsSzla8cv,Tom Petty,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,2020-10-16,170986,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
California,https://open.spotify.com/track/4NFej39abFtnhoTbStc9T8,Wildflowers & All The Rest (Deluxe Edition),https://open.spotify.com/album/2s7jw1QyMFXe1fsSzla8cv,Tom Petty,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,2020-10-16,157278,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
Climb That Hill,https://open.spotify.com/track/3t7fSeVQyPxxJ97owbnSEH,Wildflowers & All The Rest (Deluxe Edition),https://open.spotify.com/album/2s7jw1QyMFXe1fsSzla8cv,Tom Petty,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,2020-10-16,213520,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
Climb That Hill Blues,https://open.spotify.com/track/6W1lzwSszRRPauQspm81v9,Wildflowers & All The Rest (Deluxe Edition),https://open.spotify.com/album/2s7jw1QyMFXe1fsSzla8cv,Tom Petty,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,2020-10-16,152994,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
Confusion Wheel,https://open.spotify.com/track/0FuJ7lWU0lUtlPHvmo01jl,Wildflowers & All The Rest (Deluxe Edition),https://open.spotify.com/album/2s7jw1QyMFXe1fsSzla8cv,Tom Petty,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,2020-10-16,259935,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
Crawling Back to You - 2014 Remaster,https://open.spotify.com/track/6up6wflOSkh1FWDB7OcUQa,Wildflowers & All The Rest (Deluxe Edition),https://open.spotify.com/album/2s7jw1QyMFXe1fsSzla8cv,Tom Petty,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,2020-10-16,303200,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
Don't Come Around Here No More,https://open.spotify.com/track/0AEXJF8D64oc9o62fQMEyD,Greatest Hits,https://open.spotify.com/album/2uxG4gg4WnqR5eriMN6ehS,Tom Petty and the Heartbreakers,https://open.spotify.com/artist/4tX2TplrkIP4v05BNC903e,2020-06-26,304066,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
Don't Do Me Like That,https://open.spotify.com/track/487KLCKteHJzeoGdbBrgkq,Greatest Hits,https://open.spotify.com/album/2uxG4gg4WnqR5eriMN6ehS,Tom Petty and the Heartbreakers,https://open.spotify.com/artist/4tX2TplrkIP4v05BNC903e,2020-06-26,161600,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
Don't Fade on Me - 2014 Remaster,https://open.spotify.com/track/5LVVowFa9eflHtkOrYi4ub,Wildflowers & All The Rest (Deluxe Edition),https://open.spotify.com/album/2s7jw1QyMFXe1fsSzla8cv,Tom Petty,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,2020-10-16,210758,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
Drivin' Down To Georgia,https://open.spotify.com/track/0FN3JxhFO85JOdxrsHzKFl,Finding Wildflowers (Alternate Versions),https://open.spotify.com/album/0hRuPNZV5ff9JZwRBNqosj,Tom Petty,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,2021-04-16,300252,2021-12-21,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",This Is Tom Petty
