track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
About You Now,https://open.spotify.com/track/0z4eTq4BtDiNN5IFQSUBau,Nocturnes,https://open.spotify.com/album/6Jzq1Fi63BPj4aMhXLQ5yH,Meadowlark,https://open.spotify.com/artist/3M8Mq1n1l1TRnTUw2MRSCs,2021-10-14,227064,2021-12-30,Breathe deep and release that pressure.,The Stress Buster
All I Want,https://open.spotify.com/track/3ZYF8cV01HigmljsPaGFgn,Lovers,https://open.spotify.com/album/5kopWecrOCWIxpgpukVfct,Anna of the North,https://open.spotify.com/artist/1mSJCvDX0W7Dn7S9C6vmvI,2021-10-14,202573,2021-12-30,Breathe deep and release that pressure.,The Stress Buster
All I Want,https://open.spotify.com/track/7x6ItKr18VdIHL6HHIOx2H,Lovers,https://open.spotify.com/album/5NEfU3Z8PfjeJXABaHf1FF,Anna of the North,https://open.spotify.com/artist/1mSJCvDX0W7Dn7S9C6vmvI,2021-10-14,202573,2021-12-30,Breathe deep and release that pressure.,The Stress Buster
Alright,https://open.spotify.com/track/1MrUQX327aKDnOawrNnRUJ,Simulcast,https://open.spotify.com/album/09kooFexe8JArV583iIkaj,Tycho,https://open.spotify.com/artist/5oOhM2DFWab8XhSdQiITry,2021-10-14,242483,2021-12-30,Breathe deep and release that pressure.,The Stress Buster
Alright,https://open.spotify.com/track/3ZWW7SuBWXOHv24nZmfPLF,Simulcast,https://open.spotify.com/album/3uqx22ScaYQujWq2lBvXuQ,Tycho,https://open.spotify.com/artist/5oOhM2DFWab8XhSdQiITry,2021-10-14,242483,2021-12-30,Breathe deep and release that pressure.,The Stress Buster
Ambulance,https://open.spotify.com/track/4pqsxHGrNokZEVlOSiH2MG,Monument,https://open.spotify.com/album/3MDQ2fNnt78CZrdBh6Nq3B,Keaton Henson,https://open.spotify.com/artist/6GFfu1alUSrL7qazImC160,2021-10-14,272520,2021-12-30,Breathe deep and release that pressure.,The Stress Buster
and we’ll leave it there…,https://open.spotify.com/track/55k261ZvchUvKnC62TYwK9,and we’ll leave it there…,https://open.spotify.com/album/1b7UmY5gAuMFrcotfQ8G6d,"Ólafur Arnalds, Ella McRobb","https://open.spotify.com/artist/7E3BRXV9ZbCt5lQTCXMTia, https://open.spotify.com/artist/0NswlnGI3k9W3MHn5dEjdw",2023-03-27,219840,2021-12-30,Breathe deep and release that pressure.,The Stress Buster
Angel's Song,https://open.spotify.com/track/5hXTMmVXz1Ablgu34BkTz1,Angel's Song,https://open.spotify.com/album/0Ym8AaoLrK5HHQ0lCYgASd,Arlo Parks,https://open.spotify.com/artist/4kIwETcbpuFgRukE8o7Opx,2021-10-14,197243,2021-12-30,Breathe deep and release that pressure.,The Stress Buster
Ash and Orange,https://open.spotify.com/track/0u05XeBLM5UWw6KlN8EqRU,Ash and Orange,https://open.spotify.com/album/7t5iy351t4GH2rutWtl6U0,Lucy Gooch,https://open.spotify.com/artist/5IzQ6cbQ5QAL3fmUwlTHRK,2021-10-14,228800,2021-12-30,Breathe deep and release that pressure.,The Stress Buster
Ash and Orange,https://open.spotify.com/track/2JssyBv99RyE6T7FoQbG39,Ash and Orange,https://open.spotify.com/album/0fYF5yHkiiHh21LgunUauW,Lucy Gooch,https://open.spotify.com/artist/5IzQ6cbQ5QAL3fmUwlTHRK,2021-10-14,228800,2021-12-30,Breathe deep and release that pressure.,The Stress Buster
