track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
2 Much,https://open.spotify.com/track/4QySScdQnRDZjDaAdpY0AM,2 Much,https://open.spotify.com/album/3BpR28xCNhR9uI90NgAwRR,Qendresa,https://open.spotify.com/artist/6FnMmUQSUGpOE3P9QePPqI,2024-12-04,200000,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
all over u,https://open.spotify.com/track/7LZ3gGKfJIjf1jNWkzU637,don't text me back,https://open.spotify.com/album/5rIZhiJ4oRq0y1tdC5gf0c,Rowena Fysx,https://open.spotify.com/artist/6y4JQgtvRMTNfA5YVMPv3p,2024-12-04,201000,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
así de tranquila,https://open.spotify.com/track/7CtZimuunrBX0a5sl3RxBn,así de tranquila,https://open.spotify.com/album/4hue7V5sMwdwcD0MLpD6os,"ANADIE, Kfé","https://open.spotify.com/artist/4fQlbLtVsxTde62HZJH2xs, https://open.spotify.com/artist/21Oja0BVOrXu4kGqK8MfDF",2024-12-04,173893,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
AUCTION,https://open.spotify.com/track/1yhFfvsXLCagHMJuPZllJD,AUCTION,https://open.spotify.com/album/3kwxfS6aFImHEPU3XW85CU,"Sasha Keable, DESTIN CONRAD","https://open.spotify.com/artist/7MxGWmiAbqjNOGmj23wbWf, https://open.spotify.com/artist/4jwROPSUkTkohLCRiyjiZZ",2024-12-04,200500,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
awe,https://open.spotify.com/track/20liuVONukHV5oK7kghgOI,awe,https://open.spotify.com/album/1JOPmXuFZzWyAObrU16BUl,Pem,https://open.spotify.com/artist/6JVlf8HzDtyI2xPxq4WIHs,2024-12-04,235382,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
Beanie,https://open.spotify.com/track/5e0b9LgOfi3aJSKXFcOWRe,Beanie,https://open.spotify.com/album/3sgTZuoyovg4bR5iTgQoo3,Chezile,https://open.spotify.com/artist/1EmdfupUQDpXOcb4Nj2mBH,2024-12-04,132160,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
Bloom,https://open.spotify.com/track/0ePc8Rih4qNgRXvhLHIgx4,Bloom,https://open.spotify.com/album/3eJB8U877SaJwI4ywBBKH5,Galdive,https://open.spotify.com/artist/0aMrhUHnOzfiPcMc2PGiaT,2024-12-04,233095,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
Blue Blood,https://open.spotify.com/track/1ISY7X7jCpJsbKOVlE0BeK,Blue Blood,https://open.spotify.com/album/4NoVNF1zzaIf47ctj9oOS4,vi0let,https://open.spotify.com/artist/3ZzSaEjPW9zwhYfvId1l0Q,2024-12-04,154748,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
Bon Bon,https://open.spotify.com/track/4Dr5pBJktWX8aZckCznE6q,Bon Bon,https://open.spotify.com/album/27WWDGD7YPsoaOCwZNFWBT,Fcukers,https://open.spotify.com/artist/3UtzOHYm3lQALkKzVD4wyO,2024-12-04,210133,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
"Boy, Empty",https://open.spotify.com/track/1YmxOiVwqPiLTkkIc2eIdW,FIRST ENCOUNTER,https://open.spotify.com/album/0fxQ72By0GepEsvbQsjgbv,BOABOA,https://open.spotify.com/artist/4mKUe5fXczBct2trum2q1o,2024-12-04,169354,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
Bring The Witches Back,https://open.spotify.com/track/3sJHkSkno3qYZkXemkoNkW,Bring The Witches Back,https://open.spotify.com/album/5J9P9buPntwTG6hgWShoYc,Mel D,https://open.spotify.com/artist/5UXFqyAj973tF87Entr44J,2024-12-04,254973,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
Came Thru,https://open.spotify.com/track/3HUkuNHMv91cnarbS92WgY,Thinking With My Ears,https://open.spotify.com/album/1Ia99w2Ob3HprO65ePGeVk,Downtown Kayoto,https://open.spotify.com/artist/1iq8YeJvyhHB44r0bJj8RR,2024-12-04,157204,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
CAMERINO,https://open.spotify.com/track/59NAwiZv9xBZq5lqerdaSj,AERIAL DISPLAY,https://open.spotify.com/album/5zcFR9B9NWmrW9jwX3Fy1G,NICO B.,https://open.spotify.com/artist/7uOl97JPQ7S3Tb6vW8WgMe,2024-12-04,190129,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
Cold World,https://open.spotify.com/track/0aPx5BNEE3BGBCnZBso0Wt,Cold World,https://open.spotify.com/album/3puZVzk32SvGkXZd7P4FXI,Death Lens,https://open.spotify.com/artist/4WqVsCKvGiqrgF9v27Dsa8,2024-12-04,197026,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
control.,https://open.spotify.com/track/31Y6kxdxjGuYeYwLmLILMw,control.,https://open.spotify.com/album/0QZV1HiWtdLqD9YO7pm0uA,KANTEREIT,https://open.spotify.com/artist/1esFaOBWejURSnt8DV8jms,2024-12-04,257314,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
dance of the trees,https://open.spotify.com/track/0xxDlKnKOMjcr1Phz2U1EB,here we go again...,https://open.spotify.com/album/1TQmMkWDju1CTomVO866ju,Mikayla Geier,https://open.spotify.com/artist/3L7svRFWE5kcIReq1uwC5J,2024-12-04,151914,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
Evdekiler,https://open.spotify.com/track/4ZiFyCXYRlkAQ5w6iitCgO,Evdekiler,https://open.spotify.com/album/7qQ8oJIcVEXHJ02iI0qoLT,Selût,https://open.spotify.com/artist/1HqUargxLzVB1RdGcFYZJd,2024-12-04,269416,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
eyes wide open,https://open.spotify.com/track/6TQtwV4QG19SzCVG5F2RkC,eyes wide open,https://open.spotify.com/album/4uCsGsDDZQbhDsb8ujwenV,kwn,https://open.spotify.com/artist/2KnhnL8zuqLhIhGk601fsb,2024-12-04,153648,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
Fisherrr,https://open.spotify.com/track/6ZRQuk5CXdHlLHAnE28GKD,Fisherrr,https://open.spotify.com/album/4stkWK5jMzF3Xhc2nWWeiI,"Cash Cobain, Bay Swag","https://open.spotify.com/artist/2R0CFyeMDiRbfkhkIMbyl1, https://open.spotify.com/artist/0ShmUyGC785pMDaRdP5Sap",2024-12-04,236004,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
Flowers,https://open.spotify.com/track/0BEwBflam3FG1sjoVDrCuN,Flowers,https://open.spotify.com/album/56zpgYfjYFwIH03XCy2TGz,Samantha Ebert,https://open.spotify.com/artist/0ETOPq7bpPG7rxYsV0MEzu,2024-12-04,224506,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
For Me,https://open.spotify.com/track/3blAqiAP9f44Kt3R7pQabP,Zombieland 2,https://open.spotify.com/album/1M3M7UVL9o2py1sY5A6jk9,Loe Shimmy,https://open.spotify.com/artist/6UIpxj5ggLdOebFVCOxVax,2024-12-04,104886,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
gin and wine (ginuwine),https://open.spotify.com/track/0NCPFi6xi9C75yvdfukZKY,gin and wine (ginuwine),https://open.spotify.com/album/2YH9ROddBBiwwK60vNqGsz,tg.blk,https://open.spotify.com/artist/24ygMLBnr7isvmgvAx2Phm,2024-12-04,129473,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
Heavy,https://open.spotify.com/track/02bA26OEe0nNFyE3YcNx4K,Letter to Self,https://open.spotify.com/album/1PTPBDLcqveMGkymgIqZoZ,SPRINTS,https://open.spotify.com/artist/27nD8P491xX8UzG3j01eIY,2024-12-04,207409,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
HELLO PITI,https://open.spotify.com/track/0pwJNdOShRPkqNAmtrFAvv,Cómo duele si es tan bonito,https://open.spotify.com/album/1ieiB4J3foLe9yOQj1ia18,"Korashe, Kfé","https://open.spotify.com/artist/0HFSv9JWkZcY2K4yLGNaHS, https://open.spotify.com/artist/21Oja0BVOrXu4kGqK8MfDF",2024-12-04,143029,2024-12-05,Our editors' picks of the best Fresh Finds tracks around the world this year. Cover: Cash Cobain,Fresh Finds: Class of 2024
