track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Are You Experienced?,https://open.spotify.com/track/02POyqtbrdmYQ3RxsTrYMD,Are You Experienced,https://open.spotify.com/album/7rSZXXHHvIhF4yUFdaOCy9,Jimi Hendrix,https://open.spotify.com/artist/776Uo845nYHJpNaStv1Ds4,2023-08-22,255613,2023-12-14,"【セトリ公開】2023年8月22日、豊洲PITにて行われたリアム・ギャラガー単独公演""SUMMER SONIC EXTRA""(Sold Out公演)セットリストを公開！
*セットリストの後にオリジナル・バージョンも併せてお楽しみください。",On Tour Japan: Liam Gallagher
Better Days,https://open.spotify.com/track/44u3oKlSBPfDdZ6TFG4DiV,C’MON YOU KNOW (Deluxe Edition),https://open.spotify.com/album/7IpAa9HvutfL3LsDsgluqY,Liam Gallagher,https://open.spotify.com/artist/6sN51vEARnAAdBw1IKZ8Q9,2023-08-22,259764,2023-12-14,"【セトリ公開】2023年8月22日、豊洲PITにて行われたリアム・ギャラガー単独公演""SUMMER SONIC EXTRA""(Sold Out公演)セットリストを公開！
*セットリストの後にオリジナル・バージョンも併せてお楽しみください。",On Tour Japan: Liam Gallagher
Champagne Supernova - Live From Knebworth 22,https://open.spotify.com/track/0DiqW8dETtvo53RKspIQyL,Knebworth 22 (Live),https://open.spotify.com/album/2sRyjvUj76B4pID6usQqxS,Liam Gallagher,https://open.spotify.com/artist/6sN51vEARnAAdBw1IKZ8Q9,2023-08-22,508120,2023-12-14,"【セトリ公開】2023年8月22日、豊洲PITにて行われたリアム・ギャラガー単独公演""SUMMER SONIC EXTRA""(Sold Out公演)セットリストを公開！
*セットリストの後にオリジナル・バージョンも併せてお楽しみください。",On Tour Japan: Liam Gallagher
Champagne Supernova - Remastered,https://open.spotify.com/track/2A7GGXmTlXuH9LOvBXgOX4,(What's The Story) Morning Glory? (Deluxe Remastered Edition),https://open.spotify.com/album/6tOe4eAF8xNhEkl9WyvsE4,Oasis,https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4,2023-08-22,451320,2023-12-14,"【セトリ公開】2023年8月22日、豊洲PITにて行われたリアム・ギャラガー単独公演""SUMMER SONIC EXTRA""(Sold Out公演)セットリストを公開！
*セットリストの後にオリジナル・バージョンも併せてお楽しみください。",On Tour Japan: Liam Gallagher
Cigarettes & Alcohol - Live From Knebworth 22,https://open.spotify.com/track/61g4K3Jqn2Ivd3ELnsMv1D,Knebworth 22 (Live),https://open.spotify.com/album/2sRyjvUj76B4pID6usQqxS,Liam Gallagher,https://open.spotify.com/artist/6sN51vEARnAAdBw1IKZ8Q9,2023-08-22,241362,2023-12-14,"【セトリ公開】2023年8月22日、豊洲PITにて行われたリアム・ギャラガー単独公演""SUMMER SONIC EXTRA""(Sold Out公演)セットリストを公開！
*セットリストの後にオリジナル・バージョンも併せてお楽しみください。",On Tour Japan: Liam Gallagher
Cigarettes & Alcohol - Remastered,https://open.spotify.com/track/5adjc9rGazKvYcyEHNtoz1,Definitely Maybe (Deluxe Edition Remastered),https://open.spotify.com/album/3AMHMM2aNG6k3d7ybcQ5bY,Oasis,https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4,2023-08-22,289146,2023-12-14,"【セトリ公開】2023年8月22日、豊洲PITにて行われたリアム・ギャラガー単独公演""SUMMER SONIC EXTRA""(Sold Out公演)セットリストを公開！
*セットリストの後にオリジナル・バージョンも併せてお楽しみください。",On Tour Japan: Liam Gallagher
Diamond In The Dark,https://open.spotify.com/track/6cWSuPDQT56oPVqWSsNSee,C’MON YOU KNOW (Deluxe Edition),https://open.spotify.com/album/7IpAa9HvutfL3LsDsgluqY,Liam Gallagher,https://open.spotify.com/artist/6sN51vEARnAAdBw1IKZ8Q9,2023-08-22,204543,2023-12-14,"【セトリ公開】2023年8月22日、豊洲PITにて行われたリアム・ギャラガー単独公演""SUMMER SONIC EXTRA""(Sold Out公演)セットリストを公開！
*セットリストの後にオリジナル・バージョンも併せてお楽しみください。",On Tour Japan: Liam Gallagher
Diamond In The Dark - Live From Knebworth 22,https://open.spotify.com/track/1N65NasGOvqTEP6SO25Rhj,Diamond In The Dark EP,https://open.spotify.com/album/45fmMoYeRg2MU3zSBIeRfF,Liam Gallagher,https://open.spotify.com/artist/6sN51vEARnAAdBw1IKZ8Q9,2023-08-22,215797,2023-12-14,"【セトリ公開】2023年8月22日、豊洲PITにて行われたリアム・ギャラガー単独公演""SUMMER SONIC EXTRA""(Sold Out公演)セットリストを公開！
*セットリストの後にオリジナル・バージョンも併せてお楽しみください。",On Tour Japan: Liam Gallagher
Live Forever - Remastered,https://open.spotify.com/track/6TlQ5fbojNRuG0hPQMbxeW,Definitely Maybe (Deluxe Edition Remastered),https://open.spotify.com/album/3AMHMM2aNG6k3d7ybcQ5bY,Oasis,https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4,2023-08-22,276666,2023-12-14,"【セトリ公開】2023年8月22日、豊洲PITにて行われたリアム・ギャラガー単独公演""SUMMER SONIC EXTRA""(Sold Out公演)セットリストを公開！
*セットリストの後にオリジナル・バージョンも併せてお楽しみください。",On Tour Japan: Liam Gallagher
More Power,https://open.spotify.com/track/024E9hWCSo77SRWKzNOyV1,C’MON YOU KNOW (Deluxe Edition),https://open.spotify.com/album/7IpAa9HvutfL3LsDsgluqY,Liam Gallagher,https://open.spotify.com/artist/6sN51vEARnAAdBw1IKZ8Q9,2023-08-22,263396,2023-12-14,"【セトリ公開】2023年8月22日、豊洲PITにて行われたリアム・ギャラガー単独公演""SUMMER SONIC EXTRA""(Sold Out公演)セットリストを公開！
*セットリストの後にオリジナル・バージョンも併せてお楽しみください。",On Tour Japan: Liam Gallagher
