track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"""Later""",https://open.spotify.com/track/6IkOm5XIT9o4jwZKxR3uRR,Design,https://open.spotify.com/album/6aiQoplCQlYraw3uZCwoFp,muque,https://open.spotify.com/artist/3SfOqz3ae0KRhTQzeR4m3t,2023-11-24,180373,2023-11-24,"インスタメディア『PLAYLIST』のトレンドプレイリスト。
音楽好きの若者に支持されたインスタアカウント（Instagram：<a href=""https://www.instagram.com/playlist_of/"">@playlist_of</a>）の編集者が今話題の楽曲をピック。
毎週土曜日更新中。",週刊プレイリスト
#YOLO,https://open.spotify.com/track/389iS8g2CvoIJfGclk7nDj,#YOLO,https://open.spotify.com/album/7Ap2ULTcnmBZYQIocr2GeC,AYANE,https://open.spotify.com/artist/3fYxdxiuKlZYMW9Pma6UBM,2024-04-19,200625,2023-11-24,"インスタメディア『PLAYLIST』のトレンドプレイリスト。
音楽好きの若者に支持されたインスタアカウント（Instagram：<a href=""https://www.instagram.com/playlist_of/"">@playlist_of</a>）の編集者が今話題の楽曲をピック。
毎週土曜日更新中。",週刊プレイリスト
0.0000%,https://open.spotify.com/track/6tJmPnHeCidKixJ7VEdGgy,0.0000%,https://open.spotify.com/album/50W2oJUz1cLctFly2NyYVd,7co,https://open.spotify.com/artist/6NufSYYINeynKg28cGEB2p,2025-02-15,155740,2023-11-24,"インスタメディア『PLAYLIST』のトレンドプレイリスト。
音楽好きの若者に支持されたインスタアカウント（Instagram：<a href=""https://www.instagram.com/playlist_of/"">@playlist_of</a>）の編集者が今話題の楽曲をピック。
毎週土曜日更新中。",週刊プレイリスト
100,https://open.spotify.com/track/3FtCvVQkdoBvCEVnC1tHk4,100,https://open.spotify.com/album/1HEiG0oqNKVF2bYmXZU20q,音田 雅則,https://open.spotify.com/artist/7KSbqXHO0xzNQhzaIWILIo,2024-11-22,187000,2023-11-24,"インスタメディア『PLAYLIST』のトレンドプレイリスト。
音楽好きの若者に支持されたインスタアカウント（Instagram：<a href=""https://www.instagram.com/playlist_of/"">@playlist_of</a>）の編集者が今話題の楽曲をピック。
毎週土曜日更新中。",週刊プレイリスト
100個の幸せとたった1つの,https://open.spotify.com/track/17Rs9pcjsoKPEnXfMTTK9X,100個の幸せとたった1つの,https://open.spotify.com/album/5VSDD9OivqIxCk6JBExnBQ,606号室,https://open.spotify.com/artist/50CaItPFaCPzuA8juPqWfI,2024-12-27,305246,2023-11-24,"インスタメディア『PLAYLIST』のトレンドプレイリスト。
音楽好きの若者に支持されたインスタアカウント（Instagram：<a href=""https://www.instagram.com/playlist_of/"">@playlist_of</a>）の編集者が今話題の楽曲をピック。
毎週土曜日更新中。",週刊プレイリスト
111511,https://open.spotify.com/track/5KT0dvGqAFVdlXJTZ1NWzs,Underlight & Aftertime,https://open.spotify.com/album/1wNakLzgelD7G7mGhqElBC,downt,https://open.spotify.com/artist/1u3B7ghkXe7pvfxZTmBJlV,2024-03-08,258323,2023-11-24,"インスタメディア『PLAYLIST』のトレンドプレイリスト。
音楽好きの若者に支持されたインスタアカウント（Instagram：<a href=""https://www.instagram.com/playlist_of/"">@playlist_of</a>）の編集者が今話題の楽曲をピック。
毎週土曜日更新中。",週刊プレイリスト
17,https://open.spotify.com/track/1kGkbJkZTUKOpaq40DmO4X,17,https://open.spotify.com/album/1etb2Hta613MH9sUYvUIaj,Regal Lily,https://open.spotify.com/artist/75eQ7NabzgaaUYcrqSY0FK,2024-01-19,175699,2023-11-24,"インスタメディア『PLAYLIST』のトレンドプレイリスト。
音楽好きの若者に支持されたインスタアカウント（Instagram：<a href=""https://www.instagram.com/playlist_of/"">@playlist_of</a>）の編集者が今話題の楽曲をピック。
毎週土曜日更新中。",週刊プレイリスト
182,https://open.spotify.com/track/05btEvyyKRnXXoBga36Inq,共犯,https://open.spotify.com/album/4uQdozAJv54PwWlMCZN0VC,"OHTORA, maeshima soshi","https://open.spotify.com/artist/16W2CFdMJKvN99ZWwoEB0k, https://open.spotify.com/artist/4O49GHbECmNppFvzK0WZXf",2024-12-06,216631,2023-11-24,"インスタメディア『PLAYLIST』のトレンドプレイリスト。
音楽好きの若者に支持されたインスタアカウント（Instagram：<a href=""https://www.instagram.com/playlist_of/"">@playlist_of</a>）の編集者が今話題の楽曲をピック。
毎週土曜日更新中。",週刊プレイリスト
18才の夏休み,https://open.spotify.com/track/4SKUc66FMz0BXpqaF2G94u,18才の夏休み,https://open.spotify.com/album/7HjvNgMZN1YHWOFNbu36Ob,Mega Shinnosuke,https://open.spotify.com/artist/72owWXEwmyfKq3ajrajPAN,2024-07-19,221530,2023-11-24,"インスタメディア『PLAYLIST』のトレンドプレイリスト。
音楽好きの若者に支持されたインスタアカウント（Instagram：<a href=""https://www.instagram.com/playlist_of/"">@playlist_of</a>）の編集者が今話題の楽曲をピック。
毎週土曜日更新中。",週刊プレイリスト
192,https://open.spotify.com/track/1AbheGawjdsj0iOanQVrTv,192,https://open.spotify.com/album/63DhHOh4noYzsl1TjXdfVM,CiEL,https://open.spotify.com/artist/3mLdCqVDUWb6GgxX8PsI7w,2024-12-27,125752,2023-11-24,"インスタメディア『PLAYLIST』のトレンドプレイリスト。
音楽好きの若者に支持されたインスタアカウント（Instagram：<a href=""https://www.instagram.com/playlist_of/"">@playlist_of</a>）の編集者が今話題の楽曲をピック。
毎週土曜日更新中。",週刊プレイリスト
