track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(nendest) narkootikumidest ei tea me (küll) midagi,https://open.spotify.com/track/3wdfbb4qfNmPHJRn8ILMHk,(nendest) narkootikumidest ei tea me (küll) midagi,https://open.spotify.com/album/1Mc8irTlnfXUsSrpd2hpOj,"5MIINUST, Puuluup","https://open.spotify.com/artist/6acByqWJeuaM0TX5VoY6an, https://open.spotify.com/artist/7ifYVN4V3DErjxbHDfI0Yx",2024-05-11,167125,2024-05-12,The official Eurovision Song Contest 2025 playlist.,Eurovision 2025
11:11,https://open.spotify.com/track/6XIerJ9V7H9byQFRZiqyCv,11:11,https://open.spotify.com/album/6II0CjU8B2JyEgWBBVvtjN,Megara,https://open.spotify.com/artist/4vFcywn3P1b0M4xFe61e23,2024-05-11,180087,2024-05-12,The official Eurovision Song Contest 2025 playlist.,Eurovision 2025
Always on the run,https://open.spotify.com/track/3BJ0uXKEz9fUxCbZle1rCE,Always on the run,https://open.spotify.com/album/61t1CVlAIr7HWUkS0KcF3K,ISAAK,https://open.spotify.com/artist/4EsPdQD7LDT8meZpX0MX4p,2024-05-11,209562,2024-05-12,The official Eurovision Song Contest 2025 playlist.,Eurovision 2025
Asteromata,https://open.spotify.com/track/2aE2SRm4QraCuDBNnBsRIz,Asteromata,https://open.spotify.com/album/02dO5tdgmZFm72qmWAETdA,Klavdia,https://open.spotify.com/artist/4JRInaGyykK9dRIaymPxJq,2025-02-28,175385,2024-05-12,The official Eurovision Song Contest 2025 playlist.,Eurovision 2025
BEFORE THE PARTY'S OVER,https://open.spotify.com/track/1A4pbfIyAuyZkIrRr4tK2X,BEFORE THE PARTY'S OVER,https://open.spotify.com/album/04IXV3BmIQDVJA6LlI0BLq,Mustii,https://open.spotify.com/artist/3sHtPJJi41P65J7EGRG2r1,2024-05-11,179923,2024-05-12,The official Eurovision Song Contest 2025 playlist.,Eurovision 2025
Bird of Pray,https://open.spotify.com/track/0YM3CotMLnoTBVwMCJzYeV,Bird of Pray,https://open.spotify.com/album/2zFjd5mjFDv6LKG1wpV9rM,Ziferblat,https://open.spotify.com/artist/1PYz5uoK1NSdWERupvt8BR,2025-02-28,179000,2024-05-12,The official Eurovision Song Contest 2025 playlist.,Eurovision 2025
Bur man laimi,https://open.spotify.com/track/6oGrwxJItvG261mLBk6DmK,Bur man laimi,https://open.spotify.com/album/0uiDNzus7TjUtTl45qL07g,Tautumeitas,https://open.spotify.com/artist/65Q6uD7cHhu4QYbGxEU9dF,2025-02-28,178325,2024-05-12,The official Eurovision Song Contest 2025 playlist.,Eurovision 2025
C'est La Vie,https://open.spotify.com/track/0b9RNAzGtDRRMQS1cF9HXT,C'est La Vie,https://open.spotify.com/album/1FGfkxrv2RIPNjQgXCt8p0,Claude,https://open.spotify.com/artist/205nyHBi0lspcUT37YqWom,2025-02-28,160281,2024-05-12,The official Eurovision Song Contest 2025 playlist.,Eurovision 2025
Dizzy,https://open.spotify.com/track/4GEmQTg7yfnfZoNhgpCg61,Dizzy,https://open.spotify.com/album/7rzYlWpOSJKwcDOzW65qdY,Olly Alexander (Years & Years),https://open.spotify.com/artist/5vBSrE1xujD2FXYRarbAXc,2024-05-11,172879,2024-05-12,The official Eurovision Song Contest 2025 playlist.,Eurovision 2025
Dobrodošli,https://open.spotify.com/track/5UspyMgNKogZTVNc9Ptl9P,Dobrodošli,https://open.spotify.com/album/32mNiQZWRZPliemdjkO3tZ,Nina Zizic,https://open.spotify.com/artist/6KfnLDNb1o14EBOX6HInHO,2025-02-28,180976,2024-05-12,The official Eurovision Song Contest 2025 playlist.,Eurovision 2025
Doomsday Blue,https://open.spotify.com/track/7qiEoVlFjb3KaytT2zgK1g,Cathexis,https://open.spotify.com/album/70IfQDr5WnlqwK2Cb0tvco,Bambie Thug,https://open.spotify.com/artist/6g3orasGcMPn0gwcE3JMAC,2024-05-11,183741,2024-05-12,The official Eurovision Song Contest 2025 playlist.,Eurovision 2025
