track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A La Antigüita,https://open.spotify.com/track/798ahLNEcoFER7Vywg1FMT,Vamos Bien,https://open.spotify.com/album/4CK4qIkDBB1Knqwzkm12RZ,Calibre 50,https://open.spotify.com/artist/4jogXSSvlyMkODGSZ2wc2P,2024-02-22,156266,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
A Mis Enemigos,https://open.spotify.com/track/0rRxqhX6w0IWTFSzzRFSOo,Vencedor,https://open.spotify.com/album/0k0b9mpJt6tJMT26aIzpoe,Valentín Elizalde,https://open.spotify.com/artist/3CAhiUHkUYT1mFtVHM9SHA,2024-02-22,183813,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
"A Mí, ¿Qué Me Quedó?",https://open.spotify.com/track/0b72rOmkspR8dJHsUjaVi4,Vuelvo Contigo,https://open.spotify.com/album/3Bqrpyh09jij3b2SiqzQlU,Los Invasores De Nuevo León,https://open.spotify.com/artist/5CGtBYmVPeLhI1kM2Fn9Gv,2023-08-08,161493,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
A Quién Esperas,https://open.spotify.com/track/3eCY6AUZVvKuFQYVpvMEMV,20 Éxitos de Ley (Serie de Colección),https://open.spotify.com/album/7wrf7tzBFiEyJwgX4R6cf3,Beto Y Sus Canarios,https://open.spotify.com/artist/1Y4RbL9WTMzu0TTobNbNSv,2024-08-23,143871,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
A Través del Vaso,https://open.spotify.com/track/1x5Fqllow3ngr5euK3hXSw,A Través del Vaso,https://open.spotify.com/album/7vT5aK4tV66WR8OH16gKjn,Grupo Arranke,https://open.spotify.com/artist/1A773r2lVYAnmt8uwb5BOu,2024-02-22,188661,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
Acá Entre Nos,https://open.spotify.com/track/2FDFz5TuYlpP180AUicAcl,Que De Raro Tiene,https://open.spotify.com/album/2h6LhZi0civVoLcIe6WSx3,Vicente Fernández,https://open.spotify.com/artist/4PPoI9LuYeFX8V674Z1R6l,2024-02-22,195373,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
Ajustadón,https://open.spotify.com/track/3HgmSgGxjVSIL3WjZVe4bs,Ajustadón,https://open.spotify.com/album/3BmRferj96GiKpT6IfGe0j,"Luis Mexia, Edgardo Nuñez","https://open.spotify.com/artist/4IEP61D1hdCPQVzAYzP9VC, https://open.spotify.com/artist/0mA4dkNGiN4fqTBi2SLlAv",2024-12-03,159685,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
Al Estilo Rancheron,https://open.spotify.com/track/0G1D3gX48Y56yKMQB5Q1UJ,Al Estilo Rancheron,https://open.spotify.com/album/7jomGVik8nyxBGpIMSCnRd,Los Dos Carnales,https://open.spotify.com/artist/25UNJbwGZSQKvz5cPLWlv3,2024-02-22,198466,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
Algo De Mí,https://open.spotify.com/track/06WecehO0wgP8jJIoCURKl,Algo De Mi,https://open.spotify.com/album/3B9MzXXUxN220d67ev3g6R,Conjunto Primavera,https://open.spotify.com/artist/3nFB4eMP5gdqee2eQb8nZb,2023-08-08,236453,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
Alma Enamorada,https://open.spotify.com/track/6ab5dRx0VtGzMjUejMFI9u,Chalino Sánchez con Banda Brava,https://open.spotify.com/album/4GmmvkdzlwP5TDac2be0hK,"Chalino Sanchez, Banda Brava","https://open.spotify.com/artist/7u9m43vPVTERaALXXOzrRq, https://open.spotify.com/artist/7r6kHYuxetBFp0EEKnLHmk",2023-08-08,172512,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
Alma Enamorada (En Vivo),https://open.spotify.com/track/0vLXA9eQpe56eGBz0lTDqW,"Desde La Playa ""En Vivo desde Mazatlan, Sinaloa""",https://open.spotify.com/album/1VdrXuMVBAzsxPP4vaecDI,"El Mimoso Luis Antonio López, Luis Angel ""El Flaco""","https://open.spotify.com/artist/7AUgYiThuW80zSOwY7Ub2g, https://open.spotify.com/artist/4kJ2OBSNasUA4yOT5NCfCl",2024-10-23,178412,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
Ambición de Quererte,https://open.spotify.com/track/6xZy0uJX3y2jpNKiX8oS6j,"Puras Pa' Ca...Erse De Borracho, Vol. 2",https://open.spotify.com/album/36d933NYZdeGBIJDa1ZezS,Códice,https://open.spotify.com/artist/20p8yriwsdlALnCz2xXLmZ,2023-08-08,193116,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
Arboles De La Barranca,https://open.spotify.com/track/3Oa31DdD8vxktKoyUf7RyZ,Puras Rancheras,https://open.spotify.com/album/2oai80RcPheeeg0bNCPDRW,El Coyote Y Su Banda Tierra Santa,https://open.spotify.com/artist/7sQ3Q6yYyg0SdpEezJN8UT,2023-08-08,179400,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
Aviéntame,https://open.spotify.com/track/3owpZ2lx2iMQ3FkeI5VKmA,Camino Equivocado,https://open.spotify.com/album/05vVVrRFertqgAd35Bfpw2,Los Invasores De Nuevo León,https://open.spotify.com/artist/5CGtBYmVPeLhI1kM2Fn9Gv,2024-02-22,192173,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
Ayer La Vi Por La Calle,https://open.spotify.com/track/3QEtFSlIylEVy7pePLHNiE,El Maquinista,https://open.spotify.com/album/69lJRuexU5t09latWCcR2L,Los Rieleros Del Norte,https://open.spotify.com/artist/59xlizZFIFUvLC0I8iV2Jv,2023-08-08,188800,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
Bandido De Amores,https://open.spotify.com/track/5gbThduFQLh53m500xE54t,Grandes Duetos,https://open.spotify.com/album/33DVEiEzNDnc0Ojj2knqtS,"Joan Sebastian, Antonio Aguilar","https://open.spotify.com/artist/7FsRH5bw8iWpSbMX1G7xf1, https://open.spotify.com/artist/0PN0fbe41KbuzlRYnoajNm",2023-08-08,178932,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
Belleza De Cantina,https://open.spotify.com/track/4ZplewvZRLFcfBa5uyBbhd,Por Las Damas,https://open.spotify.com/album/4knvBWQwoePhytbeXYTGc0,Cardenales De Nuevo León,https://open.spotify.com/artist/0GpuSge5ffZ053NhXxgQkV,2024-02-22,183946,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
Cabrón y Vago - En Vivo,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU,"Puerta Abierta, Vol. 1 (En Vivo)",https://open.spotify.com/album/7rJgUM53wtu1WnwcAMaEgg,"El Fantasma, Los Dos Carnales","https://open.spotify.com/artist/0my6Pg4I28dVcZLSpAkqhv, https://open.spotify.com/artist/25UNJbwGZSQKvz5cPLWlv3",2024-02-22,142064,2023-08-22,Ya llegué de donde andaba... se me concedió volver 🙏🏾,Llegando al Rancho
