track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Game of Croquet,https://open.spotify.com/track/21lsdnxagzViwbRqNY0tCK,The Theory of Everything (Original Motion Picture Soundtrack),https://open.spotify.com/album/02VRifrsiTM73hPGjXduRQ,Jóhann Jóhannsson,https://open.spotify.com/artist/3IpQziA6YwD53PQ5xbwgLF,2022-07-22,165572,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
A Game of Croquet,https://open.spotify.com/track/2TGTivEqpW9RUkfukL7vvA,The Theory of Everything (Original Motion Picture Soundtrack),https://open.spotify.com/album/2R2FZbfCSFBb1piR159xN0,Jóhann Jóhannsson,https://open.spotify.com/artist/3IpQziA6YwD53PQ5xbwgLF,2021-11-19,165572,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
A Rose in Spanish Harlem (Bonus Track),https://open.spotify.com/track/3jbDmjnUYXoEbuwHEnt12O,If Beale Street Could Talk (Original Motion Picture Score),https://open.spotify.com/album/0fJDCdcog8975mFnYSCKZT,Nicholas Britell,https://open.spotify.com/artist/18oYqNtcLUHrqO7LfX7qni,2021-11-19,176333,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
Alma,https://open.spotify.com/track/5s1mZcxqYhgmlvDxg4IGwt,Phantom Thread (Original Motion Picture Soundtrack),https://open.spotify.com/album/5WyVg6gJ9kCPkZs4zhIrDz,Jonny Greenwood,https://open.spotify.com/artist/0z9s3P5vCzKcUBSxgBDyLU,2021-11-19,247213,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
American Symphony Theme,https://open.spotify.com/track/12YNZAFHGLIrtzQU7cfnQ6,Beethoven Blues,https://open.spotify.com/album/3eXr4s3rCLxNJpxqaIDyqJ,Jon Batiste,https://open.spotify.com/artist/0eRbECAGCLLiTyVXPBRexU,2024-11-19,161361,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
Any Other Name,https://open.spotify.com/track/33B1XmfncHqnfkrYZIcHbD,American Beauty (Original Motion Picture Score),https://open.spotify.com/album/11y3Dzg44npGsTWKtmuzTW,Thomas Newman,https://open.spotify.com/artist/1csBgT42N4pPPs1HJhxXIK,2021-11-19,246626,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
Beyond,https://open.spotify.com/track/3UIdfTWEMXcBZYgLN3mMvu,Il Grande Male (Original Motion Picture Soundtrack),https://open.spotify.com/album/5dHOnPMjwR3s3cjApZr5UL,Mattia Vlad Morleo,https://open.spotify.com/artist/2VBeBMU2ZBdmqnsBZ45CXE,2023-05-12,192527,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
Brianna and Roger Theme,https://open.spotify.com/track/7HvFEJxUMSKnfcZVJcRtur,Outlander: Season 4 (Original Television Soundtrack),https://open.spotify.com/album/5txUaOE0Skafk1JBkyzc7V,Bear McCreary,https://open.spotify.com/artist/2ifvIECHAlEgPMBuBOJ0lG,2021-11-19,204666,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
Captain Jefferson,https://open.spotify.com/track/5X6b1ySSqzJm4qLw0fqs5n,News Of The World (Original Motion Picture Soundtrack),https://open.spotify.com/album/6v1bOteXExLs8oA8epNRuc,James Newton Howard,https://open.spotify.com/artist/2M4eNCvV3CJUswavkhAQg2,2021-11-19,126906,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
Come Back to Us,https://open.spotify.com/track/44sVQfPdCTGM5JLBRHUngc,1917 (Original Motion Picture Soundtrack),https://open.spotify.com/album/6HiTc4Cu7pOdO5mA8PInRs,Thomas Newman,https://open.spotify.com/artist/1csBgT42N4pPPs1HJhxXIK,2021-11-19,339586,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
Danger of Hell,https://open.spotify.com/track/2xfg6YnYSHbrPjGWjuQHVS,The Green Mile (Original Motion Picture Soundtrack),https://open.spotify.com/album/6Rppm3cesOg9mL5oaIeLCc,Thomas Newman,https://open.spotify.com/artist/1csBgT42N4pPPs1HJhxXIK,2021-11-19,147760,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
Different Kinds Of Cry,https://open.spotify.com/track/0MPFNeTFeGL6JEQxl7KWcf,Trigonometry (Original Series Soundtrack),https://open.spotify.com/album/5JqHZ5DrkG010tg32Bnh70,Alexis Grapsas,https://open.spotify.com/artist/3dkswBquw5Ss899vAX7DP6,2021-11-19,213080,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
Don't Meet Your Heroes,https://open.spotify.com/track/6DiRaJ83YPIyjLFucN87NY,Dickinson: Season One (Apple TV+ Original Series Soundtrack),https://open.spotify.com/album/0BgHDRsMOWY7A8Nu8oaAbu,"Drum & Lace, Ian Hultquist","https://open.spotify.com/artist/1dq0QxwBna7jlk8S4rrnV7, https://open.spotify.com/artist/2KcLrCao2zAX5Ez6gZzgW9",2021-11-19,98037,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
Doug,https://open.spotify.com/track/4n4q1FZ84xHhZRdexhFz0X,Inez & Doug & Kira (Original Motion Picture Soundtrack),https://open.spotify.com/album/6HwPJRFbqGPu9bw4z0FKze,Lambert,https://open.spotify.com/artist/6pSQcy8935ABNiK2qOpOlK,2021-11-19,113600,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
Extremely Loud and Incredibly Close,https://open.spotify.com/track/3eoeShZGzmkzqnIpHZfHPn,Extremely Loud and Incredibly Close (Original Motion Picture Soundtrack),https://open.spotify.com/album/6eo8C94KmE7fQo9g0dd7de,"Alexandre Desplat, Jean-Yves Thibaudet","https://open.spotify.com/artist/71jzN72g8qWMCMkWC5p1Z0, https://open.spotify.com/artist/1Dot4uMsJMx8n1Xi7gAdV6",2021-11-19,117673,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
Extremely Loud and Incredibly Close,https://open.spotify.com/track/4FnK3GEuekjYXavXPIGlmQ,Extremely Loud and Incredibly Close (Original Motion Picture Soundtrack),https://open.spotify.com/album/4WAWnX8Ryd0CfqnYnV6wzB,"Alexandre Desplat, Jean-Yves Thibaudet","https://open.spotify.com/artist/71jzN72g8qWMCMkWC5p1Z0, https://open.spotify.com/artist/1Dot4uMsJMx8n1Xi7gAdV6",2022-07-22,117673,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
Ezio's Family,https://open.spotify.com/track/05UMQXFCsa9oPnLgfJHVyF,Assassin's Creed 2 (Original Game Soundtrack),https://open.spotify.com/album/09ixa10YNG75H0HDKbMAiZ,"Jesper Kyd, Assassin's Creed","https://open.spotify.com/artist/3m6alJyeKYSCZ8078ttfaH, https://open.spotify.com/artist/5ct8AlcDgWMp4O25vbcjpC",2021-11-19,237900,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
Fossils,https://open.spotify.com/track/2ZtQgrIztmjQwyewLyvDmm,Ammonite (Original Motion Picture Soundtrack),https://open.spotify.com/album/2BKrDhnU8yzYnNYbWoOHg0,"Dustin O'Halloran, Volker Bertelmann, Dustin O'Halloran & Volker Bertelmann","https://open.spotify.com/artist/6UEYawMcp2M4JFoXVOtZEq, https://open.spotify.com/artist/1nO0SRSfsukVmUASnuravA, https://open.spotify.com/artist/6BHwRzCgENU0kmJt6yGy4x",2022-07-22,340138,2021-12-21,Relaxing soundtracks to help you escape and unwind. ,Cinematic Chillout
