track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
[DANIELLE] Spoiler on Bunnyland #1,https://open.spotify.com/track/0mOh0t6IP8L7xgc5TVE7J4,This Is NewJeans audio liners,https://open.spotify.com/album/2ayInSVQiVBiyzqWOgZrEw,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2023-07-21,11878,2023-07-22,"🐰 This Is NewJeans. The essential tracks, all in one playlist. 🐇",This Is NewJeans
[HAERIN] Spoiler on Bunnyland #2,https://open.spotify.com/track/7wCsmqRyZe9pdGeRLD1xw7,This Is NewJeans audio liners,https://open.spotify.com/album/2ayInSVQiVBiyzqWOgZrEw,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2023-07-21,21788,2023-07-22,"🐰 This Is NewJeans. The essential tracks, all in one playlist. 🐇",This Is NewJeans
[HANNI] What Bunnies want,https://open.spotify.com/track/4VrlvJPm7tRQKBc1We5uhR,This Is NewJeans audio liners,https://open.spotify.com/album/2ayInSVQiVBiyzqWOgZrEw,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2023-07-21,18018,2023-07-22,"🐰 This Is NewJeans. The essential tracks, all in one playlist. 🐇",This Is NewJeans
[HYEIN] Gigantic Spotibunini is coming,https://open.spotify.com/track/2D4mAyZDFK2TaCaXM48kkv,This Is NewJeans audio liners,https://open.spotify.com/album/2ayInSVQiVBiyzqWOgZrEw,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2023-07-21,14381,2023-07-22,"🐰 This Is NewJeans. The essential tracks, all in one playlist. 🐇",This Is NewJeans
[MINJI] Find the Gigantic Spotibunini,https://open.spotify.com/track/01vqFhR2lAcee9qj84tUE0,This Is NewJeans audio liners,https://open.spotify.com/album/2ayInSVQiVBiyzqWOgZrEw,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2023-07-21,15181,2023-07-22,"🐰 This Is NewJeans. The essential tracks, all in one playlist. 🐇",This Is NewJeans
ASAP,https://open.spotify.com/track/5fpyAakgFOm4YTXkgfPzvV,NewJeans 2nd EP 'Get Up',https://open.spotify.com/album/4N1fROq2oeyLGAlQ1C1j18,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2023-07-21,134386,2023-07-22,"🐰 This Is NewJeans. The essential tracks, all in one playlist. 🐇",This Is NewJeans
Attention,https://open.spotify.com/track/2pIUpMhHL6L9Z5lnKxJJr9,NewJeans 1st EP 'New Jeans',https://open.spotify.com/album/1HMLpmZAnNyl9pxvOnTovV,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2023-07-21,180066,2023-07-22,"🐰 This Is NewJeans. The essential tracks, all in one playlist. 🐇",This Is NewJeans
Attention (250 Remix),https://open.spotify.com/track/2nW48vXnZZ5EYka46v7GOk,NJWMX,https://open.spotify.com/album/6XRGc3GNodkhSrPwHnx1KX,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2023-12-21,181400,2023-07-22,"🐰 This Is NewJeans. The essential tracks, all in one playlist. 🐇",This Is NewJeans
Attention (250 Remix) (Instrumental),https://open.spotify.com/track/4MhgDz4lSj2HtlUcpe3yrd,NJWMX,https://open.spotify.com/album/6XRGc3GNodkhSrPwHnx1KX,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2023-12-21,181400,2023-07-22,"🐰 This Is NewJeans. The essential tracks, all in one playlist. 🐇",This Is NewJeans
"Be Who You Are (Real Magic) (feat. JID, NewJeans & Camilo)",https://open.spotify.com/track/7fcZk7OXeFWD7DWybltVVf,Be Who You Are (Real Magic),https://open.spotify.com/album/1Pk1W5xbmAqG6wBNL4sjq5,"Jon Batiste, JID, NewJeans, Camilo","https://open.spotify.com/artist/0eRbECAGCLLiTyVXPBRexU, https://open.spotify.com/artist/6U3ybJ9UHNKEdsH7ktGBZ7, https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d, https://open.spotify.com/artist/28gNT5KBp7IjEOQoevXf9N",2023-07-21,189713,2023-07-22,"🐰 This Is NewJeans. The essential tracks, all in one playlist. 🐇",This Is NewJeans
Beautiful Restriction,https://open.spotify.com/track/7CHDUDw89DCR8vvI0yTXGa,A Time Called You (Original Soundtrack from the Netflix Series),https://open.spotify.com/album/5qHH0SHWf5yQxG4yqHnIzY,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2023-09-01,232453,2023-07-22,"🐰 This Is NewJeans. The essential tracks, all in one playlist. 🐇",This Is NewJeans
Bubble Gum,https://open.spotify.com/track/19D8LNpWwIPpi6hs9BG7dq,How Sweet,https://open.spotify.com/album/0EhZEM4RRz0yioTgucDhJq,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2024-05-24,200266,2023-07-22,"🐰 This Is NewJeans. The essential tracks, all in one playlist. 🐇",This Is NewJeans
Celebrate with us from Haerin,https://open.spotify.com/track/66PCy1MAbuf63gxrkCsJN3,This Is NewJeans audio liner (2nd anniversary),https://open.spotify.com/album/6eyBYgYD8ctMGYQhWbQYoS,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2024-07-22,13446,2023-07-22,"🐰 This Is NewJeans. The essential tracks, all in one playlist. 🐇",This Is NewJeans
Cookie,https://open.spotify.com/track/2DwUdMJ5uxv20EhAildreg,NewJeans 1st EP 'New Jeans',https://open.spotify.com/album/1HMLpmZAnNyl9pxvOnTovV,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2023-07-21,235562,2023-07-22,"🐰 This Is NewJeans. The essential tracks, all in one playlist. 🐇",This Is NewJeans
Cookie (FRNK Remix),https://open.spotify.com/track/5bwpbZBOY0mrmRhZ94c0kW,NJWMX,https://open.spotify.com/album/6XRGc3GNodkhSrPwHnx1KX,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2023-12-21,212400,2023-07-22,"🐰 This Is NewJeans. The essential tracks, all in one playlist. 🐇",This Is NewJeans
Cookie (FRNK Remix) (Instrumental),https://open.spotify.com/track/2akxtSALPUX8orriSWyDi4,NJWMX,https://open.spotify.com/album/6XRGc3GNodkhSrPwHnx1KX,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2023-12-21,212400,2023-07-22,"🐰 This Is NewJeans. The essential tracks, all in one playlist. 🐇",This Is NewJeans
