track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
15 Días en el Desierto,https://open.spotify.com/track/1IfkviZZRAT11TYmhpYub5,15 Días en el Desierto,https://open.spotify.com/album/1VTKKYk3Vfumr86dPt4GhF,"Luis Angel ""El Flaco"", Banda Renovacion","https://open.spotify.com/artist/4kJ2OBSNasUA4yOT5NCfCl, https://open.spotify.com/artist/6yRnpibMV9phmk5aIiqhVk",2022-05-12,225075,2022-05-23,Música en vivo de tus artistas favoritos de la Música Mexicana. Portada: Alejandro Fernández,Música Mexicana En Vivo
3 Doritos Despues (En Vivo),https://open.spotify.com/track/07aKw7LfC27IGSb5ppldIQ,3 Doritos Despues (En Vivo),https://open.spotify.com/album/4PJXpxazXhN6AOC0xUagQF,"Oscar Maydon, Panter Bélico","https://open.spotify.com/artist/3l9G1G9MxH6DaRhwLklaf5, https://open.spotify.com/artist/7pESOE4dEq8Yk4OKlJa3pS",2024-04-24,218453,2022-05-23,Música en vivo de tus artistas favoritos de la Música Mexicana. Portada: Alejandro Fernández,Música Mexicana En Vivo
300 Locos - En Vivo,https://open.spotify.com/track/2v7r3q9rDqNWfrhAU157gV,300 Locos (En Vivo),https://open.spotify.com/album/3FJKfGDxTfo47JG6JDJJW5,Panchito Arredondo,https://open.spotify.com/artist/1enyvmNKgt4BIIkVnt9FAV,2022-05-12,149163,2022-05-23,Música en vivo de tus artistas favoritos de la Música Mexicana. Portada: Alejandro Fernández,Música Mexicana En Vivo
300 Locos - En Vivo,https://open.spotify.com/track/4PjeItnxK4Ht94FFxYoPXf,Golpe de Estado (En Vivo),https://open.spotify.com/album/4HKp5Ouc9lHtJvwlYhlcFg,Panchito Arredondo,https://open.spotify.com/artist/1enyvmNKgt4BIIkVnt9FAV,2022-12-08,149163,2022-05-23,Música en vivo de tus artistas favoritos de la Música Mexicana. Portada: Alejandro Fernández,Música Mexicana En Vivo
50 Guerreros - En Vivo,https://open.spotify.com/track/3Ny7oh2RrtcNzYCGZHHrdJ,50 Guerreros (En Vivo),https://open.spotify.com/album/5bTlsmTczzSVsjulAnIep7,"Los Chavalos De La Perla, Chiken Lira","https://open.spotify.com/artist/5w2CwSVYz9o6NUY4RgpCCO, https://open.spotify.com/artist/3OXtjz5aMVWAQ4DDQuoICn",2022-12-08,161853,2022-05-23,Música en vivo de tus artistas favoritos de la Música Mexicana. Portada: Alejandro Fernández,Música Mexicana En Vivo
70 Calaveras - En Vivo,https://open.spotify.com/track/0j4NhEUEQiiBtktxF7nEC4,70 Calaveras (En Vivo),https://open.spotify.com/album/3hp1ptkk30lzRFQwpyjWxe,"Luis R Conriquez, Los Dareyes De La Sierra","https://open.spotify.com/artist/0pePYDrJGk8gqMRbXrLJC8, https://open.spotify.com/artist/1ZMJSCQw8DIefcLb1FIpY0",2023-03-17,169394,2022-05-23,Música en vivo de tus artistas favoritos de la Música Mexicana. Portada: Alejandro Fernández,Música Mexicana En Vivo
911 - En Vivo,https://open.spotify.com/track/1O0IFR3MYqgQbziKTCf0X4,911 (En Vivo),https://open.spotify.com/album/5C481uIDXJ2Ddkqtq8A28H,"Fuerza Regida, Grupo Frontera","https://open.spotify.com/artist/0ys2OFYzWYB5hRDLCsBqxt, https://open.spotify.com/artist/6XkjpgcEsYab502Vr1bBeW",2023-03-17,175423,2022-05-23,Música en vivo de tus artistas favoritos de la Música Mexicana. Portada: Alejandro Fernández,Música Mexicana En Vivo
A Cada Rato (En Vivo),https://open.spotify.com/track/2ugRFpxAehNcnuPNT1INks,A Cada Rato (En Vivo),https://open.spotify.com/album/2GcISXZ1HSJtUXO9SDfMaT,Gerardo Coronel,https://open.spotify.com/artist/6JoYL9QYbdgPb6EuE5J2pC,2022-05-12,185983,2022-05-23,Música en vivo de tus artistas favoritos de la Música Mexicana. Portada: Alejandro Fernández,Música Mexicana En Vivo
A Como te Ven (En Vivo),https://open.spotify.com/track/7jtSoRjShFbMGW0s8WCKfi,A Como te Ven (En Vivo),https://open.spotify.com/album/7H5HTt5Kh353pj9XCUHB0m,"Tony Aguirre, El Padrinito Toys","https://open.spotify.com/artist/6twEaJ9RPRYiCmWapjG8xh, https://open.spotify.com/artist/04mzq9GH08zOBRdV2gzmXm",2023-03-17,202735,2022-05-23,Música en vivo de tus artistas favoritos de la Música Mexicana. Portada: Alejandro Fernández,Música Mexicana En Vivo
A La Antigüita - En Vivo,https://open.spotify.com/track/3qLGC9pnNACqjokQZA5iBZ,A La Antigüita (En Vivo),https://open.spotify.com/album/5jPw5qjvMpafTX2ynchnAh,Calibre 50,https://open.spotify.com/artist/4jogXSSvlyMkODGSZ2wc2P,2022-05-12,164306,2022-05-23,Música en vivo de tus artistas favoritos de la Música Mexicana. Portada: Alejandro Fernández,Música Mexicana En Vivo
