track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Drop of Honey - Asian Folktale,https://open.spotify.com/track/253IdtklDOEf0Vxv13jhcJ,Faire Tales,https://open.spotify.com/album/1PxvJ7Z5eL2H0mtbOKfrlX,Angela Klingler,https://open.spotify.com/artist/3U0GdyoY9nzUINRlkF0KRE,2014-01-23,242920,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
All Stories are Anansi's,https://open.spotify.com/track/42sPvLiczFgdUrEGgMRx20,Ashanti: Folk Tales from Ghana,https://open.spotify.com/album/27OrNAJwl1B8l1D9Z7GZpx,Harold Courlander,https://open.spotify.com/artist/3sc0tsvUgHV8VstZVSbK7E,2014-01-23,376680,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Anansi Plays Dead,https://open.spotify.com/track/5nYsoxgxcEJ3dlDpymDjI9,Ashanti: Folk Tales from Ghana,https://open.spotify.com/album/27OrNAJwl1B8l1D9Z7GZpx,Harold Courlander,https://open.spotify.com/artist/3sc0tsvUgHV8VstZVSbK7E,2014-01-23,451573,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
"Anansi, the Oldest of Animals",https://open.spotify.com/track/76AynlDyMrEn7vgm9V6Ezn,Ashanti: Folk Tales from Ghana,https://open.spotify.com/album/27OrNAJwl1B8l1D9Z7GZpx,Harold Courlander,https://open.spotify.com/artist/3sc0tsvUgHV8VstZVSbK7E,2014-01-23,194120,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Aphrodite - 1957,https://open.spotify.com/track/1qtxhzPs8LcETPAfp1rYIq,Gods of the Greek Myths,https://open.spotify.com/album/4Egetitoz6mlLZfnc6aJA6,Julie Harris,https://open.spotify.com/artist/4bUFcghVJHLp2HSaEJTtyd,2014-01-23,306000,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Apollo - 1957,https://open.spotify.com/track/1o2Xg0FXzMLooHFMTYGFp2,Gods of the Greek Myths,https://open.spotify.com/album/4Egetitoz6mlLZfnc6aJA6,Richard Kiley,https://open.spotify.com/artist/29l80PEg44YRkDbCK0U5OB,2014-01-23,304000,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Artemis - 1957,https://open.spotify.com/track/1dlHPul42UWEN6R25T0ulO,Gods of the Greek Myths,https://open.spotify.com/album/4Egetitoz6mlLZfnc6aJA6,Julie Harris,https://open.spotify.com/artist/4bUFcghVJHLp2HSaEJTtyd,2014-01-23,426013,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Arthur,https://open.spotify.com/track/589vP0qwWdGF8V6vIYSEzQ,The Myths And Legends Of King Arthur And The Knights Of The Round Table,https://open.spotify.com/album/0BgYl8QPT4XmEWL3Q2G9rl,Rick Wakeman,https://open.spotify.com/artist/0mkcYaXUbJUs5mJointuzB,2014-01-23,449906,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Augeian Stables / Stymphalean Marshes / Erymanthean Boar,https://open.spotify.com/track/0YXYiLBCHM550lolDBVSIP,The Twelve Labors of Hercules & Other Adventures,https://open.spotify.com/album/2zA0E3SL32RkP1qYmEiWDS,Anthony Quayle,https://open.spotify.com/artist/2kUD5glTZ6j5f3VOAWCGlQ,2014-01-25,315613,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Babylonian Creation Myths (part 1),https://open.spotify.com/track/4PKKGJHbpiJ6J2dNGh5aQp,Comparative Mythology,https://open.spotify.com/album/3NaxBhG8IBT1LFaguBphID,Manly P. Hall,https://open.spotify.com/artist/2yJEaYQlW30y2BFSGKPgWu,2014-03-17,3613596,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Babylonian Creation Myths (part 2),https://open.spotify.com/track/0gC8i6di56tsXIDulWlwt8,Comparative Mythology,https://open.spotify.com/album/3NaxBhG8IBT1LFaguBphID,Manly P. Hall,https://open.spotify.com/artist/2yJEaYQlW30y2BFSGKPgWu,2014-03-17,2976809,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Battle of Frogs and Mice (Pt. 1),https://open.spotify.com/track/0Aa0tjWCBxu7Wer7UZNL35,The Twelve Labors of Hercules & Other Adventures,https://open.spotify.com/album/2zA0E3SL32RkP1qYmEiWDS,Anthony Quayle,https://open.spotify.com/artist/2kUD5glTZ6j5f3VOAWCGlQ,2014-01-25,304293,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Battle of Frogs and Mice (Pt. 2),https://open.spotify.com/track/7Mf5HNJMAkDFWHjEomopBF,The Twelve Labors of Hercules & Other Adventures,https://open.spotify.com/album/2zA0E3SL32RkP1qYmEiWDS,Anthony Quayle,https://open.spotify.com/artist/2kUD5glTZ6j5f3VOAWCGlQ,2014-01-25,284426,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Buddhist Regeneration Myths (part 1),https://open.spotify.com/track/5vdfUjeHcTPRY9CddJNYC2,Comparative Mythology,https://open.spotify.com/album/3NaxBhG8IBT1LFaguBphID,Manly P. Hall,https://open.spotify.com/artist/2yJEaYQlW30y2BFSGKPgWu,2014-03-17,3606491,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Buddhist Regeneration Myths (part 2),https://open.spotify.com/track/6Y0Qn7NXjkrZ5hxRncp5EZ,Comparative Mythology,https://open.spotify.com/album/3NaxBhG8IBT1LFaguBphID,Manly P. Hall,https://open.spotify.com/artist/2yJEaYQlW30y2BFSGKPgWu,2014-03-17,3560411,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Centaurs and Death of Heracles,https://open.spotify.com/track/5mhSQDkCJT0grry7IeRCmo,The Twelve Labors of Hercules & Other Adventures,https://open.spotify.com/album/2zA0E3SL32RkP1qYmEiWDS,Anthony Quayle,https://open.spotify.com/artist/2kUD5glTZ6j5f3VOAWCGlQ,2014-01-25,333773,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Cerberus,https://open.spotify.com/track/3Vv2kgWISY5uFwTZ13e2rm,The Twelve Labors of Hercules & Other Adventures,https://open.spotify.com/album/2zA0E3SL32RkP1qYmEiWDS,Anthony Quayle,https://open.spotify.com/artist/2kUD5glTZ6j5f3VOAWCGlQ,2014-01-25,297000,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Cuchulainn,https://open.spotify.com/track/30vKlCrg5B8KWEgeinTUXC,Irish Myths & Legends,https://open.spotify.com/album/5y9hUmEikbmU6RIeCIjOJE,Ronnie Drew,https://open.spotify.com/artist/06Iyp8QTMuoS38jjgMYFx2,2014-01-23,1110640,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Defeat of the Red Branch - Narrated Version,https://open.spotify.com/track/64Ruo9uiVUpWqJtWJCGTg4,A Celtic Tale: The Legend of Deirdre (Narrated Version),https://open.spotify.com/album/0xVwJocvwY0LAPIas95jqm,"Mychael Danna, Jeff Danna, Fiona Ritchie","https://open.spotify.com/artist/0x8J72N9ilqcIZbWEKB8T2, https://open.spotify.com/artist/4v7z4d0nyIY3mWGz1AXoK1, https://open.spotify.com/artist/6B8REPYOIhjaSXCmeIDnne",2014-01-23,215120,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Deianira,https://open.spotify.com/track/1hHm2DCmwAH5S4aA6Tl728,The Twelve Labors of Hercules & Other Adventures,https://open.spotify.com/album/2zA0E3SL32RkP1qYmEiWDS,Anthony Quayle,https://open.spotify.com/artist/2kUD5glTZ6j5f3VOAWCGlQ,2014-01-25,280146,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
Deirdre Of The Sorrows,https://open.spotify.com/track/58lrpY84WlW7a3aD2YJYsV,Irish Myths & Legends,https://open.spotify.com/album/5y9hUmEikbmU6RIeCIjOJE,Ronnie Drew,https://open.spotify.com/artist/06Iyp8QTMuoS38jjgMYFx2,2014-01-23,1140640,2021-12-21,"A collection of myths, fairy tales, and fables from across the globe.",Mythologies
